file	paragraph	lines	score	markers	text
039.2000年3月30日.txt	7	13-13	18	故事|我讲|过去|问|他说|杀|周处	我跟各位讲，你们要靠真实的信仰才能够使你解脱。我过去在军法处坐牢的时候，有一天一个大流氓他来替我整理房间，我们政治犯是不整理房间的，他帮我整理房间、帮我粉刷。这位大流氓跟我讲个故事，大家知不知道中国古代的晋朝有个有名的故事，一个人叫周处，他有一天碰到一个朋友，这个朋友说，这个社会有三害，我们这个环境里面有三害！哪三害？第一害是有一条蛟龙——河里面的一条龙；第二个是山里面有虎；然后这个大流氓周处说：“好！我就除害！我就杀这个龙、杀这个虎！可是还有第三害，第三害是什么？”第三害就是你自己，你就是个大流氓。我在军法处坐牢的时候，一个桃园地区的大流氓跟我聊天，他说“他妈的警察真不够朋友！”为什么不够朋友？他说他跟桃园的另外一个地区的流氓火拼，他把对方的流氓杀掉了，警察把他抓起来了。他说：“我把别的流氓杀掉了等于是为民除害，因为那是坏蛋嘛，我把他杀掉了等于帮警察忙嘛，他怎么还把我抓起来呢？”我说：“因为你忘记了你也是一害”，所以他常常在除了害以后，忘记他自己也是一害。可是我告诉各位，人有的时候要学习控制自己，解决自己问题的时候，一定要在精神层面上能够超然，不能够完全倚靠外面的强迫你——八点钟你要给我坐下来面对墙，你要被强迫的，这个不行！
041.2000年4月3日.txt	15	29-29	18	笑话|有一个|后来|他说|死|王安石|刘公甫	我承认，有很多人是天才！我不是，我不是那种人。大家记得宋朝有一个有名的文学家也是政治家，他的名字叫做王安石，为什么有王安石变法？他跟他的好朋友刘公甫讲，他说：“我的儿子念书一遍就会了！”那个刘公甫，他的好朋友，就回他一句话，说：“你家的儿子念一遍就会，谁家的儿子念两遍呢？我的儿子也是神童，每个人都是神童！”所以古代的人，他们的成功，靠他们是神童，我们这一代的人不是这样子！是靠我们后天的方法跟努力！我告诉各位，我就是一个靠后天努力，能够很自然的克服我个人的缺点，而变成了某种程度的成功者。我告诉你们，我的成功在哪里？我写了一千五百万字，整个的台湾、整个的中国，没有人比我写的更多。为什么能写这么多东西？第一、我非常用功，喜欢看书。我告诉各位，我不参加婚丧喜庆。再好的朋友，他的女儿结婚了，我不去！礼到人不到！他妈妈死了，我也不去！所以，像前一阵子闹了一个有名的笑话，大家听说有一个人叫邓丽君，听说了吧？邓丽君她死掉了，结果TVBS跟中国时报就登出来，说邓丽君开吊的那一天清早，李敖到了灵堂，向邓丽君致意。有没有这个事情？没有这个事情！我从来不认识邓丽君，怎么有这么个乌龙的新闻出现？我要更正！为什么要更正呢？后来才查出来，是慈济功德会的一位老太太，她佩服邓丽君，也佩服李敖。她希望邓丽君死了，李敖来看看邓丽君，是最好的一个情况，所以结果就变成李敖去看了邓丽君。这个消息新闻就发出去了，结果是个乌龙的事件。我要更正，为什么要更正呢？因为我从来不参加婚丧喜庆！邓丽君的丧我不会参加的！更正的原因就是说，我不能不更正，因为朋友妈妈死掉了你不去，邓丽君死了你就去，这不正确的！喜，就是别人结婚，我也不去。庆祝的事情，我也不去。类似这种的我都不去！干什么不去啊？节省我的时间！我要去一趟的话，我要花多少时间？一晚上不见了，我不要！我这一晚回家来K书，我可以写出来五千字，或者一万字的文章。所以我告诉各位，真正的、成功的、快乐的生活，就是自己能够找到自己想要看的书，而充实自己，然后做一个成功者，才是真的生活。
001.2000年2月1日.txt	3	5-5	16	我讲|例子|有一个|后来|他说|梁启超|李文斯顿	在一百六十年前，有一个小孩子在教堂里听讲道，牧师看着这小孩子，发现他很有慧根，特别走过来对他说：“你愿不愿意皈依上帝，然后到远方去传教？”这小孩受这个感召，从此决定了一生的方向，他就是非洲的探险家李文斯顿。在一百一十年前，也是一个少年人，碰到一位中年人跟他讲一段话，也影响了他一生；后来他联合这位中年人一起发动了影响中国近代历史的一个改革——戊戌政变，这小孩就是梁启超。我讲这两个例子告诉大家，请注意，今晚的演讲可能会影响你的一生。
013.2000年2月23日.txt	10	19-19	16	故事|后来|最后|问	今天我们看到这些问题，知道人不是一开始就是英雄、就是豪杰，在过程中是经过很多的变化。例如圣女贞德，她原来被抓时有一段时间是投降悔过的，后来知道错误又重新把自己撑起来，最后成为烈士。再例如《宋史》的《文天祥传》中说，文天祥原是花花公子，做了丞相后变成一个爱国者，最后被元朝俘掳，把他关在黑牢里逼他投降，并说，只要他投降立刻给他做元朝的丞相，这是多么大的考验，只要一点头，荣华富贵就到手，对文天祥而言，内心是多么的痛苦，从他的正气歌“悠悠我心悲，苍天曷有极，哲人日已远，典刑在夙昔。”中可以看出他的挣扎，最后高段的境界压过低段的矛盾而成功了。这个故事告诉我们，有的人经过挣扎而上升、有的人是下坠堕落的。
030.2000年3月17日.txt	24	47-47	16	笑话|传说|例子|当年|问	刚才讲到总统府的会议资料夹，里面是什么呢？是总统明令褒扬国安局长宋心濂，他在阳明山中国饭店地下室的温泉浴池旁突然去世，有人传说是被李登辉干掉，但是我不相信。我手上还有一份总统府的文件，签呈上有一堆密密麻麻、歪七扭八的文字，下面的签名是“志成”，就是苏志诚批的。签呈的内容是有关生命共同体的问题，苏志诚批的是：“当年哥白尼说地球是圆的，一群无知的人就说错了，并且定哥白尼的罪；党内难免有一群知识程度低、又没有智能的人，如果他们有权，就会如哥白尼的例子出现，还好，他们已无权，就让他们去给人笑话吧！”
036.2000年3月27日.txt	13	25-25	16	有一个|问|答|他说|逃|杀|写信	第二点，他们说写信不能超过二百字，每星期可以写出一封信；我告诉他们，我半年都不要写信。还有一个惩罚的方法，朋友、家属来看你，每礼拜一次，如果你不听话，就停止会面；我就说半年不要见人。他们一听就要跟我谈判，因为他并不要关你，关人的是蒋经国，管监狱的是宪兵中校。他们说只要我答应两点，就和我配合，他说：第一点、你不要自杀，第二点、你不要逃掉；我说好，他们就问我要看什么书，都可以尽管看。
042.2000年4月4日.txt	6	11-11	16	我讲|例子|过去|答|逃	答：我告诉大家，“慎取”是最重要的！这本书你不喜欢看，你看它，不会有好的结果的！我觉得你们假使在国二就被挤出来，就表示说英文不能吸引你、国文不能吸引你、数学不能吸引你。但不能怪你们，我讲过，因为它没有兴趣！它怎么样吸引你呢？我过去也是这样子的，学校的功课很烂很烂的，勉强及格的，有的时候还不及格。所以到了高中二年级，我赶紧逃掉了，就不念了。怎么样的过呢？就是念我自己喜欢的书。我自己摸索什么是好的兴趣！好比说国文不好、国文很烂，你们的国文怎么会不烂？我讲给你们听！国文课本一打开第一课，就是什么蒋总统写的文章，这个样子，你的国文怎么会不烂呢？一定是烂文章！因为那文章不好！什么是好文章？像我摸索出来，我就告诉你，什么是好文章，我举个例子给你看！怎么样培养兴趣！好比说，你说这边是个老头子，这边是个女孩子，如果你的作文是这样作的话，是坏的作文！什么原因呢？太抽象了！你应说这是红颜，这是白发；红颜表示女孩子的脸蛋儿，红颜；白发，表示老公公的白头发。用他身体的一部分特征来描写他，你的感觉老头子三个字，对你是三个空（抽象）的字！可是“白发”这是个老头子的现象出现了。注意到没有，这是用一个具体的形象，来代替抽象的字眼。你能够做到了这种，就是好文章！
042.2000年4月4日.txt	13	25-25	16	有一个|后来|答|逃|银角大王	好了，在这个时候，这个银角大王喊他敌人名字的时候，等于叫他的魂，你一答应，就把人抓进去了。大家注意喔，孙悟空就是啊！孙悟空跟银角大王对打的时候，银角大王喊“孙悟空”，孙悟空说“有！”，一有，瓶子就把他吸进去了。所以后来孙悟空花了好多的力气才逃出来。逃出来之后就知道了，哎唷！再也不敢叫孙悟空了，所以改名叫做孙行者。结果，银角大王又叫“孙悟空！”，孙悟空不讲话、不答话。他叫“孙行者”，噢，“有！”，一有又抓进去了！这孙悟空逃出来以后，不敢再叫孙悟空，也不敢再叫孙行者，改名叫行者孙。可是银角大王跟你们一样，有电脑，他有一个电脑，他可以算，算出来的排列组合，里面可能有一个名字，叫做行者孙，然后他去试验叫“行者孙！”，孙悟空又忍不住了“有！”，一有又抓进去了！就是说，不管你叫什么名字都会装进来。
001.2000年2月1日.txt	6	11-11	15	有一个|问|骂|杀	在日本压制台湾的时候，还有一个怪现象，因为政治上的不满足，很多优秀的台湾人开始学医，所以台湾有个特色，就是医生特别多，医师在台湾近代历史占了重要的地位；而这批医生到了今天，还有这种喜欢做官或搞政治的观念。医生不作本行作政治活动，严格说起来是学非所用，有的人学非所用会出事的。《西游记》里猪八戒骂人说“庸医杀人”，可是对良医我们一定要问，至少在这里我要问：“会杀人吗？会不会误事？”“也会！”因为好的医生如果不能做好本行，而要改行越界做别的事，做不好的时候，他会危害人。
005.2000年2月11日.txt	15	29-29	15	故事|有一个|问|答|他说|死	答：我认为宋楚瑜没有弃保的问题，因为基本上要投宋楚瑜的人已经确定了，好比新党的支持者要投宋是已经确定的事。我的邻居到菜市场买菜，有一个卖鱼的阿婆对他说：“宋楚瑜好笨喔！怎么A钱A那么少，以他的机会应该可以A更多的。反正不管他A多少钱，我们就是要投他。”这就是宋楚瑜的死忠派或基本教义派。兴票案发生后，他的民调往下滑，但是只有滑到百分之廿五和廿七之间，就是这个道理，他不会再向下掉了。同样地，陈水扁也有他的基本教义派或死忠派的支持，也就是说阿扁也会有百分之廿五到廿七之间的基本选票。所以我认为弃保会发生在弃连保陈上面，因为陈水扁曾公开表示他是继承李登辉的，他是接替李登辉的，可是他也没有说他要超过李登辉，事实上他也不敢用这个字眼；换句话说，陈水扁公开表示他是约书亚，李登辉是他的摩西。可是在李登辉的言论集里我们也看到一篇，他说蒋经国是摩西，李登辉是约书亚。陈水扁与李登辉都以约书亚自居，两人都以圣经的故事来说明他们的传承使命。可是当阿扁这么讲话的时候，李登辉从来没有站出来公开否认过；而当宋楚瑜说话的时候，李登辉就跳出来说宋不要脸，对阿扁他就不会。我认为当连战表示一点不太听话的时候，弃保效应就会发生，而且一定是弃连保陈。
