file	paragraph	lines	score	markers	text
014.蒋“青天”在赣南的故事（曹云霞）.txt	24	47-47	21	故事|有一次|当年|问|答|说|求|请	今天在台湾，虽然报上无日不见蒋氏“亲民”的照片，不是今天在台北和老百姓握手，就是明天在台南到农民家中问候。但是，比之当年在赣南似乎还略逊一筹。那时，蒋专员有常设的“民众问事处”、“民众投书处”，每星期还接见民众一次。蒋专员又兼任保指导员，经常开保民大会，和全保每个老百姓混在一块……等等。但是，以后据我们所了解的，实际上并不曾解决什么重要问题。我记得蒋先生亲自给我讲过两个故事，其一，是他有一次接见了一位六十多岁的穷苦老太太。她有一大堆苦难诉述：儿子被抓壮丁，媳妇不孝顺，家里有时没有米下锅。她一项一项哀告，请求蒋专员开恩搭救。蒋专员听了，一时无法答覆。她便唠唠叨叨说个不休，蒋专员七劝八劝，费了许多唇舌，好容易才把老太太打发走。蒋先生向我讲这个故事的时候，似乎还有余悻，深深地慨叹：“遇到这种事真是不好办呀！”
017.蒋家父子不是“人”（孟绝子）.txt	21	41-41	19	有一个|后来|说|逃|死|蒋介石|国民党|投降	蒋介石没有在南京“死社稷”，他的儿子蒋纬国也没有像你一样被俘。你说：“真正能够绝对避免被俘的办法，只有不上战场。但，打仗不上战场，除了那些善于自谋的‘吃饭打衔锋，上阵肚子痛’、攘利争先、赴义惟后的聪明人，专会挖空心思、投机取巧、千方百计避凶趋吉外，就只有一些‘祖上有德’的特权阶级出身的军人才能办得到。”蒋纬国就正是这样一个人。蒋介石的军队与中共军队之间规模最大的一次战争是淮海战役，国民党称之为徐蚌会战。在这次战役中，蒋介石的八十万部队中有两个“装甲兵”团，两个团长中有一个就是蒋纬国。这八十万大军土崩瓦解后，团长以上的军官，有的阵亡，有的投降，有的被俘，有的逃亡。不管属于哪一种，后来都有个交待。唯有蒋纬国，他在战场上的轨迹到现在还是一个谜。他到底上了战场没有？打过仗没有？在哪个地点打的仗？几月几日几时离开作战地点？与哪些人，沿哪条路线，用什么方式逃离战场的？
024.谁是蒋经国的接班人？（亚洲周刊Asiaweek）.txt	45	89-89	19	有一个|最后|说|他说|蒋经国|国民党|共产党|一九四九	李敖认为，台湾要能抗拒共产党威胁，办法只有一个，那就是台湾的人民坚强一致的做政府的后盾，但在他看来，那样的情况不太可能发生。他说：“如果一九四九年到台湾来的时候，国民党就开始实施民主化制度，台湾目前就已经是个坚强的民主国家了。北京即使拥有核子武器，也没有办法碰我们。但是国民党把他们的机会平白浪费掉了；现在可能已经来不及了。”国民党决定和党外沟通，决定使宪法“现代化”，决定正面面对共产党的统战挑战，或许是蒋经国要证明李敖是错的最后一次努力吧！
014.蒋“青天”在赣南的故事（曹云霞）.txt	9	17-17	18	有一个|后来|问|说|逃|请|蒋经国	赣州有一家最大的百货商店，叫广益昌，它的总店开在南昌，那时南昌已经沦陷，广益昌南昌总店，照常营业。赣州城的广益昌，把日货改换商标，鱼目混珠边销售，几乎人所共知。据说广益昌为了逃避检查，免生麻烦，便和“仇货检查委员会”的任秘书勾结，定期送任某一笔钱，常常请任某到广益昌，又像巡查，又像购物。广益昌的经理，就恭迎任秘书到经理室，伺机进贡礼物。例如：奉送一盒饼干，盒底则藏着钞票，做得不露痕迹。于是任某的贪污已成平常，蒋专员并没有察觉。有一年年终，税务局照规定抽查商店的原始簿据，核实收支盈利，以定税额。查到广益昌，先发现日记账上有几笔给任某的付款，继而查出立有任某一个户头，付款多笔。税务局查账员追查任某其人的身分和付款用途，广益昌先含糊其词，不肯吐实。后来查账员就转报税务局长潘某，潘某约广益昌老板，问明究竟，才透露出这是给“仇货检查委员会”任秘书的贡礼。老板和局长相约，千万不要向外泄漏。以后这件事在税务局传开了，又传到省税务局以至中央税务署。终于有一个军统特务头目把这件事告诉了蒋经国。蒋氏一听之下，认为这救坏了他的清廉声誉，大为震怒，立即写了一张手令，把任某以贪污有据，执行枪决。内情的曲折，讳莫如深。舆论却大事宣扬蒋专员，深入民间，密访破案。一连串的电讯、特稿、专访……把“蒋青天严惩贪污”，说得煞有介事。
012.蒋经国的赣南抗日（曹云霞）.txt	8	15-15	17	传说|有一天|问|说|笑|蒋经国	我在长沙投考战干团，发榜录取了，随即报到，经过临时编队，于一九三九年一月集中到江西吉安战干第三团受训。我一到江西，就探问蒋经国打游击的事，殊不知却反不如湖南传闻之盛，得不到确实的消息。受训的前一个阶段又很紧张，预定入伍训练半年，我想好歹总得等到受训结业。受训到三月间，风声又越来越紧，不断传说，日本鬼子要打通南浔线，侵占南昌。我们战干团也准备迁移了。我原想，到江西集中受训，显然是江西一线抵抗日寇比湖南较有力量，现在看来并不是这样。于是我又想起，蒋经国打游击总该起些作用。有一天，我们女生大队的大队长孙执礼找我个别谈话。他是个北方人，身体魁梧，说话爽朗，是个典型的军人。他笑着问我：“你来受训，打算干什么？”我说：“我打算跟蒋经国打游击。”他惊讶地瞪了我一眼，笑着道：“哈哈！熊拐子（指当时江西省主席熊式辉，熊因飞机失事跌断一只脚，有些人就这样称谓他）早就把蒋经国安放到赣南去当官了。你想，蒋经国是熊拐子向蒋委员长要来供奉的一个宝贝，蒋经国要是出了个三长两短，熊拐子那还得了！”
017.蒋家父子不是“人”（孟绝子）.txt	6	11-11	17	故事|问|说|请|蒋介石|国民党	二、你又悲痛地想起“晋师败秦于殽，秦三帅被俘释归，秦穆公御驾郊迎，自责不迭，而不罪三帅。”之故事，慨叹古今人之苛恕与幸与不幸何相去如是之远也！左弧兄，苛与恕，幸与不幸，何相去如是之远，原因是今天的蒋介石比古代的秦穆公，无论才华、眼光、气度或器量，都差得太远了。秦穆公乃是当时第一流的贤明君主。蒋介石呢？就用美国总统罗斯福的看法来说吧。罗与蒋，从来没有见过面，没有个人恩怨。为了提高蒋的国内声望与国际地位，罗还邀请蒋去参加开罗会议。开罗会议以前，在罗的心目中，蒋是中国唯一的领袖。在开罗会议期间，罗亲眼见到了蒋，也亲自通过译员当面与蒋讨论过各种问题。闻名不如见面，见面不如交谈。交谈之后，罗对蒋的看法大变。变到什么程度呢？根据国民党的忠贞文人梁敬錞在所著《开罗会议与中国》一书中说，“罗在给马歇尔将军的信中说蒋介石只如摩洛哥之酋长。”
014.蒋“青天”在赣南的故事（曹云霞）.txt	5	9-9	16	故事|当年|说|枪毙|蒋经国	当年，蒋经国到赣南接任专员不久，就以“严惩贪污”而风闻全国。我记得是大概一九四〇年，“中央社”曾发布一则电讯，全国报刊照例一律登载。报导蒋专员在赣南惩办贪污，雷厉风行。他深入民间，察访民隐，查出一个亲信部属贪污三百元，立即判处枪决。据说：群情感戴，纷纷盛赞“英明的蒋‘青天’”。彼此营销南方各省的《东南日报》，特以蒋“青天”为题，写了一篇娓娓动听的专稿。再结合一些传奇故事，于是耸动遐迩，蒋“青天”就这样传播开了。“贪污三百元就枪毙，那还得了？”“赣南再也没有人敢贪污了”。在那种贪污弥漫的日子里，我也一度向往赣南是“贪污绝迹”的一片“干净土”，衷心地赞赏蒋“青天”。蒋“青天”给赣南的公务人员，特别命名为“公仆”。我也挂上了“公仆”的徽章，这是多么自豪啊！
014.蒋“青天”在赣南的故事（曹云霞）.txt	12	23-23	16	传说|有一个|原来|说|跑	一九四六年，抗战胜利后，有一个来自赣南的卸任官员到了上海，置了洋房汽车，开了一家洋行，内盘是大做金钞生意，本钱不小，派头很大，俨然是一个新冒头的上海大亨。上海商场中纷纷传说：此人来头非凡，是蒋太子在赣南的一员大将。我到上海，也有人向我打听。原来这位大亨姓吴，是我们在赣南的旧识，当初和我一样，是个穷公务员，宁波人，和蒋专员的留俄同学黄某是亲戚，经黄的推荐，担任赣县警察局长。此人长于应对，对蒋专员和专员的太太，都侍候得很殷勤，经常跑蒋专员公馆，得到蒋专员的宠信。他虽然干的是警察，但是，各种的派款募捐多是由他主办。以后蒋专员兼赣县县长，吴某被调任建设科长，他对建设完全是个门外汉，可能是蒋专员看上他搞钱有门道。要“建设新赣南”，好歹先得有经费，这样一来，各式各样的捐税附加，临时派款，花样百出。建设的项目，寥寥无几，吴某的荷包，却一天比一天胀起来了。我们在赣南就听到了一些风声，有一个朋友告诉我：吴某的生活非常阔绰，他家里堆满了吃的、用的，都是大小老板和殷商富户送的高贵东西，看不见的贡品就更多了。我离开了赣南后，听说吴某辞职回浙江，满载而归，腰缠万贯，成了富豪；继而到上海，一跃而为金钞大亨。赣南派的老人，都知道吴某是靠蒋专员起家的贪污能手；上海滩上更瞩目这位来自“新赣南”的暴发户。
014.蒋“青天”在赣南的故事（曹云霞）.txt	22	43-43	16	有一次|当年|说|跪|蒋经国	还有，蒋“青天”在赣南禁赌、禁娼、禁毒，确也搞得有声有色。有一件事也是大为轰动的，那就是抓着一位太太在家里打麻雀牌，罚她在赣州中正公园跪了三天示众。这位太太的丈夫叫杨万昌，河北人，他是前任专员公署的科长，蒋专员接任后，乃留任科长。为人爽直，喜欢发些议论，据说曾触犯过蒋专员。有一次他因公出差，他太太在家打麻雀牌被抓住了，被作为违禁的典型，除了罚跪，还罚劳役，并且抄了家。杨万昌还被通缉。逼得杨万昌流浪隐藏了一个时期，以后杨万昌靠朋友关系投到江西广丰军校三分校当政治教官。有一次，我和蔡省三在上饶遇到杨万昌，他大发牢骚，说：他太太不过偶尔打牌，而当时蒋专员的俄国太太蒋方良却几乎天天打牌。事实也确实如此，蒋方良在赣州学会打麻雀牌，以后越打越精，成了牌迷。抗战后，蒋方良被蒋经国安置在杭州，就有蒋的某留俄同学和某旧部，在官邸专陪蒋方良以打牌度日。赣南禁赌的一阵风过去了，蒋“青天”以后对部属的赌博也就视同寻常了，例如：蒋氏的得意门生，现在台湾的王昇上将，当年的赌瘾就是特盛的。在南京时，王昇的公馆就是赣南派诸君聚赌“梭哈”的场所。王昇将军当年的赌瘾是挺大的，不知现在如何？
017.蒋家父子不是“人”（孟绝子）.txt	13	25-25	16	故事|说|蒋介石|张灵甫|国民党	四、你叙述蒋介石的七十四师师长张灵甫，叙述得非常传神。“他巍巍然直挺挺地站在桌旁，手拄日制木质战刀，未经细察地图，即用右掌在地图上前后左右地‘劈分’三下说：‘五一旅在这边，五七旅在这边，五八旅在这边。’”这段令我想起中日战争时期在四川听到的一个故事。那时候国民党征来抓来的兵，百分之九十以上是百分之百的文盲。这些在炮兵部队里的文盲打仗时，都相当有“张灵甫作风”，因为他们所喊的命令是：
