file	paragraph	line_start	line_end	char_count	score	snippet
001.《北京法源寺》勘误.txt	28	55	55	480	3	以文学手法写历史人物，最困难的是既要古人说现代话（读者是现代人），又要尽量还古人之原，这是一种“必要的矛盾”，稍加苛求，就会发笑。试看莎士比亚笔下的罗马古人说起英文来、伏尔泰笔下的中国古人说起法文来，成何体统？只是你读他们的书，就得先承认他们的“矛盾设定”，其理与学欧几里得几何学相同。罗素回忆他小时候刚学欧氏几何即表质疑其定律，教他的人说你不承认就别学了，他...
001.《北京法源寺》勘误.txt	29	57	57	63	3	不过，有一点尚堪告慰的是，我没按住谭嗣同他们脖子说英文法文。六君子有知，必将许我于地下曰：“牺牲而打，送了上垒，其写也君子。”
002.关于张学良心态动态的讨论.txt	8	15	15	179	4	今早醒来，躺在床上，我跟自己说：“此事唯一能进言并说动张学良者，只有何世礼一个人了。何世礼年轻时追随张学良，和他共患难。西安事变后张学良被关几十年，何世礼不忘故人，终于在蒋介石有求于他出任联合国军事代表职务时，提出与张学良一见的要求，从而打破禁忌。后来在中外杂志上为张学良辩诬、又说动张群为张学良祝九十大寿，等等等等，令人感佩，我看我还是写封信给何将军吧。”
002.关于张学良心态动态的讨论.txt	16	31	31	176	3	十八年前瑞典发生斯德哥尔摩银行女职员被强盗裹胁事件。该女职员在长时间失去自由状态下，竟转而回护该强盗（第二年美国发生赫斯特报系第三代蓓蒂·赫斯特（Patty Hearst）被绑票事件，在长时间失去自由状态下，亦发生回护现象）。心理学者研究结果，名之曰“斯德哥尔摩征候群”（Stockholm syndrome），成为心理学上“拘禁反应”研究的一个怪例。
002.关于张学良心态动态的讨论.txt	25	49	49	165	3	当然，忍辱负重也有其限度。陈立夫《参加抗战准备工作之回忆》一文中说，张学良“期以‘不抵抗将军’之头衔，转加诸中央领袖，终致造成西安事变”。这一说法，应是西安事变发生的原因之一。显然的，西安事变前，汉公对背了五年的黑锅，已经不愿再背，所以弄出西安事变。不料事变后，他更没澄清的机会了，不但没机会卸下以前的黑锅，反倒又加上许多新黑锅！
002.关于张学良心态动态的讨论.txt	29	57	57	161	3	汉公在蒋氏权倾一时之际，为了大义，东北入关、西北于役、百口不辩、万死不辞，他对蒋氏，完全是“晏子型”的大臣风范，这是我们写历史的人，最肯定他的。可是，西安事变后五十多年下来，他在“晏子型”上的坚持，似乎打了折扣，至少在言词之间，他在为历史存证方面，表现了闪烁与迟疑，也许他认为这是基于隐恶扬善的大义，不得不尔，其实他错了。
002.关于张学良心态动态的讨论.txt	30	59	59	321	6	所谓隐恶扬善（恶不一定是坏，而是曲为之讳的一些事），至多只是做人的美德，却不是作史的史德。史德的标准，在“真实”与“公正”。对事实有所隐、有所讳，不论动机如何，对“真实”而言，都犯了大忌。章太炎为冯自由《中华民国开国前革命史》写序，说有人劝他写出信史，他“犹豫未下笔”，为什么？因为“身不与其事者，非审问则不敢言；身与其事者，所见乾没忮戾之事亦多矣，书其美不隐...
002.关于张学良心态动态的讨论.txt	33	65	65	164	3	或谓这是基督教徒之风。汉公公开信中说：“多年前信奉耶稣基督，勤于灵修，颇有领悟不问外事。……目下心情，如保罗在《腓立比书》三章八节所说的：‘我为他已丢弃万事看做粪土。’”但是，按诸耶稣一生行事，耶稣绝非勤于灵修后不问外事之人。耶稣一生痛恨法利赛人、痛恨伪善，情见乎词，绝未把不义看做粪土而予以放过，可见西方大义文化，亦无此道也！
003.怨结金兰.txt	10	19	19	303	4	（一）在1989年5月31日我发到金兰大厦各位邻居的信中，提到“AB座为撙节开支及调试人事管理，曾在CD座与EF座门庭值班人员均为三人时，把AB座降为二人，以为试行，为时近二年之久。AB座邻居之识大体，于此更得一证”。这答复了他们第一个“问题”。至于他们要求“AB座门厅，于该时段，毋庸管理员驻守”一节，AB座住户前在“为时近二年”的“调试”中，曾有人设问：“...
003.怨结金兰.txt	11	21	21	233	3	（二）至于他们第二个“问题”，说添置费“并不支用于添置”，又是他们明知故问。因为发到他们手中的“民国七十八年8月7日”“第十五届管理委员会第二次会议记录”里，明明有这样的白纸黑字：“管理费原以每坪33元计收，自8月份起调整为每坪35元，另设备陈置费原每户300元，亦同时调整为400元。其月约增收17000元，适够充做调整管理员薪资之用。”这答复了他们第二个“...
