file	paragraph	line_start	line_end	char_count	score	snippet
003.两位老太太.txt	2	3	3	288	3	我的写法采“随意唠叨体”。我虽然已不耐繁剧文字，但自传例外，该啰唆之处，绝不轻饶，还要特别啰唆一下。汗牛也、充栋也、上网也、下载也，古今自传多矣，但最好的，出自两位老太太，一位是赵元任太太杨步伟，一位是胡适太太江冬秀。老太太式自传的最大好处，在她随意唠叨。唯其随意，故少弄假；唯其唠叨，故无遗珠。李敖者，行文固大手笔也，以大手笔效老妪书，能解老妪，方足以读自传...
004.时——一九三五.txt	2	3	3	356	3	一九三五年，那是中国人最倒霉的年代，埃塞俄比亚最倒霉的年代，犹太人最倒霉的年代。犹太人被锁定是万恶之源，直到被杀了六百万才稍得喘息。那种杀戮是渐进的，从他们身挂牌子自责开始，就在一九三五年，他们就被挂上了。别责怪文革时代的共产党吧。挂牌子，洋人可早他们二十多年呢！图中挂在女人身上写的是：“我是最下三烂的婊子，我只跟犹太人上。”（I am the greate...
005.地——我住在中国.txt	2	3	3	618	3	我否认“中华民国”的存在，有人问你不承认“中华民国”，那你住在哪里？我夷然答曰：“我住在中国。”所谓“中华民国”，事实上，根本相当于中国的一个省，以一个省的现状——拖了长达六十六年的现状，居然要“省可敌国”、“分庭抗礼”，这是很不要脸的抹杀事实的态度。如果大陆上一九四九年起没出现中华人民共和国，也许“中华民国”四字还可蒙混适用，但是，中华人民共和国早就成立了...
006.人——曾经走过这样一位血肉之躯.txt	2	3	3	748	4	总结八十年的成就，似乎止于“示范”与“播种”。李敖一生独来独往而能独立存在，贫贱不移、威武不屈，是为“示范”；又在年复一年重围中，自台岛流窜祖国，以自由智慧崇中反美为天下倡，是为“播种”。只是世界和中国太大，阻力也多，究竟能播多少种，难以评估。最后能把握的，也是以“示范”为主。爱因斯坦（A. Einstein）论印度圣雄甘地（M. Gandhi）说：“后代子...
007.鬼——日本鬼子.txt	2	3	3	401	3	我生那年，一九三五。正是日本鬼子羞辱中国如火如荼之年。蒋介石的国民党政府对日本，是一路低声下气的。订什么什么协定固不必说，一个言论自由上的故事，倒特别值得一提。杜重远在《新生周刊》发表《闲话皇帝》一文，日本驻沪总领事以“侮辱天皇”为口实，要求国民党亲日政府法办，国民党法院判了杜重远一年两个月，同时查封了媒体《新生周刊》。想不到吧？七十六年后，二〇一一年，王伟...
009.上帝管两头，我管中间.txt	2	3	3	483	9	虽然如此，我仍旧自勉我自己一段话：“当它变得什么也不是，你跟它同在一起，你也变得什么也不是。你不必对陨石做什么，如果你不与陨石同碎，你还是做你自己的世界性普遍性永恒性生命性的工作吧。”这就是我一生的计划，也是我余生的方向。我一生的计划是整理所有的人类的观念与行为，做出结论。人类的观念与行为种类太多了、太复杂了，我想一个个归纳出细目，然后把一个个细目理清、研究...
011.声——日本女人蝴蝶夫人.txt	2	3	3	297	7	我的一个朋友薛起文是音响迷，整天整夜为新款音响神魂颠倒。市面上一有新货出来，他就疯了，千方百计，要汰旧换新，搬进搬出，几无宁日。我问他新旧之间，有那么大的落差吗？他苦笑一下，摇了摇头。人生啊，N就很好了，为什么拼命追求N+1？不断用新音响听追魂曲的人，何不减1一下，N就好了？薛起文最喜欢听CD歌剧，尤嗜《蝴蝶夫人》。我认为《蝴蝶夫人》最令人吃不消的，在段落之...
012.色——日本女人与叫床.txt	2	3	3	223	4	我太太小屯向我说了一句妙话，她说：“当你开始喜欢日本女人，就证明你老了。”真糟糕，我近年已有喜欢日本女人的倾向，日本女人的A片叫床，比洋婆子细腻多了，其中似乎以白石瞳叫得最好。写真集要数叶月里绪菜最好。我在电视节目中，展示叶月里绪菜的露毛照片，反证中国在这方面不如日本开放、自由。为了这一展示，台湾的新闻局行文警告了电视公司，但不敢警告我，这次似乎李敖吸引不了...
013.A片与梦幻.txt	2	3	3	329	3	我的梦幻离奇而细腻。梦幻之一是A片中的十七岁。多么体贴入微。在长时间的裸裎相对中，不论从为你口交或为你洗，都特别照顾到睾丸，不让睾丸冷落。她总觉得睾丸是被冷落在外的性器官，它孤悬在外面。虽然男人的施暴中，它是帮凶，但它无怨无悔，绝大部分的时间都挤压在夹缝中。只有一种男人在上的俯姿，男人悬骑、女人垂跪，它有了配合阴茎的节拍，每次拍打到十七岁的小阴部。如果那时候...
014.书房之被.txt	2	3	3	322	3	在书房里，有时我不找书了，而是幸会它、碰到它出现了。书彷彿主动冒出来。风吹草低“现”牛羊也、图穷匕首“现”也，主动在彼、不在此。让我的眼睛被动吧，被动的快乐像被按摩、被口交，热水浴中被情人用她漂亮的双脚揉洗。被字被这样诠释，多好！（虽然这些，都是十年前的风流了。）我迷恋过那十七岁。十七不是一个静止的数字，十七是三百六十五个日夜滑走的数字。当最后一个滑走，十七...
