file	paragraph	line_start	line_end	char_count	score	snippet
001.明星政治与政治明星.txt	2	3	3	161	4	6月17日外电说，美国老牌明星简·方达（Jane Fonda）在电视访问中，表示对当年越战时期，她妨害美国军人的行为道歉。她说她特别要道歉的就是1972年的河内之行，当时她在敌国首都攻击美国在越战中的行为，她后悔说了许多引人争议的话，包括自称是“革命妇女”。她说她当时发表那些声明，是因为“我不愿意别人把我看成是小明星”。
001.明星政治与政治明星.txt	3	5	5	114	4	越战时简·方达在河内电台对美军广播，指他们把炸弹装上飞机是“非法的”，而使用这些炸弹“会使你们成为战犯”；对获释美军战俘诉说被越共刑求的内容，指他们说谎、是“骗子”。如今简·方达后悔了。她说：“未经考虑的说出那种话是残忍的事。”
001.明星政治与政治明星.txt	4	7	7	287	3	简·方达的结论是：“当时我想为结束杀戮和战争略尽绵薄，但有些时候我行动鲁莽而欠考虑，现在我……为当时伤到他们感到非常过意不去，我要向他们和他们的家属道歉。”（I was trying to help end the killing and the war but there were times when I was thoughtless and carl...
001.明星政治与政治明星.txt	6	11	11	256	4	简·方达的例子，使我有一个结论，就是：在专业化的时代里，政治其实也是一种专业、一种专家才能玩的复杂职业。没有专业训练的人，贸然发表政见，摇旗呐喊也好、游行示威也罢，其实都可能造成“盲人骑瞎马，夜半临深池”的危险。简·方达演电影是她的专业，她演电影是专家，如同尼克松搞政治是专家，越战该不该打，是尼克松深思熟虑的专业，不是一知半解的简·方达的专业。尼克松若不好好...
002.台湾的妓女传统.txt	3	5	5	397	3	恶俗之尤者，就是养女。养女的兴起，主要原因是小户人家，为了宗祀大计，预先为自己的儿子收来童养媳，既可在家帮助工作，又可将来免付聘金；另一原因是穷苦人家生了女儿，养不起，因此送人或转让给别人家去养。以上两种原因，都不外是宗族的、伦理的、经济的，也算常态。但这一风气，在台湾蔓延的结果，却因男女比例悬殊而走样，于是，“乡间之人，至四五十而未有室者，比比皆是。闺女既...
003.房事里的乾坤.txt	2	3	3	136	3	报载行政院副秘书长吴祺芳，有转任台湾证券交易所董事长之说，记者跑去问他，他反问：“你看我能走得了吗？”为什么有此一反问，因为吴祺芳自孙运璿内阁起就干副秘书长，一干七年，由于他对行政业务的熟悉，也得到俞国华内阁的倚仗，他要“继续帮忙”的可能性丝毫未减，副秘书长可还有得干哩！
003.房事里的乾坤.txt	5	9	9	400	3	为了便于查出这种文章，也为了考验一下党外立委的斤两，我在一九八四年托江鹏坚代向行政院质询。行政院以七十三总一四七五七号函覆表示，叶公超死后，业主方面“以国内年来房地产不景气，另觅新押租人不易为由，一再拖延，致无法提前解约退还押金。由于一时无法提前收回二百五十万元押金，乃派本院吴副秘书长祺芳住入并看管。”云云。对行政院这种答复，两个月后，江鹏坚提出三点质疑：第...
003.房事里的乾坤.txt	6	11	11	127	3	对这三个问题，在答复时，行政院的气派就露出来了！行政院台七十三专字第一九二八二号函覆江鹏坚，对三个问题，全部来个相应不理，行政院只告诉他：“本院秘书处早已通知该房屋之业主，租约期满不再租用；并将押金于到期日退还，本院即将房屋交回。”其他问题，都悍然拒答！
003.房事里的乾坤.txt	7	13	13	108	3	行政院这种悍然拒答，对只会作秀不会作战的党外立委，却是奇效非凡的，江鹏坚立刻退缩了，他默默接受了行政院的“租约期满不再租用”的解释了，租约期满是一九八五年一月十二日，江鹏坚愿意等待这一天的到来，等待行政院兑现诺言了。
004.遗教中的两难式.txt	2	3	3	202	3	自从亲国民党的海外学人熊玠带来中共统一中国新价码后，几天来国民党大官人的反应，也连续不断，不过这些反应，并无新义。八月十三日，国民党国家安全会议秘书长蒋纬国表示：“大陆必须接受中华民国的宪法，同时接受三民主义，放弃共产主义。”八月十四日，国民党中央委员会秘书长李焕表示：“今天我们要以三民主义统一中国，因为三民主义见诸于宪法，不仅是中国国民党奋斗的依据，也是全...
004.遗教中的两难式.txt	3	5	5	689	4	多少年来，我们对上面这类老套，早已听过千万遍，国民党自道他们奋斗的依据是宪法，宪法开宗明义是依据遗教（遗教中包含三民主义），在年复一年强聒不舍下，人人都耳熟能详，我个人也不例外。不过，由于我做政治犯多年，在管制读物的牢狱中，惟有读起遗教来毫不受限制，所以也随缘大读特读一番。不料不读则已，一读便发现妙事多多。遗教中为了“圣之时者也”，一切都因时制宜，把各路人马...
004.遗教中的两难式.txt	4	7	7	272	5	对这种两难式，国民党曾试用种种解释来脱困。第一种是“认同王麻子法”，主张民生主义乃是正牌共产主义，但共产党的乃是冒牌共产主义；第二种是“否定王麻子法”，主张民生主义是不同的共产主义，乃是“礼运大同篇”之类的共产主义；第三种是“联合王麻子法”，主张当年为了联俄容共，故有民生主义即共产主义之说，乃一时权宜之计：第四种是“视而不见王麻子法”，主张听任“三民主义”中...
005.羊头化的遗教.txt	4	7	7	786	5	《中华民国宪法》劈头就说“依据孙中山先生创立中华民国之遗教”，“制定本宪法”，但是搬出“本宪法”与遗教一对照，便发现抵触丛生。乍看起来，定章分节，全是遗教的外壳，从第三章国民大会，到第十一章地方制度，无一不“五权宪法”也；但实际上，从第三章国民大会起，就大干一票，只师遗教之词、而不师其意了。第二十五条先打了国民大会职权的折扣、第二十七条又剥夺了国民大会一大部...
006.大学生岂可请愿！.txt	2	3	3	230	5	二十多年前，我在文星的时候，徐钟珮约我到她家，介绍一位留学生给我，他的名字，叫余传韬。此公与我，一见如故，两人又谈天又去舞厅，不拘形迹。有一次，他问我：“李敖，你看我将来回台湾，干什么好？”我说：“你搞个反对党最好。你是国民党大员陈诚的女婿、又是青年党大员余家菊的儿子，你去搞反对党，国民党要抓你，会头疼好一阵，这才真有趣啊！”余传韬听了，哈哈大笑，他以为我在...
006.大学生岂可请愿！.txt	3	5	5	227	3	二十多年过去了，余传韬没去搞反对党，却当了国立中央大学校长。他在中大校长任上，一干六年，可是最近却出了纰漏。报上说：“国立中央大学六名学生，昨日上午再度前往教育部，要求了解教育部续聘余传韬校长之理由，并对教育部成立中大‘沟通小组’未能有学生代表参加，表示异议。教育部主任秘书刘清田昨天答应请愿学生，未来‘沟通小组’可以考虑增列学生代表。”可见此一风波，尚在发展...
006.大学生岂可请愿！.txt	4	7	7	315	7	二十多年前，我在台大历史系做研究生时候，发生了陈骥、吴章铨陈情事件。陈骥、吴章铨向校方提出陈情，替历史系提出兴革意见，台大校长钱思亮、文学院院长沈刚伯，一怒之下，把陈吴二位记过，二人大呼负负，我戏呼这是“台大的陈胜吴广起义”。我跟朋友说：“你们看到我怎样对付台湾大学了吗？——我写文章公然攻击台湾大学，可是钱思亮、沈刚伯不敢动我一根毫毛！他们就是不敢对我这特大...
006.大学生岂可请愿！.txt	5	9	9	360	4	“台大的陈胜吴广起义”后二十年，台大学生毕竟有了一点点进步，一九八四年五月四日，八位台大学生跑到教育部请愿，提出兴革意见。事后他们说，他们这样做，“希望效法‘五四运动’的精神。”台大学生把他们的行动与五四牵连，用意至好。但是我总觉得，这些年轻人对“‘五四运动’的精神”，似乎了解得不够。“‘五四运动’的精神”是大学生反对鸟政府、打部长、揍官僚，使“顽劣之伪政府...
006.大学生岂可请愿！.txt	6	11	11	187	3	继台大学生跑到教育部后，如今中大学生也跑去请愿了，我感到这些大学生实在没气魄。我觉得，如果余传韬真要不得，他们至少该有当年清华学生“九年清华、三赶校长”的气魄。清华学生对校长不满意，前后将两任校长（张煜全、金邦正）列队欢送、迫出校外，使另一任校长（罗忠诒）根本到不了差。今天的中大学生不敢如此，只知向教育部请愿讨参加沟通名额，这是没出息的。如果我是余传韬，我要...
007.法官之死.txt	3	5	5	93	3	董国铨不是泛泛之辈，他是台湾高等法院的资深法官、庭长，并曾以“优秀司法官”得奖。不料“优秀”到头来，却出了大纰漏，他卷入一宗贪污案，自他以下，十一名被告统统判刑，成为轰动一时的台湾大案。
007.法官之死.txt	4	7	7	384	4	这件大案发生在一九七九年，这年九月四日，台北地检处以渎职罪，起诉董国铨等人。为什么起诉呢？原来新竹市新东化学制药公司总经理郑翔麟，因为制造“潘他唑新”禁药，在一九七五年被控违反药物药商管理法，经台湾高等法院判刑两年六个月，最后减刑一年三个月确定。郑翔麟拒不到案执行，一再声请再审，并且四处央人活动，在多方奔走下，他终于找到了门路，在一九七六年五月间，透过同案被...
007.法官之死.txt	5	9	9	99	3	在董国铨死前十一天，一件妙事发生了，就是监察院忽然通过弹劾案，弹劾起董国铨、宗成铠、许茂森三个人来。这宗弹劾案，可来得真是时候！因为如该弹劾，为何一拖九年才弹劾？这种迟来的整饬官箴，又有什么效果呢？
007.法官之死.txt	8	15	15	196	5	景美翁媳命案的被告张国杰同我说，有一次他生病，住在看守所病舍里，碰到董国铨。董国铨曾在高院更二、更七两度判张国杰死刑，不料公堂相见后，竟在狱中相见。董国铨很难为情的向他表示：“我知道你是冤枉的，可是我不得不跟别的法官一样判你死刑，我没有勇气不那样判，你只有等到案子拖成陈年老案，才会平反的。”董国铨自己，也许如法炮制，想用时间换回一点公平。但是，他的健康背弃了...
008.错把投资做投机.txt	3	5	5	146	3	不料，一波未平，一波又起。“民生主义就是共产主义”一波后，先总理又在民生主义中，留下“平均地权”的一波遗教，要国民党实行。这一遗教，令国民党头痛程度，不在“民生主义就是共产主义”之下，因为在民生主义中，先总理为它订出实行细节，不像“就是共产主义”那样天马行空，有细节而不实行，又如何能赖得过？
008.错把投资做投机.txt	4	7	7	699	4	不过，国民党在事实上，还是得赖且赖。例如先总理明明规定土地“随地主报多报少，所报之价，则永以为定”、明明规定“土地涨价，全部归公”；但是，国民党在先总理死后五年（一九三〇年），起草土地法之际，就先将自报地价改为公定地价、涨价归公也改为累进计征土地增值税而非全部归公，同时政府照价收买的规定，也荡然无存了。土地法立法以后，数十年来，国民党在遗教与立法之间挣扎、理...
009.主义与祸根.txt	3	5	5	464	4	为什么可行者寥寥？因为遗教本身，多是空想出来的如意算盘，并没经过事实的验证、制度的演变、客观条件的配合，所以宣传起来，头头是道；奉行起来，头痛万分。近四十年前，国民党刚从大陆给赶到台湾的时候，曾经检讨丢掉大陆的原因。检讨之下，原因众多，但是国民党总裁却单刀直入，说真的原因，乃在“没有奉行三民主义之故”！他这段话，出自一九四九年十月在阳明山讲的“军事改革之基本...
009.主义与祸根.txt	4	7	7	407	3	国民党总裁这段话，我乍读之下，觉得国民党痛定思痛，做此“没有奉行三民主义之故”的检讨，不失为知非知过之举；但是细想之下，却发觉并不那么简单！实际的真相是：三民主义本身，的确蕴含了不能奉行的空想，使国民党根本就没法去兑现。民族主义比较天马行空，只好口号来口号去；民权主义就种下祸根，它的行政体制的设计，五院也好、国民大会也好、权能区分也好，……统统都无法兑现，《...
009.主义与祸根.txt	5	9	9	183	3	正因为主义优劣与一切有关，所以国民党气喘咻咻，抱着“世界上最完美的主义”，唉声叹气。国民党在大陆，正如其总裁所说，是“没有奉行三民主义”的；但在台湾，所谓奉行，也是假的。因为真的奉行起来，天下反矣！结论真真有趣：国民党说今天的成就是实行三民主义，我看正好相反，今天的成就乃是不实行三民主义。正因为只把三民主义做为口头禅，国民党才得苟延残喘至今，此中三昧，不可不...
010.台湾的法官最怕报阀.txt	2	3	3	305	4	昨天读“文化大学董事长张镜湖为时报周刊诽谤案启事”，有“近年来诽谤案件，如许历农、李敖、冯沪祥、关中诸案，被告俱判刑”的话，事实上，被告若是报阀，你怎么告都判不了刑的。在这方面，我在法院，从来没打败过他们。我告过中央日报的曹圣芬、中国时报的余纪忠、自立晚报的吴三连、吴丰山、颜文闩，我的遭遇和张镜湖一样，“开庭十余次，……‘被告’俱拒不出庭”。最后，台湾的法官...
