file	paragraph	lines	score	markers	text
007.战斗是检验党外的唯一标准.txt	40	79-79	19	故事|笑话|例子|哭|笑|死	别以为林肯的笑话只是笑话，在这岛上，可真有人拿来实行呢！那就是康宁祥。康宁祥在林宅血案以后，坚持不许一次告诉林义雄母女三亡的事，他先把母亲死了的事告诉林义雄，在林义雄痛不欲生、大哭一场后，再告诉林义雄双胞胎又死了，使林义雄重新痛不欲生、大哭一场！这个故事，是离开康宁祥的党外新生代田秋堇讲出来的。从这一件事里，我们真惊讶地发现，所谓“老康的功夫招式”，竟不及格如此、好笑如此！这些例子告诉了我们，老康毕竟还是“不学无术”的，因为他的“中国功夫”，实在只是一些“中国杂碎”，是上不了台面的。
005.放火的，不要变成放水的.txt	46	91-91	18	故事|有一个|最后|结果|问|说|国民党	康宁祥和许许多多的党外人士，他们一出道就投身在政治里。他们有够多的“问政三年”“问政六年”的经验，却缺少“问学十三年”“学问二十六年”的基础，因此在大规迹上，难免陷于“理想主义”成分的不足，这是应该注意的。国民党把中国搞成这个样子，原因很多，其中有一个最重要的，就是“理想主义”的缺乏。国民党太相信“幼稚的势力”和“暴力”了，结果是不学无术或不学有术，是低估了别人、高估了自己、错估了人类的精神面与道义面，最后一切都“政治挂帅”。“政治挂帅”是权力挂帅，但权力是冲昏大脑的、是使人腐化的。“政治挂帅”的流弊是在它经常制造“举国若狂”的状态、制造“集体兴奋”（collective excitement）、制造“万众一心”、制造“誓为政府后盾”，使人民总是随着政治转、随着政治走，这是很危险的。因为迷信“政治挂帅”的人，他们并不是离智慧和真理很近的人，离智慧和真理很近的，不是政客，而是“理想主义”的政治家。谈到“理想主义”的政治家，我仍从一个故事说起。
016.小儿没病，老儿病了.txt	24	47-47	18	故事|最后|说|骂|死	这个故事，是中国历史上最动人的“曾子易箦”的故事。它写一位真诚信道的伟人，临死前仍坚守原则，给学生、儿子上了最后一课。这最后一课，其实是那在墙角的“小儿”先给他上的。“小儿”暗示他做了错事，暗示他的亲信们都掩护他做了错事。幸亏有那样爱人以德的“小儿”，伟大的曾子才完成了最后的伟大。“小儿”是说真话的、是讲原则的、是不分时地，永远以最伟大的标准鼓舞别人、勉励别人的。“台南一老叟”骂我是“小儿”，认为我论调“幼稚”，我丝毫不以为辱——我深感荣幸！
005.放火的，不要变成放水的.txt	24	47-47	17	故事|答|说|笑	胡适这段话，使我想起另一个故事：第二次世界大战时候，有人谈到教皇的力量，斯大林不屑的说：“教皇有多少军队？”教皇听了，笑着答复道：“告诉我的孩子约瑟夫（斯大林小名），他会看到我的军队在天上。”
016.小儿没病，老儿病了.txt	23	45-45	17	故事|忽然|问|说|死|求	谈到“小儿病”，我说一个故事。曾子临死的时候，他的学生乐正子春、儿子曾元、曾申，都环绕在床边，一个童子（“小儿”）在墙角举着蜡烛，忽然说：“华而睆！大夫之箦与！”（“好漂亮啊！是大夫用的席子嘛！”）乐正子春申斥他，说：“止！你不要多嘴！”）可是曾子吃了一惊，问说什么，“小儿”又说：“华而睆！大夫之箦与！”曾子听清楚了，说：“然！斯季孙之赐也。我未之能易也，元！起易箦！”（“是大夫的席子，是鲁国大夫季孙送给我的，我没来得及换。〔我不是大夫，依礼不得用大夫的席子〕。曾元！扶起我来换席子！”）曾元说爸爸现在病成这样子，不可以移动，明天再说吧。可是曾子不肯，曾子说：“尔之爱我也，不如彼！君子之爱人也，以德；细人之爱人也，以姑息。吾何求哉？吾得正而毙焉，斯已矣！你们爱我，实在比不上这小孩子！君子是用大义爱人；小人却不讲大义，只会用姑息手段爱得人去做错事，我现在还求什么呢？我只求守原则而死，就好了！”）曾子说过以后，就来换席子，刚换过去，还没躺好，就死了！
017.雁行折翼.txt	32	63-63	17	有一个|问|说|骂|求|请	筱峰这些话，都是不能持平的，筱峰读了我那么多年文章，难道还没读出来，我写文章时六亲尚且不认，又何况一个“段宏俊”？“段宏俊”何德何能，值得我为他网开一面？为他破例不骂？筱峰这种论断，纵真也是“孤证”，何况还不真！什么叫“都会看对象的”？什么叫“尤其是估计对方和他的关系”？大丈夫说话要负责任，不要血口喷人，请问什么“对象”？什么“关系”？以疑似定罪是不成的，要说出来才算！其实我没写文章骂“段宏俊”，原因只有一个，就是那种刊物太不够水准了，实在太下流，不值得一骂，若说“段宏俊”是我朋友我不骂，那么办《中国报导》的、办《龙旗》的，等等等等，我也不理不骂，又怎么解释？即使李筱峰自己，或你服务过的康宁祥系刊物，对这些不入流的杂志，你们也罕见其骂吧？为什么？原因无他，不屑一骂而已。我们不是随便骂人的！我们有我们的身份！不是吗？筱峰说“段宏俊”是我的朋友，不错，他曾是我的朋友，但筱峰列举“段宏俊”的种种不堪的行为来跟我牵连、来“浼”我，我认为筱峰未免有意侮辱我，未免太失君子之厚道；至于他认为我不骂“段宏俊”也是不对，我认为筱峰更有意侮辱我了——他竟把我的水准，看成跟《扫荡》一般见识的！古代的晏子被女人追求，要嫁给他，他自责他怎么给人好色的印象，而令这位女士动起这个念头来了。如今我也要自责，为什么我的朋友李筱峰要把我看得这么低？并且责成这么低？并且筱峰把康宁祥和“段宏俊”排排坐，我的骂与不骂，形成对比与等量，我认为这也是侮辱康宁祥。清朝的汪中骂人专骂不通的，连不通都赶不上的，根本连骂都不骂，筱峰奇怪“李敖为什么会有这样的矛盾反应？”其实一点都不奇怪，值得骂于不值得骂之别而已，又何矛盾之有哉？
003.围剿陶百川的一个教训.txt	15	29-29	15	故事|问|笑|国民党	这故事表示了，“清流”人物是绝不跟政府合作的，“清流”是狂狷的、特立独行的、有激烈意见的、有火气的、不加入一党独大也患一党独大的、不做什么“国策顾问”的。明朝的“清流”们，都是牢里牢外过着的，像沈束坐牢一坐就是十八年，但是陶百川呢？却做国民党员一做就是五十九年！跟执政党走得这样近的人，还被称做“清流”，这不是开“清流”的玩笑吗？
007.战斗是检验党外的唯一标准.txt	43	85-85	15	有一次|说|死|请	因此，真正党外的正路、党外的康庄大道，乃是殷海光所说的“必须要有一种新的思想打前锋”，而不要“囿于台湾目前流行的这一套老想法或官制的意识形态”，因为那“根本就是旧思想，陈腐的观念”。党外的正路、党外的康庄大道无他，死心塌地的走西方自由民主的路数而已矣。在自由民主的路数上，党外只该有堂堂之阵，不该有粉拳绣腿；只该有正正之旗，不该有花枝招展；只该有杯葛、制衡、不合作，不该有与虎谋皮；只该有一次又一次的“苏秋镇型”的战斗，不该有一次又一次的“康宁祥型”的放水。我们要深信：“战斗是检验党外的唯一标准。”任何党外人士，不论他为党外做过多少事、立过多少功，一旦他退出战斗，我们就要督促他、批评他，请他掏出武器，继续努力，对康宁祥而言，只有在他继续努力时，党外才能肯定他，否则就要划清界限，判别他们是“三人帮”，告诉他们不可以打党外旗号，而做与党外立场相反或相去极远的事。党外一定要建立新的知人论事标准，尊敬任何在战斗的人——不论他有多少缺点；卑视任何不作战的人——不论他有多少优点。除此以外，都不是重要的事。
007.战斗是检验党外的唯一标准.txt	73	145-145	15	举一个|例子|问|国民党	举一个例子，1978年11月，台湾和美国断交的消息传到台北，国民党立刻停止了进行中的中央民意代表选举。那个时候，我向康宁祥建议，他的“立法委员”只应该做到次年的2月底，便不该再到“立法院”开会、领钱——因为人民给他的权力只有三年，到2月底刚好满三年。康宁祥一点点都没有把我的话听进去。以后他多做了两年没有经过人民同意的立法委员。实际上，这两年他就是国民党的“立法委员”。这就是智慧不足引发的公德上的问题。
001.党外人士该去做星妈.txt	11	21-21	14	最后|问|说|跑|死|求|请|国民党|共产党	丈夫出了事，太太不愿再等他，可不可以到法院请求离婚？照民法第1052条第10款：“被处三年以上之徒刑，或因犯不名誉之罪被处徒刑者”，就可以向法院请求判决离婚。这款又分两部分：第一部分不问犯了什么罪，只要被处三年以上徒刑，太太就可以拜拜了，这很清楚；但第二部分就有点麻烦。第二部分规定“因犯不名誉之罪被处徒刑者”，不论判得多重多轻，不论判在三年以上或以下，都可以到法院请求离婚，但什么叫“不名誉之罪”？就费解释。照古人法律标准，“十恶”就是不名誉，因为十恶“亏损名教”①，但照现代法律标准，有的就大有问题。照最高法院的解释，意图营利和诱有配偶人脱离家庭（二十七年上字第506号）、侵占（二十七年上字第3196号）、背信、伪造文书（三十三年上字第3142号）、吸食鸦片（三十三年上字第3406号）、窃盗（三十三年上字第5749号），都构成不名誉②；但对古代法律中“恶”中的第一恶——“谋反”，就是现代的内乱罪③，算不算不名誉，法律却没有明定。1947年，国民党的军队进入延安后，出现一个新问题，有的女人跑到法院里，告诉法官说，她的丈夫是共产党，现在“流窜各地”。她“不甘附逆”，请求法官判决她和共产党丈夫离婚。她的处境很可怜，她标榜出来的理由也合乎官方的标准，使法官很尴尬。法官决定不了，皮球踢到陕西高等法院，说他们“未敢擅专”，请求解释；陝西高等法院也决定不了，皮球再踢到司法院，说他们“未便擅专”，请求解释④；最后，司法院解释下来了（三十七年院解字第4066号）⑤，说你们要解释的，“与《民法》第1052条各款之规定情形不符，不得请求离婚。”这就是说，丈夫是共产党，“流窜各地”，虽然一抓到一定判刑在三年以上，但是不算犯不名誉之罪被处徒刑，也不算生死不明已达三年，也不算恶意遗弃，……这些在《民法》第1052条各款的规定⑥，都“情形不符”⑦，所以不准离婚。
