file	paragraph	lines	score	markers	text
136.真三毛与假三毛.txt	2	3-3	26	故事|有一次|当年|问|答|说|笑|逃|杀|跪|求|请|请我吃饭|龙应台|三毛	在龙应台还没出道前，女作家中三毛是最夯的。我第一次政治犯出狱后，有一次，皇冠的平鑫涛请我吃饭，由皇冠的几位同仁作陪，我到了以后，平鑫涛说：“有一位作家很仰慕李先生，我也请她来了，就是三毛。”于是他把三毛介绍了给我。三毛很友善，但我对她印象欠佳。三毛说她“不是个喜欢把自己落在框子里去说话的人”，我看却正好相反，我看她整天在兜她的框框，这个框框就是她那个一再重复的爱情故事，其中有白虎星式的克夫、白云乡式的逃世、白血病式的国际路线，和白开水式的泛滥感情。如果三毛是个美人，也许她可以以不断的风流余韵传世，因为这算是美人的特权，但三毛显然不是，所以，她的“美丽的”爱情故事，是她真人不胜负荷的，她的荷西也不胜负荷，所以一命归西了事。我想，造型和干哪一行还是很重要的。当年林青霞同我晚餐，餐后在我家谈了十小时，我仔细看了她，我看她就是明星造型，正好干明星；美丽岛军法大审时，陈菊在电视里出现肉身，面目坚毅肃杀，我仔细看了她，我看她就是政治造型，正好搞政治。如果林妹妹搞政治，陈姐姐干明星，我想就说不出来的不对劲。三毛现在整天以“悲泣的爱神”来来去去，我总觉得造型不对劲，她年纪越大，越不对劲。有一次我在远东百货公司看到她以十七岁的发型、七岁的娃娃装出现，我真忍不住笑。这种忍不住笑，只有看到沈剑虹戴假发时，才能比拟。我总觉得，三毛其实是琼瑶的一个变种。琼瑶的主题是花草月亮淡淡的哀愁，三毛则是花草月亮淡淡的哀愁之外，又加上一大把黄沙。而三毛的毛病，就出在这大把黄沙上。三毛的黄沙里有所谓“燃烧是我不灭的爱”，她跟我说：她去非洲沙漠，是要帮助那些黄沙中的黑人，他们需要她的帮助。她是基督徒，她佩服去非洲的史怀哲（Schweitzer），所以，她也去非洲了。我说：“你说你帮助黄沙中的黑人，你为什么不帮助黑暗中的黄人？你自己的同胞，更需要你的帮助啊！舍近而求远，去亲而就疏，这可有点不对劲吧？并且，史怀哲不会又帮助黑人、又在加那利群岛留下别墅和‘外汇存底’吧？你怎么解释你的财产呢？”三毛听了我的话，有点窘，她答复不出来。她当然答复不出来，为什么？因为三毛所谓帮助黄沙中的黑人，其实是一种“秀”，其性质与影歌星等慈善演唱并无不同，他们作“秀”的成分大于一切，你绝不能认真。比如说，你真的信三毛是基督徒吗？她在关庙下跪求签，这是哪一门子的基督徒呢？她迷信星相命运之学，这又是哪一门子的基督徒呢？……所以，三毛的言行，无非白虎星式的克夫、白云乡式的逃世、白血病式的国际路线，和白开水式的泛滥感情而已。她是伪善的，这种伪善，自成一家，可叫做“三毛式伪善”。如果这种伪善只限于在台湾发展，倒也罢了，问题是它流窜到大陆，一切弄乱了。因为出现了真假三毛。
026.东北人的苦难见证.txt	5	9-9	25	故事|小故事|最后|结果|说|哭|笑|逃|龙应台|蒋介石|国民党|共产党|一九四九|逃难	□是，他爸爸吴广怀是国民党国大代表，是我父亲学生。东北人见证中国本土上的苦难，早在1904年日俄战争就开始了。两个王八蛋国家打仗，战场竟在中国领土上，多可恶啊。到了1931年“九一八事变”，东北人更首当其冲，开始抗日。可是，蒋介石的国民党的历史不这么算，抗战竟从“七七事变”算起，“九一八事变”后的六年都不算了。尤其在蒋介石的国民党媚日的时候，不准你抗日。我爸爸因为抗日抗得早、抗得拍子与国民党不对，自然有被国民党诬为“汉奸”的危险。我爸爸的遭遇，画出了一幅謔画，就是：作为一个国民党统治下的中国人，不爱国当然不对，但是爱国不爱在嘴上，而要言行合一，可不是好玩的。——要爱国，必须得跟着国民党永远在一起才行，你要单独去爱，不论你多少功劳、做多少“地下工作”，结果不用“汉奸”办你，就是党恩浩荡了。我爸爸痛苦的得到这一教训。因此，在日本走了、共产党来了的时候，他学乖了，他知道这回一定得抓住国民党、跟国民党永不分离才成，再被国民党所弃、再做国民党的“弃民”，国民党再回来，他一定又是“汉奸”了。于是，他决心抢登巴士，先期逃难，追随国民党到天涯、到海角，再也不分离。最后，天外有天、海外有海，他跟到了台湾，就这样的，我们全家到了台湾。那时我十四岁，无决定之权，一切爸爸决定。我爸爸来台湾的目的，的确没别人那么雄壮，一切救国救民反共抗俄的大道理，他全都跟不上。他来台湾，只是怕国民党又说他是“汉奸”而已。我爸爸的“汉奸恐惧症”，是我们一家来台湾的根本原因：别人都是怕共产党而来台湾，我们却是怕国民党而来台湾，天下令人哭笑不得之事，无过于此了。龙应台侈谈《大江大海一九四九》，好像遍访民隐，她不该不访到这个有特色的故事吧？漏掉这种有特色的小故事，又何以真知“1949”呢？
131.王尚义与王光临.txt	2	3-3	23	有一次|问|答|说|他说|笑|逃|杀|死|王尚义|国民党|共产党	□王尚义跟我太熟了吧，他绝没想到，在他死后，竟成了我女儿李文博士的舅舅。王尚义台大一毕业即死去，肝癌死的，在台大医院，死在我眼前，那本《野鸽子的黄昏》还是他死后我找出版社帮他印的。不止一次，王尚义透露他向往的是大陆与祖国，这说明了一切。他糊里糊涂流亡到台湾来，但他清清醒醒的憧憬台湾以外的地方。而他的爸爸王光临先生，却是先期逃到台湾的国民党河南省高干，到了台湾，沦落到做南港成德国民小学校长，但是煞气不脱，有一次为了李文的问题，与我在电话中吵起来，他的直接反应就是直斥我是共产党。他死前几年，海峡两岸通了，可以到家乡走走，别人都回去了，他不肯回去，人家告诉他：“共产党已经宣布既往不咎了，你怕什么？共产党还会杀你吗？”他回答得很凄楚，他说：“共产党不会杀我，但被我杀掉的那么多人，难免有家属找我算帐。”他的漂亮女儿王尚勤，就是李文的母亲告诉我：她的舅舅，也就是王光临的小舅子，都被姐夫当共产党给杀了。我笑着说：“那次电话里吵架，我就被王光临当作共产党过，幸亏台湾不是河南。”王尚勤听了大笑。
137.被骗了的张乐平.txt	3	5-5	23	故事|当年|后来|说|笑|逃|死|求|张乐平|三毛|一九四九|逃难	□那才是“大江大海一九四九”年代的真正凄惨故事。“1949”，难民们在大江南北逃难，许多难童在逃难中丢掉了，流落在都市街头。当时漫画家张乐平以难童为主题，画了《三毛流浪记》，引起大众的重视。宋庆龄在4月4日以“中国福利基金会”名义，为张乐平举行“三毛原作义卖展览会”，又举办“三毛乐园会”，以收入所得，救济难童。三十三年后，我在1982年4月1日出版的《李敖千秋评论丛书》第八期封面，刊出了一幅姐弟难童图片。图片中一个穿破烂黑衣的小女孩，背上背着弟弟，坐在马路边睡觉，两脚赤足，左手下垂，右手拿着一个破洋铁罐，画面凄楚感人。这张照片，是当时在上海的外国记者拍摄到的，收入美国出版的《1949年年刊》（YEAR 1949 SECOND ANNUAL EDITION）。不料出版后，警备总部管制出版的曹建中处长却大表不满，他警告四季出版公司的叶圣康说：“这种照片，都是李敖捏造的，用来丑化政府！你们替他发行，可得负责任！”叶圣康转告我后，我哈哈大笑，我说：“这些无知的武人，根本不要理他，叫他来找我好了。”后来此事不了了之，我却有感于台湾朝野对人间苦难的陌生，才有这种“误会”。警总的曹处长固然不知人间苦难，但是以关切人间苦难为职志的所谓台湾作家们，又知道多少呢？最谑画的对比是，居然有人以三毛为笔名，整天做的，竟是带领病态的群众，走入逃避现实、风花雪月的世界，这对苦难的真三毛说来，实在是一种侮辱。当年的真三毛，他们是战乱中的孤儿，流亡到十里洋场、流浪在十字街头、靠着一个破洋铁罐——他们唯一的家当，在垃圾堆里捡吃的，或乞讨、或擦皮鞋、或推车子、或偷东西……不管是怎么辛苦、怎么奋斗、怎么讨生活，结局却大都是路毙街头。三毛的作者张乐平，在1947年年初的一个刮北风晚上，从外归来，路过一个弄堂口，看到三个难童，紧紧的围在一起，中间有一堆小火，他们靠着这点火，取暖求生。张乐平在他们附近站了许久，心里很难过，但却力不从心，没办法帮助他们。回家以后，躺在床上不能入睡，心想这三个难童，究竟能不能熬过这一夜呢？第二天清早，他又走过那弄堂，可是三个难童中，两个已经冻死了。张乐平说：“我想到这样冻死的儿童何止千万，我作为一个漫画工作者，决心用我的画笔，向不合理的社会制度提出严厉的控诉。”自此以后，他从1935年就已定型的三毛画像，就改成了难童的面貌。他的三毛漫画，感动了千千万万的中国人，也包括了十三四岁的我。可是，谁能想到，台湾的三毛，竟摇身一变，到大陆找到行年八十岁的张乐平，拜起干爹来，张乐平老糊涂了，竟也认起亲来了，于是，真假三毛合流了，真三毛的那种悲悯、讽世、与抗议的精神，湮没不彰；托名三毛的媚世作品，反倒泛滥于市，这就是我所说的，一切弄乱了，这些假货多可恶啊。
143.“我们还不如军阀”.txt	5	9-9	23	有一次|当年|问|说|回忆|逃|死|请|请我吃饭|龙应台|蒋介石|蒋经国|国民党|一九四九	□当然有问题。因为“失败者”太容易掩饰他的失败原因了。相反的，他们还要“好汉要提当年勇”呢。当然，“失败者”中，也有不堪回首的，他们纵使回忆，也逃避什么。“一九四九”有诸多的面向和心态，值得探讨。龙应台一再向“失败者”致敬，但“失败者”本人呢？他们反省了吗？这是一个耐人寻味的问题。不要抬出宪兵连长那号人物吧，找个大号的，齐世英怎么样？他是国民党党务上的东北王呢，立法院CC派的领袖，实际上，他是陈立夫的代理人。他真是一个样板人物，被蒋介石开除了党籍，但又有了转折。蒋介石一死，蒋经国就送还党证，齐世英又是国民党了。他们毕竟是一家人。齐世英曾不止一次来我家，请我吃饭。有一次，他在双城街请我吃牛排，感慨的说：“当年我们革命，为了打倒军阀，可是今天啊，我们还不如军阀。”我听了他这句话，心头一震！多么坦白的告白啊。可是，在《齐世英先生访问记录》里，我们却看不到这种心坎里的真话了。
040.龙应台只见一彭.txt	7	13-13	21	有一个|说|杀|死|强奸|求|彭明敏|国民党|外省人|二二八	□她自己太不用功，才会上当；彭明敏他们太偏执，才会只看单方面的历史。其实这是一种“弱者的偏执狂”。谈“二二八”，众口一声，把悲剧定位在外省人的不是上，说破了，这就是“弱者的偏执狂”。人一变成“偏执狂”，则虽遭苦难，不能反省。“二二八”事件，在本省人眼中，百分之百全怪外省人。但我怀疑，到底有没有一个小数点——百分之百怪外省人中的一个小数点，本省人也不妨反省反省呢？例如事件之起，是缉私人员惊慌中开枪误杀了一名看热闹者，这种缉私人员应予严办，是对的，但群众包围警察局，要求立刻“就地正法”，这种不懂事的要求，任何官员都做不到。做不到就起暴动，把外省人中的无辜者予以打、砸、抢、杀，妇女予以强奸、婴儿予以摔死，这种行为，不该反省反省吗？由这种暴民滥杀行为招致来的暴君派部队登陆滥杀，能够百分之百全怪外省人吗？我绝对不是说国民党政府惹起民变、处理民变是对的，但相对方面，本省人的肆虐与招祸反应，也不无反省之处。但是，直到六十四年后的今天，又有几位反省了呢？
060.省得了省吗？.txt	3	5-5	21	有一个|有一天|当年|后来|结果|说|他说|死|蒋介石|共产党	□蒋介石流亡到小岛上，一开始是中央政府架构的流亡，后来“一年准备、两年反攻、三年扫荡、五年成功”的吹牛都变成吹泡泡了，蒋介石有一天自己也撑不住了，在流亡到小岛十七年后，蒋介石在1966年12月19日有了在台北阳明山做“行政革新的要旨”秘密谈话，透露他早就有一个“直觉的想法”，他说：“既然政府暂时只辖有台湾一省和澎湖、金门、马祖以及东沙、南沙群岛等几百个岛屿，虽说在制度上要有中央和地方的区别，但是在工作业务上，实可以化繁为简。我当时的意思，行政院长就可以兼任台湾省政府的主席，内政、财政、教育、经济各部部长，也就可以兼任台湾省政府的民政、财政、教育、建设各厅厅长，如此中央和地方业务，统一集中，其指挥运用或将更为灵活有效，这是我在当时对于行政组织改革的构想。”蒋介石这一构想倒是承认现实的，但是，他为什么不这样做呢？他的理由是：“由于形势改变，对外关系发展以后，自不能这样来做，无论对外即使对敌也不能这样来做。”蒋介石透露了他不能这样务实的原因，说穿了，是他还需要所谓“中华民国”的大架构，有所谓一国在手的大戏台，比较好演戏，虽然台下只有一群狗，没有听众了。蒋介石死后，政权延续到儿子的手里；儿子死了，又延续到儿子的奴才手里。蒋介石用人，把人才当奴才；他儿子用人，把奴才当人才，结果第一号大奴才被当成人才使唤，一旦沐猴而冠，竟嫡传起蒋介石当年那中央地方政府二合一论，不过，这奴才更彻底，他拦腰一斩，从下面切断了，蒋介石希望行政院长兼台湾省主席，这回可真做到了，因为根本连省都废了，根本没有了台湾省主席！整个所谓“中华民国”，变成了头大脚轻的怪物。当时废省的第一大理由是说，你共产党不是说台湾是你的一个省吗？好了，我们今天把省给废了，没有省了，看你怎么说是你的一个省！多妙啊，这不是掩耳盗铃吗？你说没有省了，共产党就会跟着你一起废掉吗？
062.龙应台的柏杨路线.txt	3	5-5	20	例子|后来|说|写道|骂|杀|求|蒋介石|国民党	□她走柏杨路线，也骂起中国人来。她的招牌文章是《中国人，你为什么不生气》，所举的的例子都是日常生活的鸡毛蒜皮。她谴责商人偷杀老虎，但却绝口不提“苛政猛於虎”；她要求立法保护老虎，但却绝口不提保护“法中之法”的宪法，她写道：“我爱台湾，无可救药的爱着这片我痛恨的土地”，但她不敢恨土地上的蒋介石，就把中国人给品头论足个够。一如柏杨的怯懦。柏杨明明想骂关了他的元凶，但他不敢明指，就拖全体中国人下水，都谥以“丑陋的中国人”了。有一点，要特别一提的是，柏杨在国民党“中国青年反共救国团”伪组织里做大将，是非常“得君行道”的显赫人物：在横贯公路完成时，国民党“层峰”“巡视”，他会“随侍”在侧，为“横贯公路十二景”题名，他的显赫，由此可见；他的“文学侍从之臣”地位，也由此可证！后来，因为办救国团活动，假公济私，诱奸女学生，罢官下台。严格说来，柏杨还没做到国民党伪政府中的官，只做到党官团官。
126.又一部秘密稿本.txt	5	9-9	20	故事|最后|问|答|说|笑|骂|死|请	□据谷正文将军告诉我，发表后，乔家才的老朋友们假惺惺的说：“你怎么被李敖利用了啊？”乔家才假惺惺的答道：“李敖不够朋友呀！”我听了大笑。谷正文告诉我：乔家才坐牢后期，毛人凤以关人无名，有缓和之意。毛人凤告诉谷正文：如果你这位山西老乡答应出狱后不追究不骂我毛人凤，我就放他出来。可是，当谷正文去跟乔家才商量的时候，这个硬汉一口拒绝。谷正文说：“最后毛人凤死了，我们请他出狱，他还发脾气不出来呢！我们没办法，只好把他抬了出来。”谷正文一边说一边笑。乔家才是硬汉，但他的硬度，在《乔家才入狱记》发表时无以自解，就假装怪起李敖来了。这一心态，使我想起小女儿“李谌怪菲佣”故事。李谌没做功课在看电视，我问：“你为什么看起电视来了？”她生气说：“我们家的菲佣好坏啊，她老是把电视打开。”
005.龙应台的不幸.txt	12	23-23	19	故事|最后|结果|说|他说|回忆|笑|死|龙应台|蒋介石	他说上联写的是他，下联写的是蒋介石，我在旁边一直笑。心想此公文章太闷了，岂能觉天下？周德伟死后，他的小儿子周渝还把他老爸的回忆录影本送给我，内容坦诚精采。周渝五十岁生日，我约他单独吃了一次饭，那是我一生最后一次参与朋友的婚丧喜庆。我还挖苦周渝说：“你本来可以雄心大志做番事业的，结果紫藤庐的收入，使你安做小富翁了，你躭误了一个天才洋溢的周渝。”周渝至今叫我“李哥”，他不以为忤。我在狱中受难时，周渝关切我，侠风感人。总之，紫藤庐的前身绝对没那么伟大，说周德伟、殷海光在那儿启蒙什么自由主义，都是美丽的神话。至多周德伟的维也纳学派视野，影响到殷海光，但周德伟绝对浪费了自己。紫藤庐的故事，告诉我们：自由主义者绝对不能从政，政治人物周德伟躭误了大思想家周德伟。周德伟的长子周弘是我一生交过的最宽厚的朋友，我至今怀念他。至于紫藤庐这房子，龙应台说“紫藤花闲闲地开着，它不急，它太清楚这个城市的身世”。当然，它更清楚自己的身世。紫藤庐有知，会为之窃笑。
