id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
XN17001,虚拟的十七岁,xuni_de_shiqisui,老富翁给器官祝寿,XN17_002_38,002.与阴茎对话.txt,75-75,179,讲个笑话给你吧。一个老富翁，活到一百岁，过生日那天，他拿起酒杯，庆祝自己，但方式很怪，他对他身体每个器官，都举杯个别点名庆祝。他对眼睛说：‘眼睛啊、眼睛啊，生日快乐，你一百岁了。’他对鼻子说：‘鼻子啊、鼻子啊，生日快乐，你一百岁了。’他对嘴巴说：‘嘴巴啊、嘴巴啊，生日快乐，你一百岁了。’依此类推。最后，他把头一低，对‘形而下’说：‘你要活着，也一百岁了。’
XN17002,虚拟的十七岁,xuni_de_shiqisui,庄子说道在屎溺,XN17_003_5,003.道在屎溺.txt,9-9,119,东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。
XN17003,虚拟的十七岁,xuni_de_shiqisui,赵州和文远比下贱,XN17_003_13,003.道在屎溺.txt,25-25,192,佛门中有‘赵州从稔禅师’，为人非常风趣，被称‘赵州古佛’，八十岁还做行脚僧。有一次对他弟子文远禅师说：‘我们来打个赌，谁能把自己比喻做最下贱的东西，谁就赢。输的就要吃一块饼。’文远禅师说：‘好吧！你请说吧！’赵州禅师说：‘我是一头驴。’文远接着说：‘我是驴屁股。’赵州说：‘我是屁股中的大便。’文远说：‘我是大便里的蛆。’赵州反问说：‘你在大便里干什么？’文远说：‘我在避暑乘凉啊！’
XN17004,虚拟的十七岁,xuni_de_shiqisui,赵州小便悟道,XN17_003_13,003.道在屎溺.txt,25-25,123,这位赵州禅师，还有一个跟尿有关的故事。有一次，有人问他：‘怎样参禅，才能悟道？’他听了，站起来说：‘我要去厕所小便。’然后走了两步，停下来，又说道：‘你看这么一点小事，也得我自己去。’赵州禅师这番意思是：求法也是如此，如同小便。别人何尝帮得上忙？
XN17005,虚拟的十七岁,xuni_de_shiqisui,张三喝水李四撒尿,XN17_003_13,003.道在屎溺.txt,25-25,46,不过中国有个笑话是，张三喝水，可是李四撒尿，李四替张三小便，可见笑话中小便是可以找人代替的。
XN17006,虚拟的十七岁,xuni_de_shiqisui,法国富翁不求女伶的心,XN17_003_27,003.道在屎溺.txt,53-53,77,用个法国笑话吧。一个法国的老富翁，向一位名女伶求婚。女伶说：“对不起，我的心已经给了别人了。”老富翁一鞠躬，非常礼貌的说：“小姐，我的希望并没有那么高。”
XN17007,虚拟的十七岁,xuni_de_shiqisui,小女孩丢十块钱还想二十块,XN17_005_62,005.魏院长.txt,123-123,132,让我告诉你小女孩与十块钱的故事。我走在路上，看到一个小女孩在哭，我问你哭什么？她说她有十块钱铜板，掉在马路边水沟里了、拿不出来了。我于是掏出十块钱给她，说别哭了。她收下十块钱，不哭了，可是一下子又哭了。我问你有了十块钱，还哭什么？她说如果那十块不丢，就有二十块了？
XN17008,虚拟的十七岁,xuni_de_shiqisui,达尔润普寻找南大陆,XN17_007_25,007.神医自杀了.txt,49-49,153,18世纪到19世纪的英国地理学家、也是水文专家Alexander Dalrymple（达尔润普），他推测太平洋上有一块面积大、人口多的大陆，他定名为‘南大陆’（The Great South Land），他著书立说，书也畅销。后来Capt. James Cook（库克）两次出海去找，证明根本没有这块大陆。
XN17009,虚拟的十七岁,xuni_de_shiqisui,恶狗守骨头,XN17_008_30,008.梦里猎巫.txt,59-59,130,一条恶狗，找到一根骨头，坐在墙脚，啃着啃着。你走过去，它忽然发出喉音，两眼圆睁，翻开嘴唇，做警告状，意思很明显：怕你抢它的骨头。你无法告诉它你不会抢它骨头，你也志不在骨头，你是两条腿的，根本也不会跟它争什么骨头。但是，没有办法，你知道，它不知道，因为它四条腿。
XN17010,虚拟的十七岁,xuni_de_shiqisui,死囚让皇帝的马飞起来,XN17_009_42,009.出院日.txt,83-83,229,巴鲁克说过一个故事。从前有个囚犯，被皇帝判了死刑。绑赴刑场前，他跟皇帝说：‘皇上啊，我知道你爱你那匹马，给我一年的时间，我会让你心爱的马飞起来。’皇帝说：‘好，现在不杀你了，让你多活一年，研究如何让我心爱的马飞起来。’这人死里逃生后，他的好朋友问他：‘你有办法使马飞起来吗？’他说：‘我当然没有，但我有一年时间。一年时间多么重要，一年以内，可以发生三个可能：第一，可能皇上死了，就没人杀我了。第二，可能我死了，杀我也杀不到了。第三，可能那匹马真的飞起来了。’
