file	paragraph	score	markers	text
024.给尚勤信中的几段.txt	9	12	传说|结果	就我这方面而言，前些日子传说我的《教育与脸谱》要被禁。最近几天，为了文星书店要参加香港的书展，内政部及其他衙门居然禁止我的书出口，还有李声庭、陆啸钊的书，也在被禁止出口之列，还有《文星》杂志，也全部被禁止出口。后经老萧和我以全部不参加为抗议，今天内政部出版事业管理处熊处长才打电话表示，与国民党中央党部等会商结果，完全让步，完全许出口了。（其实海外读者与书店函购我的书，过去已不知有过多少了。这次忽然被禁止大批出口，实在莫名其妙！经我们抗议的结果，大概“他们”想通了，大概“他们”发现这些书既然可在台湾地区流行，为什么不能到海外走走呢？即使有“问题”，也正好用来表示“他们”容忍别人的自由言论呀！）
054.论文化基金寄汤元吉.txt	17	11	结果|芝加哥大学|哈伯|洛氏|蔡元培|爱因斯坦	二、在“设置特别讲座方面”，在办法第四条中“特聘国内外知名学者设置讲座”一点上，也该采取“重金精选”的方式。你9号跟我提到的谋聘国外诺贝尔奖金得主来讲学的办法极好，如此最有鼓舞群众的作用。而此似非“重金精选”不足为功。提到“重金精选”，你记得1891年洛氏基金会创办芝加哥大学的事吗？这个基金会拿出两千万美金给第一任校长哈伯（W. R. Harper），哈伯周游美国和欧洲，用当时全世界最高的教授年薪（U. S. $ 7500.00），到处“挖”人，结果芝加哥大学一开办，立刻就是全世界第一流的大学，此皆“重金精选”之效也！中华民国10至20年代的洋人讲学风（如杜威、罗素等等），鼓荡风潮，亦为效奇大。当时主其事者主要是蔡元培，他的办法是先“精选”，后筹“重金”（爱因斯坦去日本讲学那一次，蔡元培计划请这老犹太顺便到中国来一趟，可是因为“重金”不足，竟未成事实，此事曾令蔡元培极度不快，颇不满意于爱氏）。以上诸往例，很可效法，其基本施行诀窍，就是精重于多、质重于量。因此之故，徐氏学术讲座办法中倒也不必硬性规定“聘期初次为二年”等字样，只要高手肯来亮相，即使只来二个月，我们也可满足，也可不虚此计划了！
021.致李声庭论石达开诗是伪作.txt	6	10	伪作|后来|高旭|石达开|梁启超	尊引石达开的诗，原是所谓《答曾国藩》五首，最早见于梁启超的《饮冰室诗话》，后来高旭辑刊石达开遗诗二十五首（残山剩水楼刊本），一个晚上伪作了二十多首，此事发生在民国前六年。
048.致王崇五论反以暴易暴.txt	16	10	寓言|浑沌	我们看到袁世凯“既除”后的“群盗起”的场面，我们不得不惊讶这真好像是一首“预言诗”！如今，我们对“功臣”领教了一个够，对古人“圣人不死，大盗不止”的哲学，也憧憬了不少。今晚我这些谈话，乃是一个半夜三更不睡觉的自诩“五十年后历史家”的长久深思的痛苦结论，这个结论带我想起中国寓言中的那个“浑沌之死”——解救“浑沌”的人，竟是最后害了他的人！
021.致李声庭论石达开诗是伪作.txt	7	8	伪作|后来|高旭|石达开|梁启超	最早指出流传的石达开的诗是伪作的人是罗尔纲，后来简又文采纳了他的意见，在《大风旬刊》上发表《太平天国文献赝品考》，接着柳亚子来了两篇题跋，指出梁启超与高旭是作伪诗的“真凶”。
024.给尚勤信中的几段.txt	11	8	蔡元培	今天上午法学院四个社团请李声庭讲“民主与自由”，他们特别请了“两个特别的客人”——殷海光和李敖，并请我们分别发言。我打趣他们一阵，并叙述蔡元培的不合作主义，主张今日知识分子可提倡不合作主义，用思想教育方法，普遍展开民主自由思想，但我不赞同以暴易暴的方式（所谓革命、暴动一类的方式）。殷海光讲话时，主张青年节当由3月29日改为5月4日（其实3月29日原是阴历，没换算过来，就硬当阳历过了，那天的阳历是4月27日，跟5月4日很近了；10月10日是换算过来的节日，那天的阴历是8月19日。殷海光当然搞不清这些）。李声庭、殷海光和我讲话后，大家纷纷发言，提问题，极踊跃。会后同学们请我们三人于渝园。
027.收“毒品”谢东方望.txt	6	8	结果|歌德|托尔斯泰	但是歌德还算是好的，至少他不用道德的标准去论断抽烟。另一方面，托尔斯泰就不同了，这老头子完全以道德的观念来禁绝烟草，结果“不良的习惯”虽然戒了，可是有客人来的时候，他却忍不住要在旁边追吸客人吐出的余烟！
021.致李声庭论石达开诗是伪作.txt	5	7	伪作|高旭|石达开|梁启超	原稿中扉页“我志未酬人亦苦，东南到处有啼痕——石达开诗”等字拟删去。盖今传石达开诗多是伪诗，都是梁启超与高旭（天梅）伪作的，是他们为了排满而伪作的。
021.致李声庭论石达开诗是伪作.txt	9	7	伪作|石达开	石达开诗的疑案，经一、罗尔纲指出是伪作，再经二、柳亚子道出伪作者。可算是历史定案了，故不宜再明引是石达开的诗。
021.致李声庭论石达开诗是伪作.txt	10	7	史事一则	专陈史事一则，聊申谢意。
