file	paragraph	line_start	line_end	char_count	score	snippet
001.19850412《民主天地周刊》专访李敖.txt	7	13	13	110	3	■这不太适合，我太老了，五十岁了不适合谈这个。你想想看，以琼瑶为例，我觉得她的年龄也已经不适合写爱情小说了。琼瑶在家里跟她先生平鑫涛讲话，她喊他“涛涛”，她跟他说“涛涛，我很忧郁”。你们不觉得她的年龄不适合讲这种话了吗？
001.19850412《民主天地周刊》专访李敖.txt	11	21	21	429	6	好了，琼瑶、三毛、陈香梅这三个女人谈过了。至于自己的女人，我都写在我的自传、年表里面。所有的女人里面，除了胡茵梦以外都很愉快。这次我与萧孟能的官司出庭（和陈启礼开庭同一天），胡茵梦还跟我聊天，她说“李敖，你看你老了”，我说“真的，我跟你一样老了”。林青霞比胡茵梦小一岁，胡茵梦三十三岁。林青霞的问题也很麻烦，她有婚姻恐惧症，不敢结婚，她们那一行的不管怎么样，最...
001.19850412《民主天地周刊》专访李敖.txt	12	23	23	309	3	老康这次的茶会，就像湖北人讲的“牵骆驼”。湖北人卖草药，牵了一匹骆驼。湖北人没见过骆驼，看到卖草药的叫它坐就坐，叫它站就站，叫它跪就跪，很惊讶，对这人能把这么大的动物驯服感到很佩服，连带对他卖的药也信了。这次老康“牵骆驼”，牵的是戴国煇。他自己一个人开茶会，太冒险了，没有人来怎么办？就与戴国煇演讲会，合并举行，戴国煇变成老康的骆驼。老康这次并不能证明他没放水...
001.19850412《民主天地周刊》专访李敖.txt	30	59	59	480	5	林正杰找了很多鸡毛当令箭。拿了一手假牌，就以为是我的“秘密”。其实我的“秘密”早给国民党造谣造光了，还有什么“秘密”在他手里？什么“李敖与郁慕明”；难道我跟郁慕明同性恋吗？什么秘密都没有！林正杰不了解真相。为了官司的问题，郁慕明和赵宁请我吃饭，我说道：“第一优先的条件就是：你们退出国民党。”你们退出，我就不打官司了，其他条件都没有。我还跟郁慕明讲，你们怕我上...
001.19850412《民主天地周刊》专访李敖.txt	32	63	63	58	3	我写文章“我为什么支持王八蛋”，目的就是要打龟儿子。可是我知道，王八蛋目前的力量打不倒龟儿子，只是尽量维持平衡而已。
001.19850412《民主天地周刊》专访李敖.txt	42	83	83	160	4	■这是合并的，省籍是原因之一。省籍牵涉到统派、独派。我有没有呢？我也有。我举个例子，有一天晚上，林永丰带我到新店后面的臭水塘去看，我说“这有什么好看？你看了那么多外国的名山大川好湖，为什么还看这臭水塘？”林永丰说“这是我家，在台湾要看，只有这个可看。”可是我在台湾住了三十多年，我都没有这种感觉，我都没有林永丰这种感觉。
001.19850412《民主天地周刊》专访李敖.txt	49	97	97	195	4	■他们是既成的事实。如果要改变这个事实，需要多少代价？多少千万人头落地？台湾也是，有许多制度都比现状好，但改变现状，我们就要准备付出代价。这必须考虑到。台湾的在野势力很弱，没有吏治的训练，真把天下给他们，他们治不好。我写文章“我为什么支持王八蛋”，目的就是要打龟儿子，国民党就是龟儿子。可是我知道，王八蛋目前的力量打不倒龟儿子，只是尽量维持平衡而已；目前还不够...
001.19850412《民主天地周刊》专访李敖.txt	50	99	99	253	5	我们打倒康宁祥，我们不是打康宁祥本人，而是他的类型。康宁祥本人可能还不完全适合这个类型。就好像过去，大家比赛谁最像卓别林，卓别林自己也去比赛，结果他只考第三。林正杰现在也是个类型。他是眷区出身、外省人，他运气好，抓人时他去当兵，一竞选就当上议员。办杂志又很快赚大钱，人家有政治暴发户、有经济暴发户，他却是“政治经济”双料暴发户。这样很容易使器小易盈的人现原形、...
001.19850412《民主天地周刊》专访李敖.txt	55	109	109	144	3	■我的看法和你相反。我希望个人都能强大起来，一个人强大后，别人会来依附他。王永庆是单打独斗起来的，强大以后别人就来依附他，变成一个强有力的集团。现在党外的问题不是不能合作，而是你没有强大到别人来依附你的山头。现在大家没有政治资源，一开始结合就只能靠友情、共同的观念甚至“牌友”结合在一起。
001.19850412《民主天地周刊》专访李敖.txt	57	113	113	126	3	■我不想做“组织工作”，因为我的目的不在政治。我已经很强大了，我跟别人在一起，对我是一种浪费。当然，我很愿意帮别人的忙，可是太多的话就痛苦了。我看到晚年的胡适，家里高朋满座，他比每个人都大，可是我觉得每个人都挖走看他一段生命。他精力被消耗，不能写作了。
001.19850412《民主天地周刊》专访李敖.txt	64	127	127	298	8	第二点，我知道，想要有发言权，就要使别人注意你，就有很多不相干的事必需做。还有，你在走大路，忽然有老虎，你要打老虎，可能浪费时间，不打不行。又来只老鼠，也是不打不行，这是不可避免的。我为了控制我的发言权，为了维持我的“存在”，我必需花掉很多时间，不能做我最想做的事。我出狱三年以来，在这方面花掉太多时间。有件事，我觉得很悲哀。这回入狱，第一次放封的时候，两边楼...
001.19850412《民主天地周刊》专访李敖.txt	67	133	133	296	4	■我想写的几部书没有写完，其他也了无遗憾。我在本质上，对别人很疏离，我对人性很悲观。这跟我的遭遇有关：坐牢啊等等使我很低估人与人的关系。这让我给别人看来很无情、很无趣。我对人的关系几乎很相对，你对我好五分，我对你好六分，我对你也很难好过七分。坐牢，什么都没有了，女人跑了，朋友变了，兄弟也变了，母亲也变了，什么都变了，你发现什么都变了。你信任同志，同志也出卖你...
001.19850412《民主天地周刊》专访李敖.txt	90	179	179	154	3	■一个小团体里有不愉快是很正常的事。没有才怪呢，应该有。共产党的陈毅从苏联回到北京，日本记者问他，中国跟苏联的友谊有没有裂缝？他说“我们友谊像鸡蛋一样没有裂缝”——没有裂缝，可是很脆弱。台湾以外的政治家都有他们活生生的语言，只有台湾没有。台湾政客讲的都是没有生命的话。这个政权没有“生命”，这是国民党的悲哀。
001.19850412《民主天地周刊》专访李敖.txt	96	191	191	263	4	以前裕源轮走私案，一个警总的处长被关起来，这人叫严以勤，他跟查绥之作情报。查绥之后来把女儿嫁给他。查绥之是陈大庆的干将，查的女儿正式拜陈大庆为干爹，他成了干女婿，这层关系使他做上处长。案发后被判死刑，在狱中和我一起散步。他散步时，脚镣拖地很难过，他就用绳子提着脚镣。（陈启礼跟我讲，他以前坐牢时候，他的脚镣插着棍子，更难过。睡觉时还得双脚成大八字躺着，好像得了...
