file	paragraph	lines	score	markers	text
018.许以祺苏州访施利聆纪实.txt	5	9-9	25	有一个|后来|最后|问|答|说|他说|哭|杀|死|请|打电话|宋美龄|共产党	他也没有交过女朋友，介绍了也回绝，我们给他介绍了两个，我见过其中一个是王克敏的六女儿，那个时候是要相亲的，我们夫妻俩介绍在现在的陕西南路，那时候是西藏路菲达，是最有名的吃咖啡的地方，那天他来的时候，穿了他老子的一件披风（斗篷），以后拿了相片，这位六小姐长得不错，就是牙不好，皮肤粗一点，相片拿去了半年没有信息，那女方不答应，王克敏过继我施姐夫的老太太，是世交，他说若没回音，把相片还回来，不可以拿了不还，我同纬国的妈讲，怎么没消息，半年了，我们做介绍的很难为情，他到底愿不愿意，六小姐是很漂亮的，他妈妈说“国”（但发音是‘过’，他母亲（姚太夫人）都是这样称呼他的）。你到底要不要？金冠嫂（他们都如此称呼她）说的对，不要把照片还给别人。纬囯怎么说？他说：“你们不要这个介绍那个介绍，没有像金冠嫂那样的都不要。”施在场很难为情，他妈还说：“你讲这话，金冠嫂会生气的。”施说：可惜我没有妹妹，我的姐姐比我大十四岁。”纬国说：“谁要你们左介绍右介绍。”施说：“你有什么不满意，可以讲给我们听，我们可以想办法。”他说：“她那双手伸出来很粗的，牙齿也不好。”施说：“这两件事里牙齿不好可以装整的。”那时是在包车了，他说：“不要讲了。”后又介绍一位是陆家里做的媒，袁世凯的第二小姐嫁给薛，他有一个妹妹名叫薛欢，这不错了吧，又不行，还有一个杭州的市长周象贤的女儿，人长得不怎样出色，但很老实，不行，左不行右不行，最后他来了一句话：“除非像施一模一样的都不要。”施说这是什么话，我当时已二十二岁，脸红得要命。有时我们在家时，他来了，我问他你来干什么，他说他来看金冠，施说他在学堂还未回来，他说那我就坐一会，他坐一会儿也不讲什么就走掉，施说那时他也没这种脑子去想这种事。头一会请他吃饭，我们家有一保姆，我那时已有孩子才一岁，请他吃饭，我烧的菜，他最喜欢吃咖喱鸡、五香排骨，所有东吴的人都来吃，我同佣人搞了一桌菜，后来他们走了，保姆说（他是从北京带来的）这位蒋少爷怎么用眼抄里看人，施说：“啊！我怎么没注意。这真要死！”施也没这脑子，那时她已有男人，有孩子，不懂这些。有一回他先生回来，施已睡了，说：“嘿，你晓得吧！他们这些学生喜欢捣乱，说谁的爱人，从前不称爱人，称太太，称Wife，说谁的Wife最漂亮打一百分，蒋卿林的老婆徐诗音，这人长得有外国人的味道，但是却评你一百分，我说谁评的，我先生说，就是他（纬国）评的。”我也没放在脑子里，就“哦！”了一声，睡了。有时我睡中觉了，客厅里没炉子，就只我房间里有，老佣人上来说，你睡觉时蒋先生来过了，施说他来干什么，佣人说没什么事，佣人说要叫醒施，蒋说不要，让她睡，让她睡。这么冷的天，他照样坐在那里，坐了一会儿就走了，也不说什么。那时看电影，他妈坐当中，我坐一边，他坐另一边，那时候凭良心讲，施脑子里没有任何念头，这种脑子施不转的，那时候想法是很老式的，不像现在，左一个离婚，
010.驳蒋纬国论戴传贤.txt	5	9-9	19	故事|传说|当年|说|逃|杀|死|国民党	而今天的孝子蒋纬国，却写文章说戴传贤之死，“不是一般传说的自杀，而是心脏病突发过世的”。这是什么意思呢？依我看来，这倒不是什么为贤者讳、为尊者讳、为亲者讳，而是掩盖国民党当年的失败主义记录。因为戴传贤的自杀，正反证了逃到台湾的国民党们没有殉死的骨气。具有讽刺意味的是，蒋纬国宁肯埋没这么一个殉死的故事，也要成全别人的贪生。——有“义子”如此，此子真可谓不义矣！
019.蒋家、孙家，何处是儿家？.txt	19	37-37	18	有一个|问|答|说|他说|请|共产党	我们更要知道，总理的基本思想，渊源于中国正统的政治思想和伦理思想。总理既认定了“民生为历史的中心”，便根据这个思想，指出我国固有的“天下为公”的思想，为改造社会的基本法则与实行革命的最高理想。因为人类的生存最大保障，是在全体的生存，不在部分的或个人的发展。总理继承了中国固有的正统思想，认定利他是革命的本务，仁爱是救世的基本，利他和仁爱的极则，无过于天下为公。这张表上“民生哲学”下面这个“公”字，就是天下为公的“公”字。《礼记·礼运》篇说：“大道之行也，天下为公，选贤与能，讲信修睦。故人不独亲其亲、不独子其子，使老有所终，壮有所用，幼有所长，矜寡孤独废疾者皆有所养，男有分，女有归。货恶其弃于地也，不必藏于己；力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同。”这实在是我们中国一种最完美、最高尚的政治思想和伦理思想，总理生平遇到有什么人请他题字的时候，一提笔总是写这几句话。可以说，这几句话，就是总理在实行革命中的最高理想。唯其如此，所以他创造的三民主义，是以民生哲学为基础，是以人类全体幸福为依归，而终结理想，是“世界大同”。我记得民国十年，总理在桂林，共产党第三国际有个代表马林（瑞典人）曾经问过他：“先生的革命思想基础是什么？”总理答复他说：“中国有一个道统，尧、舜、禹、汤、文、武、周公、孔子相继不绝。我的思想基础，就是这个道统，我的革命，就是继承这个正统思想来发扬光大。”那位马林先生不明白中国政治思想的历史，自然不明白总理答语的意义，他再问总理，总理仍然是这样答复他。实则总理当时的意思就是说：三民主义是以我国固有的“天下为公”的伦理思想与政治思想做基础的。
019.蒋家、孙家，何处是儿家？.txt	7	13-13	16	有一个|问|答|说|他说	中山先生的思想，完全是中国的正统思想。就是继承尧舜以至孔孟而中绝的仁义道德的思想。在这一点，我们可以承认中山先生是二千年以来中绝的中国道德文化的复活。去年有一个俄国的革命家，去广东问先生：“你的革命思想基础是什么？”先生答复他说：“中国有一个正统的道德思想，自尧、舜、禹、汤、文、武、周公至孔子而绝。我的思想，就是继承这一个正统思想来发扬光大的。”那人不明白，再又问先生。先生仍旧把这一句话来答复。我们就这一段话，就看得出先生的抱负。同时也就可以认得清楚先生的国民革命，是立脚在中国国民文化的复兴上面。是中国国民创制力的复活，是要把中国文化之世界的价值，高调起来，为世界大同的基础。
019.蒋家、孙家，何处是儿家？.txt	13	25-25	16	有一个|问|答|说|共产党	现在国家到了这样危急的情况，我们用什么方法可以把它挽救过来，完成我们的革命，使中华民族复兴起来呢？我很简单忠实的说，只有大家相信三民主义，而且要实行三民主义，就可挽救危亡。因此，我们要问：三民主义是怎样发生出来的？它的思想之渊源以及它的根本精神是在什么地方？简单的讲一句，它的思想渊源，就是继承中国从古以来——尧、舜、禹、汤、文、武、周公、孔子一脉相承所流传下来的道统，它的根本精神，就是要用中华民族固有的精神来领导革命、复兴民族。关于这一点，在从前共产党时代，共产党必当这句话是一种封建思想，且以把总理为偶像化这点来批评我们，殊不知道共产党别有鬼胎，所最怕的就在此点。我记得总理与苏俄代表见面时，当时他第一句话，就问总理：“你的革命哲学的基础是什么？”总理回答说：“我们中国有一个传统的精神，就是尧、舜、禹、汤、文、武、周公、孔子所遗传下来的固有道统，我就是继承这尧、舜、禹、汤、文、武、周公、孔子以来的道统，这就是中国民族固有的精神。”我们政治学校的学生，是总理的信徒、是革命党的正统，我们要明白这个道理，这就是三民主义所从而发源的——三民主义即尧、舜、禹、汤、文、武、周公、孔子所流传的大道，亦就是中国政治、伦理、哲学的基础，就是要以中国固有的精神来革命、来治国家、来平天下。这样，国家一定可以治平，革命一定可以成功，中华民族也绝不至于沦亡的。所以我们最紧要的，是将中国固有的德性，即从古遗传给我们最紧要的东西，不要忘掉，我们就要继承总理所告诉我们的固有的民族精神，来挽救国家、复兴民族。
006.蒋经国奉共产党之命不做共产党.txt	21	41-41	15	有一天|忽然|问|答|说|请	日期我已忘记了，只记得在有一天的下午，为着几件非常机要的文件正赶办中，忽然奉到蒋大使的手谕，要我通知同仁等暨各位夫人于即晚在官邸晚餐，但是他未曾说明宴会的目的。按照过去的经验，不仅宴请外宾时，出席作陪的馆员，至少也在一星期前即得到通知；就是馆内的聚餐，也在早几天前就知道了。这次突如其来的宴会，大家询问我为着何事，我也无法回答。
020.论将军“私藏军火”.txt	7	13-13	15	最后|问|答|说|骂|杀|死|叛变	《史记·绛侯周勃世家》有这样一段：“居无何，条侯子为父买工官尚方，甲楣五百被可以葬者。取庸苦之，不予钱。庸知其盗买县官器，怒而上变告子，事连汙条侯。书既闻上，上下吏。吏簿责条侯，条侯不对。景帝骂之曰：‘吾不用也！ ’召诣廷尉。廷尉责曰：‘君侯欲反邪？’亚夫曰：‘臣所买器，乃葬器也，何谓反邪？ ’吏曰：‘君侯纵不反地上，即欲反地下耳！ ’吏侵之益急。初，吏捕条侯，条侯欲自杀，夫人止之，以故不得死，遂入廷尉。因不食五日，呕血而死。国除。”这段的大意是：过了不久，周亚夫将军的儿子代他父亲向专门替天子制作禁器的工官购买用来殉葬的盔甲矛楣五百件。一方面交货的期限逼得紧，一方面又赖账。工官知道他是盗买国家的禁器，一怒之下，告他叛变。这件事连累到周亚夫。汉景帝看到告发状，就交给狱吏办理。狱吏拿着簿书，在公堂上一条一条查问周亚夫罪状，周亚夫一句话也不回答。汉景帝骂周亚夫说：“我干脆不用你对簿公堂！”就命令他直接向廷尉报到，由廷尉治罪。廷尉问周亚夫说：“你想要造反吗？”周亚夫回答说：“我所买的器具乃是殉葬用的器具啊！怎说我要造反呢？”廷尉说：“你即使生前不在地上造反，死后也将在地下造反吧！”于是把他修理得更厉害。最初，狱吏捉周亚夫的时候，周亚夫就想自杀，他太太阻止了，所以没死，因此就下了廷尉治罪。他气得五天不吃饭，最后吐血而死，死后封国就给解除了。
008.蒋经国杀章亚若.txt	3	5-5	14	有一天|问|说	有一天，一位戴着墨镜的黄中美秘书与徐季元秘书来到我的办公室，黄问我是否知道章亚若在桂林的一切，我说不知。……黄首先愤怒说：“章亚若在桂林太招摇了，本来该在桂林隐藏的，不可对外，如今参加很多社交应酬，完全以专员夫人自居，这样，将妨碍经国兄的前途，委员长知道了，也是不得了的事，我为专员的政治前途着想，只有把她干掉。”徐秘书还说：“不要，经国兄和她总是夫妻一场，干掉了她，经国兄会很伤心难过的。”黄说：“经国兄的政治前途，重于一条女人的命。”徐又郑重的说：“你要三思而行。”黄以斩钉截铁的口吻说：“我会负责。”
019.蒋家、孙家，何处是儿家？.txt	16	31-31	14	有一个|问|说	但是我们还要知道，总理绝不是凭空创造出来的，这个三民主义是有所本的，其渊源所自，早在总理以前，与我中华民族之历史的生命同流发展，不过到了总理手里，才拿这个东西重新整理，构成一部完善的思想体系，就叫三民主义。这个主义虽是最新的，而其本质和基本精神之所在，却完全是由我们历史文化的正统，历数千年一直传下来的。这个意思，总理在生时已经自己说明过的，我们只要将总理对苏俄代表马林所讲几句话，复按一下，就可以明白我们总理的学问、总理的思想、总理的道德和总理的革命主义，完全继承中国五千年来历史文化的正统。当时苏俄代表问总理：“你革命的哲学基础的出发点，在什么地方？你的革命主义由什么地方发生出来的？”总理当时告诉他：“我们中国有一个立国的精神，有一个自尧、舜、禹、汤、文、武、周公、孔子数千年来历圣相传的正统思想，这个就是我们中华民族的道统；我的革命思想、革命主义，就是从这个道统遗传下来的。我现在就是要继承我们中华民族的道统，就是要继续发扬我们中华民族历代祖宗遗传下来的正统精神。”大家由总理这一段话，就可以明白我们总理的三民主义的基本精神，就是中国固有历史文化的结晶和民族美德的遗传，亦即是民族的精神和国家的灵魂之所在。现在我们革命，就是要复兴我们中国的历史文化，恢复民族固有的美德，发扬我们中华民族的灵魂！我们要救国、要实现主义，就是要恢复这个国魂！具体的讲，就是要继续发扬我们中国固有的道统！
025.蒋孝武之死的失传意义.txt	7	13-13	14	有一次|骂|杀	不过，所谓“硬汉”，也许改变中文定义，特指是他随身带枪横行吧？蒋孝武非法带枪，对人动辄以枪相向，包括对乃弟蒋孝勇在内。有一次且率身边狐群狗党包围蒋孝勇住宅，在门外大骂，开枪示威，这种硬法，大概自属“硬汉”无疑。至于派情报局加黑社会远赴美国，以暗杀手法干掉江南，大概更是“硬汉”之尤矣！
