file	paragraph	lines	score	markers	text
006.压迫自由分子的一个例.txt	6	11-11	18	故事|后来|问|答|说|请|国民党	《新月》杂志在文化思想以及争取民主自由方面也出了一点力。最初是胡适之先生写了一篇《知难行亦不易》、一篇《新文化运动与国民党》。这两篇文章，我们现在看来，大致是平实的，至少在态度方面是“善意的批评”，在文字方面也是温和的，可是那时候有一股凌厉的政风，不知什么人撰了“党外无党，党内无派”的口号，只许信仰，不许批评。胡先生说：“上帝都可以批评，为什么不可以批评一个人？”所以虽然他的许多朋友如丁彀音熊克武但懋辛都力劝他不可发表这些文章，并且进一步要当时做编辑的我来临时把稿径行抽出，胡先生还是坚决要发表。发表之后果然有了反响。我们感到切肤之痛的是《新月》被邮局扣留不得外寄，这一措施延到相当长久的时候才撤销。胡先生写信给胡展堂先生抗议，所得的回答是：“奉胡委员谕：拟请台端于〇月〇日来京到……一谈。特此奉陈，即希查照，此致胡适之先生。胡委员秘书处谨启。”这一封信，我们都看到了，都觉得这封信气派很大，相当吓人。胡先生没有去，可是此后也没有再继续发表这一类的文字，这两篇文章也不见于现行远东版《胡适文存》中。我写了一篇《论思想统一》也是主张思想自由的。这时节罗隆基自海外归来，一连串写了好几篇论人权的文章，鼓吹自由思想与个人主义，使得《新月》有了更浓厚的政治色彩，引起了更大的风波。先是以胡适先生为校长的中国公学，平静的校园里起了涟漪，由本校学生组成的党的区分部行文给本校校长，指责他应在礼堂里悬挂总理遗像，应在纪念周宣读总理遗嘱。后来中央通令全国大专学校设党义研究室，大学教职员必须研究党义。各大学都遵命成立党义研究室，里面陈列着应该陈列的书刊，有多少人进去研究虽不可考，我们几个人确是受益不少，利用这难得的机会，更进一步研读了一些不应该不读的书刊。胡先生对于人权的观念是很简单的，他的出发点只是法治精神与人道主义，并没有任何党派主张或政治意味。我记得最初触起他的有关人权问题的注意者，乃是报载华北唐山某一老百姓被地方官吏殴辱的故事，他认为这不是偶发事件，这是全国到处皆然的，他认为这种“一朝权在手，便把令来行”的态度是要不得的。我又记得，胡先生编了一本《宋人话本八种》由亚东出版，里面有一篇《海陵王无道荒淫》，巡捕房认为有伤风化，径予没收，胡先生很不谓然，特去请教在英国学过法律的郑天锡先生，知道“没收”是附带处分，如果被告没有罪刑，便不应该发生附带处分的可能，可见胡先生是非常注意法律程序的。
018.国民党的派系奇观.txt	2	3-3	18	故事|有一个|当年|问|答|说|死|国民党|共产党	1951年11月6日，国民党台湾省第一届全省代表大会的第二天，陈诚应邀做了两个小时讲话。他慨乎言之一个故事：“当大陆全部沦陷的那一年，有一个外国记者来台访问我的时候，曾经向我说过一件事：他在北平曾访问毛泽东说：国民党有五十年的悠久历史，何以在短短的一两年，一败涂地？毛泽东当时很坦白的答复云：‘国民党的失败，确非共产党兵力打败他，而是他们自己打败自己。’我很承认毛泽东的话是真的，的确，共产党并没有将我们打败，是我们自己打败自己；在大陆时，党内闹派系，互相倾轧，大家丢开主义、丢开了党，只知争权夺利，置党的利益于不顾，一切均以个人利益为出发点，组织松懈，意见分歧，党纪废弛，文官贪污，武官怕死，形成政府无能，军队士气低落，民心转变，就是这一些不景气的现象才造成我们在大陆上惨痛的失败。如今忆之尚有余悸，这都是闹派系、不团结的后果！”陈诚这段话，登在1951年11月的《中国新闻》里，标题《陈辞修痛斥派系》，我当年看了，非常醒目，因此剪下保存，直到今天。
019.张群不是政学系吗？.txt	7	13-13	18	故事|结果|逃|跑|死|求|国民党	远在民国二年，国民党讨袁之役失败后，党人亡命海外，以日本为最多，孙中山、黄克强两先生是领导人，进行革命倒袁，不遗余力。到民国四年日本向中国提出所谓廿一条要求，举国振奋，黄克强主张一致对外，缓进革命，与孙公意左，乃赴美洲游历。其时，民党的军人，多惟黄的马首是瞻，他到了新大陆，留东的民党“都督”们，如李烈钧、柏文蔚、钮永建这班人，相继随往，同时，这些“都督”们的同志好友，自然亦有不少的人跟去。继而孙公改组中华革命党，凡加盟的人，都应宣誓服从领袖，并盖指模，党人不习惯这种办法的，亦多走美洲依黄氏，俨成孙黄分家之势。黄以党人来美者日多，不能不有一组合以资集中，这时第一次欧战已起，乃创设“欧事讨论会”为结合同志的机构。袁世凯帝制自为，民党兴护国之师，据广州为根据地，李烈钧等相率回国起兵，欧事讨论会的会员亦多集结西南粤桂各地，遂以羊城为该会中心所在。世凯死，又有护法之役，国会开非常会议于粵，欧事讨论会会员益增多，如伍廷芳、黄郛、李根源、杨永泰、章士钊、张群这些人都是。这时，黄克强已去世，欧战亦告终了，“欧事讨论会”名义已不适用，乃更名为“政学会”，以伍廷芳、李烈钧等为领导中心，伍兼主会中财务。政学会既随时势演进而会员日众，尤以国会议员加入的不少，分子自然复杂了。迨岑春煊、梁启超这派人，协同陆荣廷系的军事势力，排斥孙公离粤时，政学会已为若干岑系政客所把持，伍廷芳、李烈钧等老会员相率退出，政学会遂完全变成了官僚政客的政治集团，在国会与军政各方面颇占势力，这就是世人所指的政学系之来源。在伍、李这些老会员退会时，尚发生一段为世人所未明悉的政治插曲：那时的广东护法政府，曾取得英法诸国同意，每月在中国海关税盈余项下——即除还付外债的余款——拨出数十万元交粵府，这笔款由伍老博士管理的。伍氏随孙公之后离粤前夕，乃将手中握存的公款七十万元，交与当时在粵领兵的李烈钧做军费，引起政学会人士大不满，曾派章士钊做代表，跑到上海租界法院里，以卷逃公款的罪名控诉伍氏，然无结果。这段故事，是李协和先生民国十四年在张家口亲自告诉我的，当系信史。
003.反对党·党反对.txt	58	115-115	16	有一个|说|他说|国民党|台湾人	国民党大员郑心雄接任高雄市党部主委后，有一句大言壮语，他说：“党外和党内只有一个分别：有没有入党而已。”我听了他的话，忍不住要顺手牵羊一下，我忍不住要说：“党外和国民党只有一个分别：有没有不入党或脱党而已。”为什么不是这样呢？国民党在二十年前党员人数五十万，二十年后的今日党员人数两百万，不管是五十万也好，两百万也罢，比起广大的党外来，总也是少数，今天台湾人一千八百万，扣掉两百万国民党，剩下一千六百万党外，岂不是最“沛然莫之能御”的？这一千六百万人在国民党化外以后，自成一个大“党”，这不是最人同此心心同此理的杰作吗？
015.国民党有狷者吗？.txt	7	13-13	16	有一个|说|他说	中国人谈狂狷，最早是《论语》中的孔子，孔子说：“不得中行而与之，必也狂狷乎！狂者进取，狷者有所不为也。”英人理雅格（James Legge）翻译这段话，颇为细腻，他说：“Since I cannot get men pursuing the due medium, to whom I might communicate my instructions，I must find the ardent and the cautiously-decided. The ardent will advance and lay hold of truth；the cautiously-decided will keep themselves from what is wrong. ”他又注解狷字说：“狷 is explained in the dictionary by 褊急，‘ contracted and urgent’. Opposed to 狂，it would seem to denote caution, but yet not a caution which may not be combined with decision.有所不为，have what they will not do. ”这些译注，清楚的告诉我们，狷者的特色只有一个，就是深思熟虑后的有所不为。狷是狷介、是狷急、是“不能从俗”（《后汉书·范冉传》的话）。狷者并不是不做事，而是断然拒绝去做同流合污的事。
028.驳国民党检察官林天麟和国民党大员秦孝仪.txt	152	303-303	15	故事|笑话|说|笑|宋美龄|国民党	按：秦孝仪1969年4月1日，在国民党机关刊物《中央月刊》第一卷第六期上，发表文字捧《蒋夫人语粹》说：“蒋夫人言论，见诸辑录者，约一百五十余万言。从这里面，不但见到蒋夫人的智慧、慈爱、勇气、毅力以及谋国的苦心、纯诚，特别是最易予人以沉思的启示和鼓舞的感发。诚如美国一位众院领袖所说：‘蒋夫人之演讲，不独感召当代人民，亦且感及后世’，‘予信蒋夫人思想，对领导后代建立将来之世界，大有禆益’，‘蒋夫人之正言谠论，将传为不朽格言。’这二百余则语粹，就是撷取的一部分感召当代也感及后世的不朽格言。相信对于青年身心的修持、妇女精诚的激发、国人复国志事的感召，以至将来世界的建立，都大有禆益。所惜蒋夫人言论中，尚有无数感人的故事，十分深刻的隐喻，以及若干伟大的规划，却无法辑入。虽然，使贤者受持片语，亦未尝不足以‘新子之国’，顾力行如何耳。编者秦孝仪谨识。”事实上，所谓《蒋夫人语粹》，许多根本就不是蒋宋美龄的话，而是西方一般的格言，秦孝仪闹了大笑话！
008.岸信介·国民党·汉奸.txt	11	21-21	13	有一天|答|说|请	岸信介在新官僚中是一个最急进派的巨头，平常强调主张政府加紧统制经济，与少壮军人急进派，又有密切联络，意志也坚强且近乎刚愎。……当近卫进行遴选第二次内阁阁员时，近卫拟请岸信介就任商相，但岸却说：“目前时局正需要民间的高度牺牲，在此种情势之下，官僚出身者出任商相，势将引起经济界的攻击，为了独善吾身，避免攻击起见，不如在实业界方面邀请适当者出任之为愈也，唯余愿担任统制部之工作”云云。如是，谢绝了近卫的邀请。但此次东条上台时，岸却欣然出任商相，大概是因为岸信介与东条等关东军系有密切的关系，不能拒绝。他现在借着种种战争的口实，进行着他原有计划之全面的统制经济办法，在加紧实施总动员法的假面具下，一步紧一步地在剥削着日本民众的血汗，吮吸着日本民众的膏脂！然而，日本民众能永远这样让他剥皮敲骨下去吗？我们的答案是否定的。因为民脂民膏总有一天会枯竭的！
010.中常委走私套汇.txt	3	5-5	13	结果|问|答|说|笑|逃|雷震|国民党	就在《自由中国》杂志遭遇文字风波之年的元月里，尚是总统府国策顾问的雷震先生和洪兰友先生，同奉总统之命，前往香港，代表政府救助逃港的反共忠贞难胞。他们两人曾留香港工作约三个月。当他们去港时，在台的熟人好友，以彼等系去代表政府救助港九反共难胞，遂托其带点少许外币金钱，趁他们救助港九反共难胞时，顺便代赠调景岭的某些难民同乡和亲友。也有托他们顺便买点衣料等物品，返台时带回来。这些趁雷洪赴港公干之机会，顺便托他们带少许钱去接济逃到港九的亲友，或托他们在港买点东西，顺便带回来的人，之所以如此，无非是想节省点汇寄赠款的麻烦手续，和图个迅速方便。这本是人情之常，雷洪也不能拒绝。所以雷去港时，连当时总统府副局长曹圣芬先生，也托他带了封信和美金九十元，到香港后，送到曹的一位友人处，再由那友人转交给逃到香港的曹的胞弟。又像当时的司法院长王宠惠先生，私下也托雷带美金两百元，去接济其在港的儿子王大闳君。此外唐纵先生，还把在港九工作同志的费用美金五百元，也托雷带去，而省邮汇的手续。雷对这些朋友公私托带美金去港之事，自然都得答应照办。因为《自由中国》销行港九南洋地区的订户读者款项，都存在香港一家银行里，故雷便将朋友托他带去香港的美金，都留作《自由中国》的经费，他到香港后，再到《自由中国》存款的那家香港银行，提款出来，分送到托他带款的朋友的亲友处去。总算尽到“受人之托，忠人之事”了。雷洪在港工作三个多月，于4月初由港公毕返台，向介公总统和王世杰秘书长复命。两个月后，雷的《自由中国》杂志，即因一篇《政府不可诱民入罪》的社论文字，遭遇到首次大风波如上节所述。就在雷震收到国民党改造会之纪委会指责他“不该发表胡适私信有损我国在国际信誉”，并限他提出答辩之代电的同时，他又接到台湾省保安司令部的传票一张，指他被人牵连在一件“违反国家总动员法”的“涉嫌走私套汇”的案件内。但经查讯结果，全属子虚乌有之事。而如此的做法，只不过是于雷正受其杂志文字风波困扰之时，对其精神上，多增一点难堪之苦恼而已。故这只能算是当时的文字大风波中的一个小插曲，而且只是一件不值识者一笑的小闹剧而已。这个大风波中的小插曲、小闹剧，只有更加说明知识分子讲道理和争是非的不幸和辛酸！
019.张群不是政学系吗？.txt	12	23-23	13	当年|后来|结果|问|说|笑|死|国民党	政学系在国民党政权下的一切作为，应以杨永泰和张群两人为代表，黄郛在生时，只是间接的对统治者所采取的政策发生一些影响而已，在实际政治上，不若杨张二氏作用之大。杨永泰以综核之能，居“亲君”之位。自廿一年被任军事委员长行营秘书长起，他就施展其所具的一套抱负：第一，主张剿匪应侧重政治，而以军事为辅，当年所谓“三分军事，七分政治”的口号，即是他得意之作；他又条陈“握紧财权，放松军权”之策，借以安定一般非正统派出身的军人心理，教他们努力剿匪。在廿一年以前，军事上从未以“总司令”名位给过任何人，自廿一年夏开始，某路总司令的称号，随处见到，即为采纳杨氏建议而然的。第二，杨氏为申韩法家者流，平日最推崇管仲、王安石、张居正等人物，他憧憬于管子“以劳教民富，以死教民强”的理念，袭取管子闾里制、王荆公保甲法的遗规，力倡保甲制度，为清匪安民之道，当时因此曾与主持国民党务人士的地方自治主张发生莫大争执，保甲收效较速于自治，故保甲之议遂行。此为国民党之政治与党务转变的一大关键，亦为政学系对中国政治上之一大功过。第三，杨氏用世心切，政治野心自然不小，但在“以党治国”的政制下，顾忌甚多，他自己检讨其历史身世，深知不可能在党里取得地位。怎么办呢？乃运用一种“以合作事业代替党务”的妙计，先以“党员养党”的理论，说服领导人，在剿匪区域内，颁布了一种“整理党务纲要”，规定各级党部不得再向政府取用公帑，不得干涉政府行政，只负组织训练民众之责。因此，曾激起了长江流域七省市党部的公愤，通电反对，指斥杨为政学系篡党阴谋，然杨氏政治信用无恙，整理党务纲要照样执行。同时，他为着收拾民心，救济农村，在行营内创设“豫鄂皖赣四省农村金融救济处”，荐文群主其事，而以合作事业为中心业务。他认为：用金钱物资来拉拢民众而掌握之，这比以空口号的方法来号召民众的党务，绰有实效。后来的农民银行，即是这“四省农村金融救济处”的扩大化身。当年为着争夺这一金融机构的控制权位，他和主持国民党务的人，曾引起生死的斗争，杨氏坚保文群，对方则力荐赵某，结果由一个粤籍巨商郭某充任息争。第四，他在攘外必先安内的原则下，特别注意安抚旧时在地方具有力量的军人，廿四年派贺国光率参谋团入川，是他的主意，后来蒋先生在川采取扶植刘湘统一巴蜀，抑制川中群雄，放弃防区的策略，杨氏主张之力为多。至于张群，在革命阵营中的历史较杨氏悠久，对蒋先生的私人关系亦较杨氏为深，然在国民政府的政治设施上，其影响却不及杨氏远甚。这不是他不愿负责，乃由于先天的个性与才气使然。张之为人，善于交际肆应，遇事讲调和、尚妥协，而气量不广，胆量欠大，魄力嫌小。杨氏虽然亦常犯着盛气凌人的毛病，每不假人以词色，但你若为某一问题能对他抗辩不屈、理由充足时，他亦能够转怒容为笑容的说道：“吵了半天，还是你的对。”张氏则似乎连这点风格都没有，然表面却视杨氏为和易。除却个人的政治得失不在本文讨论之列外，讲到
028.驳国民党检察官林天麟和国民党大员秦孝仪.txt	163	325-325	13	故事|典故|后来|说|蒋介石	按：“毋忘在莒”运动是蒋介石生前如火如荼的一次大运动，钦定的唯一解释是指田单复国故事，蒋介石和他的文胆秦孝仪都这样解释，事实上都解释得大错特错。后来经李敖指出此乃田单复国前四百零七年鲍叔牙的典故，秦孝仪才改口说田单和鲍叔牙二个故事都是指“毋忘在莒”。其实这个典故是绝对不可以一典双用的。
