file	paragraph	lines	score	markers	text
022.国民党的酷吏.txt	3	5-5	20	故事|后来|最后|说|哭|死|枪毙	法学家们说刑是法律中的名目，却不知道刑远在法律之前就出现了，同时远在法律之外逍遥着。我们看不到殷商的法律，却看到殷商的刑罚，我们现在用的字，像“执”字、像“囚”字、像“圉”字，都是甲骨文中吓人的字。“执”是用刑具抓人，“囚”是抓到人放在牢里，“圉”是放在牢里还挂上手铐脚镣。从原始的意义来说，刑不是法律的名目，而是无法无天的名目。后来法律出来，把刑开始文明分类，摩登的分法是：一、生命刑（死刑——电椅、绞架、枪毙），二、自由刑（徒刑、拘役、假释等），三、财产刑（罚金、易服劳役、没收），四、资格刑（褫夺公权）。以上四类，在中国古代却别有分法。例如古代不欣赏自由刑，统治者认为人民犯了法，统治者不喜欢监狱伺候，而喜欢大刑伺候，大刑就是身体刑。身体刑中有一种叫“刖”刑的，也叫“剕”刑，是砍掉脚或脚趾（重刑砍右趾，轻刑砍左趾）。它的最早名字是“膑”，后来被第一任司法行政部长皋陶给改了，但还通用。不但通用，并且像黥布一样，出来一位“孙膑”。他被老同学庞涓陷害，砍去了脚，他虽然最后得到了胜利，可是却失掉了名字，大家都叫他“孙膑”，谁也不知道他本名了。古人用刖刑整人，范围也不下于“违警罚法”，偷车的，刖；跳城墙的，刖；向统治者扯谎的玥。《韩非子》记楚人和氏璧故事，和氏得到了宝玉，向统治者拍马屁，可是统治者不识货，先后被“刖其左足”又“刖其右足”。他哭的时候，人家还告诉他：“天下之刖者多矣！”可见这种整人法多普遍。《左传》《晏子春秋》《孔子家语》《说苑》《庄子》等古书里，到处都有刖的记录，写不完的。我们现在说“踊跃”，不知道“踊”字就是被刖的人所穿的鞋，普通人穿的鞋叫履，古书里有“踊贵而履贱”的话，意思是说：没脚的，比有脚的流行，法法法法法，太黑暗了！
020.国民党与老兵之四.txt	50	99-99	19	故事|问|说|杀|死|求|请|国民党	美国文学家休伍德（Robert Emmet Sherwood）写《化石森林》（The Petraified Forest），写那个穷苦文人斯魁尔（Alan Squier）甘愿请强盗杀死他，为了死后可领五千保险金，送给他心爱的女孩，帮她离开沙漠，去过好日子；法国文学家雨果（Victor Marie Hugo）写《悲惨世界》（Les Miserables），写那个砍树枝的穷苦工人尚万近（Jean Valjean），甘愿坐长年大牢，为了养育他姐姐的七个小孩，而偷一个面包，这些动人的故事，告诉我们，穷苦的人有他们的价值观念与正义。国民党的下三烂报纸《民族晚报》，恬不知耻的以《重振社会公义精神》为社论，满纸“人心大快，社会公义得到伸张”，“秘密证人制度的弹性运用，实际上也是公义精神的高度发挥”。这真是颠倒是非的谬论。因为真正的“社会公义”，是抑强扶弱，而不是欺负穷人；是哀矜勿喜，而不是人心大快；是鼓励行侠仗义，而不是收买卖友求荣。国民党《中国时报》说告密者“以无比的道德勇气，出面向警方举发”，“道德勇气发挥淋漓尽致”，也是谬论。告密者“淋漓尽致”的，可以是恐惧、可以是勇气，但绝非道德。古往今来的道德里，从来没有把卖友求荣当道德的，国民党把卖友求荣当道德，这种道德，是问题道德、是线民道德、是国民党的道德，不是人类有史以来千千万万志士仁人所献身的道德！
013.国民党怎样杀人老婆？.txt	8	15-15	18	传说|有一个|说|逃|杀|死|请	“君失柳”的柳，是指李淑一的丈夫柳直荀，当民十六“马日事变”（大约是5月21日？）以前，柳直荀是湖南省农民协会负责人，农民协会有梭镖队，任意捕杀人。长沙藏书家叶德辉的被杀，据说就是柳直荀下的手令；马日事变后，柳是到汉口“请愿”的代表之一，随即宣告失踪。在李家，也都是“守口如瓶”的不再提起柳直荀这个人；好像？李淑一曾经给“四总部”传讯过；似乎？并曾羁押过一些时日，但为时并不太久；由乃父李肖聃出面具结领回“看管”。自此，李淑一便带着一个年约三四岁（？）的女儿和一个更小的男孩子，住在长沙顺星桥的李家。柳直荀的父亲柳午亭有一个日本太太；柳直荀和他父亲合不来，因之，李淑一自嫁为柳家妇后，从未和翁姑在一起过；柳直荀的生母，似乎早已弃世？关于柳直荀的消息，传闻不一：有说他和易礼容辈潜伏在上海，有说他随同毛匪上了井冈山。民十九的七八月间（？）共匪袭破长沙时，事后，传说柳直荀是和李立三在一起？再后，听说柳到了江西的瑞金；又听说柳已经在“富田事变”里给整肃死去，但也有说不是被整掉而是在窜逃途中遭病死的。总之，柳直荀是已不再在人世间了；不过，李淑一为着怕官家追究，却不敢为其夫“发丧”，当然，更不敢服孝；寂寞岁月，凄凉身世，时李淑一只不过三十未届的少妇呀！
014.国民党与营妓.txt	269	537-537	17	有一次|问|答|求|蒋经国|国民党	国民党设立“军中乐园”的自我宣传德政之一是，他们可以防止性病，但事实上却成效不彰，此所以有尹俊的卫生论出现也。“军中乐园”虽然要求阿兵哥要戴卫生套，但是很少有人愿意。有一次，蒋经国（当时身份是国防部总政治部主任）问一个得了性病的老兵：“你为什么不戴保险套？”老兵夷然答曰：“报告蒋主任，你穿袜子洗脚吗？”蒋经国闻之语塞。
022.国民党的酷吏.txt	13	25-25	17	举例|原来|说|杀|求|国民党	孔子说：“古之知法者能省刑，本也；今之知法者不失有罪，末矣！”又说：“今之听狱者，求所以杀之；古之听狱者，求所以生之。”正因为在舍本逐末的酷吏眼中要“不失有罪”、正因为在酷吏眼中要“求所以杀之”，所以在国民党的统治下，法令愈立愈密、罪犯愈来愈多，不论是曾犯罪的、正犯罪的或将犯罪的、随时犯罪的（套句“隐藏性失业”的词儿，我把这些叫“隐藏性犯罪”，上面举例皆属之），都是古今所无的。根据国民党法务部1985年度施政计划及收支预算报告，1985年度预算将较1984年度增加十三亿八千三百余万元，这项经费一半以上将用于扩建监所及所谓改革狱政，这种大手笔，是古今所无的。国民党光在去年一年，就把十六万六千人判决了有罪，其中十一万九千多是违反“票据法”，占犯罪人数66.67%，这种大手笔，也是古今所无的。1955年联合国颁布《囚犯处遇最低基准规则》，规定每一座监狱收容的人犯以不满五百人为限。但国民党各地的监狱容量都订得奇高，像台中监狱的核定容量是一千一百五十二人，本已超过了五百人标准的两倍多，而实际收容量在1982年间已是一千九百一十二人，等于超过联合国规定标准的四倍！台湾目前有十六所监狱、十六个看守所，再加上独立的少年观护所、少年辅育院、分监、外役监等，具有监所性质的单位一共六十多个，几乎每一个监所目前都达到“过饱和”的状态；十六所监狱原来设计的容量是一万两千四百七十五人，可是截至今年春天，却收容了两万一千三百零七人，超额录取，将近一倍！《汉书·刑法志》说“囹圄成市”，比起国民党关人来，真小巫见大巫矣！国民党这种大手笔，更是古今所无的。
020.国民党与老兵之四.txt	21	41-41	16	有一个|说|骂|死|求	在云南一平浪，我看见一班办兵役的人，正在赌博。因为通货膨胀的关系，输赢的数目很大，大堆的钞票放在桌上，大家赌得兴高采烈，根本不管那些已濒于死亡的壮丁，有一个垂死的壮丁在旁边，一再要求：“给我一点水喝，我口渴啊！”办事人非但不理，反而怒声喝骂：“你滚开去，在这里闹什么？”我沿途看见的，都是这些残酷悲惨令人愤慨的事。办兵役的人这样缺乏同情心，可以说到处可见。
011.国民党细姨史.txt	72	143-143	15	故事|说|笑|国民党	孙科八十岁时候，由王云五、杨亮功、林柏寿、黄朝琴、梁寒操、端木恺署名，写《孙哲生博士八秩双庆筹募学术基金缘起》，说：“德配陈淑英夫人婉雅静穆，与先生鸿案相庄，数十年如一日，殆所谓坤德济以贞恒者也！”我看了，真忍不住笑。我只好把“敝眷蓝妮”等细姨故事写出来，把“相庄”的“鸿案”翻它一下。总而言之、统而言之，对国民党大员的一切，我们在国民党清一色的宣传下，最好保留一点，别忘了他们若如他们所说，一个个都忠孝两全、两手清廉，大陆怎么还会丢？别信他妈的牛屄吧！
014.国民党与营妓.txt	306	611-611	15	有一次|后来|答|说	那“十二金钗”里面、有两三个姑娘算是跟我比较“深交”，几乎无话不谈。从她们口中获知，她们每个人都是跟老鸨订了“卖身契”，借的钱三十万、五十万不等，要赚到借的数目，还清了，才能还其“自由”之身。至于每张票赚的钱，与老鸨是六四分账，够辛苦的。有一次我听到姑娘们在客厅聊天，有一位小姐向另一位说：“你今天做了几支？”对方答说：“二十支左右吧！”刚开始我没有听懂，后来一想，才恍然大悟到指的就是男人的那个！
022.国民党的酷吏.txt	12	23-23	15	举例|说|逃|国民党	酷吏自汉朝以后，代有传人，传到现在，于今为烈。国民党中的酷吏典型，是它的司法掌门人黄少谷和李元簇。在他们的带班下，多少无辜的老百姓，都一一难逃法网；多少不成其罪的中国人民，都一一陷身囹圄、苦难加身。国民党的法条是比古人多千百倍的，它的细密程度，几乎可以使任何老百姓都可构成有罪——如果国民党想整你的话。举例来说，在法条上，哪个杂货店的老板娘不是逃税的？哪个去银楼换儿女汇来美金的老妈妈不是犯法的？哪个下飞机的旅客不是藏私酒的（飞机上虽可买烟酒，但这烟酒要另行登记才算合法持有）？哪个打几圈麻将不构成麻烦的？哪个跳几场舞不构成拘留的？哪个拿掉个小孩不构成堕胎罪的？哪个批评了韩愈不构成诽谤的？……严格说来，几乎人人在国民党的法条里，都难保完璧，只是轻重之别而已、小大之别而已、古代“刖”刑穿赭衣与现代罚金坐牢之别而已。所以，一旦国民党的酷吏要整人，他们就不愁整不到人，因为应有尽有的法条在他们手里，天王老子的“自由心证”也在他们手里，他们要整谁就可整到谁，只要他们高兴！
009.国民党与国泰诈财.txt	14	27-27	14	故事|小故事|当年|说|他说	蔡辰洲昨晚在北投对许多摊贩朋友说出一段小故事。他说，他的父亲蔡万春原本是竹南乡下一个佃农的儿子，当年赤手空拳带着一根扁担、二块七毛钱到台北，在现在的中央市场卖菜，靠他个人的辛勤努力，才能够有今天的小小成就，因此蔡辰洲愿意秉持着中国人传统“孝亲、养亲、显亲”的孝道观念，以代替父亲来回报社会大众的支持与鼓励。
