file	paragraph	line_start	line_end	char_count	score	snippet
001.责备吴大猷先生.txt	5	9	9	122	3	杨振宁是在28日下午回国，29日中午中研院院士会议开幕式之后，吴大猷即打了一通电话给行政院长俞国华，希望俞院长能代为向总统转达可召见杨振宁之意，经过30日一天，在31日下午3时，杨振宁与吴大猷匆匆自中研院院会场中途离席，前往总统府，晋见蒋总统。
002.银纸包个臭皮蛋.txt	5	9	9	223	4	你说《文星》复刊，向你拉广告捧场，你送上远流版《李敖全集》广告，却被他们打回票。听来十分有趣。不过，如果他们真的除恶务尽、除李敖务尽，也就罢了。无奈复刊第一炮中，其中两篇可读性之文，竟不能免于是李敖写的：一篇是萧孟能的《关于〈韩福瑞和他的思想〉》，真的作者非萧孟能，乃当年之李敖也；另一篇是陈香梅的《我所知道的韩福瑞》，真的作者亦非陈香梅，乃当年之李敖（连改带...
003.直线前进对，周而复始错.txt	8	15	15	359	6	对我说来，人生的道路虽然有不断的“何处是归程，长亭更短亭”的终点与起点，但这种方向，却该是直线前进的，而不是周而复始的。周而复始的缺点是把人生的道路弄得太狭窄，终点虽然就是起点，但因为轨迹是圆周，结果常常又走上老路。相对的，直线前进却不这样，直线前进把人生的道路分成多少段，一段段的走了又走。你信上说你和胡茵梦去游Walden Pond，当年Walden Po...
004.来回带物法.txt	4	7	7	377	4	你的信收到了。前几天散步时，两度碰到维桢（现在朋友除非碰到我，都见不到我了）。我跟维桢说：“我每逢生日、过年、过节，一定收到小沈的礼物，他情况好的时候送，情况不好的时候也送；我情况好的时候他送，我情况不好的时候他也送。他是我认识的出版家中最不以浮沉穷通待我的人，这个人做人真有他特有的味道。”维桢点头同意我的话。昨天散步时碰到胡老师（胡虚一），顺便请他吃火锅，...
004.来回带物法.txt	5	9	9	226	3	我现在除了散步一次外，全天都藏在家里，在家里保证是天下第一忙人。忙的情形，有“来回带物法”可见一斑。“来回带物法”是我自己摸索出来的方法，就是在家里，只要一走动身体，不论从书桌到餐桌，或是从这间房到那间房，来去之间，绝不空手，总要顺便带件东西、带件资料，把相关的一切顺手归位。甚至小便时也此尿不白撒，一边小便，一边看马桶盖上的零星资料，顺手带回，即予分类入档。...
004.来回带物法.txt	7	13	13	154	4	还有，你找我帮忙，可要先想想汤玛斯·曼的故事。汤玛斯·曼初到纽约，从他的出版家的书店出来，看到货车司机正在搬一大箱书，他想这些书也许是他写的，就跑过去帮忙，跟司机折腾了半天，可是搬不出个所以然来，他喘着气说：“看来没法子把它搬上车了。”“搬上车？”司机大叫，“我是要搬下车呀！”——请名家帮忙，下场往往如此！
006.“惭愧公荣文王”.txt	5	9	9	270	3	你提出的为“未来李敖”的出版计划，我总觉得你在没成书前，未曾预付任何心理压力与荷包压力，未免太不会“烧冷灶”。何况事实上，我有生以来，跟人合作都以不让朋友受损失自豪，又何压力之有？赖阿胜“烧冷灶”，最后连息奉还，维桢亦然，你去问他们看。试想我完稿以后，自己印销，销路只要有你的三分之一，收入就约略相当于出版家的版税了，你为什么不这样想一想？我承认卖书——公开卖...
007.左奶、右奶，查禁哪只奶？.txt	4	7	7	84	3	淩鸿勋先生淩姓，是三点水的“淩”，不是两点水的“凌”，每易为人弄错。在弄错时候，别人向他道歉，他总是说：“我们不在乎少一点。”今天这封信，就是谈在乎不在乎少一点问题的。
007.左奶、右奶，查禁哪只奶？.txt	5	9	9	584	6	去年1月19日我写信给你，说：“在贵局迭次‘扫黄’行动中，揭橥的标准是‘三点不露’，就是刊出的图片上，不得露出女人的两个奶头和阴部，凡露奶头和阴部者，皆在取缔之列、法办之列。虽然如此，藐视贵局规定而大露特露者，贵党主持之报纸固优为之。即以1984年2月21日到22日短短两日间为例，2月21日，《中国时报》刊出裸女图、同一天《新生报》刊出裸女图、同一天《大华晚...
007.左奶、右奶，查禁哪只奶？.txt	6	11	11	190	3	这两天看到所谓《文星》“复刊三号”，发现公然重刊鲁迅《狂人日记》，乃别有感触，试为吾弟陈之。查鲁迅作品，早经明令查禁在案，但为了给贵党自己人方便，过去允许以打击《文星》为职志的胡秋原《中华杂志》公然刊行；如今又允许所谓《文星》“复刊三号”跟进，足见所谓《文星》，业已《中华杂志》化。就吾弟开放言论言，自属可喜，但这种开放，若只因人而异，故意左袒，那就未免令人有...
007.左奶、右奶，查禁哪只奶？.txt	7	13	13	137	3	其实，只要吾弟细逛书摊，就可发现：鲁迅等左派查禁书刊，公然翻版发售，早已是家常便饭，所谓《文星》“复刊三号”所为，不过炒冷饭耳！问题不在这些左派书刊可以不被查禁（我是赞成不查禁的），问题乃在贵党整天查禁李敖的书，不遗余力；却对鲁迅等书，视若无睹，不知这种左袒标准，究竟何在？
007.左奶、右奶，查禁哪只奶？.txt	8	15	15	74	3	这种标准，每在我看到对乳房一掩一遮的裸女图片时，就忍不住有以联想。我跟我自己说：“这种图片一点露一点不露，左奶、右奶、真不知张京育要查禁哪只奶了？”
007.左奶、右奶，查禁哪只奶？.txt	9	17	17	72	4	京育吾弟：如果查禁标准无他，只在你李敖文章为祸甚于鲁迅之故，那我就会大笑，予欲无言。否则的话，还是请网开多面，不要再因“支左”而给大家看笑话也！
