file	paragraph	line_start	line_end	char_count	score	snippet
001.软禁残记.txt	2	3	3	143	3	1970年1月里，彭明敏在被国民党全天候软禁下，神秘偷渡到瑞典，并取得政治庇护。消息传来，国民党立刻把我软禁，不分日夜，由专车一辆、专人若干，对我紧迫盯人起来。这一紧迫盯人，先由警察单位派人，后由警总单位接力，前后“跟监”（跟踪监视）了我十四个月，直到我在1971年3月19日被捕为止。
001.软禁残记.txt	15	29	29	252	3	二、王淦（王淦为上任调查局台北站站长，时任调查局公共关系室主任）午来电，约下午4点到我家。3点50分他来，坐到4点40。他先说去年调查局办了许多大案，忙得不得了，所以没能来拜访我。我说：“你们业务兴隆。”他说：“只可惜百密一疏。”我们对视而笑。王淦要我帮他一点忙，想想看可有熟悉的外国人跟彭要好的。我说：“好像有一个《纽约时报》记者Fox（包德甫），就是上次你...
001.软禁残记.txt	18	35	35	101	3	二、管区警察下楼，我看他直入对面小店内，其中又人影幢幢，心知有异。不久小滕来，说：“怎么你的楼下有007？”我把话题扯开，因今晚大家玩牌，免得扫兴也！我一边贏钱，一边注意楼下活动，最后门半开，灯亮通宵。
001.软禁残记.txt	42	83	83	565	3	九、下午情报：彭一走，警总派管区警察先看我是否在家（24日上午）后，即由特勤队到我家盯三四天，后以责任太紧，决定皮球踢给市警察局，市警察局再踢给大安分局，于是由市警察局、大安分局与我的管区派出所组成专案联合小组，除由警总、市警局、分局、派出所各单位主管分层督察外，小组设组长一人，组员八人（内中一名为管区警察，改派为特勤〔特别勤务〕，免除其他业务，专门参加监视...
001.软禁残记.txt	72	143	143	77	3	七、再到魏家，劝慰廷朝姐。她没申请提审，盖申请也无用也！临走我笑说：“胖子在外招摇过甚，该让他好好在里面住几天！反正他说坐牢和在外面一样，叫他坐坐也好！”
001.软禁残记.txt	81	161	161	318	3	十四、临睡前，得宋时一故事，可为齐伯之言做一注脚：“李继迁扰西鄙，保安军奏获其母，太宗欲诛之。以寇准居枢密，独召与谋。准退，过相幕，吕端（此大事不糊涂者也）谓准曰：‘上戒子勿言于端乎？’准曰：‘否。’告之故。端曰：‘何以处之？’准曰：‘欲斩于保安军北门外，以戒凶逆。’端曰：‘必若此，非人之得也。’即入奏曰：‘昔项羽欲烹太公，高祖愿分一杯羹。夫举大事，不顾其亲...
001.软禁残记.txt	117	233	233	174	3	旧年承赐礼品，至感至谢。国民党以彭明敏教授偷渡至瑞典，似恐我将重演故事也，自上月29日晚饭起，即派员九人轮流全天候监视，昨夜起，且明显加派计程车跟踪，后果如何，尚未可卜。失礼之处，想蒙谅解。我既为朋友所浼，自不愿浼人，特此奉闻：在国民党浑头脑没清醒前，朋友暂以保持距离为宜。冬日气候多变，务乞珍重。万语千言从何说起，世乱如麻，尚不知闹到什么样子也！
001.软禁残记.txt	133	265	265	807	11	一、早上管区警察来，说昨天谢聪敏被跟踪到亚洲百货公司，忽然当众说明身份，并指着跟踪他的两人，大骂是“国民党的走狗”！跟踪他的人昨晚已反映到上面去，台北市警察局安全室卢主任（金波）说：“让他去骂，你们忍耐几天，他们没几天好日子了！”我听了这事，决定约聪敏聊聊。管区警察一齐到六小姐家午饭，再同访廷朝，在看守中，把廷朝约上我车，廷朝笑向看守招手，并说：“大兴戏院！...
001.软禁残记.txt	200	399	399	67	4	4点40接蕾下课，红车适因驾驶不在，未能尾随。8时后回，两班人马皆在。我问“协买番茄者”吃饭了没，他说：“今天运气不好！还没下班呢！”
001.软禁残记.txt	258	515	515	1009	3	罗素说：“所有伟大生活都有无趣的阶段。”（All great lives have contained uninteresting stretches.）“伟人的生活除了少数伟大时期外，并无令人兴奋的地方。”（Nor have the lives of most great men been exciting except at a few great mo...
001.软禁残记.txt	270	539	539	234	3	综上三点说明，深盼先生考虑后，惠为转达各位执事明公：放彭明敏妻孥出境，对国民党实无害可言，至少利多于害。一个战国时代的食客，都会为主人“市义”，何况是一群新时代的执政者？怎可不学学古人，去“买买人心”？去向联合国大会显示一下国民党掌握的是一个多么自由的中国？现在，机会在此，是怨怨相报，还是解铃系铃，全在先生选择。先生也许在事实上做不了主，但在内阁制的宪政体制...
002.金兰琐碎.txt	3	5	5	282	4	《李敖五十年表》1978年条下：“四十三岁。做土木包工。吴俊才自萨尔瓦多返台，亲到我家，同意我辞职，但邀我去《中央日报》任主笔，再准备接任总主笔，我笑着说：‘我不会给国民党做打手的，谢谢老师啦！’”1978年全年的事，在《李敖五十年表》中，只这么几个字。年表就是年表，不能涵盖所有的事。但在知识程度在联考以下和国民党特务眼中，这种人总会以为你在隐瞒什么。我读《...
