file	paragraph	score	markers	text
030.《狱中杂记》今译.txt	5	24	故事|结果|后来|最后|问|答|说|杀|死|打|被|皇帝	凡判死刑的，一经判决执行，行刑的人便先等在门外，派同党进去索讨财物，叫做“斯罗”。对有钱的犯人，要找他的亲属讲条件；对没钱的犯人，便当面直接讲条件。如果判的是剐刑，便说：“答应了我的条件，便先刺心；不然的话，四肢解完，心还没死。”如果判的是绞刑，便说：“答应了我的条件，第一绞便包断气；不然的话，绞你三次以后还须加用别的刑具，才死得了。”只有判的是杀头，才没什么可讨价还价的，但是仍旧可以扣留脑袋不给死者家属，达成敲诈目的。因此，有钱的自然甘心贿赂几十百两银子，没钱的也会卖尽衣服杂物报效；只有穷得绝对拿不出钱的，才真照他们所说的执行。担任捆绑的也一样，如果不满足他们开的条件，五花大绑时便先给你来个骨断筋折。每年秋决的时候，虽然皇帝朱笔勾掉的只十分三四，留下的有十分六七，但全体囚犯都须捆绑着到西市，等待命令。其中被捆绑受伤的，即便幸而留下，也必须病几个月才能好，甚或成为一辈子也治不好的暗伤。我曾问过一个老差役说；“大家对受刑受绑的既没什么深仇大恨，目的只不过希望弄点钱而已；犯人果真拿不出钱，最后又何妨放人一马，不也算积德吗？”老差役说：“这是因为要立下规矩以警告旁的犯人，并警告后来的犯人的缘故。如果不这样，便人人都心存侥幸了。”担任上刑具和拷打的也一样。和我同时被捕受审时挨过夹棍的有三个人。其中一个人给了二十两银子的代价，只骨头受点轻伤，结果病了个把月；另一个人给了双倍代价，只伤了皮肤，二十天便好了；再一个人给了六倍代价，当天晚上便能和平常一样的走路。有人问这差役说：“犯人有的阔有的穷，既然大家都拿了钱，又何必更拿多少做分别？”差役说：“没有分别，谁愿意多出钱？”由这故事，印证孟子“选择职业不可不慎重”的话，真是一点也不错！
031.“宰白鸭”.txt	7	21	故事|问|杀|死|顶罪|自白|狱	像这种“富人杀人，穷人顶罪”的事，中国历史上是层出不穷的。清朝纪昀（晓岚）写《阅微草堂笔记》，就感慨于“治狱之难”，其中“命案尤难”。因为“有顶凶者，甘为人代死”，在这种坦然自白之下，问案的官吏是往往查不出来的。陈其元《庸闲斋笔记》有这样的故事：
006.有眼识泰山.txt	133	20	故事|传说|说|死|泰山|狱	在中国旧传说里，“泰山主死”的作业是山上有“金箧玉策，能知人之年寿长短”（应劭《风俗通义》），但是佛经窜出来后，复杂的地狱行政系统就接管简单的山神故事了，阎王的“生死簿”也就取代“金箧玉策”了。
006.有眼识泰山.txt	139	20	故事|结果|说|死|泰山|狱	孙悟空这种“强销死籍”的故事，正是中国人泰山地狱思想的最好显示，尤其“阴间天子十代冥王”中，有阎罗王、泰山王等细分的名号，更显示了这个“泰山专案”如何愈变愈复杂。所谓“十代冥王”，据《群书拾叶》的“阎魔十王”说法，是秦广王、初江王、宋帝王、五管王、阎罗王、变成王、泰山王、平等王、都市王、转轮王，和《西游记》的说法有出入，显然是泰山地狱思想的复杂演变的结果。泰山地狱思想的深入人心，在此就愈来愈具体化了(24)。
010.“时日害丧，予及女偕亡！”.txt	5	20	故事|忽然|最后|说|死|敌人	《伊索寓言》里有“黄蜂和蛇”（The Wasp and The Snake）故事，说一只黄蜂，坐在一条蛇的头上，不停地用刺去刺这蛇，几乎要了蛇的命。蛇在要死要活之中，想不出办法去此顽敌。忽然间，一辆满载木材的货车过来了，蛇就把头凑到车轮下了。蛇的最后名言是：“让我和我的敌人，同归于尽。”（“I and my enemy shall thus perish together.”）
020.死的是我？.txt	6	20	故事|结果|说|死|被|狱	我在景美军法处坐牢时候，牢房对面关的是被判死刑的李世杰，有他和我一个故事：李世杰的眼睛出了毛病，看什么东西都是两个，结果一只眼睛要用眼罩遮住，另一只才能看清楚东西。我跟他说：“这也不错呀！在你手里只有一块钱，可是在你眼里却有两块钱！”他说：“我看两块没用，要别人看两块才划得来。”我说：“那你讨一个老婆就等于讨一对姐妹花双胞胎了。”他说：“就有这么一点好处！”（二十年后，李世杰脱死生还，出狱之后，“我再来时人已去”，发现太太已经死了。家破人亡，连单胞胎都不见了！）
040.敌友江湖.txt	13	20	故事|问|说|死|被|敌人	像羊祜式的道德、像郭坚式的道德，都是要跟敌人公平竞争的道德，不趁人于危的道德。这种道德，渊源于中国古老的传统。中国古代的名射手子濯孺子侵略到卫国，卫国派人追他。他跟副官说：“今天我病了，没法射箭，今天看样子要死了，你知道追我们的人是谁吗？”副官说：“追我们的是庾公之斯。”子濯孺子说：“是他呀，那我死不了了。他是我学生尹公之他的学生，尹公之他是正人君子，他不会乱收学生的，他的学生也一定是正人君子。”过了一会儿，庾公之斯果然追上来了，奇怪地问子濯孺子：“老先生，你怎么手里不拿弓呢？”子濯孺子说他病了。庾公之斯说：“你是我太老师，我不能用你教的技术来对付你，但今天也不能不公事公办。”于是他拔了四只箭，把箭头都敲掉，射了四下就走了。——这个故事，说明了一种不趁人于危的道德的延伸，即使对敌人也不例外。这种道德，现代已经死了。现代若有庾公之斯这种人，在战场上，看到敌人病了，恐怕还要趁机多射几箭呢。即使不射，回来也要被军法审判。古代的庾公之斯敢阵前放水，也明知他的后台老板跟他有同样的道德标准，就像小说中华容道放了曹阿瞒的关老爷一样，心里多少知道军法审不到他。
006.有眼识泰山.txt	112	19	传说|说|死|梦|泰山	在中国人眼里，泰山是永生的象征，这叫“泰山主生”。泰山神是青帝⑩，是乘青龙的大帝，并且传说唐尧就做过这种梦(11)。中国帝王对泰山的封禅，除了表示对天的崇敬外，主要的意义是求永生、求不死之术，所谓“封禅者，合不死之名也”(12)。所以封禅便找上山中老大——泰山——的头上来了(13)。
033.“愿身成骨骨成灰”.txt	6	19	故事|有一天|一天|最后|说|死|被	“业”是梵文“羯磨”，佛教所说的生死轮回，是由“业”决定。“业”包括行动上的“业”，就是“身业”；语言上的“业”，就是“口业”、“语业”；思想上的“业”，就是“意业”。业有善有恶，但一般都指恶业。由“业”生出的是“业力”，是指善恶报应的一种不可抗拒的力量，这种力量来自“业因”，达成“业果”、“业报”。“业因”是前世所做的因，恶业的因，产生恶果，成为今生的障碍，叫做“业障”。“业障”是前生作孽带给今生的报应。这种报应表现在今生上，这种人就是“业人”、这种人的德性就被奚落做“业相”。由于前世有“业因”，所以前世的无始无终的许多事，在朦胧之间，尽入眼底。西太后和小人们逆天行事，歌舞升平，只是想盘据高位，满朝行尸走肉，总该把他们清除。我自己生在鼎食之家，我的一切都得自吾土吾民，我不是我，我只是一具枯骨，今天在尚有血肉生命时候，我要忏悔、我要发愿牺牲自己，愿我的肉体化为枯骨、枯骨化为灰烬，为吾土吾民献身。这诗的整个意思落在最后“徐甲傥容身忏悔，愿身成骨骨成灰”上。是用晋朝葛洪《神仙传》的典。徐甲是老子的佣人，跟了老子许多年，可是从没拿到薪水，有一天他忍不住了，向老子算总账，说老子欠他多少多少。老子真行，他一言不发，把徐甲化为枯骨一具。这时徐甲恍然大悟：他清楚知道，原来自己只不过是一具枯骨，他的血肉生命怎么来的，还不明白吗？区区人间小事，还计较什么？于是他忏悔了。谭嗣同引徐甲的故事，当然是说我们要粉身碎骨去为大目标奋斗，只有这种大目标，才有意义；其他人间小事，都是没有意义的。
006.有眼识泰山.txt	168	18	传说|说|被|狱	它在朝阳门外，是一个“奉旨修建”的最大庙宇，占地三十余亩，正殿之外，东西跨院，七十二司，包括了各界天地诸神，平常每月初一、十五，开放两天，善男信女，络绎于朝阳门内外大道，临时赶庙的五行八作的摊贩，星罗棋布的摆于庙内庙外各个角落，香烟缭绕，喧哗一片。大街路南有“十八层地狱”用泥塑木制的。上刀山，下油锅，望乡台，奈何桥，刀、锯、斧、磨……惟妙惟肖，形象逼真，光怪陆离，荒诞不经，每年正月间开放的半个月，游人如梭，香火鼎盛。尤其幼时受一般的迷信传说，到这里一看，随时觉得胆战心惊。此庙在“沦陷”前夕唯全部佛像已被拆毁，今已一部改了小型手工业工厂，一部为一般贫民所占居，已没有庙期了。
