file	paragraph	score	markers	text
084.妓女救国论.txt	25	18	故事|笑话|有一天|忽然|结果|最后|问|说	我给大家谈一个故事，我曾经谈到，我台大毕业以后做预备军官，我是第8期的预备军官，做预备军官的时候，我们在陆军步兵学校受训，为期半年，做预备军官的入伍训练半年，半年以后我们再服役一年，所以我们整个的兵役期间，一个大学毕业生男生就是一年半。头一个半年，我在陆军步兵学校受训的时候，快结业的时候有一个很有趣的现象，一开始我们去的时候，我们就搞不清同班的同学里面谁是国民党，谁不是国民党，我们分不清。当然我们不是，可是我们就怀疑张三、李四是国民党。有一天晚上我们正在自习的时候，忽然队长来念个清单，清单说张三、李四、王二麻子什么什么人，你们排队站出来，你们量的衣服尺寸不对，你们要重新排队过去重新量，其他的人尺寸对了就不要量，结果就带着这尺寸不对的这些名单，这些同学就出去了。他们一出去了，我就站起来，我说这些人都是国民党，为什么？我就感觉出来了，为什么你们量的不对？我们在晚自习的时候，你们带队出去干什么？原来这些人都是国民党，我李敖多精，瞒不了我的。后来大家调查结果，果然当天晚上带队出去重新量衣服的人统统是国民党，好了现在我们就曝光了什么是国民党，什么人不是国民党，我们就搞得很清楚了。可是当6个月过去的时候，最后要退伍的时候，指导员出面很坦白的讲，你们这一班学生里面有很多人还不是党员，现在坦坦白白告诉你们，要不要入党，你们自己选择。如果不入党，去金门、去前线，去年才发生823炮战，你们就被共匪打死了；如果你们肯入党，就放你一马，就留在台湾。大家吓死了，拼命入党，张三入党，李四也入党，我李敖死硬派不理他，不入党；指导员跑来找我，说你李敖为什么不入党？我说我不入党。他说你不怕死吗？我说我怕死，可是我更怕入国民党，所以我就在这里不要入党。那你去前线，我说我就去。好了！最后在分发的时候，很多临时入党的人被发到金门去，我们这些死硬派反倒留在台湾没去。结果新拿到党证的人就向指导员抗议，就说为什么李敖不去，我们去？指导员说得很有趣，说前线什么地方？前线是重要的地方、前线需要忠贞分子，李敖这些人思想有问题，他在前线不给闯祸了吗？所以你们要去，他不要去。气的同学把党证都撕掉了，就闹了这个笑话。
002.张学良与赵四小姐的爱情故事.txt	9	17	故事|电影|结果|最后|说	郭冠英今天在《中时晚报》发表一篇文章，他把底稿寄给我，有一段话写得非常的好，我们看看郭冠英的文笔。他描写张学良，就好像电影片里面《判舰喋血记》，看到没有，他说：他是《判舰喋血记》的大副。他，改变了历史。他，最后自我放逐到夏威夷岛。我们再看：因为内战，使他的祖国分裂。张学良本来是最中国的中国人，结果他被幽居在一个海岛。与那电影中的英国海军故事不同的是，那位失败的船长也到岛上（蒋介石也来了），他严密的看管着“情同骨肉”的政敌（蒋介石看管张学良）。死后交给他的儿子（交给蒋经国），又找到了天上之父来上下齐管（叫张学良信的基督教，所以上帝也管了张学良）。最后，当蒋家王朝的堡垒拆毁时，张学良迷失了，他老了，走不动了。他从“小三峡”走到太平洋彼岸的“张家界”去了。那里，只有张家，没有中国。张学良的一生，就如此留下了遗憾的句点。
060.李敖评论张昭雄.txt	19	17	故事|笑话|电影|有一天|结果|问|说	告诉大家，斯大林多么有气魄，宁可亡国，也要条件。亡国归亡国，有一天我这气转回来以后，我要什么条件，有气魄的。好，我们现在再看，这个将军叫做巴顿将军。大家也许看过一个电影也叫《巴顿将军》，这个将军可有趣了！他是到了任何的部队，这个部队没有士气，他一去5个小时军队就有士气了。为什么呢？他是一员虎将，好比说德国的飞机打过来了，别人都藏起来，藏在地下室，他没有，他弄个枪嘟嘟嘟嘟用机关枪打飞机。这个人不怕死的，可是也是一路福星，他也没有受什么伤，他是这么个家伙。巴顿将军有个最有名的故事，就是到处他去视察，在军队里面，任何人都要戴钢盔，他自己也戴钢盔，到医院里面看到军医，他要军医戴钢盔，军医说我戴钢盔以后我就不能带着听诊器，听诊器插不进去。他说怎么可以呢？你把钢盔挖个洞，这个听诊器就插进去了，这是他的干法。然后巡视军营里面，一个一个慰问伤兵，有一个伤病没有伤，他就问他你有什么病？他讲不出来。就问医生说他什么病？他说他就属于那种战争型的恐惧症，到了战场就吓得不敢动，所以神经失常。巴顿将军一个人光就打过去了。什么意思？我们这医院里面都是伤兵、都是英雄、都是作战受伤的，你是个胆小鬼、你是个懦夫、你是个孬种、你是个台独分子，你怎么可以跑来住在荣誉的医院里面？立刻给个耳光。好，这个耳光就打出祸来了。记者们一宣传，全美国都宣传出来，怎么可以将军打小兵呢？怎么可以这样子呢？好，结果艾森豪将军就来了，把他调职务什么的，搞的天翻地覆，要他到医院道歉什么的，反正整他。他道了歉以后，私下里讲了一句话，太有趣了，他说：我真后悔，当时打了他一个耳光，我不该打他的。我应该怎么样呢？我应该吻他。我应该kiss他。因为你们美国这些人你们喜欢作秀嘛！作秀，好像是我们爱护伤兵嘛！这种假伤兵，这种不勇敢的伤兵，你们也喜欢，OK，我应该kiss他给你们看，就吻他给你们看。所以他讲了这么一句笑话，我要kiss他。
087.陈水扁有脸谈杰斐逊吗？.txt	11	17	故事|笑话|最后|问|说	好，现在我谈第二个题目，陈水扁有脸谈杰斐逊吗？今天报上出现，尤其是阿扁电子报出现，阿扁在谈杰斐逊。我们看到阿扁讲：阿扁心情笔记，从古拉格到美丽岛。阿扁就先讲这个故事，在今天的阿扁电子报里说：曾经有一则描写苏维埃时代极权统治的笑话。斯大林死了以后，赫鲁晓夫向最高苏维埃揭发斯大林的恐怖罪行，听者十分震惊。最后，在大会堂后排响起一个声音：“赫鲁晓夫同志，斯大林做出这些犯行的时候，你一直在场，为何不阻止他？”沉默片刻时候，赫鲁晓夫双眼狠狠的瞄向群众，问道：“这是谁说的？”然后又再次咆哮：“谁说的？”所有在后排的人都把身体下沉，没有声音再响起，没有人再举手。在一阵可怕的沉默后，赫鲁晓夫说：“现在你知道为什么了吧！”刚才我发怒的时候，你们不敢吭气。当时斯大林在发怒的时候，我在旁边我也不敢吭气，等于阿扁用这个故事来描写。
093.见有一匹灰色马.txt	14	17	故事|电影|有一天|结果|最后|问|说	这个格里高利派克他不能把话说破，不能告诉小孩子说你是小朋友你搞错了，我们的事业已经过去了，我已经是个历史人物了，我没有作为了，我现在很潦倒，住在违章建筑里什么力量都没有了，我怎么能够替你报仇呢？可是他真的是共产党、有理想主义的共产党，他面对这个小孩子这么天真的一个要求，他不忍心拒绝。他说好，让我准备一下，我一定回西班牙替你报仇。事实上，他是通缉犯，怎么回西班牙呢？可是西班牙的安全局局长这个安东尼奎因，他知道一个讯息，就知道这个有名的共产党格里高利派克，他临离开西班牙跑到法国的时候，他跟他母亲有个约定，他很孝顺他的老母亲，他跟老母亲说，我们并没有离开，我们会再见面。母亲说，我老了死了，怎么办呢？格里高利派克说，你死以前我一定见你一面，有这么一个承诺。这个情报就被西班牙的安全局局长电影明星安东尼奎因知道了。所以他就认为有一天我们会抓到他。然后就放出一个讯息，什么讯息？你的妈妈病了，在医院里面病了。把这个讯息也慢慢从另外一个管道，就传到法国，传到他的耳朵里面，就是看你要不要回来，你回来你通缉犯，我们就可以把他抓到了，抓到以后，我们就可以向总统陈水扁邀功，我们把那个刘冠军抓回来了，或者把什么人抓回来了，我们建立大功。这个时候这个共产党格里高利派克，决定满足这个小孩子的要求，他束装就道，干什么？要回西班牙。他爬比利牛斯山的时候就碰到一个神父，这个神父就是大明星奥马尔沙里夫。大家怎么看过那个《阿拉伯劳伦斯》没有？他就是演那个酋长的阿拉伯人就是奥马尔沙里夫，神父就告诉他，说你回西班牙干什么？我告诉你真相。你妈妈已经死掉了。躺在医院里的妈妈，你见不到她了，你们要见最后一面，见不到了！老太太已经死掉了！所以你跟你妈妈这个最后的这个承诺，不能够兑现了，母子二人见最后一面，可是你妈妈已经死掉了，不要回去了吧。可是格里高利派克还是往回去。最后，果然到了医院，到了医院怎么样？这个安全局局长，这个安东尼奎因，十面埋伏擒蛟龙，干什么？所有人都准备好了，枪对着你狙击手，你一出现，就把你打死。结果，这个格里高利派克这个共产党很从容的回到了西班牙，回到了马德里，到了他妈妈住的这个医院要去看妈妈，当场被乱枪
093.见有一匹灰色马.txt	18	17	故事|电影|忽然|结果|最后|问|说	李敖大哥大。我继续讲见有一匹灰色马。我谈到得到奥斯卡金像奖的《美丽人生》，这是意大利导演导出来的电影，这个电影是描写在集中营里面，德国人抓了犹太人要把他们杀掉了。可是集中营里面这男的跟女的分开，丈夫跟太太分开了，可是丈夫带了个小孩子。这个时候大家知道任何人遇到这种悲惨的局面，干什么呢？四个字，愁眉苦脸，不是吗？我们立刻要变成待宰的羔羊，我们在这个牢里面，做苦工，就四个字，愁眉苦脸、以泪洗面，不是吗？不然。这个男主角他会苦中作乐，为什么？他骗他儿子，使他儿子感觉说不是在集中营里面，他说给他儿子玩坦克车的游戏，跟他儿子一起玩，他说我们暂时在这种困难的环境里面我们玩游戏，什么游戏呢？暂时跟妈妈离开的游戏。所以这时候德国军人进来宣布规则的时候，用德文讲，就问谁会做翻译？他爸爸站出来说我会做。他不懂德文，结果德国军人讲一句话，他就翻译一句，乱翻，第一条就是不许想妈妈，为什么呢？他儿子在旁边。就定了很多规则很有趣的，他不许想妈妈，就是一路骗他儿子。同时，他有一个机会放个音乐，在那个俱乐部里面给德国人端盘子，然后他知道他太太喜欢听音乐，就放远的地方给他太太放音乐。最后，德国人这个快结束的时候，要把他打死，他直到最后一天，他们就活不了了，可是他把他小孩子保存起来，把小孩子藏在等于垃圾桶里面，外面可以看得到，然后德国人就把他抓走，他故意正步走这样子看着小孩子笑，那意思就是说我这好玩的，事实上一走过去就被打死了。那么小孩子最后天亮的时候，从这个垃圾桶里面溜出来就往前走，忽然看到真的不是玩具，真的坦克车出现了。为什么？美国人的坦克就出来了，占领了这集中营，别人都死掉了，这小孩子还活着，就这么一个故事。
116.谁挡住了台湾正名？.txt	9	17	笑话|电影|结果|最后|问|回答|说	今天我们在台湾，我曾经描写阿扁他是个小希特勒，为什么小希特勒？因为希特勒虽然给德国闯了大祸，可是希特勒人家曾经几乎统治了欧洲，人家是变成一个强国，世界风光对不对？即使最后搞来了亡国的命运，可是他至少人家带领德国风光过。那台湾算老几？台湾在世界上面什么都不是。为什么什么都不是，而台湾的领导人物像个小希特勒？我曾经讲过这个笑话，就是过去在默片时代，就是电影还不发声音只看表情的时候，后来开始有发声音的时候，有一对演员喜剧片的叫劳莱哈台。哈台是个胖子，劳莱是个瘦子，这一对宝在演戏，有一个画面就是哈台问一个商人说你是干什么的？那个商人就很骄傲地回答说，我是做木材生意的，我是木材商。然后这个商人反过来问这个大胖子问哈台说，你做什么生意的？哈台是个无业游民，可是他很没面子，他就冒充，他说我也是做木材生意的，我也是木材商。结果那个真的木材商就逼问他，你在木材商里面你干哪一行的木材？这哈才就讲了一句话，他说我是卖牙签儿的。所以我说陈水扁是个卖牙签的希特勒。为什么是个卖牙签的希特勒？就是你看他选举的时候，那种动作、那种煽情、那种争取选票，完全希特勒的动作。可是台湾出不了门，也不能侵略别人，为什么？因为没有实力。是个小规模的，具体入微的希特勒。
003.罗福助错在那里？.txt	24	16	故事|结果|问|说	懂我意思吗？这就是今天我们所面临的台湾的乱象。台湾的乱象就出在这里，好比说交通不守规则，好比说闯红灯。过去台北市警察局长颜世锡讲过一个故事，他说有一个人开车看到红灯冲过去了，结果警察旁边串出来，把他挡住了。警察问他：你有没有看到红灯？他说：我看到红灯了。警察问他：看到红灯为什么要闯？他说：我没有看到警察。看到没有？结果红灯仅供参考，红灯对他没有警告的意思，是参考的作用，为什么呢？就你闯红灯我也闯红灯，交通就乱掉了。所以台湾的交通规则什么时候回来不知道了。记得过去胡适博士讲过一个故事，他在夜里3点钟坐一个计程车，到了一个十字路口碰到红灯，没有车了也没有人了，计程车司机停在那里等着红灯变成绿灯才开。胡适感慨说：我们宋朝的儒者叫“慎独”，什么叫“慎独”？就是我一个人，孤独的时候我也很谨慎的，我也很小心。换句话说我觉得有天在对着我，有地在对着我，我自己很谨慎。中国讲“慎独”的意思就防止一般人就防止手淫。手淫的时候一个人在打手枪，自己手淫的时候，他绝对看不到你啊。“慎独”的意思，就是说不要手淫，为什么呢？一个人也要规规矩矩的。胡适讲说那个计程车司机，美国的真的有中国的宋朝理学家的慎独的功夫，为什么呢？他不觉得有警察看到看不到，他知道有红灯我就要停下来。这种训练在台湾完全被破坏掉了，不是吗？
043.国安人员以命掩护总统的贪污.txt	35	16	故事|笑话|有一天|最后|问|说	我讲个笑话给你听，有一个笑话，说一对夫妻开车的故事。然后这个女的就告诉他先生：上次我开车，后面一个车撞到我后面的保险杠，把我们车撞坏了。丈夫就问这个女的说：是几号呢？太太说：我没有看到几号。那丈夫又问她说：什么牌子车呢？她说：我也不晓得什么牌子车、什么类型车我也不知道！她的丈夫说：你太糊涂了，我要给你恶补一课。就叫他太太整天就是拿着很多汽车杂志，叫她辨识汽车，并且叫她觉得速记，记汽车的号码，给她做一个专题的训练。这太太很用功的上这个课，最后有一天太太跑回来了，好高兴的跟丈夫说：今天我开车撞到了别人。丈夫说：你撞到人了？她说：我撞到一辆凯迪拉克。这就是告诉我们，这女人的想法跟我们不一样，她所学习的过程在很多地方，当然我讲的是笑话，跟男人的思考方法是不一样。所以女人的混蛋、混蛋方式和男人不一样。
063.可怜无补费精神.txt	24	16	故事|电影|忽然|结果|问|说	讲的我有点气了，今天心平气和跟你们讲。现在谈第二段——钱没到手怎么A？我先告诉大家一个有趣的故事，有个电影叫做《七金人》，什么故事呢？七个强盗、小偷，他们的领袖是个教授，叼着烟斗，金边眼镜非常的斯文，他们发明了一部机器，这个机器可以通过一个管子把黄金的金块吸走，这么强力的一个机器，他们就到了一个银行旁边，旁边有下水道，他们就把下水道围起来，上面写工程中，里面有个工程车，外面围起来。大家一看到以为在修下水道、在做工，他们围起来以后，从下水道里面就通了管子进去，就通到银行金库的底下，然后把银行的金库用他们的电钻在地下就挖了一个圆洞，然后他们就把管子通进去，银行的金库放着一块一块金砖，一吸就哗哗哗的吸到他们卡车里面去了，吸了一卡车金砖，然后他们跑掉了。大家跑掉了，跑到了山上，好不说跑到了阳明山，把车一停，大家坐在那里好高兴，我们搞到这些钱。可是这个教授，小偷的头子，金边眼镜，斯文得很，叼了烟斗，面无喜色，面无笑容。大家就奇怪说：教授，我们搞了这么多的黄金，我们等于得手了，为什么你不笑、不高兴？教授说：这些钱还没到手。他们说：怎么没到手呢？那不是一车黄金在那里吗？结果大家就用手指着一车黄金，这个时候这个停在山坡上的黄金车啊，忽然手刹坏掉了，这个车忽然就动起来了，慢慢的向下滑。这些人紧张了，就跑过去追汽车，怎么追得上呢？当一个汽车从山上往下滑的时候，你人力怎么追得上呢？就追不上，可能拼命在追。到了山脚下面，这个车撞到一棵老树，车翻掉了，满地的都是金块，一块一块撒了满地。这个时候其他的六个小偷，我们或者说强盗好了，跑过去到地下就捡出金砖来往口袋里面塞。干什么呢？整车的金砖不见了，能塞几块回去也好嘛！可是教授也到山下来了，叼着烟斗，笑嘻嘻的，一块金砖都不捡。人家问他：为什么不捡几块金砖回去呢？他就笑，他说：我是大盗，我是大的贼，我不要小钱，搞几块回去我不要。
