file	paragraph	line_start	line_end	char_count	score	snippet
001.从《秀嫚信箱》到《上下古今谈》.txt	14	27	27	284	3	中华民国54年的7月里，在台湾岛上发生了两件大事：一件是从7月2号开始的《秀嫚信箱》，由刘秀嫚执笔，发表在《中华日报》；一件是7月5号开始的《上下古今谈》，由李敖执笔，发表在《台湾日报》。我所以说这是中华民国的两件大事，就因为这两个专栏的主持者都是名人：一位是名女人，是美国选美场合中的东方美女；一位是名男人，是英国《中国季刊》（The China Quart...
001.从《秀嫚信箱》到《上下古今谈》.txt	15	29	29	172	4	提到刘秀嫚，我曾写文章戏呼她是“最使我着迷的美人儿”，不料这话引起了大谣言，——这个社会不允许男人纯粹有“着迷的自由”。谣言说到刘秀嫚和我正在“闹恋爱”，台湾北部的报纸和东部的报纸，都有文章来捕风捉影，非常好玩。去年10月3号，《中华日报》上有洪敬思先生的一篇《从绚丽归平淡——刘秀嫚弃虚荣》的报导，就“传说她跟李敖在闹恋爱”一点上，有段话说：
001.从《秀嫚信箱》到《上下古今谈》.txt	19	37	37	213	3	至于有关李敖的传言，刘秀嫚说这可能是《文星》杂志上李敖一篇文章所引起的，那篇文章中李敖曾经这样写：“最使我着迷的刘秀嫚小姐”。刘秀嫚说：这只是李敖文章中的文句，但别人看了，就加上了我跟李敖在闹恋爱，这是很滑稽的事。她在中广主持一个《刘秀嫚时间》，经常访问一些教授及学者，也访问过李敖，李敖没有追求过她，她除了那次访问李敖之后，至今也未再跟李敖做过接触，因此，这...
001.从《秀嫚信箱》到《上下古今谈》.txt	22	43	43	143	3	所谓《秀嫚信箱》，它的真正意义不单在“信箱”的执笔人写些什么，同样重要或更重要的，是“信箱”执笔人以她的身份和地位向人们宣示些什么。换句话说：《秀嫚信箱》的意义，不止于普通的一个“信箱”主持人的意见表达。它的意义，是告诉人们“刘秀嫚的意见”，告诉人们以我刘秀嫚的身份和地位，要说些什么。
001.从《秀嫚信箱》到《上下古今谈》.txt	30	59	59	255	3	但是物极必反，天道好还。近百年来欧风美雨的吹打，女人的地位竟告普遍抬头。在整个世界的女人“蠢动”趋势里，中国的娘儿们自然也不例外。中国的阴性们逐渐知道她们的力量是非同小可的，她们逐渐知道她们美丽的力量、阴柔的力量、教化的力量、表演的力量，以及和平改革的力量了。她们逐渐知道许多男人费力办不到的事，她们居然可以轻易地办到了。试看“十四万人”的男子汉，不能使英国侨...
001.从《秀嫚信箱》到《上下古今谈》.txt	31	61	61	235	3	旧时代的女性们，她们对人群的力量，很少是正面的力量。她们只是侧面的“祸水”的力量。一个海伦（Helen），可以使人民连年争战；一个克莉奥帕特拉（Cleopatra），可以使群雄每日相砍。这些旧时代的“女英雄”（heroine）们，和她们影响下的“英雄”（hero）们，在遥远过去的所作所为，早已使我们不敢领教。他们的“丰功伟业”，大都建筑在人们的血泪之上，他们...
001.从《秀嫚信箱》到《上下古今谈》.txt	33	65	65	267	3	刘秀嫚成为“英雄”，“英雌”的基本路数，必须建筑在她的一些基本改变之上。她必须彻底认清世俗的表演、剪彩那一套，绝对不是有意义的行径；做“孝子”、“好学生”那一套，也不是终极的目标。她该想想陆放翁那“欲求灵药换凡骨，先挽天河洗俗情”的诗句，然后进一步了解：“洗尽铅华”并不重要，重要的是，“洗尽”她在这个地区多年被感染、被辐射的“俗情”。她该知道：她的见解与头脑...
001.从《秀嫚信箱》到《上下古今谈》.txt	38	75	75	126	3	可怜的是，中国的现状是学院里的人物跟群众脱节；而跟群众不脱节的一群又俗里俗气，完全不知道“思想”为何物——他们只是盲目带领群众而已，恰像那瞎驴子推磨，只是在原地上打转；万一脱缰而出，也只是反动的开倒车。他们永远不懂得什么叫“废止死刑”，什么叫国计民生。
001.从《秀嫚信箱》到《上下古今谈》.txt	39	77	77	446	3	如果中国的学者和思想家以外的得人心的人物，能够出面关切思想运动、政治动向、社会改革，那么收效一定很大。尤其是一些有清望的人，如果他们能善用他们的清望，肯下海做好事，不轻易做人情面子的事，我们群体的进步一定来得更蓬勃、更快。就目前的环境说，有带头作用的老一辈和中年一辈的人物，实在已经少得可怜，而青年一辈又多在机会缺少的高压底下，爬不起来。因此偶尔有脱颖而出——...
001.从《秀嫚信箱》到《上下古今谈》.txt	40	79	79	75	3	我的青年朋友何秀煌先生，最近在《文星丛刊》第168号，出了一册《现代社会与现代人》。在书里，他重印了一篇叫做《我们应该打破容忍与沉默》的好文章，他说：
001.从《秀嫚信箱》到《上下古今谈》.txt	44	87	87	179	3	我提出这些零星的例子是要把它们用一条线串联起来。那条线就是一种打破盲目的容忍与沉默的呼吁。我们经常遇到许多可以努力改善的事例，可是因为沉湎于“容忍”与“沉默”的腐朽道德，因此成败之间失之交臂。如果我们能够“言其所该言”“行其所该行”，那么是非或许会更分明，“正义”或许会被伸张。反之，如果我们一味地容忍、一味地沉默下去，那么渐渐地权势就是一切，力量变成真理。
001.从《秀嫚信箱》到《上下古今谈》.txt	45	89	89	231	3	读了“秀煌”的文字，我们再来看看“秀嫚”的作为，我不得不指出：以刘秀嫚popular身份与地位，她做得实在不够。这种不够，严格地讲，实在不该怪她，而该怪何秀煌、李敖之流。怪李敖他们没有及早进行“提醒”和“游说”的工作，以致刘秀嫚只能成为一个十六年来台湾教育训练出的标准样品，而不是一个洒脱绝世满不在乎的女人。她不会奇思遐想、不会特立独行、不会攻击、不会反叛、不...
001.从《秀嫚信箱》到《上下古今谈》.txt	46	91	91	144	3	当我眼睁睁地看到，我们脱颖而出的青年朋友们，并没有使出真正“青年”的路数和解数的时候，我觉得我必须挺身出来，“打破容忍与沉默”，严格地指摘他们、批评他们、纠正他们的导向。我绝不在乎别人说我以老大自居，我是老大，并且很老很大，我绝不坐视“我本将心托明月，谁知明月照沟渠”的现象蔓延，我要叫。
001.从《秀嫚信箱》到《上下古今谈》.txt	47	93	93	128	5	西方近代最才华盖世的天才女子邓肯（Isadora Duncan）有一次向萧伯纳开玩笑说：“以我的美，配上你的聪明，生一个小孩，那多好！”萧伯纳答她道：“万一生出来的，竟是我的丑，配上你的愚笨，那该多糟糕！”我举这个笑话，为的不是别的，而是引喻我的一个妙想。
001.从《秀嫚信箱》到《上下古今谈》.txt	48	95	95	584	3	我的妙想是：在我们目前的现状下，我李敖虽然仍天才横溢、斗志不衰，可是毕竟因三年来树敌太多，相对的增加不少敌意和阻力，也增加了不少对我有成见的傻瓜。所以同一句话，不出自别人之口而出自我李敖之口，外面的反应就多少有点不同。常常是一句真理，因为是我李敖说的，有些傻瓜们就难免赌气：“李敖说该这样，我们偏不这样！”“李敖是什么东西呀！他要我东，我偏要西！”可是，当这句...
001.从《秀嫚信箱》到《上下古今谈》.txt	49	97	97	168	3	我这些话，人们不要又以为是我酒醉后的疯话，这些话不但不疯，并且还是一个伟大而周密的构想。这个构想的基本论是我想朝群众使用“美人计”，用美人的春风，施开明的秋雨，不再由我来表演“秋风秋雨愁煞人”的场面。这种苦心，我想必然得到我的敌人和睁着眼睛罗织我罪状的人的赞同；它如果成功，敌人和我都可安心睡大觉，或者凑上一桌，尽弃前嫌，打他八圈麻将。
001.从《秀嫚信箱》到《上下古今谈》.txt	51	101	101	91	4	我应《台湾日报》发行人夏晓华先生之命，写《上下古今谈》的时候，我们的朋友张继高（吴心柳）先生对我说：“我包你写不过两个月！不到两个月，你们就会受到压力，而不得不停止。我愿跟你打赌。”
001.从《秀嫚信箱》到《上下古今谈》.txt	52	103	103	90	4	对张继高先生的“预言”，夏晓华先生不服气，我也不服气，我们不信。我们开玩笑说，至少要写它六十一天，要比张继高的“预言”多一天。于是《上下古今谈》便哗哩哗啦，开始上下古今地谈起来了。
001.从《秀嫚信箱》到《上下古今谈》.txt	53	105	105	270	5	这个专栏一出世，不出我们预料的，“外界的压力”立刻在四面八方飞来了。当然啦，这些“压力”是朝夏晓华先生头上飞的，而不是在我脑袋上转的。所以常常是在夏晓华先生费劲应付外界麻烦的时候，我正躺在家里睡大觉，并且睡得十分自在。睡醒以后，我挖着脚指头对我自己说：“管他妈的什么麻烦呀！你已经很窝囊了，夏晓华比你还窝囊。发表这些窝窝囊囊的文章，若还构成罪状，‘他们’真未免...
001.从《秀嫚信箱》到《上下古今谈》.txt	57	113	113	89	3	我清楚地知道，在我那些数不清的“不良纪录”中，由于我这一篇“代序”，必然增加一条新的“不良纪录”。为了使撰写纪录的“未来牌友”少一点麻烦，我现在代为拟定草稿一则，以供参考。文曰：
001.从《秀嫚信箱》到《上下古今谈》.txt	59	117	117	85	3	这条代拟的草稿，我想必然可供有关人士的采行，不必另做了。还是腾出时间，多练练“双龙抱”和“全带七”，哪天下战书来比赛，我李敖绝对奉陪，来它32圈，打个你死我活，不亦快哉！
001.从《秀嫚信箱》到《上下古今谈》.txt	64	127	127	174	3	今天报社把韵如小妹的一封限时信转给我，信上说：“高中毕业并没有带给我一丝高兴，因为与我相依为命的父亲在半个月前得病入院就医，家里再也找不出一个人能助我一臂之力，在医院里看顾父亲，眼看大专联考即将来临，若是多花时间看书，则父亲将疏于看护，但我又非常想参加联考继续念书。刘姐姐：若是我参加联考而不能日夜照顾父亲，这样我是不是不孝？请告诉我该怎么办呢？”
001.从《秀嫚信箱》到《上下古今谈》.txt	70	139	139	100	3	这两天接到不少读者的来信，问题是五花八门，有些超越了本信箱的范围，只好撇开不谈；有些是同一性质的，便在这里和大家谈谈。因此我特别要说明是——本信箱将不会给读者回信，而只是在报上对问题提出我个人的看法。
001.从《秀嫚信箱》到《上下古今谈》.txt	71	141	141	152	5	青年本来多疑问，再加上社会环境的复杂，更使我们适应起来左右为难。例如在来信中，有一位同学说：“英语这一门课是我最喜爱的，每次考试的成绩，都在全班中前十名之内。但是，这学期的英文成绩却愈来愈坏。上英语课已成为我最苦恼的事！我对英语老师，非但不喜欢看到他的样子，而且对他有一次在班上训斥我的事，念念不忘呢！”
001.从《秀嫚信箱》到《上下古今谈》.txt	75	149	149	190	6	今天我看到一封来信，是一位父亲问到有关孩子的偷窃行为，信上说：“我有三个孩子，大女儿八岁，很乖很可爱，老二是个儿子，又任性又顽皮，最小的也是个男孩刚满十个月，长得又白又胖，很是讨人喜欢。近半年来，内人和我发现老二有偷窃行为，不只是偷家里的东西，甚至于在外面也常犯偷窃的毛病，打他、骂他，想尽方法纠正他，但也只能乖几天，唉！真是又急又气，该怎么办呢？难道说，这孩...
001.从《秀嫚信箱》到《上下古今谈》.txt	77	153	153	366	3	孩子的偷窃动机，有的是出于好奇，是无意的，他们不知道私有财产的意义，看到喜欢的就想拿。遭遇到阻止，直觉就告诉他，采取秘密行动要方便得多！另一种偷窃动机，却是一种不满与敌意的反抗！例如：小孩子想得到某种玩具，父母不给，于是就会有偷窃行为；或是在家里得不到父母的宠爱，在兄弟姐妹中不受父母的重视！就如这位父亲所说的老二，因为有了小弟弟，父母就不再多注意他！姐姐又是...
001.从《秀嫚信箱》到《上下古今谈》.txt	81	161	161	103	4	当我一口气，看完唐先生长达五页的来信时，对于目前社会人心狭窄，风气败坏，确实也有同感。他信上说：“目前社会上，宽恕的君子风度渐渐消失，然接而替代的，却是一些野蛮的报复行为，这种风气的形成，真是令人寒心……”
001.从《秀嫚信箱》到《上下古今谈》.txt	83	165	165	145	3	记得有句格言：“宽恕人的过失，就是自己的荣耀。”本来嘛！过去了的事情，是无法挽回的，但若时时刻刻不忘报复之念，创伤则永难痊愈！一分钟所做的报复行动，将是一分钟后的永远遗憾！因为人生是由许多的分分秒秒所积成的！在这一分钟失败了，但尚有许多的时刻需要创造！不要为一分钟的冲动，而毁了整个的一生！
001.从《秀嫚信箱》到《上下古今谈》.txt	84	167	167	89	3	一个有人格有修养的人，对于现在及未来的事业，还怕不暇于应付呢！所以忘了创伤！宽恕、容忍吧！有一天，当你成功了，你会为当初幼稚的报复之念发笑呢！（1965年7月18日《中华日报》）
001.从《秀嫚信箱》到《上下古今谈》.txt	87	173	173	82	4	一位同学来信说：“平常六天忙着上学和准备功课，总是感到时间太少，而不能做其他的事。如今，放了暑假，一下子空出来这么多时间，反倒不知道该做些什么事才好，您说好笑吧？”
001.从《秀嫚信箱》到《上下古今谈》.txt	88	175	175	206	5	确实是这样的，常言说：“习惯成自然”，人们的生活方式或起居作息，时间久了，也会形成种种的惯性，如果突然地改变了，便会有无所适从的感觉！在社会上为公众服务的工作者，如果一天不去上班，便会闲得心绪不定，即使待在家里，心里也会时时念着办公室的种种，还有，那些天生劳碌命的人，更是闲不得一刻。但是，说也奇怪，人们在忙的时候，总希望能偷得浮生半日闲，自由地支配那点儿偷来...
001.从《秀嫚信箱》到《上下古今谈》.txt	89	177	177	87	3	跟做事的朋友们聊天，常听他（她）们说：“学校生活最使人留恋了，尤其是放假。”可不是吗？如果公家机关每年也放上几个月寒假或暑假的话，那该有多开心啊！当然，这只能天真地想想罢了。
002.开场白——“浪子”回头.txt	4	7	7	317	5	所谓“浪子”（Boheme），我的意思是指19世纪30年代以后的巴黎文人。他们从穷困中开创新境界，对恶劣的环境不满意、不屈服，任凭社会对他排挤，让他“浪”迹天涯，他仍是要把他的热情和抱负投向社会。他不在乎人们要跟他“相忘于江湖”，人们可以忘掉他，让他流浪，但他却不忘掉人们。他要震聋醒聩、要追击不舍。最后他要成功，要把社会改造，把人们叫醒。这是他的真精神。16...
002.开场白——“浪子”回头.txt	8	15	15	91	3	如今又是江湖满地的时候了，我这个江湖浪子，“俟河清”也俟了十六年了，仍旧落得笔杆报国，想来实在惭愧。所以在这个小专栏开始的当儿，我什么话都先不说，只拱拱手，高叫两声：“惭愧，惭愧！”
003.破题——从《人间喜剧》说起.txt	2	3	3	156	3	《开场白——“浪子”回头》里提到的巴黎浪子，最早出现在巴尔扎克的《人间喜剧》（La Comedie Humaine）里。在这套《人间喜剧》最后完稿后90多年，美国的萨洛扬又出现了他的新的《人间喜剧》（The Human Come by）。这两出喜剧，虽然在同一书名下亮相，可是它们所代表的时代意义，却相差得很多。
003.破题——从《人间喜剧》说起.txt	3	5	5	119	5	当夏晓华先生订下《上下古今谈》的总题目，征求我同意的时候，我问他说：“56年前，吴稚晖先生曾写过一部《上下古今谈》，现在我们用同样的题目，会不会嫌重复了？”夏先生说：“时代变了，我们有我们的写法和看法。这是一个好题目，重复又有什么关系？”
003.破题——从《人间喜剧》说起.txt	5	9	9	136	3	回想半个世纪前，吴稚晖老头儿写《<上下古今谈>序》，说他的目的，在“欲与今之青年，上下于古今”。33年后，他又在《重印<上下古今谈>序》中说明写这部书的目的：“上下古今谈者，上下言宇宙，古今言历史。”可见吴稚老的本意中，《上下古今谈》乃是“宇宙”、“历史”都要谈的大题目。
003.破题——从《人间喜剧》说起.txt	8	15	15	160	4	吴稚老的《上下古今谈》，有它的时代意义。但是今天看来，不论文体、思路与内容，都难免落伍。这是时代的进步，并不是个人与原书的悲哀。王羲之《兰亭集序》里说得好：“后之视今，亦犹今之视昔。”56年以后——我86岁的时候，《台湾日报》19965号的时候——后生小子们重看我这些《上下古今谈》，岂不还是要大笑“李敖，那老混蛋”吗？
005.“古今”与骆驼.txt	8	15	15	139	3	用上面这个“牵骆驼”的故事，来印证中国的民族病，最有意思。中国的一个民族病是“托古病”。中国人一说话，最爱上托古人。例如孔夫子牵尧舜为骆驼，卖草药；朱熹又牵孔夫子为骆驼，卖草药；钱穆又牵朱熹为骆驼，卖草药……又流风所及，“今”人总是爱牵“古”人为骆驼，卖那与骆驼毫不相干的草药。
006.“谈”什么？.txt	3	5	5	107	3	上个月29号，夏晓华先生在台北“欣欣餐厅”请我吃饭，他欣然提出三点关于《上下古今谈》的意见，我觉得都蛮好，所以欣然接受。夏先生希望我都能用我的话，把这三点写出来，我认为也无不可。因此“剽窃”夏先生的看法，以晓华人：
007.对“好人”播音.txt	2	3	3	79	3	吴相湘先生最近因反对黑暗势力辞去台大教授的时候，他对我说：“我这回‘退让贤路’了！”我回答他说：“吴老师，你错了，你退让的不是贤路，而是道道地地的‘恶路’！”
007.对“好人”播音.txt	3	5	5	120	5	什么叫“退让恶路”？退让恶路是好人或以好人自许的人，用消极而退缩的办法，自承斗恶人不过，最后下台鞠躬，关门叹气，听任坏蛋们昏天黑地地乱搞。最后如张伯苓先生所说的：“这个年头儿，就是因为‘坏人都在台上唱戏，好人蹲在屋里叹气’，才愈来愈糟糕！”
007.对“好人”播音.txt	4	7	7	141	5	对这个问题，我自己有更特殊的看法。我认为：天下坏事的造成，有两个原因，一个是“恶人做坏事”；另外一个是“好人容忍、坐视，甚至默许恶人做坏事”。结果呢？有能力或可能有能力的好人，在有机会或可能有机会的时候，放弃了打击恶人、阻止恶人做恶的行动。于是天下的坏事，也就一件一件的蔓延起来了。
007.对“好人”播音.txt	5	9	9	202	5	今天的好人或以好人自许的人，他们最大的毛病，乃在消极有余，积极不足；叹气很多，悍气太少。结果他们所能做的，充其量只是“独善其身”而已，绝不是“普度众生”的好汉。但是最后，恶人并不因为好人消极叹气就饶了他们，恶人们还是要欺负好人、强奸好人，使他们连最起码的“独善其身”也善不好，连佛教中最低级的“自了汉”也做不成。最后只得与恶人委蛇，相当程度的出卖灵魂，帮着恶人...
007.对“好人”播音.txt	7	13	13	120	3	今日中国的好人们，或是以好人自诩的人们，我们必须彻底认清好人的立场与使命，更要认清好人应该怎么做（不是怎么叹气），才算不是无能的“好好先生”或“烂好人”。我们要明白知道“退让恶路”的结果，是自己“无路可走”。不相信我的话的人，他们等着瞧吧！
008.不仅仅是做“好人”.txt	2	3	3	143	3	四十三年前的5月13号，蔡元培、王宠惠、罗文干、汤尔和、陶行知、王伯秋、梁漱冥（溟）、李大钊、陶孟和、朱经农、张慰慈、高一涵、徐宝璜、王征、丁文江、胡适等十六个人，在《努力周报》第2期上，登出了《我们的政治主张》。他们集体提出了“好政府”的要求，并且要求“好人”要有奋斗的精神。他们说：
008.不仅仅是做“好人”.txt	6	11	11	176	4	所谓“做奋斗的好人”，就是要挺身出来，向恶人和恶势力作战、向老朽和开倒车作战、向腐败的传统作战、向社会的黑暗作战、向群众的愚昧作战、向头脑不清的混蛋作战……“奋斗的好人”不会唉声叹气，不会“空兴叹”，不会长叹，也不会浩叹，他不会做这些无聊的弱者的哀鸣。他是一个战士——一个实际的战士，他要经常在“剃刀边缘”，打那诗人勃朗宁所谓的“最好的又最后的”一仗。
009.大奶奶运动史.txt	4	7	7	167	4	不论在中国在外国，女人都经过一段束胸的历史，都在装饰上，未曾大力强调过大奶奶的可爱。在中国，女人们胸部的解放是在民国以后的事，提倡风气的有被称为“性学博士”的张竞生，以及我们那位全世界见到女人乳房次数最少的“哲学博士”胡适。他们两位虽然都鼓吹“大奶奶主义”，但是后者曾被前者痛斥过一次，理由是胡适之对女人乳房的知识太差，所以闹了笑话。
009.大奶奶运动史.txt	5	9	9	201	3	在近代中国妇女运动史上，有两个重要的实际推动者：一个是冯玉祥，他对河南女人小脚的解放，用心最苦；另一个是朱家骅，他对广东女人乳房的解放，功劳最大。朱家骅在民国16年做广东省民政厅长，大力提倡“天乳运动”，惹得守旧的老广们大骂“丢你老妈唉”，埋怨这个“外江老”败坏广东地方的名教。但是朱家骅不管，还是要提倡，因为他深切了解束胸对国民健康的不良影响，他知道女人乳房...
010.由大奶奶到上空装.txt	5	9	9	127	3	上空装的基本旨趣，在于它从根本上否定了服装不能露大奶奶的禁忌，从根本上不承认“汉子能光老娘不能光”的旧传统。它的出现，活生生地告诉了我们，“色即是空”到底指的是什么；同时也告诉了我们，千百年传统中认为绝不可能的观念，在今天的世界里，说可能就突然变为可能。
