file	paragraph	line_start	line_end	char_count	score	snippet
001.扉幕——JOHN-JOHN开场白.txt	3	5	5	739	3	我是J-O-H-N，我是JOHN，不是小写的john，是大写的JOHN，我是最有名的美国A片演员，当然是主角。我是白人，当然是WASP。也是大写的，不大写，就变成wasp，变成黄蜂了。大写的WASP当然不是黄蜂，是W（hite）A（nglo-）S（axon）P（rotestant）（盎格鲁撒克逊白人新教徒）4个字的龟头，我们是骄傲的人种，我们有骄傲的上帝，不...
001.扉幕——JOHN-JOHN开场白.txt	10	19	19	159	3	1976年11月《风流客》（Swingle）杂志有一则漫画，画一位老公躺在未盖的棺中，他的老相好对另外一位女士说：“这是我第1次看到他不硬的时候。”（It's the first time I ever saw him without an erection.）若把笑料当医理判断，这位老公生前，一定得了我说的这种病。
001.扉幕——JOHN-JOHN开场白.txt	15	29	29	238	4	我是美国Ａ片的大明星，我太有资格品头论足了，当然，阳痿的是我的国家不是我。My Country，hard or soft（不论软硬，皆吾国也）是我JOHN-JOHN关心的；My Country，right or wrong（不论对错，皆吾国也）是美国总统关心的。现在，美国总统得到了报应，因为上帝发怒了，上帝要提前“最后审判”（Last Judgment）。正...
002.序幕——最后审判.txt	14	27	27	74	3	突然间，灯光变暗了，一道光束出现，焦聚在高台的右角、焦聚在一位白衣天使身上。天使立正站好，双手半举，清丽的声音响起：“请听好，现在宣布：起——立！”
002.序幕——最后审判.txt	29	57	57	50	3	克林顿：而我们不论早生早死、晚生晚死或没死，都一网兜收，这些画面，太像是……是……是“最后审判”了。
002.序幕——最后审判.txt	30	59	59	12	3	众口一声：“最后审判”？
002.序幕——最后审判.txt	31	61	61	18	3	克林顿：（胆怯，轻声）“最后审判”。
002.序幕——最后审判.txt	36	71	71	189	3	灯光变暗了，又渐渐从左方冒出强光，天使们簇拥着，从大宝座后面走出黑袍的身影。身影入座了，光线慢慢聚焦在他脸上。他是东方人、中国人。他一脸扑克，但却像是装出来的。因为扑克脸背后，闪烁的，分明是七分正义、三分慧黠。里子看来是救世的，面子却是愤世的、讽世的，甚至玩世的。所以，用严格的刻板的定义，他不像是法官。为什么要像呢？按照“最后审判”的规则，坐在正殿的，是上帝...
002.序幕——最后审判.txt	38	75	75	265	4	异端按说是不信天堂地狱的。没关系，异端也要点氛围啊，天使你总可以接受吧？你可以说你在天使的一边，“I am on the side of the angels.”当然异端是斤斤计较的，最后的协议是：天使站在我的一边，“The angels are on the side of me.”不过，还不行，为什么天使要复数？真的天使，一个就够了，但丁（Dante）心...
002.序幕——最后审判.txt	52	103	103	29	3	上帝李：（起立，槌一敲）现在宣布“最后审判”开庭（坐下）。
002.序幕——最后审判.txt	54	107	107	120	3	（被告都坐下了，最后塔夫脱也吃力地朝下坐。他一手按住老罗斯福肩膀，老罗斯福扭动着，满脸不悦，骂道：Son of bitch.你这狗娘养的。塔夫脱回答道：Now we are all sons of bitches.我们现在都是狗娘养的了。）
002.序幕——最后审判.txt	67	133	133	27	3	亚当斯：“最后审判”不是你们东方的，也不是你们中国的。
002.序幕——最后审判.txt	68	135	135	93	4	上帝李：希腊的圣山，是奥林匹斯山（Olympus）；中国的圣山，是泰山。奥林匹斯山有希腊的群神与上帝，泰山有中国的群神与上帝。“最后审判”的主持者，因为奥运移到中国，就改由中国人主持了。
002.序幕——最后审判.txt	76	151	151	52	3	上帝李：所以，今天你就开了眼界。中国的神来了。今天是由中国的神主持“最后审判”，在你面前，是中国的上帝。
002.序幕——最后审判.txt	77	153	153	33	4	亚当斯：“最后审判”？我们基督徒的“最后审判”？你们是吗？你是吗？
002.序幕——最后审判.txt	82	163	163	146	7	上帝李：试问这法庭怎么来的？这法庭其实就是你们基督教“最后审判”或“末日审判”，我们不信基督教，但我们信“最后审判”，所以，可以这么说，大家在“最后审判”上人同此心、心同此理，你就以受“最后审判”的心情应讯吧。别再问我是谁了，按照你们基督教的说法，我是上帝。按照我们中国的说法，我是泰山的王。
002.序幕——最后审判.txt	83	165	165	37	3	亚当斯：你们是基督徒吗？“最后审判”是我们基督徒的信仰，你们凭什么审判我？
002.序幕——最后审判.txt	84	167	167	245	6	上帝李：谁说“最后审判”是你们基督徒专利了的？佛教比你们基督教还早吧？佛教讲究“死后有报，纤毫受之”，指死后要跟你算总账，账算得很细很细，细到一根毛都跑不掉，所以要人生前“莫轻小恶，以为无罪”，“最后审判”起来，大罪小罪都清清楚楚，没有一个逃得掉。总之，“最后审判”是普世的，不是基督教只此一家的，何况你们基督教也不是哪一家说了算的。你看，你是“唯一神教派”（...
002.序幕——最后审判.txt	85	169	169	90	4	亚当斯：哦，“最后审判”的单位应该是神职的，可是这个法庭看来很陌生，请问你们是私人的吗？如果是私人的，那就是私设公堂的“袋鼠法庭”（Kangaroo court）了。那可太流氓了。
002.序幕——最后审判.txt	86	171	171	122	3	上帝李：流氓？我看你只凭3票赢得总统宝座，外号“三票总统”（President by Three Votes），就有点流氓。并且，你在莎士比亚（Shakespeare）故居参观时，你竟从一把椅子上切下一块木头做纪念品，不但流氓，并且还是小偷呢！
002.序幕——最后审判.txt	88	175	175	465	3	上帝李：你谈到流氓。14世纪但丁的《神曲》（Divine Comedy）书里，就审出来一大堆下地狱的，但丁是流氓吗？正好相反，你们美国人在世界许多地方私设公堂，反倒真正“袋鼠”、真正Kangaroo呢，你好意思质疑我们这法庭，你的语气才流氓呢。并且，你们美国流氓，不止于黑社会或小团体的Kangaroo，你们整个国家都是呢，你们用你们与世界文明抵触的国内法，以...
002.序幕——最后审判.txt	89	177	177	46	3	亚当斯：上帝李啊，真会说话。我只是告诉上帝李我是基督徒，“最后审判”的程序希望是基督教式的。
002.序幕——最后审判.txt	92	183	183	122	5	上帝李：“最后审判”比中世纪还早得多呢。亚当斯先生，你不懂eschatology（末世论）了，死后审判在佛教里、伊斯兰教里都有。照基督教神学，也许美国总统的“最后审判”有的还可喘口气，要是伊斯兰教的安拉（Allah）出来审，你们通通万劫不复了。
002.序幕——最后审判.txt	103	205	205	28	3	亚当斯：“最后审判”？审判要有审判官，可以知道你是谁吗？
002.序幕——最后审判.txt	108	215	215	283	3	上帝李：从《启示录》第4章第2节、第9节；第5章第1节、第7节、第13节；第6章第16节；第7章第10节、第15节；第19章第4节；第21章第5节，你早该知道坐在宝座上的是上帝。当然，你也可以说是耶稣，因为《约翰福音》第5章第22节指出：“父不审判人，却已经把审判的权柄完全交给子。”（The Father judges no one，but has give...
002.序幕——最后审判.txt	110	219	219	85	3	上帝李：像不像由你决定吗？你见过上帝本尊吗？中国的周联华牧师，特别解释《启示录》这段经文说："约翰不敢看坐在上面的，所以无从描述。约翰都“无从描述”，你更“无从描述”了。
002.序幕——最后审判.txt	111	221	221	36	3	亚当斯：但是，这是具体开庭啊，我们总要看到点西方的“最后审判”的画面啊。
002.序幕——最后审判.txt	112	223	223	170	5	上帝李：你要像西方的“最后审判”画面吗？我可以给你们，你们会后悔。要谁的画面？从西尼奥雷利（Signorelli）到戈佐利（Gozzoli）到米开朗基罗（Michelangelo），从巴托洛梅奥（Bartolommeo），到卢卡斯·范·莱登（Lucas van Leyden）都画过“最后审判”。我随手调来米开朗基罗那大手笔吧（把手一挥）。
002.序幕——最后审判.txt	114	227	227	67	3	上帝李：（站起来，把手一挥，向前做个半圆形）你喜欢西方的“最后审判”程序吗？我们也如法炮制一下，你们被告也就别穿衣服了（再把手一挥）。
003.第1幕——审判华盛顿.txt	2	3	3	69	3	上帝李：（起立，槌一敲）现在宣布“最后审判”第1庭开庭（坐下）。先传被告美国第1任总统乔治·华盛顿（George Washington）。
