file	paragraph	score	chars	preview
001.“只有一师吗？”.txt	1	2	8	“只有一师吗？”
001.“只有一师吗？”.txt	2	3	186	碰到段昌国、韩崇智（周渝东海同班）、黄小姐。昌国转告萧启庆在普林斯敦说李敖抵得住国民党一师的军队。我笑着说：“只有一师吗？”启庆，老友也，来台讲学一年，不敢来看我。国民党的恐怖不只它本身，而是它衍生出来的使人“自己吓自己”的恐怖感觉，它能使高等知识分子人人俯首帖耳、人人噤若寒蝉，高等知识分子一一成了逃世的懦夫的时候，国民党的作恶，也就更无忌惮了。（1984年5月14日）
003.新女性下场.txt	3	3	70	一代影后丽塔海华丝的故事，最近由哥伦比亚公司拍制成电视影片——《爱神丽塔海华丝》，并由“神秘女超人”琳达卡特复出担纲，预定在今年底以前推出。
003.新女性下场.txt	10	3	20	雅丝明汗说：“酒精伤害了她的头脑。”……
003.新女性下场.txt	12	2	24	王子曾经表示过：“丽塔是一名小职员的理想娇妻。”
003.新女性下场.txt	19	2	89	一名好莱坞的内幕人士透露，“多年来，大家都认为丽塔的脾气古怪、健忘和跷戏都是酒精的影响，事实上，是她的怪病使她走入困境而每况愈下。加之朋友利用，使她的金钱受损，心灵伤害无以复加。
003.新女性下场.txt	20	2	47	“丽塔的五次离婚，都没有向对方要过一毛钱，最穷的时候，她为了一架电视机，而宁愿上台出洋相……”
003.新女性下场.txt	25	2	66	此文述新女性下场，事实一应俱全。女人有好条件就闹闹闹，闹到“一个人坐在椅子上，痴呆地盯着窗外”而后已。悲夫！（1984年5月16日）
005.施不全的尊容.txt	2	3	81	顾公燮《消夏闲记》说：“康熙时苏州旅抚军世纶，系将军（施）琅之子。以功荫。貌甚奇，眼歪、手卷、足跛、口偏。”这位福建晋江佬，显然是个畸形人。《清史稿》有这样一段：
005.施不全的尊容.txt	3	3	151	（康熙）四十年，湖南按察使员缺，九卿举世纶，大学士伊桑阿入奏，圣祖谕曰：“朕深知世纶廉，但遇事偏执，民与诸生讼，彼必袒民；诸生与搢绅讼，彼必袒诸生。处事唯求得中，岂可偏执？如世纶者，委以钱谷之事，则相宜耳。”是岁授湖南布政使。湖南田赋丁银有徭费、漕米有京费。世纶至，尽革徭费，减京费四之一，民立石颂之。
005.施不全的尊容.txt	4	3	41	《清史稿》又说他“当官聪强果决，摧抑豪猾，禁戢胥吏。所至有惠政，民号曰‘青天’”。
006.拉着他.txt	4	4	52	江鹏坚在俞院长做完施政报告，主席倪文亚裁定由俞院长做综合答复之后，立即表示异议，他上台提出程序问题表示：
006.拉着他.txt	13	3	89	在卜少夫质询完毕，主席倪文亚仍然裁决由俞院长综合答复，卜少夫欲上台抗议，然陈桂清与赵自齐两委员又拉着他，他即在座位上叫喊：“若如此，则每个人都不能要求即席答复。”接着他走出会场。
007.俞国华的谎话.txt	4	2	60	俞院长表示，行政院于12日施政总质询当天，才将施政方针报告送达立法院，他表示抱歉，但行政院这样做，也有“不得已的苦衷”。
007.俞国华的谎话.txt	6	3	88	我真奇怪，连国民党总统文告都是先发表后再在大会中“再念一遍”，俞国华的谎话，岂不太好笑了吗？国民党的总统都不“尴尬”，做奴才的俞国华又何“尴尬”之有呢？（1984年6月16日）
008.大盗面前布袋戏.txt	2	5	185	在专制政治之下，臣子间以“直声”互相攻击，一如布袋戏中角色的互相攻击，操纵者，专政者之两手耳。自古所谓直臣也、御史也，正人君子了半天，最后是“伏乞皇上”、“伏乞皇太后皇上”的伏乞格局，走狗互咬而已、奴才争宠而已，置窃国大盗于不问、不敢问，是大盗面前布袋戏角色而已。国民党中的所谓好人、所谓清流、所谓正人君子、所谓正义之声，自无一例外，洵可如是观。（1984年7月14日）
