file	paragraphs	title	status	reason
001.现代化的爱情——一个导论.txt	21-21	朱彝尊不删风怀诗	keep	有明确人物、朋友劝删、本人拒删的转折，用来说明泛道德主义下少见的爱情勇气。
001.现代化的爱情——一个导论.txt	25-25	和凝否认香奁诗	keep	短小但有动作和笑点：做官后否认旧作，用来说明文人的双重脸孔。
001.现代化的爱情——一个导论.txt	11-15	盘古、亚当、王昭君、爱德华八世、唐明皇、吴三桂	exclude	多为宏观对比和历史点名，不是独立讲完的小故事。
001.现代化的爱情——一个导论.txt	37-37	红楼梦查禁反击	exclude	属于文字辩护和文本举证，不是故事。
002.女人三论.txt	27-27	伊斯美装聋谈判	keep	人物、场合、策略、反差完整，用来说明选择性记忆。
002.女人三论.txt	5-21	女人三论其余段落	exclude	多为概念判断、清单或泛化心理描写，不收。
003.李敖先生谈女人（语录）.txt	15-15	女男平等女学生	exclude	单句观察加推想，情节太薄。
003.李敖先生谈女人（语录）.txt	19-23	女人见面夸漂亮和买大衣	exclude	泛化场景和假设笑话，不是具体故事。
003.李敖先生谈女人（语录）.txt	37-37	张默君量旗袍	keep	具体人物、场景和动作完整，是李敖用来说明“美化环境”的讽刺小故事。
003.李敖先生谈女人（语录）.txt	45-45	石崇敲珊瑚比阔	proofread_drop	校对轮删除；原文只是“你还记得……故事吗”的典故提示，没有把故事讲完整。
003.李敖先生谈女人（语录）.txt	其他段落	exclude	定义、比喻、假设或泛化判断，不作为故事。
004.灵感零捉.txt	全篇	exclude	警句和概念游戏，没有具体人物行动链。
005.论知识人的动向.txt	15-19	耶稣败局后的十九世纪	proofread_drop	校对轮删除；主体是书信论辩和英文引文，不是独立小故事。
005.论知识人的动向.txt	其他段落	exclude	书信论辩和价值表白，不是故事。
006.怪定义四则.txt	全篇	exclude	定义体文字，无叙事。
007.日记八则.txt	5-17	王世杰删序链条	exclude	虽有情节，但属李敖自己的论战事件，按当前口径不收。
007.日记八则.txt	47-57	孙中山、林森信件	exclude	文献引述和政治劝告，不是李敖讲小故事。
007.日记八则.txt	65-65	曾国藩后人信洋教	keep	人物、因果、反讽完整，用来说明“捍卫中国文化”的反报。
007.日记八则.txt	其余段落	exclude	诗作、信仰条列、文字考据和私人会面，不收。
008.王世杰“蒙混舞弊”的铁证.txt	全篇	exclude	案情证据和腐败案例清单，容易把项目带回事件合集，本轮整体排除。
