file	paragraph	score	markers	text
107.大阴人.txt	12	26	故事|有一次|结果|最后|问|说|讲|杀|死|皇帝|太后|小孩	可是这个大阴人嫪毐啊，他是个粗人，没有什么，不像吕不韦这样子有修养，他跟别人吵架或者喝酒的时候，很神气，会讲出话来，讲错话。有一次就讲出来，他说：“我是皇帝的假父”，假爸爸，因为我是跟太后睡觉的。这个事情就传到了秦始皇耳朵里面，秦始皇那个时候二十二岁了，也不是小孩子了。最后秦始皇动手把他车裂了，车裂就是五马分尸，把这个大阴人嫪毐杀掉了。然后把他两个弟弟呀，放在麻布口袋里面封起来，摔死了。秦始皇当然很凶狠，所以解决了这个问题。可是秦始皇不晓得他真正的爸爸就是吕不韦，所以对吕不韦也不满意，结果吕不韦也说不破，说“当年我跟你妈妈怀孕以后，送给庄襄王”，有苦说不出。所以吕不韦也自杀了，所以“奇货可居”的故事到此就告一段落。
113.李敖有三窟.txt	16	26	故事|笑话|忽然|结果|后来|原来|说|讲|死|父亲|母亲|学生	这一次呢，有一个有趣的事情，我的老同学程国强，他们就请我吃饭，我去了。喔，忽然里面好几桌，我才知道原来是程国强六十岁的生日，请了那么多，除了我们老同学以外，还请了好多桌，这个就违反我的原则了，就是婚丧喜庆，这属于庆。我当然既然来了嘛，只好就坐下来，坐下来程国强他们就逼我讲几句话，我也只好讲，我说“有一个有名的歌星叫做斯义桂，他当时回台湾来以后，人家请他吃饭，吃饭以后说请你唱个歌，他站起来就讲，他说‘我唱一个歌两百美金，你们可以点唱，谁出两百美金我就唱一个歌。’”换句话说，请吃饭归请吃饭，要唱歌是另外付钱的，大家弄得很窘都不敢请他了，那我说“那我今天你要我讲话的话呢，要付四百美金，我才讲话。”所以我就坐下来，大家就笑。过了一阵子以后，程国强，我讲我老同学程国强，他又不服气，又要我讲话，我又讲了他父亲的一个故事，他父亲叫程烈，是个老贼的立法委员，当然已经死掉了，程烈是什么人呢？程烈是我父亲在吉林四中的学生，我父亲是校长，他是学生。听说一个故事就是程烈追我母亲，我母亲当时是吉林女子师范的篮球的选手，很漂亮也很有名的，我父亲也追我母亲，我父亲的学生程烈也追我母亲，后来我父亲成功了，并且程烈被开除了，程烈直到台湾，师徒两人直到台湾才恢复邦交，才又恢复了师徒的关系，当年的程烈是被开除了，有这么一个笑话，然后就说程烈跟我父亲都追我母亲，结果我父亲成功了，我当时讲这个笑话，我说“幸亏我父亲成功了！如果我父亲失败了，今天我李敖就是程国强了！──因为程国强没有了，我就是程国强了！”我还开过这个玩笑。
005.三毛流浪记.txt	12	25	故事|有一次|有一天|一天|忽然|最后|问|说|讲|死|坐牢|小孩|医生	到了台湾以后，忽然一个女作家出现了，她的名字叫三毛，这个女作家最近死掉了。有一次，我第一次坐牢出来，皇冠的老板平鑫涛先生请我吃饭，在座就请来一个人陪我吃饭。她的名字就是三毛，三毛呢第一次见我，也是最后一次。她跟我谈，她说：李先生，我为了关怀人类，我特别到非洲去，去援助那些黑人的小孩子，黑种人。我要像史怀哲医生一样，到了非洲去帮助他们。我就反问了这个三毛，我说：第一点，我们很多黄皮肤的小孩子，也需要我们的援助，为什么你没有援助他们呢？而跑到那么远的非洲去援助那些黑皮肤的小孩子呢？并不是说黑皮肤的不应该援助，而是说我们黄皮肤的人也应该援助，离你最近的，跟你更亲的，为什么你不援助他们呢？这第一点，我感到很怀疑的，很困惑的。第二点，我说三毛啊，史怀哲医生从欧洲到非洲去的时候，他丢掉了他所有的财产。他没有说有一天我还在非洲留下一块房子，什么加那利岛上留块房子，在做后退的退路，你还留下来退路，留下了房子。我说你这种援助，这种学史怀哲医生，是不是有点不对劲哪？当时三毛脸就红了，就讲不出一个所以然来。她也在流浪，不过她的流浪是在非洲，天涯海角。跟那些也搞不清真假的那些荷西荷东的那些情人们，纠缠不清的这些故事，都是男女之间的这些爱情的故事。我觉得他们是在那么幸福的状态，那么样有钱的状态，做这种事情，而她用“三毛”两个字，我觉得她真的是污辱了三毛。
112.从“也”字谈起.txt	9	25	故事|笑话|忽然|说|讲|逃|死|嫁|小孩|太太|老师	我讲这个故事证明了国民党的无知，证明了我们大家常常不了解一些真相才闹出这些笑话。好了，现在我谈过了，刚才古代的这个蛇字没有虫字边的，就是这么一个它字，现在叫做蛇。我们每个人都会讲，有时候讲的一个成语，一般人讲的叫“虚与委蛇”。错了，这个字不念蛇，念蛇〔yi〕，叫“虚与委蛇”。所以我们说敷衍，你跟我纠缠不清，我跟你敷衍敷衍，跟你周旋一下敷衍几句话，我逃掉了，叫“虚与委蛇”，这个不念蛇。从前一个故事，欧阳修，我们讲唐宋八大家，这有名的文章家，他有一个好朋友姓刘，开他玩笑。姓刘开什么玩笑呢？就是欧阳修本是是谢家的女婿，他讨了大小姐，嫁给他。二小姐嫁给一个王先生，可是他的老婆死掉了，嫁给他以后死掉了。死掉了以后，这欧阳修又讨了三小姐做了太太。所以当时这二小姐的丈夫王先生，就写了一副对联就挖苦他，开他玩笑。说“旧女婿成新女婿”，本来是旧女婿，然后变成新女婿。“大姨父变小姨父”，本来你是我的大姨父的，忽然变成我的小姨父，就开这个玩笑。但这个刘贡父，他好朋友刘先生啊，就跟他开个玩笑，他说有一个小故事我讲给你听。他说一个小孩子在私塾里面念书，就念到四个字，小孩子念“虚与委蛇(she)”。老师说这个字不念蛇(she)，这个字念蛇(yi)，这个字念(yi)不念(she)，记住了吗？记住了。过两天小孩子他上街就看到有那种卖蛇的，弄蛇的，玩蛇的人。小孩子就回来了，他说我看到了，人家在卖蛇的人。他说那个卖蛇的人，先弄大蛇，后弄小蛇，先弄大的蛇，后弄小的蛇。就是先弄大姨，后弄小姨。他就跟他讲，小孩子说，就不叫蛇(she)了，叫蛇(yi)。先弄大姨，后弄小姨，就这样子。
122.此度见花枝，白头誓不归.txt	19	25	故事|结果|后来|最后|说|打|死|将军|坐牢|儿子|太太	后来呢，这个杜将军在大陆，共产党就请他做什么呢？放出来以后，就做文史专员，就是叫他回忆这些过去的战史。这是杜聿明做中将时候的照片——中将的照片。这个就是他后来坐牢以后，放出来，在共产党这边，投降了，做这个文官的照片。这个就是杜太太年老时候的照片。那杜太太呢，她就不肯回到台湾来。后来杜将军死了以后，这个国民党又打主意，如果死了以后，能够把杜太太运回台湾来，也好嘛，也是一件好事情呀。结果我们看到文件就看到了——“内政部入出境管理局”的一封信。“受文者：杜致勇、杜致义”，就是一对双胞胎，看到没有，就是刚才我说的，“等四人”。“副本收受者：总统府第一局”，“奉交下”，总统府交下的，“台端等上总统报告”。“关于拟接”，希望你接，“令堂”，你妈妈，“曹秀清女士由大陆来台定居一节，应等到令堂由大陆到达香港后，请你向九龙什么什么地方，联络申请”。这个整个的国民党的作案，叫他们来申请，就是说我们要把妈妈接出来，然后给个官样文章，等你妈妈到了香港，你们再去。果然在杜将军死了以后，杜太太到了香港，因为还是想跟双胞胎儿子见面呀，跟女儿见面呀。到了以后，他们这个双胞胎的儿子、姐妹们到香港就请杜太太回来，杜太太死也不肯，她绝对不要再回台湾，她最后死在了中国大陆，整个的故事就告一段落。
126.干你老蒋庙！听那灰色马.txt	11	25	故事|有一天|一天|后来|最后|说|逃|打|抓|死|小孩|儿子|母亲	这是什么一个故事呢？这个故事是一个西班牙的一个革命党逃到了法国，住在一个小公寓里面，烂公寓里面，很潦倒。他临走以前跟他妈妈说，我们总会再看一面的，我虽然逃掉了，可是我要见你一面，然后逃到法国去了。有一天一个小孩子来找他。小孩子什么人呢？小孩子就是他以前共产党的同志，革命战友。亲蜜的革命战友被打死了，他的一个小孩子。小孩子翻过山来，从西班牙到了法国来找他。说你不是革命英雄吗？你不是共产党吗？请你帮我爸爸来复仇，回西班牙帮我爸爸来复仇。他听了以后很难过，什么原因呢？小孩子爸爸是他亲密的战友，共产党，被打死了。小孩子不懂事，翻过山来，从西班牙跑到法国来找他，认为他是英雄，认为他是革命党。希望他重新回西班牙革命，然后替他爸爸报仇。可是他自己无能为力，他是个潦倒的失败的革命党。失败的共产主义者住在法国的一个烂公寓里面，可是他不愿意伤这个小孩子的心。他说，我来想想办法，我来想想办法。可是这个时候，他在西班牙被通缉。他的警察，西班牙的警察局长，等于警察总监，他听说了，他这个共产党在临离开西班牙之前，跟他的母亲有一个承诺，就是最后我们会见一面。然后这个警察局长就放出一个消息给他，事实上是真的消息，就是他母亲，这个共产党的母亲在医院里病重了快死了。就放这个消息，放到法国去，你要守诺言的话，你会回来，你回来我们就把你抓起来。这时候有一个神父就听说有这个承诺，他对他妈妈有这个承诺，可是妈妈躺在医院里面，等她儿子，等的来不及了，妈妈死掉了。神父知道了他的妈妈死掉了，知道这个共产党的妈妈死掉了，就赶紧派人带着消息给这个共产党到法国去。说你不要回来了，你妈妈已经死掉了。既然死掉了，你给你妈妈这个承诺，我们最后要见一面，没有意义了嘛！你就不要回来了，回来以后自投罗网。所以虽然这个警察局长把这个消息放出去，说你妈妈病了，你要不要回来？派这个网民放到法国去。可是另外一方面神父又把这个消息，你妈妈死了，你不要回来，就放出去给他。换句话说，他两个消息都听到了。可是有一天他回来了，回到这个医院。当然西班牙的警察总监，警察局长，埋伏的人开枪就把他打死了。打死在他母亲的尸体旁边，他去看他母亲，打死他了。打死了他以
012.死得好.txt	11	24	故事|一天|忽然|最后|说|讲|杀|死|醒|将军|监狱|太太	这个故事代表一个很英雄的一个故事，这个项羽的故事。可是这个故事，在这些英雄的行为的头一天晚上，这个动人的故事就是霸王别姬这个故事。更使我们觉得动人的，就是虞美人为了她的情人，为了她的爱人，她知道我们会同归于尽。可是既然同归于尽，我先走我先死，对你好，所以她先死掉了。其实不然，在外国，在现代，也有过类似的故事，我给大家讲一个人。在二次大战的时候，日本的军阀，有的呢是在，军阀是，他闹事的事情，闹了一个国家。好比在中国闹事，小的军阀，日本的军人，在中国就处决了。可是他犯罪的范围很大，不限于在一个国家的时候，就变成世界性的战犯。所以在最后东京大审，也有德国的纽伦堡大审，在亚洲是东京大审。东京大审里面，最后就审出来七个有名的日本战犯。这个战犯其中有一个人是文人，他的名字叫做广田弘毅。广田弘毅他是什么人呢？他是日本的外交部长，就是外相。因为做日本的外交部长，做了很多侵略外国的国家的事情，所以决定把他处死。把他处死的时候，经过法庭的投票，不是百分之百都投票要他死的，只是一个多数票让他死的，有的人还反对，可是阴错阳差就判他死刑。判他死刑以后，他的太太跑来看他，到监狱来看他，就是这个广田弘毅的太太，这是他的女儿。太太跟他说，她说，死刑就是绳子套在这里，台湾不用绞刑，所以台湾不了解死刑是怎么样子。死刑就是站在一个木台上面，然后用一根绳子把你套住，上面套住，然后你脚站的这个木台子，这个板子是活动的，这个板子忽然就撤走了。然后你的人就下落，一下落的时候，就吊住了，就等于上吊了，把你吊死了，这是绞刑的方法。那么太太就跟广田弘毅说：你不要太难过，虽然判死刑，不要太难过。怎么不难过呢？她也难过啊！可是他太太回家以后，在广田弘毅还没有被绞刑的时候，前三天，前几天，她自杀了，太太先死了。太太跟她女儿说：我有一个方法使你爸爸死得很快乐，她先死了。消息传给广田弘毅以后，这证明什么呢？证明了“死”一点都不可怕，我先死了，你太太先死给你看，你也不要觉得我们两个离不开了，生离死别，没有了，我也死了，我跟你一起死了，并且先死了。所以广田弘毅知道这个消息以后，他被绞刑的时候，他死得非常有勇气。当时他跟这些日本的军阀们
012.死得好.txt	13	24	故事|笑话|结果|后来|最后|问|说|讲|杀|打|死|妓女	可是有的时候显然不是，就是“你死我活”。我讲过这个例子了，潘元绍的例子，他七个小老婆都死了，他不死。像以前的台北也发生过，国民党刚来台湾的时候，发生过十四号水门，淡水的水门案子。一个外省人跟一个台湾小姐，他们恋爱，后来就一起自杀。结果台湾的女孩子上吊死了，这个外省人这个绳子是活的，活扣，他跑掉了，这个有这种例子。所以当时呢，文天祥讲过一个笑话，文天祥在宋朝最后快亡国的时候，他就跟他们讲，文天祥问：如果元朝人蒙古人打来，我们怎么办？他左右说：一团血。什么一团血？大家一起死掉。文天祥就笑，文天祥笑，他说是不可能是一团血。那时候他就举个故事，他说有个人跟一个妓女一起恋爱，然后一起去殉情，结果那个妓女先吃毒药死掉了，这个人跑掉了。文天祥就笑：你们不要最后变成这个人喔，我变成妓女。结果果然最后文天祥死掉了，别人都没有死。
029.官僚体系没有脖子.txt	12	24	故事|有一次|有一天|一天|说|骂|哭|杀|抓|死|皇帝|公主	那另外这个强项令什么意思？是董宣的事情。汉光武帝的时候，董宣在历史上属于《后汉书》里面的《酷吏列传》，就是这个狠的这种。他就怎么样呢？当年他就是为了办一个案子，杀了好多人，皇帝就办他，要把他杀掉，一共九个人都要被杀掉，他也排名在一起上了法场。临用刀砍他的时候，皇帝下命令把他放掉了，放掉回来以后他还是脾气坏的很，凶得要死，有一次就得罪了谁呢？得罪了湖阳公主，公主的下面一个佣人，等于是他们奴隶了，去外面杀了人，他就要抓她，这个董宣就要抓她，湖阳公主下面这个手下就藏在公主的家里面不敢出来，他就等她出来。有一天公主就出来了，那个杀人通缉犯也跟在后面。他当场就把这个公主身边的这个凶手抓起来，当场就杀掉了。杀掉了之后给这公主很没有面子，公主就哭哭啼啼就告到皇帝那里去，皇帝就骂他，他就不服气。皇帝说你给公主道歉，他说我无歉可道。皇帝说不道歉不行，就派人就把他按住，按住就叫他磕头，给公主磕头，他怎么按也按不下去，他的脖子硬的要死，他就是不低头。这皇帝就赞美他，说他这是强项令，这硬脖子的官。所以中国历史上关于这个硬脖子有这种有趣的故事。
063.台湾四大不要脸.txt	17	24	故事|结果|后来|说|讲|杀|逃|打|死|将军	还有一种人呢，是心黑脸皮不厚，像谁呢？像那个范增，项羽的军师，大家记得鸿门宴里面，范增叫项羽杀刘邦，杀刘邦以后呢，天下太平，可是呢项羽不肯杀。所以历史上记载，你看到没有：当时史记里面说，亚父就是范增，“亚父者，范增也。”他怎么样呢？“他数目项王”，用眼睛给项羽打暗号，“举所佩玉玦以示之者三”，什么意思啊？玦就这种玉，我们那个玉呀不缺口的，普通我们璧呀什么这种都不缺口的，它这个缺口的，缺口什么意思呢？就表示玦，玉玦，玦的意思呢，就是将军们戴的，干什么呢？叫你下决心。所以范增就眼睛用闪，用眼神叫项羽杀刘邦，然后用手指他这个玦，连指三次，就意思下决心哪、下决心哪、下决心哪。可是呢项羽不肯，妇人之仁，结果刘邦趁着小便就逃掉了。所以我们讲的这个故事啊，就是要让……，项羽就说了范增一句，范增脸皮很薄，被老板讲了一句啊，负气走掉了，后来呢生病死掉了。这个例子就是说，他心很黑，要杀刘邦，可是脸皮不够厚，老板一讲就生气走了。所以呢，心黑脸皮不够厚的，也会失败，这是这个理论，这个厚黑教主李宗吾的理论。
