file	paragraph	line_start	line_end	char_count	score	snippet
001.2011年5月.txt	4	7	7	137	3	古人“误落尘网中”，仿佛预见了网中有尘。我认识一位可爱的女人叫“徐开尘”，她的名字真好。尘是可以开的。现在天下大乱了，阿猫阿狗都会舞文弄墨了，康熙都低级趣味了。好吧，如凯撒所说：Veni, vidi, vici.我来了、我看见了、我征服了。不是写140个字吗？拿牛刀的来了。
001.2011年5月.txt	14	27	27	125	3	140字是那么好写的！当你没有知识、没有想像、没有才气、没有中文水准，你的140啊，狗屎而已。你写的全是鸡毛蒜皮，你暴殄了文字，仓颉都要哭起来。仓颉造字，因破天机而鬼神下泪，如今天上掉下狗屎来，轮到仓颉下泪了。欧阳修说“君才自与鬼神斗”，但狗屎除外。
001.2011年5月.txt	16	31	31	119	3	每条140字，像什么？像狭巷短兵。明朝人的诗：“狭巷短兵相接处，杀人如草不闻声。”我被逼入狭巷，只好短兵相接。140字，高人写来，是庆功宴；俗人写来，是暴露狂。中文何辜，竟被人糟蹋，我短兵而至，也算功德一件，袞袞诸公变诸公滚滚，不亦快哉！
001.2011年5月.txt	18	35	35	135	3	暴露狂（exhibitionism）的地方有三：小巷里、舞台上、网站内。上网本该自我表现些真格的、深度的、明辨是非的、有人道关怀与正义标准的议题，而不是浅薄的打屁。不幸的是，以演艺人员为主的男女，他们盘踞了网站，整天自我表现暴露狂，像猢猻撅起红屁股，太讨厌了！太讨厌了！
001.2011年5月.txt	24	47	47	131	5	四十年前，在厕所里，刘家昌一边小便，一边低头念念有词。他说：“鸡巴呀！老子一切辛苦，他妈的都是为了你！”我听了大笑。我说：“鸡巴其实是一条大丈夫。能屈能伸、能软能硬、能软硬兼施、能软中带硬。我生平最崇拜的，就是我这条大鸡巴。虽然给自己惹来许多苦恼，但都值得啊！”
001.2011年5月.txt	34	67	67	140	3	如果一九三一年，康斯坦希诺（Mario Constasino）的车子撞死了邱吉尔；如果一九三三年，桑格诺（Giuseppe Zangara）的子弹打死了罗斯福，后来的历史会一样吗？当然有造时势的英雄。美中不足的是，英雄造了时势，但那时势，却大材小用了英雄。评价英雄，请别忘了空间。
001.2011年5月.txt	42	83	83	134	3	对日本的道歉声明说：“制作单位表演这段内容的本意，是想以温馨幽默的方式呈现天皇与皇后善良亲民的一面”，但却事与愿违、马屁拍错，“造成部分日本朋友之误解及不舒服”，“伤害了日本朋友的情感，我们深刻反省也郑重道歉。”看到了吧？歉是这样低声下气的道的，多么有骨气的台湾人呀！
001.2011年5月.txt	44	87	87	128	3	新闻报导：“中天得知后，第一时间请‘最大党’大家长王伟忠发函给日本，并将日文、中文两个版本的道歉信贴在两国各大网站致意。”妙的是，王伟忠之流说：本“是以幽默手法传达天皇皇后亲民一面”的，本“要传达的是温馨与慰问”的，但是马屁却惹来马脚，于是，台湾人屈服了。
001.2011年5月.txt	46	91	91	128	3	令人不解的是，台湾岛上的电视节目，怎么会沦落到被日本人干涉？这跟当年日本人对杜重远和媒体《新生周刊》的干涉有何不同？《广播电视法》第21条明定：不得“损害国家利益或民族尊严”，王伟忠之流既然志在“传达天皇皇后亲民一面”，却以向日本人道歉自侮自贱，是何道理？
001.2011年5月.txt	52	103	103	133	3	谁能想到，76年前的“侮辱天皇”事件，却在76年后重演于台湾。唯一不同的是：当年大陆的杜重远和媒体，是多么保护国家利益和民主尊严；而今日台湾呢，王伟忠之流及其媒体，却保护日本让日本人“舒服”，而让这岛上的人变成全民不要脸，难道台湾人“舒服”吗？难道主管单位瞎了眼吗？
