file	paragraph	lines	score	markers	text
001.关于李远哲忘恩负义的讨论.txt	134	267-267	28	有一天|后来|结果|问|说|哭|笑|治|李远哲|刘兆玄|张昭鼎|林明璋|潘毓刚|鲍林|中研院|诺贝尔|教授	林明璋这些话，都显示了他虽然变成了美国人，脱身了他看不起的“习俗败坏的社会”，但他自己，却无知得并不了解美国社会。在美国社会中，学生替老师写推荐信的，大有人在，不但没败坏习俗，并且更显出做学生的内举不避的伟大怀抱与雪中送炭的感恩深情。例不必远求，李远哲的太老师，得过两次诺贝尔奖的鲍林（Linus Carl Pauling）就典型在焉。鲍林1954年得诺贝尔化学奖，后来致力禁止核子试爆运动，于1962年再得诺贝尔和平奖，但加州理工学院当局怪他外务太多，逼他走路，不过“此地不留爷，自有留爷处”，他的学生“推荐”他，进加州圣巴巴拉民主学院研究中心、进圣地亚哥分校、进斯坦福大学，都不乏学生大力援之以手。照林明璋“在美国和其他国家，学生是不能替老师写推荐信”的说法，鲍林及其学生，显属败坏习俗者流了，这通吗？林明璋把“读者投书”副本送潘毓刚教授，殊不知这位潘毓刚教授，就是怀抱伟大、深情感恩者，他在美国，就一而再、再而三的为老师写过推荐信，并且推荐以后，都有了好效果好结果，照林明璋的说法，潘毓刚及其老师，也显属败坏习俗者流了，这通吗？由以上诸例，可知在美国社会，学生还没“大义灭师”到林明璋所白纸黑字的程度。关键不在是否谊属师生不师生，而在是否用心如日月、是否公正。只要用心如日月、只要公正，老师又为何不能“推荐”？说什么“如果一个学生替某老师写推荐信，有一天这个学生要晋升或迁职，需要该老师的推荐，不是马上会有狼狈为奸的可能？”这种话根本是小人心理！教育之事在知识传承，又不是玩政治，老师没那份学问，“推荐”了也白推；老师有那份学问，又何能因为谊属师生而野有遗贤？即以李远哲写给清华校长刘兆玄、中研院原分所所长张昭鼎而论，形式上，那就是典型的推荐老师的信，试问那是不是“狼狈为奸”？是不是有损李远哲“高尚人格”？林明璋口口声声卫护有“高尚人格”的李远哲，说我指责李远哲是“不合常规”的，但李远哲写的，是什么信？偏偏是替老师写的推荐信！照林明璋的逻辑，此非“狼狈为奸”而何？——我指责李远哲，还没明斥他“狼狈为奸”呢！与李远哲同为美国人、同为化学教授的林明璋，自己却先爱之适足以害之了。——李远哲碰到这么笨的卫护者，真要哭笑不得了！
001.关于李远哲忘恩负义的讨论.txt	135	269-269	28	故事|问|答|说|拒绝|死|笑|请|李远哲|吴稚晖|刘兆玄|张昭鼎|林明璋|中研院	林明璋不知道：整个问题的关键不在写推荐信、也不在学生替老师写推荐信，而在李远哲以他的“高尚人格”，写了一封“低级行径”的信，一封没有诚意、只是敷衍他恩师的信。正如我分析的：一般人写八行书的规矩，受信人或答应信中要求，或婉为拒绝，都要有回音与回信。但此事却“石沉大海”，这是很可疑的，令人怀疑他们根本是“套招”。——刘兆玄以清华校长身份、张昭鼎以中研院原分所主任身份，岂会对李远哲如此不礼貌，连信都不回？而李远哲看到“石沉大海”，如真心为恩师谋职，又岂能若无其事，照样事后与他们“言笑晏晏”？这通吗？何况1989年八行书告吹后，他为什么不再另外替恩师想想办法，另谋出路？而任恩师流落至今？我又分析：吴稚晖死后，曾流传出这样一个故事：一天，蒋经国收到吴稚晖的一封信，说：我的一个朋友有事要我写信向你关说，如我不写，他就没完没了，故只好写了那封信。但那封信是“假”的，你不要信，请你还是公事公办好了。看到李远哲、刘兆玄、张昭鼎他们的作风，我竟忍不住老是想到这个故事。
001.关于李远哲忘恩负义的讨论.txt	89	177-177	20	故事|说|死|请|李远哲|吴稚晖|刘兆玄|张昭鼎	第三、吴稚晖死后，曾流传出这样一个故事：一天，蒋经国收到吴稚晖的一封信，说：我的一个朋友有事要我写信向你关说，如我不写，他就没完没了，故只好写了那封信。但那封信是“假”的，你不要信，请你还是公事公办好了。看到李远哲、刘兆玄、张昭鼎他们的作风，我竟忍不住老是想到这个故事。
014.李远哲统治下的中央研究院黑幕.txt	6	11-11	20	有一次|有一天|结果|说|杀|死|请|李远哲|院士|诺贝尔|司机	研究院前些时发生卢姓司机杀死周姓司机的事件，起因是李远哲还未当院长时，有一次回台湾参加院士会议，一位苏姓司机帮他开车，结果苏司机虚报大量汽车油料费用。卢司机是一位正直、嫉恶如仇且年年考绩甲等的人。他去政风室阎主任处检举，政风室调查发现确有其事，就会同总务组请苏司机解释，苏司机哑口无言，政风室给苏司机两条路走：一是自请辞职，二是按法来办。结果苏司机选择辞职。没想到李远哲会来当院长，苏司机有一天去找李远哲说想回研究院开车，李远哲请总务组找一个缺给他，政风室阎主任向李院长解释不可以再任用苏司机。结果李远哲非常生气，坚持让苏司机回院来开车。从此开始打压阎主任，李院长居然在高层开会时说建议裁撤政风室。从这你就知道李远哲屁都不通。再说苏司机你就乖乖上班吧，结果不然，苏司机在驾驶班一见到卢司机就指桑骂槐，冷言冷语骂街逼得卢司机无法正常工作。就发生卢司机杀人事件。本来卢司机要杀苏司机和总务组杨重信主任，他们运气好中午不在办公室。其实苏司机回来后变得很老大，经常找不到人，因为自以为有靠山李远哲。有趣的是，杀人事件发生后，没有任何人受到处分。不像军史馆杀人事件多少星星及梅花落地，也不像警官喝酒撞死人一堆人受连坐处分。虽然有人检举到监察院，结果“蚊子”院一声屁响都没有。难道诺贝尔奖就等于青天白日勋章吗？所以研究院流行一句话，杀人都没事，我犯小错你也不敢处分我。
001.关于李远哲忘恩负义的讨论.txt	128	255-255	18	有一次|后来|结果|答|说|李远哲|王企祥	李远哲见蒋经国时每次提到大陆的官员都加一个“匪”的称号，但后来他到大陆见方毅（那时中共的副总理）每次提到台湾的官员都加一个“伪”字，例如“伪教育部长”……。到了德国又听到一位从大陆福州来的留学生说，五、六年前王企祥通过中共一个人才引进的机关，再次被做为人才引进大陆，当时福州物质结构研究所的所长卢嘉锡也答应接受王企祥，但李远哲知道后叫卢嘉锡不要用王企祥，结果卢嘉锡改变主意，把王企祥拒于大陆门外。这位福州来的留学生，还说他听北京的同学提到过李远哲有一次在北京大学演讲，说他本来学晶体结构的，因导师不好，后来到美国才改行学化学动力学，看来李远哲在北大骂的导师可能就是王企祥，我本着发掘“伪君子”、打击忘恩负义的“道德侏儒”立场，特别把这几则传闻写出来。求证于《求是报》的读者。（打小人寄自德国）
001.关于李远哲忘恩负义的讨论.txt	139	277-277	18	当年|后来|问|说|拒绝|笑|李远哲|王企祥|林明璋|潘毓刚|鲍林|中研院|教授	林明璋说“任何人要查明王博士在科学上的建树，是很简单的，他她不用半天的时间便能在化学摘要上找出下落”，这话不错，连我这化学外行人都可在1969年Acta Crystallogra-phica学报上，查到The Crystal Structure of Tris (cyclopentadienyl) samarium(Ⅲ) by Chi-hsiang Wong（王企祥）、Tseng-yu Lee（李曾遹）and Yuen-tseh Lee（李远哲）。那是自言没从恩师那边学到任何东西的李远哲，附骥尾于王企祥论文下的“处女作”，这样子“查明”，的确如林明璋所指示，“是很简单的。”后生晚辈的林明璋，大概无法否认王企祥当年的学术成就，王企祥出身加州理工，是台湾中国人最早亲承鲍林受教的高足，他有一定的水平，才会教出李远哲那样学生。我是历史家，对化学完全不懂。我在《求是报》从历史角度，说王企祥是“中国最优秀的化学教授”，就引起潘毓刚教授的来信抗议。潘毓刚说王企祥“其实在台湾可能还算一流化学家，在大陆就只能算二、三流了”。我收信后问王企祥，王企祥说潘毓刚说得全对，只是“实为二三十年前台湾研究环境所限”而已。我后来在长途电话里转告了潘毓刚，潘毓刚笑着说：中研院原分所以王企祥的资格理由拒绝了他，但该所没被拒绝的，又有几个有国际水平呢？从潘毓刚的笑谈中，我们依稀看到李远哲创办的中研院原分所拒王企祥于千里之外，似乎并不公平、也不公道。
011.李远哲怎样谎报黑官？.txt	12	23-23	18	有一个|问|请|杨国枢|中央研究院|院士|总统	但杨国枢既已从台湾大学退休，转往中央研究院再任，六十五岁了想办理延长服务，就得按另一套法令。依据“中央研究院研究员延长服务案件处理要点”，杨国枢只要不违反其中第五点“研究员延长服务期间不得兼任行政职务”的规定，想要延长服务，也不是问题。但问题偏偏发生了，因为杨国枢延长服务就是为了兼任行政职务，于法不合，怎么办呢？不过知识分子究竟是知识分子，尤其是院士级的，脑袋又大又灵活，马上就想出了妙点子——修法，把讨厌的第五条文修改为“研究员延长服务期间不得兼任行政职，但因学术行政特殊需要，经院长核定者得兼任之。”（以立法技术而言，中央研究院犯了一个显而易见的错误，法条中但书之前的标点符号应为句号而非逗号，中央研究院连这个都搞错，可见有多烂）这下该没问题了吧？看来似乎没什么大问题了，但有一个小问题， 那就是“要点”第九条“本要点经院务会议通过，院长核定，报请总统府备查后实施。”的规定，总统府秘书长这一关还得要过，总不能把上级机关的监督权也一并修掉，不过，既是“备查”，希望的是“备而不查”、“只备不查”，应该不会有什么意外的。
013.李远哲与司机命案.txt	60	119-119	18	说|笑|李远哲|王企祥|中央研究院|司机|命案	前些日子，一位中央研究院的内部人员传真了一份资料给我，提到苏保定司机，经我深入调查，苏司机是李远哲在中央研究院搞安插私人的代表作，在我揭发李远哲是如何忘恩负义的对他老师王企祥时，李远哲以“公务员有一定的任用程序”反驳，其实，根本与程序无关，以苏司机这样一个曾经因为“吃油票”被检举，被前院长吴大猷开除的人，就是因为对了胃口，李远哲可以不顾政风室主任的坚决反对，非用不可，李远哲领导下的这种机关还谈任用程序，真是笑话。李远哲有名言是“白道比黑道可怕”，光由一件司机命案，我们就领教他这位白道真说对了。
019.一位理科教授对李远哲的纠举.txt	32	63-63	18	例子|有一次|结果|问|说|泰勒|教授	与浦先生接触过的人，除了深感他的为人正直，热情毅力与言词风趣外，恐怕最要佩服的就是他的行政能力了。他的行政手腕圆熟，常以巧妙的手法四两拨千斤，“两岸猿声啼不住，轻舟已过万重山”。其例之一是十余年前，他邀“氢弹之父”泰勒（E. Teller）访台，演讲题目为《基础科学与应用科学间的关系》。其目的是藉泰勒先生之威名，以及他在基础及应用科学上都卓有贡献的身份，告诉主持大计的衮衮诸公：只重近利，不顾根本的结果，会是两者俱失。另一例子是，他有一次到某校访问前，即听说某教授学问甚好，取其论文阅之果然，又耳闻他因个性内向，所做研究又无关乎应用，是以颇受冷落。于是他在到达该校前，以电话连络校方，谓某教授为他素识，希望于校长晚宴之上相晤。是日该教授果至，浦先生虽不识其人，但察言辨貌，立即趋前，引领该教授与其邻座畅谈。果然，次日该校校长立即派人前往某教授研究室，询其研究是否需要帮助、研究室是否过于狭隘？
008.三重悲喜剧.txt	17	33-33	17	当年|后来|最后|问|说|请|李远哲|王企祥|刘兆玄|张昭鼎|中研院|诺贝尔	当年李远哲到国外，由于跟的老师很好，最后得到了诺贝尔化学奖，这是我们佩服的地方，可是当他到台湾有了势力后，整个学术界却被他控制。在中研院成立原子分子科学研究所时，落魄潦倒的王企祥曾希望李远哲能帮忙，让他在中研院中做研究工作，在拗不过王的要求下，李远哲只好替他写信给当时清大校长刘兆玄、中研院原子分子科学所张昭鼎，信中讲到“王被清大赶出来后，别人做的也许有些过份，不应赶他出来……”后来还提到：“王的学问好，可不可以进中研院原子分子研究所？”最后李远哲把信拿给王看，告诉他信已写了，可是因为刘兆玄、张昭鼎二人不回他的信，所以这件事就吹掉了。请问，以李远哲的地位写信给刘兆玄与他所创建研究所的口袋人物张昭鼎，就如同李登辉写信给苏志诚一样，苏志诚会不回信、敢不回信吗？李远哲竟然以对方不回信的理由，告诉王不能进中研院，也从此中研院排挤了这位优秀的化学家，中研院应是吸收各科重要的研究人才，李远哲对自己的恩师都能如此打压，他是位忘恩负义的人，他甚至在自传中说他在清华念书时没受老师的影响，完全抹煞王老师对他的好处，忘记了他第一篇的学术论文就是跟随王老师所发表的。
019.一位理科教授对李远哲的纠举.txt	31	61-61	16	故事|例子|后来|问|笑	其中一个较不为人知，却可深刻见出他影响力的例子，是他与一位国际级学者间的故事。浦先生因常在课余返台策进科学合作、科学生根活动，在机场几次碰到这位却是每次必去中国大陆的学者。这位学者不禁好奇，问道：“我自己是本省人，都不回台湾了，你是外省人，怎么反倒老跑回去？台湾那么小，那么落后，有什么好发展的？”浦先生笑道：“那是我们生长的地方啊！而且台湾进步了不少，也需要我们的帮助，你不妨也回去看看吧！”后来果然由于浦先生多次的引导，使得这位学者回到自己的家乡服务了。这件事反映了几个层面：一是浦先生没有当时海外知识分子常有的左倾盲动和不实幻想；二是浦先生一贯“为所当为”、“虽千万人吾往矣”的精神便由此展露；三是他无时不在为国延揽良才；四是由于他的带头示范，引致了人才的回流。
