file	paragraph	line_start	line_end	char_count	score	snippet
001.洗你的脑，掐他脖子.txt	4	7	7	164	3	当年胡适做了驻美大使、做了中央研究院院长，这些职务，别人做起来就是从政，但胡适做起来，以他的身分、地位和声望，没人会以为那是从政，大家都知道胡适那种境界的人绝不是政治人物，用从政眼光看高人，是浅人的错误。第一流的禅门人物说：“酒色财气不碍菩提路。”没人把高僧鸠摩罗什或佛印和尚或济公活佛看做花和尚，把李敖看成政治人物，你别傻了。
001.洗你的脑，掐他脖子.txt	7	13	13	189	3	对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活...
001.洗你的脑，掐他脖子.txt	10	19	19	897	4	这和台湾地区的“超级政治挂帅”情况有关。大陆文化大革命时特别强调“政治挂帅”，一切政治至上，台湾这边，曾加以奚落，其实台湾的“政治挂帅”比大陆还过分得多，不但“政治挂帅”，简直是“超级政治挂帅”，天天大大小小的政治选举，闹得举岛若狂，现在又来个特大号的所谓总统选举，更是变本加厉了。究其原因，和这个岛上几百年来在政治上被打压有关。早在三百年前，清朝政府中人，就...
001.洗你的脑，掐他脖子.txt	13	25	25	319	3	不但没有不妥，并且还有大慈大悲观世音菩萨的气概呢。《大圣欢喜供养法》等佛经中说，大圣自在天和乌摩女为夫妇，生了三千子女，其中一千五百个是做恶事的、一千五百个是做善事的。做善事的是“观音之化身”，跟那一千五百个做恶事的配成兄弟夫妇，以性交方法，来软化恶行。《维摩诘所说经》中又说：“或现作淫女，引诸好色者。先以欲钩牵，后令入佛智。”这一佛门理论，最为有趣。这种理...
001.洗你的脑，掐他脖子.txt	16	31	31	135	4	谁要做什么政治家，我才不要做什么政治家。吴浊流《无花果》里说：“三百年间殖民地的被榨取立场上的结果，患上政治渴望症了。于是把政治家当做非常伟大，并且不管张三李四，都焦急着想当个政治家。”这就是今天台湾岛上的众生相，只是他们至多只做到政客而已，这个岛上并没有像样的政治家。
001.洗你的脑，掐他脖子.txt	19	37	37	382	5	李登辉不但不是像样的政治家，根本是不像样的政客。李登辉先天上是蒋家精挑细选的接班人，他根本不是带人民走上真正民主政治的人选，不幸的是：我们苦蒋家和国民党统治久矣！一旦李登辉接班，就以为“真正出头天”了，其实不然。“真正出头天”的，是蒋家余孽，一如袁世凯死后，“真正出头天”的，是北洋军阀一样。虽军阀也有打着“打倒军阀”旗号的国民党蒋介石等，但其为军阀也则一。—...
001.洗你的脑，掐他脖子.txt	22	43	43	306	3	李登辉《台湾的主张》说：“已故的司马辽太郞先生生前访问我时，我曾经提到‘台湾人的悲哀’。我想让司马辽太郞先生了解的是，生为台湾人，却有一种对台湾无能为力的悲哀。回顾台湾历史，台湾人有很长的一段时间，不能治理自己的家园，而我个人也曾经历过身为台湾人，却不能为自己同胞做些什么的痛苦。”……如今，李登辉身为台湾地区的最高领导人已经十二年了，他厚脸皮的说：“但是，今...
001.洗你的脑，掐他脖子.txt	25	49	49	81	3	中国古代圣人说：“知其不可而为之。”这是圣人境界的功德，谁以一时的成败来论呢？何况，我们本来的共同目标就是宣传理念，揭发黑暗，在这一目标下，有谁比李敖做得更好呢？
001.洗你的脑，掐他脖子.txt	27	53	53	213	3	而在新党方面，由于未具有总统候选人的正式提名办法，因此在面对陈履安退党参选的高涨气势下，只能在仓皇之中由其全国委员会李庆华、陈癸淼、赵少康……等七人小组以寡头会商的方式紧急推选王建煊为该党的总统候选人。随后在“林陈配”不成、“林张配”胎死腹中、“林郝配”于焉成形的过程中，王建煊忽而以整合者自居、忽而自甘委身“林王配”，最后落到讥为“王不见王”的地步，不仅声势...
001.洗你的脑，掐他脖子.txt	44	87	87	122	3	这段沉痛的话，在一片阴霾中透露一点光芒，总结他的意思是：我们革命党，虽然多年来做了太多太多王八蛋的事，但独有一件事绝对不做，就是回头勾结满清政府的旧势力，这是万万干不得的，所谓“独复辟事不与”也。愿新党大老郁、赵诸公细味章太炎之言，幸勿自误也。
001.洗你的脑，掐他脖子.txt	62	123	123	141	3	由上表可知，比金虽为以色列开国元勋之一，但因担任情报、暗杀等地下组织工作，形象上吃了亏，所以在开国二十八年以后，才变成国家领导人。一个小党，熬了二十八年才有出头天，这个故事告诉我们，只要有志士仁人在，小党不会变成泡沫，关键在素来内斗内行的新党斗到最后，能不能有比金式的人物存活而已。
001.洗你的脑，掐他脖子.txt	65	129	129	304	5	从长线看，在教育。当年王照(小航)回忆说：“戊戌年，余与老康（有为）讲论，即言‘……我看只有尽力多立学堂，渐渐扩充，风气一天一天的改变，再行一切新政。’老康说：‘列强瓜分就在眼前，你这条道路如何来得及？’迄今三十二年矣。来得及，来不及，是不贴题的话。”可见在戊戌变法人物中，有人把教育看做最重要的部分，但教育收效最慢，因为是做长线，往往费力不讨好。但有人却以讨...
001.洗你的脑，掐他脖子.txt	70	139	139	434	5	（二）教育不能小格局。李登辉有一句口号，谈到三个境界，就是“立足台湾，胸怀大陆，放眼世界”，这三个境界，第一境界“立足”是两脚的问题，第二、第三境界“胸怀”和“放眼”是两眼的问题。“立足”是现实的问题，“胸怀”和“放眼”是视野的问题。李登辉对他这句口号，执政十一年来，却反其道而行，他干的事，却是使台湾人的“胸怀”和“放眼”都向“立足”方向看齐，也就是把“胸怀...
001.洗你的脑，掐他脖子.txt	71	141	141	656	4	（三）教育不能失根忘本。世界上任何国家的教科书，在对国家民族的认同上，都会特别落墨，绝不能把政治上的意识形态渗进教科书中，但李登辉领导下的所谓教育改革，却打出“认识台湾”的旗号，大做使下一代失根忘本的事。例如在他们《认识台湾》的教科书中，故意剪断中国历史文献中有关台湾与中国连锁的记载，举凡《三国志》的“吴志”、三国时期沈莹的《临海水土志》、《隋书》的“东夷传...
001.洗你的脑，掐他脖子.txt	72	143	143	683	3	（四）教育不能无趣。1975年，美国国家教育协会(NEA, National Education Association)就提出《教育专业伦理守则》(Code of Ethics of the Education Profession)，其中以近乎冗赘的文字，反覆提醒不得无故限制学生独立追求学问的行动。广义的说，反过来说，施教本身，一旦对学生独立追求学问的可...
001.洗你的脑，掐他脖子.txt	76	151	151	250	3	受日本近年来批判“自虐史观”的右倾思潮的影响，两家大教科书出版社已向文部省申请将历史教科书中“从军慰安妇”一词改为“慰安妇”，以及删除强制征召等的“强制”字眼，因此从明年度开始，几乎所有的日本历史教科书均将不再有“从军慰安妇”字眼。据《东京新闻》今天报导指出，日本历史教科书市场占有率最高的“东京书籍”（占有率41%）及第三位的“教育出版”（占有率18%）均向...
001.洗你的脑，掐他脖子.txt	81	161	161	418	4	当然是大陆问题、两岸问题。对大陆，台湾普遍的看法其实不算看法，而是成见，是蒋介石留下来的成见。成见的型模有二：第一、是“丑化”，总说共产党是坏的，不能改好的；第二、是“小化”，总说共产党是不可怕的，可以把它打败的。这两个成见，在几十年反共教育下繁荣滋长，即使在蒋介石蒙主宠召后，至今犹阴魂不散。再加上李登辉之流承其余绪，大力加工，又把与共产党关系“激化”，流风...
001.洗你的脑，掐他脖子.txt	84	167	167	511	4	1979年元旦，中华人民共和国和美国建交后，全国人大常委会发表《告台湾同胞书》，宣布了和平统一的大政方针。书中宣布：“在解决统一问题时，尊重台湾现状和台湾各界人士意见，采取合理的政策与办法，不使台湾人民蒙受损失。”在统一大业上，“我们寄希望于一千七百万台湾人民，也寄希望于台湾当局。”1981年9月30日，全国人大常委会委员长叶剑英进一步阐明这一政策，率直指出...
001.洗你的脑，掐他脖子.txt	105	209	209	121	3	答：（一）根据1972年2月28日的《上海公报》：“台湾是中国的一个省，早已归还祖国；解放台湾是中国内政，别国无权干涉……中国政府坚决反对任何旨在制造‘一中一台’、‘一个中国两个政府’、‘两个中国’、‘台湾独立’和‘台湾地位未定论’的活动”。
001.洗你的脑，掐他脖子.txt	112	223	223	149	3	（二）不过，美国与中华人民共和国建交“是基于台湾的前途将通过和平方式解决这样的期望”。因此，美国采取史无前例的国内立法来规范美国与“台湾人民”之间的关系。美国希望透过国际法的“过渡安排”（Modus Vivendis）来解决台湾问题，例如协调两岸在一个中国原则下签订“中程协议”，过渡到最后的统一。
001.洗你的脑，掐他脖子.txt	114	227	227	91	4	答：不合乎！所以才有1982年《八一七公报》对售台武器的限制。美国重申无意执行“两个中国”或“一中一台”的政策，承诺“准备逐步减少它对台湾的武器出售，并经过一段时间导致最后的解决”。
001.洗你的脑，掐他脖子.txt	117	233	233	130	3	答：连美国国务卿的外交专家都搞不清楚李登辉的“两国论”，何况台湾人民？李登辉企图用“脱胎法”——修宪，把“中华民国”变成“中华民国第二共和”（即“中华民国在台湾”），然后再用“换骨法”——把国会全部改选，总统直选，建立“台湾法统”，再宣布“两岸两国一边一国”。
001.洗你的脑，掐他脖子.txt	120	239	239	200	3	答：国共内战隔海对峙，迄今近五十年，各有政府，这是“事实的分治”或“分治的事实”。但这个状态还不是“分裂状态”——因为还没有法律承认。东西德与南北韩都有国际条约或停战协定处理过，如果台海现状经过两岸政府签订停战协定，互相承认，中华民国与中华人民共和国互换大使，把分治状态固定化、永久化、法制化与国际化的设计，就是承认分裂状态——这其实就是李登辉的“台湾的主张”...
001.洗你的脑，掐他脖子.txt	122	243	243	136	3	答：这里要弄清楚“国家”与“政府”两个层次的概念。中国的领土包括大陆与台湾，1912年这个国家的国号叫做“中华民国”，它的代表政府叫做“中华民国政府”（简称“国民政府”）。1949年中共革命成功，改国号为“中华人民共和国”，成立“中华人民共和国政府”（简称“人民政府”）。
001.洗你的脑，掐他脖子.txt	130	259	259	271	3	答：中国（包括台湾与大陆）是联合国的创始会员国，登记的国名叫“中华民国”（Republic of China），代表的政府叫“中华民国政府”。韩战爆发后，蒋介石的中华民国法统政府获得美国及其盟邦的支持，继续代表“一个中国”，在联合国内代表大陆与台湾，但随着中共政权的稳定与茁壮，联大中国代表权案成为两岸外交斗争的拉锯战。不过，两岸政府均坚持“一个中国”立场，为...
001.洗你的脑，掐他脖子.txt	134	267	267	112	3	答：不管叫什么国号，“台湾”、“台湾共和国”、“中华台湾国”、“中华民国在台湾”，甚至叫“蒋经国”、“蒋纬国”等，“台湾独立”的法律意涵就在宣布台湾（或中华民国）的主权不及于大陆以及中国（或中华人民共和国）的主权不及于台湾。
001.洗你的脑，掐他脖子.txt	143	285	285	165	3	答：现在台湾是资本主义制度，大陆是社会主义制度，两种不同的社会经济制度并存，这是客观存在的事实。苏起他瞎子吃汤圆，心里有数。台湾当局并不是反对“两制”，而是反对“一国”。这好象倒洗澡水，却连婴儿也一块儿倒掉。大陆海协会会长汪道涵就曾经问过台湾去访的客人：“‘两制’保持台湾的资本主义你不要，难道你希望台湾也搞社会主义的‘一制’？”
001.洗你的脑，掐他脖子.txt	152	303	303	77	3	去年11月30日晚上我在台湾大学演讲《台大人的第二命题》，在最后答问时，吴德朗先生不但问了问题，还将问题打字成书面送我，可见他多么认真。其中的一个问题是：
001.洗你的脑，掐他脖子.txt	154	307	307	131	3	我的答复是：（一）由于国际上的互动关系，北京要“朝令夕改”的蛮干并不是那么容易的事。（二）美国人背书跟现在美国人“协防”台湾其实没有什么本质的不同，“协防”有效力，背书就会有。（三）“从此台湾就是中国的内政问题”，难道有什么不妥吗？难道台湾不是中国的内政问题吗？
001.洗你的脑，掐他脖子.txt	155	309	309	157	3	台湾今日的痛苦，正应了“烦恼皆因强出头”那句老话；明明是内政问题，却要把它国际化、外交化，结果自己斤两不够，浪费了太多的时间、机会与资源，真是蠢极了。吴先生写了许多挑战李敖的话，问题是，他始终没能提出他用什么方法来解决，自己提不出来方法，却一味否定李敖的方法，这是孟子笔下“既不能令，又不受命”的绝物，这是不妥的。
001.洗你的脑，掐他脖子.txt	160	319	319	325	3	（一）在一段相当的时期里，大陆方面常常宣称：“全世界只有一个中国，就是中华人民共和国。”我们站在台湾的立场来看，这句话后半段虽然有问题，但是，前半段却是无可置疑的。根据中华民国宪法第四条：“中华民国之领土，依其固有之疆域，非经国民大会之决议，不得变更之。”什么是“固有之疆域”虽未有明确定义，但是，至少中华民国宪法公布之日应该算是“固有”罢。中华民国宪法公布于...
