file	paragraph	line_start	line_end	char_count	score	snippet
001.俞国华找不到二二八的有关文件吗？.txt	8	15	15	159	4	历史事件历史化，未尝不自成一说，但它的成立条件，首先却是让人放手历史化，而不要轻予政治化的罪名。可是，国民党自己几十年来却根本做不到这一点，以我个人的遭遇为例，二十多年前，我以历史家身份研究1933年发生的“闽变”，便遭遇参与“闽变”叛国者的政治化压制。例如国民党立委胡秋原，便是此中之尤。胡秋原提出一种怪逻辑，他说：
002.二二八的立碑问题.txt	2	3	3	188	3	6月25日外电说，苏联不满分子萨哈罗夫（Andrei Sakharov）今天首次出现在街头集会，加入前政治犯和主要知识分子的行列，要求立碑纪念被斯大林迫害的受难者。五天以后，7月1日，苏联官方有了灵活的反应，外电说，苏联领袖戈尔巴乔夫今天在共党会议上说：“已有许多为此纪念而提出的建议，我们必须同意这样做。这样一座纪念碑必须在莫斯科建起来，我确定这将获得全俄所...
002.二二八的立碑问题.txt	4	7	7	555	6	过去几个月来，台湾岛上也一再发出为二二八的死难者立碑的呼声，今年2月28日，在内湖交流道附近的山丘上，死难者之一——前台大文学院院长林茂生——的后人且捐出土地，举行了二二八纪念碑的破土典礼。仪式由二二八和平日促进会长陈永兴主持。陈永兴在主持前，曾发表《为了不再流血》的专文，开头说：“2月28日又到了，这是个让许多人忧伤悲痛的日子。每年这时候我们怀着永恒的追思...
002.二二八的立碑问题.txt	5	9	9	274	3	也许有些仁人君子和公正人士们说，台湾是台湾人的，你们外省人跑到台湾来，出了事，难免要受“冤屈”，但是，高山族若站出来，谁还好意思说这种话呢？历史清清楚楚告诉我们：高山族是台湾的原住民，并且原住在平地上，正因为台湾人的祖先从大陆来台，欺负他们、欺骗他们、欺凌他们、残杀他们、联合外国人（荷兰人）把他们无异种族灭绝，他们才逃到高山之上，试问今天主张“还给台湾人一个...
002.二二八的立碑问题.txt	7	13	13	182	3	从正义立场上，我赞成为不义冤死者立碑。不过主持它的人，必须反省他所做的，是不是那么纯、那么公道？是不是纯粹没有政治作用隐含其中？如果答案是犹豫的，该警觉警觉：立碑以后，最大的受益人到底是谁？在苏联，清清楚楚是斯大林的异代接班人，是新一代的统治者，立碑使他们深得人心，“获得全俄所有人民的支持”。——死者慰藉有谁知，生者洗手享尊荣，这样的政治作用，难道大家所乐见...
003.《二二八研究》前言.txt	3	5	5	119	3	国民党巨头们口口声声向前看、往前看之时，国民党的御用学者中央研究院院长吴大猷，也在立法院为历史学家之研究做了配合与殿后。他说有关二二八事件的研究，中央研究院已由三民主义研究所等在“绝对未受政治因素干扰”下进行研究，相关论文将于一年内出版。
003.《二二八研究》前言.txt	5	9	9	203	3	国民党以外，共产党对二二八的小动作也是好笑的。国民党把二二八的原因，归咎于“共党煽惑暴动”。共产党也乐得顺水人情，也就居之不疑，大接起漏油来。一九七五年二月北京召开“二二八纪念会”，共产党巨头廖成志宣称：“二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民主主义的一部分。”这种宣称，又何其与事实不符！但是共产党哪管这些，党之常情，...
004.《二二八研究续集》前言.txt	2	3	3	245	3	我在《〈二二八研究〉前言》中，提到我编著的体例是：“以排比的文件证据，从不同角度来观察它。”“旁征博引、巨细不遗，目的就在使人从众说纷陈的证据里，慎思明辨，知所去取，了解真正的二二八。”我所以定下这种体例、做出这种导读，原因就在我深刻感到，四十年来，关于二二八的处理，不幸已完全陷入“不入于杨、则入于墨”的偏执状态，它被充满政治目的与作用解释了。事实上，这些解...
004.《二二八研究续集》前言.txt	4	7	7	755	5	另一方面，像二二八这样动众劳师的大事件，首事的和卷入的分子，各行各业，所在多有，它的主轴是暴民滥杀与部队滥杀，被害人从善良外省人到善良台湾人，都在劫难逃。这一悲剧的演出，是很复杂的，但是偏执的解释却干脆把它简单化。国民党方面，往共产党身上一推，就不愿再谈也禁止再谈，所以二二八以后三十年内，在台湾岛上，简直没人敢公开谈它，连写文章，都要以×××××代替。相对的...
005.《二二八研究三集》前言.txt	3	5	5	255	3	陈仪是在1950年6月18日被枪毙的，当天国民党官方宣布罪状说：“抗战胜利后，奉命接收台湾，并曾充任行政长官的陈仪……做了一辈子大官，武官升到二级上将，文官当过省府主席、国府委员、行政长官等要职，想不到他仍旧是一脑子军阀官僚思想，在主持台湾行政期间，鲁莽颟顸，处置乖张。……”这一罪状，近四十年来，早已深入人心。所以一提到陈仪，国民党与台湾人就立刻发生“共识”...
006.陈仪论.txt	5	9	9	523	3	陈仪受知于士官学校晚他一期的孙传芳，孙传芳1925年任浙苏闽皖赣五省联军总司令时，陈仪任军长、浙江省省长。因为他要加入革命军，孙传芳扣押了他，幸经总参议蒋方震、参谋长刘宗纪等营救，得以放回上海。杜伟在《孙传芳羁押陈仪的经过》中说：“陈仪被禁在南京联军总部，孙传芳大动肝火，恨之入骨。夏超、周凤岐之后，加上一个陈仪，在孙传芳当时的心目中，凡是浙军，没有一个是靠得...
006.陈仪论.txt	8	15	15	617	7	而陈仪对这种来自大陆的抗拒，甚至不只是经济的，而是全面的。《传记文学》第五十四卷第二期有沈云龙遗稿《陈仪其人与二二八事变》，对这些抗拒，曾有举例：“为了应付中央各方面来台接收问题，对他也是一大困扰。例如孔宋系统的中、中、交、农四行及中信、邮储两局派员来台设行及接收金融机构，陈认为台省原有台湾、第一、华南、彰化四银行，毋庸增设，即命来台人员原机返回，并呈准由台...
006.陈仪论.txt	10	19	19	461	4	国民党特务头子毛森，当年是陷害陈仪的要角之一。但在近四十年后，他垂老写《陈仪迫汤投共始末》，却也有这些“其言也善”的尾语。毛森说：“最后我要代陈仪说句公道话，二二八的账都记陈的头上，是不公平的。日本投降时，台人确实欢迎接收人员及国军。嗣因接收人员行为不检，部队军风纪欠佳，引起台人反感，陈仪素重纪律、军容，故坚持撤走驻台之破烂叫化兵，因陈坚拒驻军，汤恩伯、林蔚...
006.陈仪论.txt	11	21	21	289	4	此外，于百溪在《陈仪治台的经济措施》里，也有这样的回忆：“陈仪对我说：我们负责前往接收，总想励精图治，把台湾搞好，才对得起台胞。我们到台湾后的一切措施，都是为公，而不是为私，都是为绝大多数的台胞设想……谈到二二八事件，他说：这是由于我襟怀过于坦白，太相信自己，而缺乏政治警惕性所致。我为了军民关系处得好些，将军风纪欠佳的原驻军撤走，我没想到新军抵台后，竟演出不...
006.陈仪论.txt	12	23	23	778	5	陈仪卸职后第二年，又出任浙江省主席。邪门的是，每当他出任浙江省头儿，他都要遭到被扣押的命运。前一次是孙传芳扣押他，为了他“通蒋”；二十三年后，这一次是蒋介石扣押他，为了他“通匪”。邓文蔚《陈仪之死》对这一幕有动人的描写：“陈仪先生被关在基隆要塞内，后来转到台北市‘励志社’（原日人海军俱乐部‘昭南阁’）。蒋介石的参谋总长林蔚（蔚文）、财政部长俞大维，以陈仪故交...
006.陈仪论.txt	13	25	25	172	4	陈仪有两首《无题》的诗，全文是：“事业平生悲剧多，循环历史究如何？痴心爱国浑忘老，爱到痴心即是魔。”“治生敢曰太无方，病在偏怜晚节香。廿载服官无息日，一朝罢去便饥荒。”此公一生清廉，辛苦从公，痴心爱国，最后着魔而死，真是人间悲剧。不过，如今在历史学家笔下，蒋介石遗臭万年，陈仪却晚节尤香，历史循环，倒真的为这位烈士有所偏怜。陈仪精神，真不死矣！
007.二二八的道歉问题.txt	2	3	3	598	3	二二八的问题，对国民党说来，一直采取鸵鸟式的角色。国民党不喜欢谈二二八，最近被逼谈了一些。国民党行政院长俞国华说：“当年满洲人入关杀了很多汉人，满洲皇帝也未向汉人道歉。”从政治立场上看，一个集团为了抢夺政权、维护政权，杀很多人，的确毫不稀奇，的确无歉可道，因为在赤裸的暴力（naked power）下，成者为王败者贼，谁还道什么歉！但是，撇开这种满洲人杀汉人的...
007.二二八的道歉问题.txt	3	5	5	336	3	如今为二二八事件，反对派各路人马要求国民党政府道歉，尽管他们标榜的是“和平”与“公义”、是“为政府与人民之间的怨恨做抚平工作”、是“让爱愈合伤痕”……但是，在这些伟大的目标下，究竟有几个人真的目的不在作秀和作政治道具，是明眼人心知肚明的。连最单纯的台湾大学学生，都要纠合十余社团、举行纪念会、散发《给李登辉总统的一封信》了，可见闻秀起舞，真真大有人在。信中说：...
007.二二八的道歉问题.txt	4	7	7	183	3	事实上，道歉云云，根本就无法解除“心中的伤痛与阴影”；事实上，没有人旧伤重提，健忘的小市民和无知的新生代早已不知二二八为何物。如今争吵要道歉的人，竟愚蠢得不知道：一旦道歉发生了，真正的得利人，不是别人，就是国民党的当权派；不是别人，就是他们痛恨的敌人。今天由于李登辉、俞国华之流笨得赶不上卢泰愚与勃兰特，死不肯道歉，一旦他们想通了，道起歉来，可真有人要哑巴吃黄...
008.不还别人头，只还自己头.txt	2	3	3	228	4	我在2月27日出版了三部书：《二二八研究》《二二八研究续集》《二二八研究三集》。出版以后，台湾人中的褊狭分子打电话到出版社，大骂“干你娘”；而外省籍的老兵型的书摊老板也拒绝销售，理由是李敖替台湾人讲话，“二二八的书我们不要卖！”有人问我，说你不接生人电话，怎么会干到你的娘？我说我娘八十岁了，有什么好干？但干接电话的职员的娘，我也感同身受。这些没水准没格调的台...
008.不还别人头，只还自己头.txt	3	5	5	685	5	为什么这些台湾人中的褊狭分子这样没有是非、不识好歹呢？追根究底，是他们没有好的教养。台湾这种货色的人，是两种传统的产物，一种是清朝的罗汉脚，一种是日本浪人，这两种传统的结合，造就了它的地区特色，它的乡土气质是清朝式的、它的造型打扮却是日本式的，再加上国民党的离奇教化，自然生出这么多莫名其妙的偏执狂。别以为对二二八的态度跟国民党一样不讲理，只是口嚼槟榔的下等人...
008.不还别人头，只还自己头.txt	5	9	9	326	3	《三国演义》写关公被杀后，湖北当阳县玉泉山上老和尚普净，半夜三更，“正在庵中默坐，忽闻空中有人大呼曰：‘还我头来！’普净仰面谛视……认得是关公，遂以手中尘尾击其户曰：‘云长安在？’关公英魂顿悟，即下马乘风落于庵前。……普净曰：‘昔非今是，一切休论；后果前因，彼此不爽。今将军为吕蒙所害，大呼还我头来，然则颜良、文丑、五关六将等众人之头，又将向谁索耶？’于是关公...
009.监察院二二八报告内幕.txt	4	7	7	697	4	为了平衡这一文献，我同时收集了1963年6月《湖南文史资料选辑》 第四辑中何汉文的《台湾二二八起义见闻纪略》。何汉文是当年与杨亮功一同撰写监察院报告的人，他“投匪”后，又重写此一内幕，翻别人的案，也翻自己的案，这种前后同为一人的“反面教材”，太有趣了。我能这样揪出前后文献来对质，足可看出我的匠心和恶作剧。例如何汉文在“投匪”以后的文章中说：“在蒋介石对统治台...
010.侯素心的素怀心声.txt	3	5	5	233	6	昨天晚饭时候，段宏俊拿来一袋《世界论坛报》的读者来信，其中有一封“敦化南路492号12楼侯寄”的信，上注“内资料”字样。小屯一看信封就说：“这不是邻居的地址吗？”打开一看，是署名“侯素心”写给我的信。我说：“492号12楼只有两户人家，一户是会计师办公室，一户是一位将军的住宅，这位侯素心，大概是将军的夫人。”饭后我向张牙医的太太打听，确定了果然如此。将军和夫...
010.侯素心的素怀心声.txt	6	11	11	684	15	侯女士当时是一位小公务员，她的见证，不代表任何国民党官方的立场，这种见证，也就最为可信、动人。从她的文章中，我们可以看到不少外省人的血泪。例如她说：“当时我住上海的侄女刚结婚，大哥送他们来台度蜜月，那天刚好从草山坐火车进北市，便被拖出月台毒打。侄婿脊骨打断了，回上海后成残废，侄女始终精神不太正常，他们还是在打昏时被一台胞相救免于死。我一开店的朋友夫妇被打死了...
010.侯素心的素怀心声.txt	14	27	27	651	5	陈仪是一个很好的长官，他民主、没架子，每天辛苦吃便当办公，当时刚光复大家一条心，工作也很痛快，不管各级什么工作都没有压力，也没什么人事的监管，我们虽小为教员，但生活得轻松，而不久因大量日兵台籍浪人成千成万回台，环境变了，因应困难，加上不死心的日本人梦想使台籍日兵占有台湾，以便日本控制，才会引发二二八事件。而二二八的目的是要赶走外省人、打死外省人。于是初期死伤...
010.侯素心的素怀心声.txt	21	41	41	233	3	《世界论坛报》转来来信一封及《为在台受难的公教工商学生孺妇申冤》《重述二二八的经历，不让时间歪曲》二文，真谢谢你。第一文写于1947年3月6日，可说是从外省人“公教工商学生孺妇”立场发为正义之声的第一文。——关于二二八的文章虽多，但是像尊作这样肯为小百姓讲话的，却是凤毛麟角，足见尊作于世道人心，早在怀抱，令人佩服。所以我昨天特写了一篇《侯素心的素怀心声》以为...
010.侯素心的素怀心声.txt	31	61	61	422	10	28日上午10时左右，人们尚在不知觉中。忽然街头巷尾，全市布满了年强力壮的台湾同胞，有失业者、有学生、有各行业的人，手持铁锤铁棒凿子斧子大木棍之类的武器，口呼：打死阿山（台人呼由内地到台之同胞为：山猪；从不将其为人看待）；于是过路人均被查问。第一句问你台语，如音调不像本省人时更问一句日本语，如不懂时，即有人呼：是阿山，打！于是便被数十只手按下，衣服撕碎，铁器...
010.侯素心的素怀心声.txt	32	63	63	288	4	无线电台12时被暴动的民众占领了，播讲的均是高呼：全台六百五十万同胞团结起来奋斗到底等的演词，各机关如专卖局、铁路警察署、银行、粮食局、供应局、交通局、派出所、车站等等办公厅均被民众抢入，将一切公务人员，系本省人者放走，外省人者一律毒打，东西搬出烧毁，长官公署同时被民众团团围住，民众冲拥上前，守卫宪兵不肯，于是宪警开枪示威，打死民众二名，民众后退却不肯散开，...
010.侯素心的素怀心声.txt	33	65	65	284	5	3月1日悲剧还是照样演下去，而且进一步抢掠公教人员宿舍，凡察觉该房子系外省人居住者即行抢入，男女老幼被打，软细东西被抢劫，笨重家具被搬出焚烧，谁是外省人者均抱着一个岌岌可危的心，等待着死难的来临，街头巷尾搜打外省人，强占车辆，于是与戒严宪警冲突，宪警开枪在混乱中打死九十名民众，同时消息传出：本日基隆、新竹、彰化、台中、嘉义、花莲港等县市也发生同样的悲剧，基隆...
010.侯素心的素怀心声.txt	34	67	67	339	8	惨剧直延至3月3日还没有停止，两天来台北市参政议员等代表忙于开会调停工作，无线电台整天播送的是民众运动的结果消息，民众提出好多要求：请即解除戒严令、请即抚恤被枪打死之市民、请即严办缉私肇祸人员、请即严禁以后公务员不准随身带枪出巡、请即严惩专卖局长及主事人员、请即释放因暴动而被捕的十余名民众、请停止调动南部军队北上并严禁军队离开营房、请禁止军警武装出巡及带武器...
010.侯素心的素怀心声.txt	35	69	69	504	7	无线电台每天的广播均是一些参议员等人士的演讲及报告（4日以前的电台均一律讲台语），他们组织二二八事件处理委员会，代民众向政府交涉的经过，他们歌颂民众这次为激发义愤的行为，赞扬民众系一种爱国运动，报告民众的被捕情况及请求理由，责怨政府的施政方针，怒责贪污，同时报告各地也有分会的组织，4日基隆分会委员广播报告中有说，基隆市因这次事件，被宪警捉捕人员数名，已由本会...
010.侯素心的素怀心声.txt	36	71	71	399	4	6日全市贴满标说，有打倒贪污改革政治等文字，可是同时也贴满了不少传单，以日文排印的传单，内中有说：我们六百五十万的同胞紧紧团结起来赶走一切猪奴（即山猪的意思），我们台湾人民才能生活……我们要求自治……街头巷尾均是这种传单。6日的电台播讲竟聪明多了，他们更正：国内外对台湾这事件发表消息的错误，否认民众围攻美使馆，更否认台胞毒打外省人的事件，他们美其名为民众公愤...
010.侯素心的素怀心声.txt	38	75	75	461	4	我们应该承认台湾的政治，有欠好之处，所以才有这次的暴动。而台湾的政治不好，也因有这一些不法的贪污者及金融捣乱者从中作祟，可是从良心上说，人是不分地域有好也有坏的，在台湾的贪污投机者也不单只是外省人。有眼睛的民众谁都要承认：台湾本地有着好多十恶不仁的贪污者，金融资本的操纵者，我们有眼可以见到，这次人民自己检举及捕捉囤米的结果，本省的各大地主富商均是大囤户，一切...
010.侯素心的素怀心声.txt	39	77	77	511	5	我相信，无论任何来台湾服务的公教人员，均会为生活而有“早知如此，悔不来台”之感，因为台地情况与国内不同，故公教人员之吃苦也会加倍，因为政府为防刺激物价上升，极力压低服务人员待遇，故算为高级公教待遇者，只有台币七千元左右的薪给，但普通者以四五千元为多，也不少是二三千元的收入，第一天官价可以换国币三十五元，然而市上只有二十四五元，官价是换不到的。可是物价不会因待...
010.侯素心的素怀心声.txt	40	79	79	291	4	这些死难者犯的什么罪呢？连死者自己都不会清楚的，可是受难者是被打死了、打伤了、集中了，然而在这社会上便没有人提起过他们的遭遇，更没有人会同情他们，为他们说一句话吗？台人把握着的舆论，无线电台，天天讲播的都是赞颂那些杀人放火的人，谁会顾及这一大批生活没保障的痛苦的人们，有良心的人不得不代他们呼吁、代他们申冤，台湾的参政会议员们及一切台湾人士均举行大会，声援民众...
010.侯素心的素怀心声.txt	41	81	81	738	3	由于这件事，我们不得不追想到我们那些在各地受难的中国同胞了，我们不得不痛苦地高呼：“中华民族的苦难什么时候才完了呢？”不是吗？在菲律宾我们看到那里的排外运动，听到那里的同胞悲惨的呼声，在暹罗（泰国）、越南、星洲（马来西亚）等地，我们听到别民族残杀我们同胞的悲惨消息，可是想不到在这光复不久的台湾，会发生这同样残杀的情形，而且我们完全相信，这个残杀比南洋群岛各地...
010.侯素心的素怀心声.txt	44	87	87	280	3	近年野心家歪曲二二八事件作为挑拨台胞仇恨，增加自己政治斗争的资本，以煽动暴力，达成巴结民众，要挟政府。语云“饱暖思淫欲”，也许社会太富饶、太安定了，一些人便不择手段要抢利益。事实上为二二八抗议的人当年尚未出世，是生长在温室中被政府呵护、对过去无所知的青壮年；相信今天执政的领导者对这段历史也是一无所知的。而时间已近半世纪的史实，却被不知实况的人歪曲了。一直保持...
010.侯素心的素怀心声.txt	45	89	89	958	3	民国三十四年胜利时，我任重庆中学教员职，因我能说流利的闽南语，因此接受聘约到台北有名的女子中学任教，因交通之故，至三十五年元旦日我才踏上宝岛土地，工作至今。当时台湾情况可以用“凄凉破碎”四字形容，人民衣衫褴褛，吃杂粮，穿木拖板，踢踢踏踏的响着。小学生光着脚板，中学生有一双破布鞋便很了不起，街上没有一家店铺，买东西无门，房屋低矮破旧没一栋楼房，市区极小，建国南...
010.侯素心的素怀心声.txt	46	91	91	841	18	三十六年2月27日下午，公卖局及警员十多人在市场搜查私烟，与烟贩林江迈起争执为导火线，如火如荼的暴动开始了。目的是日军要抢回台湾，共党要占据台湾，于是由烧毁公卖局车辆打人，演变成打死外省人（其实当时十多名员警与职员，除了领队组长外，都是原本就任其职的台湾人）。从28日上午至3月6、7日，街上、火车、公车、汽车、脚踏车上被打死的外省人便有二三千人之多，也有不少...
010.侯素心的素怀心声.txt	47	93	93	514	5	幸而天公眷顾台湾，要使台湾此后富裕幸福，因此留了活路，邮电局尚未被敌人占领。所以暴乱消息由邮电传至大陆求救，蒋总统火速派遣军队乘战舰直奔台湾镇压暴民（那已是一星期之后，外省人已被打得差不多了。我们在半夜集体溜进兵营去，即现在中正堂地址，当时是卫戍部军营，以避免要挨家搜查），这时暴乱者得知情况也组织起来，起出日军藏下的全部武器到基隆码头去，准备与军队对抗。当军...
010.侯素心的素怀心声.txt	48	95	95	820	3	从这段史实中我认为该是大家受了敌人——日本军阀及共党的挑拨，在激动中造成的大悲剧。而基因在刚光复之初经济落后，凄凉破碎、国库空虚，没能力建设，而回乡的台籍日兵成千成万带着光复的美梦，冲进这食不饱穿不暖的地方来，幻梦成空，极易受挑拨激动，加上政府那些台籍公务员继承过去日人高高在上、统治贱民的传统办事态度，傲慢不恭，加上一点导火线，便引成历史上的大悲剧。但现在事...
011.国民党打二二八牌了.txt	2	3	3	433	5	1月16日《自由时报》登：“执政党籍新竹市长童胜男昨天表示，将打破‘党内禁忌’，于今年举办二二八追悼活动。童胜男表示，二二八事件系民族的伤痛，希望借着追悼活动的举办，弭平这道历史伤口。”“童胜男指出，发生二二八事件是令人遗憾的事，而一直不处理，也未必是件好事，他认为，应该坦然来面对及研究如何抚平民族创伤。”“他说，部分人士常把二二八事件作为一种政治筹码，这是...
011.国民党打二二八牌了.txt	4	7	7	75	3	郑南榕生前，大力宣传打二二八牌的时候，我曾警告他，这种牌是不宜打的，因为一旦国民党想通了，他们也打起二二八牌来，他们将是最大的受益者，你们反倒吃亏了。
011.国民党打二二八牌了.txt	5	9	9	194	3	以苏联为例，就明白我的警告的中肯了。1988年6月25日外电说，苏联不满分子萨哈罗夫今天首次出现在街头集会，加入前政治犯和主要知识分子的行列，要求立碑纪念被斯大林迫害的受难者。五天以后，7月1日，苏联官方有了灵活的反应，外电说，苏联领袖戈尔巴乔夫今天在共党会议上说：“已有许多为此纪念而提出的建议，我们必须同意这样做。这样一座纪念碑必须在莫斯科建起来，我确定这...
011.国民党打二二八牌了.txt	8	15	15	97	3	如今童胜男先发制人，打起二二八牌，能迎上前去“化解心结”，这是他的乖巧处。他口口声声反对“把二二八事件作为一种政治筹码”，事实上，他自己正是此道老千。民进党笨到死抱二二八不放，如今可碰到对手了。
012.陈仪不是恩人吗？.txt	3	5	5	198	3	李敖先生屡次在文章里或演讲中提到“陈仪是台湾的恩人”。这句话在台湾人听来岂止是刺耳，简直是痛心疾首！4月28日在逢甲大学的演讲，李先生说：“国民党政府将大陆九十二万两黄金放在台湾作为发行新台币的保证金，才造就今日台湾的繁荣。”李先生的《千秋评论》我大半拜读过，他喜欢在文后附一大堆史料加强可信度；所以“九十二万两黄金”之说，我信得过。问题是，这就是造就今日台湾...
012.陈仪不是恩人吗？.txt	4	7	7	122	3	下面我引述美国人乔治·柯尔的《被出卖的台湾》中的片断：“除了军火弹药之外，日本移交给中国的大量财产，事实上有四十亿或五十亿美元的价值，假如善加管理，台湾现代的经济，足可产生过剩品以供给中国本土复员需求，并可以训练数以万计的技术人员供大陆之需。”
