file	paragraph	lines	score	markers	text
002.蒋介石是“郑三发子”吗？.txt	86	171-171	20	有一个|当年|后来|最后|问|答|说|笑|死|枪毙|蒋介石	当时的铁路糟透，过黄河铁桥时摇摇欲坠，而且车卡得分成两截，火车在桥上犹似蜗牛，爬得旅客又急又怕，爬过桥头一身大汗。过风陵渡怕日本兵在对岸开炮，又要冒着危险冲锋，总而言之，当时的铁路是肝肠寸断、当时的旅客是愁肠百结。到达宝鸡绍发这才透过一口气来，火车到了终点，可是绍发又担上心事：他买不起西北公路局长途汽车的客票，又没有钱做“黄鱼”（当时货车司机沿途拉客，谓之装黄鱼），宝鸡到重庆不折不扣一千一百五十公里，绍发咬咬牙决定步行！他晓行夜宿抄小路，爬秦岭，越褒水，穿明月峡，入川北大门广元，抵绵阳，到成都，经内江，过青木关，整整二十天，终算到了“陪都”（重庆）。可怜他双脚起泡，老眼昏花，满身泥土，一脸风尘。摸摸腰袋，只剩下了十八块大洋，找到萧家沟一家“鸡鸣早看天，未晚先投宿”的小客栈里住下。当时重庆的旅馆检查得好严，“军宪警联合巡逻队”查到这个怪客，不由分说几乎连头发里都查遍，只见他带着三张证明：一张是许昌县繁城镇镇公所的路条，一张是洛阳骡马行卖毛驴的证明，一张是当年双挂号寄“南京国民政府蒋委员长”的收据。巡逻不由分说便要把绍发捉将官去。理由是此人委实可疑，有一个宪兵就劈头说：“他你是个汉奸！”绍发虽然不大懂得时事，但“汉奸”这个名词儿他知道，那是要砍头的。他一慌，便老老实实告诉他们，宪兵听了哈哈大笑，“老家伙穷疯啦！”“老家伙神经病！”“走，也没有什么油水，让他去吧！”可是有一个警察忽地大叫道：“瞧，这老家伙真的有点像委员长哩！”众人再仔细一看，只见绍发身穿一件半新不旧的蓝布大褂，年约六十左右，白布袜、黑布鞋，头剃得精光发亮，下颚瘦削，唇上留了一撮浓浓的胡须，果然同蒋介石有几分相像，但骨骼比蒋介石粗大一些。有个宪兵边走边说道：“妖言惑众！谁不知道委员长是奉化人，这老家伙却是一口河南话！别信他。”最后警告他道：“瞧你上了年纪，我们也不抓你，可是你如果到处乱说，那就不客气啦！”绍发又气又急又害怕，吓得浑身是汗，听巡逻队的皮靴声走向别的房间，心想明天又要闹一场，急得不知如何是好。巡逻队走后，这小旅馆的账房便来看绍发，问他蒋介石真的是不是他的弟弟，“看你是个老老实实的乡下人，大概不会惹是生非，然而那怎么可能呢？你是河南人，他是浙江人，弄不好要枪毙，我劝你还是留着条老命回去吧！”绍发便在昏暗的电灯下，把前前后后的经过叙说一遍，那账房愈听愈害怕，劝他死了这条心，可不能开玩笑。后来看他意志坚决，也只得叹口气道：“好吧，不过你不能再拋头露面，搬到后面没有号码的房间里去吧，省得巡逻队查一次旅馆，你就多担一次风险。”绍发千恩万谢，当晚便搬过一个房间，并且拜托账房代为打听，三发子到底住在什么地方。那账房一来看他老实，二来也觉得好奇，也就答应下来。这家小客栈开在重庆两路口箫家沟，是两路口到山下菜园坝的一条狭窄的斜坡小道。地方小，又是个贫民窟，郑绍发的出现，便立刻变成了街坊“摆龙门阵”（谈天）
002.蒋介石是“郑三发子”吗？.txt	111	221-221	20	有一个|最后|问|答|说|回忆|杀|蒋介石|国民党	第四，沈醉在《我所知道的戴笠》中说：“当时在重庆曾经闹得满城风雨，许多人都听到过的一件新闻：蒋介石的亲哥哥郑绍发从河南家乡到重庆找蒋介石，而蒋介石不认亲兄的丑事，便是由戴笠一手来替他处理的。蒋介石随母下堂到蒋家当‘拖油瓶’之前，他母亲所生的大儿子仍然留在河南郑家。几十年后，他的大哥弄清了这一底细，想到重庆见见这位当了委员长的同胞弟弟，叙一下骨肉之情，蒋介石哪肯承认有一个异姓的乡下土老儿是自己的亲哥哥，不但不接见，并立刻叫戴笠来替他处理这一件大不韪的‘冒充领袖亲兄案’。当戴笠派特务把这位老头抓去亲自进行了一番询问之后，不用说，一看面孔身材，完全像是一母所生，而所答的一切都是确确实实有根有据。这样，当然不敢公开严办，而一向标榜奉母至孝的蒋介石，也不便无端地叫部下杀害亲骨肉。最后只好听从戴笠贡献的两全之策，将这位哥哥交戴笠软禁在军统局望龙门两湖会馆的看守所里，不久又移住在磁器口缫丝厂，不准人和他接近，免得被外国记者知道了宣扬出去。我多次去看过这个老头，他一谈起这件事，便滔滔不绝地叫冤，希望蒋介石不承认就算了，快点让他回家去。以后戴笠便禁止军统特务去和这人谈话，怕不留心传开出来，便把他送往息烽软禁了几年。抗战胜利后，还是把他送回去了。”——沈醉是国民党大特务，他亲自见过“郑三发子”之兄，这种回忆，不由得我们不信。
002.蒋介石是“郑三发子”吗？.txt	68	135-135	19	有一个|后来|答|说|哭|骂|跑|死	绍发抽抽噎噎又哭了一阵，把牙齿咬得格格作响，上下唇滲出血来。二拐长叹一声道：“俺同三发子娘儿俩那天上开封相国寺后面那条街上找到蒋家，你妈要俺带着三发子躲开点，她就去敲门，里头还养了条狗，汪汪汪直叫唤，俺牵着三发子就在附近乱转，又不敢跑远啦，一顿饭工夫你妈兴冲冲走了出来，嘿，事儿成啦！说蒋老爷为人和气，还答应把三发子带进去。当天咱三个回到破庙，你妈就向三发子千叮万嘱，说道：明天就要上蒋老爷扎活去啦，蒋家有三个孩子，蒋家太太死后没人照呼，有一个老妈子又不顶事。娘带你进去之后，你可别闹事哪，人家是做官的，又开着盐号，有钱有势咱可惹不起哪！蒋家孩子打你骂你也别还手，忍着点……”二拐喝了口水，“绍发，俺记得很清楚，你妈唠唠叨叨要三发子别在蒋家撒野，三发子的德性咱都知道，好的不学，光学孬的，后来听说被你妈锁在蒋家下房，不准他到外面惹是生非。”
002.蒋介石是“郑三发子”吗？.txt	95	189-189	19	有一次|当年|结果|说|骂|跑|死|蒋介石	田野如画，乡关万里，绍发软禁在集中营里虽然毋须苦役，也不要他清晨去跑步、整天上缭铐，但他闲得无聊，在自己住的地方居然也种了些白菜萝卜。直到当年冬天，营里换季发衣服，绍发领到了一套破棉袄，比夹衣厚些，可抵御不了贵州山地的寒冷，老头子压在心头的愤懑与牢骚，这下子可忍不住了。他痛骂起来，而且表明了自己的身份，这下子把眼睛长在额角上的集中营一干人等怔住了，马上给他换了套新的棉袄，一方面呈报上去：郑绍发泄露了秘密。于是又被转移到其他的地方软禁，但是个什么地方，倒无从打听了。据说抗战结束后，戴笠曾派人送绍发回到许昌，河南省政府并在绍发故乡为他盖了一所楼房。当时河南省政府主席是刘茂恩。据有些大商人说，当年他们到河南办货的时候，在省府老是流传着一种说法：刘茂恩有一次宴客，首席却坐着一个乡巴佬，刘茂恩给人介绍时说：“这位郑先生是委员长的表兄”云云。香港《周末报》曾刊载过一位河南籍作者寄凡先生的一篇通讯，叙述民国三十七年（1948）碰到绍发的经过，说那年暑假，他从上海返里经过南京，住在水西门附近的糯米巷十八号河南同乡会馆。……进来了一个老态龙钟的老头子，穿着土布的短褂裤，手里拿着一块大饼，从他满面皱纹上看来，就可以知道他过去的岁月是挣扎在艰难困苦之中，一位姓张的为他介绍说“这是郑老先生”。老头子显得非常慈祥，两只明亮的眼睛、一撮小胡子、骨架、轮廓都非常像蒋介石，唯一不同的就是他的脸上的皱纹、油黑的肤色、臃肿的身态和已经成了弓字形的背脊。他在重庆没有和蒋介石见过面，蒋介石是清楚自己的来历的，所以叫戴笠“招待”他。作者记述“郑老先生”的谈话说：“……我去重庆找他，没有见他，那个姓戴的派了四个人陪着我，不准我这、不准我那，我受不了，三十五年间便回家了，这些年间的家乡情形你是知道的，天灾人祸生活困难，来南京也没有见到他，唉！”他呷了一点酒、吃了一些菜接着说：“我要是年景平安，不管姓郑姓蒋，我不愿找他，现在年纪大啦，家里三十亩地，七八口吃饭，年景好还可以勉强过活，今年荒旱，眼看又要死多少人！”老头子又道出一般农民的痛苦，他是那样忠厚地并不责备这是他变了姓的“总统”弟弟统治的结果。……
002.蒋介石是“郑三发子”吗？.txt	50	99-99	18	有一个|后来|原来|说|死|求|蒋介石	后来蒋介石陈述这段日子道：“中正九岁丧父，一门孤寡，茕孑无依。其时清政不纲，吏胥势豪，夤缘为虐，吾家门祚既单，遂为觊觎之的。欺凌胁迫，靡日而宁。尝以田赋征收，强令供役，产业被夺，先畴不保，甚至构陷门庭，迫辱备至。乡里既无正论，戚族也多旁观。吾母子含愤茹痛，荼蘖之苦，不足以喻。”在这一段记载中，可以看到三发子娘儿俩自豫入浙，在肃庵死后的日子是如何狼狈了：官厅和“地方势力”欺侮她，作劳役、夺产业，迫辱备至！可是乡里们不愿出面打抱不平，戚族也都冷眼旁观。肃庵的同乡们仇恨他到这个地步，肃庵生前为人如何，也就可想而知。但三发子她妈却想到了一个求助的地方：雪窦寺里的老和尚。原来雪窦寺和尚当时也在溪口大户人家化缘捐钱，每逢出动，背后总有孩子们一窝蜂跟着瞧热闹。某次有一个孤寒财主不肯“随缘乐助”，同和尚言语不通，大声说话，孩子们以为不肯捐钱吵了架，大家在旁呐喊助威，三发子便顺口唱着他的河南曲调道：
002.蒋介石是“郑三发子”吗？.txt	69	137-137	18	有一次|后来|说|骂|逃|死|逃难	“浙江，奉化，”绍发喃喃地念着，“蒋家，做官的，又开着盐号。”绍发一骨碌坐起来，“明天俺就上路，到浙江找妈去！”二拐两口使劲劝他道：“别做梦啦，浙江在什么地方？奉化又在什么地方？你知道么？就是你找到了，找到了又咋着？你妈已经姓了蒋，三发子也姓了蒋，你有什么办法？强龙不斗地头蛇，何况你啥都没有？再说你妈做了蒋家的媳妇，蒋家并没有抢亲，是她自己送上门去的，好多乡亲还说她造化哩！算了吧，就是你找到蒋家，人家瞧你破破烂烂像个叫化，不一把抓住你送衙门才怪！”二拐说着说着就有了气，“绍发，自从你妈同三发子进了蒋家，嘿，眼睛就长到额角上去啦。头先，俺去要饭，敲敲后门，你妈或者三发子就悄悄给俺几个馍，夹点肉。到后来就不中啦，理都不理。倒是那个老妈子瞧俺在外面干等不过意，有一次劝俺道：老乡，你又来啦？现在人家做了咱老爷的填房，那个小龟孙也姓了蒋啦，你成天来噜嗦，要她把脸孔往哪儿放？算啦，年头儿荒乱，还是各奔前程吧！……”二拐吐了口唾沫骂道：“俺入他八辈儿的，大家逃难，没有俺，她娘儿俩早在路上喂了老狼，如今抖起来啦。”二拐子叹口气道：“绍发，你还是死了心吧，有钱人靠不住，咱穷人该穷得硬朗。你既然来了，干脆就住下吧，荒年过去啦，饿不死咱们，过些时让俺屋里给你说个媳妇。……”这么着，绍发便在故乡住了下来，但对他的母亲和弟弟三发子，仍然不能忘怀。第二年由二拐两口子做媒成了亲。年成稍微好转，小伙子身体又结实，慢慢地恢复了祖业，在庄稼 之外还开了个小磨坊；两口子生下了两个儿子，省吃俭用，日子勉强打发。
002.蒋介石是“郑三发子”吗？.txt	84	167-167	18	传说|有一个|原来|说|笑|杀|蒋介石	这个传说比较接近，或系绍发写信以后，由那个三家村学究传出风声，附会而成。但事实上是有出入的，因为绍发并没有会到他的弟弟，而他去重庆的时候，唯一的凭据是他这个“人”，还有一张寄双挂号信的收据。基于这个传说，当时还流传蒋介石曾亲自烧掉那张照片云云，这个戏剧化的镜头是很“辣”的，因为它尖锐地衬托了三发子的个性，说明了人们对于他是如何愤愤不平。传说虽然不同，但有一个共同的事实：绍发的确去找过他的胞弟；同时在各种传说中都没有写出绍发的名字。使绍发冒险去找三发子的动机是生活，在“水、旱、蝗、汤”的灾难中无法挣扎，他活不下去了。水、旱、蝗容易了解，水是水灾，旱是旱灾，蝗是蝗灾，但“汤”是什么灾呢？说来可笑，原来指的是蒋介石手下一员大将“汤恩伯”，当时汤的部队在河南驻扎，竟使河南人民大声疾呼惨痛的口号：“宁愿日本兵烧杀，不让汤恩伯驻扎！”——在天灾人祸煎熬之中，绍发便在1941年夏天自豫入川，投奔他的弟弟三发子去了。
002.蒋介石是“郑三发子”吗？.txt	82	163-163	16	故事|传说|说|逃|蒋介石	光阴似箭，日月如梭，绍发自从在那年同三发子失之交臂，没有晤面以后，直到1941年（民三十年）实在熬不住了。水、旱、蝗、汤使老百姓没法活下去，他只剩下一个弟弟可以投奔，虽然这个弟弟是“当今皇上”，绍发去找他得担点风险，可是他也顾不得了。关于绍发在抗战期间上重庆找蒋介石的那一段故事，当时有着不同的传说。有的说，绍发是凭了一张“阖家欢”（全家照片）去找三发子的，乡人拿照相当作一件大事，对照片的宝贵收藏是很可能的。然而别忘记那张“阖家欢”该摄于全家大逃荒之前，按照情理来说，这张相片在逃亡时应该由绍发的父亲或母亲保管。就是由绍发保管，但他历经苦难，这帧照片不大可能保存得住，何况几十年之后，这张照片也该褪色模糊不清了，因此绍发凭“阖家欢”去找三发子之说，事实上不大可能。
007.蒋介石怎样谋杀杨虎城.txt	134	267-267	16	有一个|后来|说|骗|跑	在贵州，杨虎城最初被监禁的地方是息烽阳明坝的看守所。这地方后来成为军统的一个重要监狱，也就是息烽监狱，可容纳三四百人。1939年，戴笠到息烽视察，认为杨虎城被监禁的地方不够安全，离公路太近，于是在息烽县城东十二华里的一个极为偏僻的山顶上，找到一个名叫“玄天洞”的山洞，这个山洞只有一个出入口，易于警戒。戴笠就把洞中的一个道士赶跑，把杨虎城全家转押在这个山洞里，玄天洞终年不见天日，洞里异常潮湿。在这恶劣的环境中，再加上精神方面所受的重重折磨，杨虎城的身体一天天衰弱，常常闹病。后来不得已自己出钱在警戒圈里盖了一个简陋房子。1941年，杨夫人生下了一个女儿。孩子的出世，更为他们带来无限的忧伤。就在这一年的春天，周养浩来到了息烽，直到1946年，他担任息烽监狱长兼军统息烽办事处主任。由于职权所在，他经常和杨虎城见面，后来见面的次数愈多，彼此之间也就熟悉起来。周养浩常到杨的住处，陪他喝酒打麻将消磨日子。后来，杨虎城曾对他的一个朋友说，他对军统的特务非常厌恶，但是周养浩却是一个好心肠的人。周养浩先生谈到这里，一再重复杨虎城的这番话，他脸上的神情则流露出内心的负疚。过了一会，他终于说出了心里话，“后来，我把他骗到重庆，这是很不应该的。”
002.蒋介石是“郑三发子”吗？.txt	21	41-41	15	有一个|说|逃|跑	“郑大娘，”二拐也叹气道，“今天俺在相国寺后边那条街上要饭，听说有一家姓蒋的老爷要找个奶妈什么的，要是还没有找妥人，你干不干？”三发子他妈怦然心动道：“二拐，反正闲着也是闲着，俺咋不干？”这么着，第二天一早，姜二拐便带着三发子娘儿俩，找到那家乌黑黑的门堂。只见门口挂着素灯笼，有一个上面贴着几个青莲色的扁仿宋：“候补道蒋”，一望而知那家人家有了丧事。三发子他妈鼓足勇气，示意二拐带着三发子避开一边，整一整棉袄摸一摸头髻，好在她到得开封，半个多月的休息已把几个月挨饿的憔悴脸色稍微改变，衣服也没补丁，倒不像一个逃荒的。一敲门就听得里面狗儿乱吠，再敲门“啊”的一声跑出来一个老妈子，三发子他妈说明来意，那老妈子朝她打量半晌，嘟囔道：“咱老爷找奶妈，也不知道哪个烂舌头的传了出去，害得俺一天到晚尽开门，好好，瞧你样子比她们强，跟俺进来试试吧。”那老妈子边说边挪动圆规脚，一扭一扭，穿房越屋走向书斋。
