file	paragraph	line_start	line_end	char_count	score	snippet
005.英雄之气的意志.txt	3	5	5	113	3	钱思亮说：“胡博士虽然一身有好几种病，但是毕竟是一个意志非常坚强的人，他之能够吃苦耐劳，向为朋友们所最钦佩。”但是胡适的意志是长者化了的，未免缺乏英雄之气，如今我所要求自己的是一种有“英雄之气的意志”。（1957年5月18日）
006.艾森豪威尔的意志.txt	3	5	5	152	4	这位将军做哥伦比亚大学校长时，他的脉搏突然增加，便遵医嘱，戒了纸烟；过了一个星期，他的脉搏便恢复了正常的七十二次了。此后，他永不吸烟了。约翰·根室曾问过他：“如果有人在你的办公室里吸烟，你是否反对？”艾帅回答：“哦，不会的。这样更会增强我的精神上的优越感，表示我有充分的意志力来戒烟；但是，他们却没有。”
006.艾森豪威尔的意志.txt	4	7	7	83	3	这是一种抵抗诱惑有所不为的意志，大都可用在“戒绝”一方面，在需要戒绝的场合，我要用艾森豪威尔这段小故事来纪律我自己，这是一件最使人感动的身教。（1957年5月18日）
006.艾森豪威尔的意志.txt	5	9	9	88	4	报载艾克昨日在记者招待会上，“应记者之情，讨论他如何戒烟而获成功的方法，他说：‘找一些别的事情来使自己忙碌不停，想些别的事情并避免一种自怜的心理。’”（1957年8月1日再记）
007.“我就默然不语”.txt	5	9	9	109	3	“默然不语”是一种最伟大的作风，何况事实上的是非恩怨又是一本搞不清的烂帐！泰戈尔说：“如果不等着说完全的真理，那么要说话是很容易的。”在一种公允的总结永不会产生的情况下，我的确是不该再说什么的。（1957年5月18日）
008.有条件的回想.txt	2	3	3	179	3	事情过去了就总算是过去了，我虽不愿遗忘，但也的确不愿再回想，一切欢乐、眼泪与名分都已逐渐成为往事，既然都成为往事。“我们该不要回头望，除非是要从过去错误中提取有用的教训，和为了从经验中获得益处（华盛顿）”，否则对既往的缅怀与回想都将是我目前的戕贼与毒素，我为自己订了一个严格的标准：凡是对“现在”有害的回想与想像，我都要一律不去想它。（1957年5月18日）
010.丘吉尔的坚强.txt	2	3	3	224	3	威格拉姆说道：“我是失败了。……我想我是不够坚强。我未能使他们了解。温斯顿·邱吉尔是常常了解的，并且他是坚强的人，一定会继续奋斗到底。”我默默凝视着邱吉尔的造像，深觉他是一股力量的化身，如他所说：“在战争中，坚决；在失败中，不屈。”从他的眉宇神情之中，我们到处可以看到坚定刚强的一面，悲观与消沉的情绪丝毫侵蚀不了他（甚至是暂时的突击），在每二十四小时的生活里，...
011.“要活在深刻地影响别人！”.txt	2	3	3	217	4	下午与张世民谈天的结果，使我更加认识艾德勒（Adler）的那句话：“要生活在深刻地影响别人！”（Live in vitally affecting others！）林毓生、马宏祥、孙英善都说我有我的一套，是的，我就要凭我这一套去深刻地影响别人。我该经常设想我在人们（尤其是朋友们）眼中的观感，我要使人觉得我是伟大的、庄严的、可佩服的。假如有虚荣心的话，这该是我...
012.道德勇气.txt	2	3	3	291	3	我正展开一个律己极严的严肃生活，“放弃故我，重修学立身。”在各方面我都严格的要求我自己，非逼迫我“止于至善”不罢休，照我最近的突飞猛进看来，“止于至善”对于我似乎已不是难事，因为“道德的勇气”（moral courage）已在极短的时间内占据了我的心。“Arise；for this matter belongeth unto thre；we also wil...
013.感觉的生活与意志的生活.txt	2	3	3	182	3	“普通的生活是感觉的生活（life of senses），是属于声色香味的生活，而不是意志的生活（life of Will）。意志的生活是另一种境界，只有特立独行的人才能过得了的。”过意志的生活虽然辛劳坚苦，但是一天下来，它的果实是最能慰藉人的，最能使人心安梦宁的。“过意志的生活”一句话，鼓励我无穷的道德的勇气，我没有丝毫向后退的犹豫了。（1957年5月19...
014.独醒与快乐.txt	2	3	3	311	3	午后，陈彦增开玩笑地向我说：“众人皆睡而敖独醒。”假如这话还大体不错，那我愿意进一步地解释说：过去的我是在痛苦中“独醒”着，而今天的我却逐渐在恬静的快乐中“独醒”着。受了罗素的影响，我抛弃了“拜伦式的不快乐”（Byronic unhappiness），我不再相信“少智多福”的不成熟见解了，不再相信For in much wisdom is much grie...
015.抖擞与旧习.txt	2	3	3	339	4	广诚来约看电影，票都买好了，其意甚殷。但我还是拒绝了。我绝不愿丝毫破坏我的严肃生活而做感觉的奴役，事实上我目前所做的只还不过是行远自迩的开始，王龙谿说：“须从本原上彻底理会，种种嗜好、种种贪着、种种奇特技能、种种凡心习态，全体斩断，令干干净净，此志既真，功夫方有商量处。”因为不这样极端的硬干，就是“立志不真”而“用力未免间断”，一曝十寒的结果至多只能说是“有...
