file	paragraph	score	chars	preview
002.野柳望远.txt	3	3	106	今天小屯说去野柳。这地方以前去过一次，但没登山。今天一路登到最后面的瞭望台，看树荫狭道、看大海一片（视野三百度以上）、看帆船一条、看海蚀豆腐岩等，把可看一面一看再看、把难看一面视而不见，过滤之下，亦勉强为之一畅。
004.酷吏李元簇居然也想说笑语！.txt	1	4	13	酷吏李元簇居然也想说笑话！
004.酷吏李元簇居然也想说笑语！.txt	2	6	48	与陈彦增全家晚饭。陈依玫说她这次陪李元簇访南美，李元簇试说笑话，但其人太严肃，所说笑话无可笑者。
004.酷吏李元簇居然也想说笑语！.txt	3	6	29	酷吏李元簇也想说笑话，这才是大笑话！（1991年9月2日）
005.陈彦增夫妇大陆归来.txt	2	3	93	陈彦增夫妇述上月游黄山，自南京以一百三十元美金搭计程车，九小时后抵黄山。西湖胜景受“文革”破坏，新修的假古迹不少。彦增说苏小小墓已被秋瑾墓移居其上，我断言其说不确。（1991年9月2日）
006.马英九咬指甲.txt	4	6	98	我从没见过马英九。但我从纸上作业，观察入微。前几天我向基竣说：你整天研究苏联，你知道叶利钦乃“八指头陀”吗？他说他从不知道叶利钦只有八个指头，你怎么知道，我说我知道的可多了。（1991年9月2日）
007.《卧窗惊魂》.txt	2	3	145	看据安妮霍尔登（Anne Holden）小说拍成电影的《卧窗惊魂》（The Bedroom Window）录影带，写通奸后，女方隔窗目击凶案，因怕奸情外泄，乃由男方出面说他目击，作证欲绳凶手于法。不料对方律师问出破绽，为了有正义感，却几以被当做凶手及伪证者追诉的窘局。（1991年9月3日）
015.宁要大彼得.txt	2	6	325	列宁格勒七日美联社电：“在俄罗斯议会允许列宁格勒恢复革命前的旧名圣彼得堡之后，该市大部分居民都感到欣喜，然而一些死硬派共产党员，眼见苏联国父列宁的声名衰落和塑像纷纷倒地，却称更改市名之举是资产阶级的一次胜利。”“一名五十五岁的出租车司机欢呼道，‘此刻终于来到。’他说，‘列宁是狗的名字。’”“俄罗斯最高苏维埃于昨天在莫斯科做成决定，将这个已沿用了六十七年的市名列宁格勒，恢复为圣彼得堡。更改市名的决定于十月一日生效，不过在市中心一些革命前遗留下的建筑物，早已将许许多多‘列宁格勒’的招牌取下。”“列宁格勒市长发言人说，更
015.宁要大彼得.txt	3	4	59	人民讨厌共产党和列宁，讨厌得竟回归到建圣彼得堡的彼得大帝，其理性程度与反动程度，亦堪一笑一叹矣！（一九九一年九月八日）
016.台湾到处是书法家，真不知其丑也！.txt	2	5	59	第190期《中央日报》星期天版搞“孙法民书法义卖活动第五波”，满版孙法民鬼字，竟称书法，可恶极了。徒以孙法民是财阀耳！
017.大陆法学家分析台湾“审理”大陆渔民的法律漏洞.txt	7	3	62	“此间法学家共同认为，台湾方面对此案的‘审理’，无论在程序上、在实体上，判决书本身及判决后的处理都是没有理由，站不住脚的。”
019.报纸停了以后.txt	2	3	76	《求是报》停刊，各界慰问不绝。公司方面今日留话：洪范书局孙小姐：“《求是报》停刊，我们都很难过。”其实我不但不难过，还达观得很。（1991年9月10日）
020.订报余款冲抵毛笔字.txt	2	4	33	读者陈盈宏来信，想以近两千元的订报余款易我“几个毛笔字”。来信说：
021.保护洋人“智慧财产权”？.txt	2	5	84	大苹果股份有限公司柯金珠来商代理合约，她淡大中文系毕业，甚聪敏。我送她《海盗万岁》一册，表示我在商业观点上赞成保护洋人“智慧财产权”，但在公义上和知识传布上，却有意见。
024.龚忠武来.txt	5	4	26	三、越战时间约与“文革”相终始，“文革”与越战有关。
024.龚忠武来.txt	7	3	94	五、大陆老、少（少数民族）、边、穷四区，问题仍迫切。全国县中，六百四十四个县穷、四百多个县特贫。有一亿二千万人（每户按四点五人算）年平均“人均”在二百元人民币以下、“户均”只一千元者甚多。
025.外蒙总统退出共党.txt	5	3	60	蒙共于去年宣布放弃一党专政地位；随即举行第一次自由选举。尽管蒙共贏得选举胜利，它却从此必须与新兴的外蒙民主党派分享权力。
025.外蒙总统退出共党.txt	6	4	86	一名外蒙国会议员表示，他认为外蒙官员辞去党职，并不足以改变这些官员效忠共党的心态。他说：“共党党员永远不会轻言改变信仰。蒙共高级官员仅想借退党之举，提高人民对他们的信心。”
026.国共禁书与贴胶带.txt	2	6	183	法新社北京十日电：本周在此间销售的美国《新闻周刊》杂志遭中共当局检查，并将一幅描述苏联政变失败的讽刺漫画，以褐色胶带贴住。不过，将杂志对着光源，仍可清楚的看到漫画内容，只见一名中共领袖及伊拉克总统萨达姆、巴勒斯坦解放组织领袖阿拉法特和古巴总统卡斯特罗面对播报苏联政变失败消息的电视机，每个人都涕泗纵横。电视上方写着播报员所念内容：苏联政变失败，全球一致兴高采烈庆祝。
026.国共禁书与贴胶带.txt	3	3	106	国民党在台湾，过去也搞这种把戏，只是多用“墨涂法”或“撕去法”。也有用贴胶带的，我现在手边的几套百科全书就被贴得一塌糊涂。胶带是特制的，背面白纸黑字，以其他的字混淆，使人减少开天窗的感觉。（一九九一年九月十一日）
029.被告王纪五死矣！.txt	2	3	63	今日《中央日报》，我之被告王纪五死矣！前几天傍晚碰到张忠琳，她还向我介绍其子王敬毅。从讣文上得知，另一被告王秋华原来是老处女。
030.国家到底为何？.txt	2	5	185	政治学上说国家构成的要项：“领土”也、“人民”也、“政府”也、“主权”也，列举备至，但我总觉得漏列了最被忽视的一项，就是“那一群结党营私的坏人”。真正国家的运作，其实全在这群人手里，他们实际作恶，却以“国家”、“政府”等抽象招牌行之，以“国家”、“政府”等抽象盾牌挡之，而使世人、国人不察，也从而以“国家”、“政府”等为对象服从之、效忠之、献身之、评论之、岂不上当也耶？
030.国家到底为何？.txt	3	3	155	英文中“国家”（state）一词，观念始于16世纪马基维利（Machiavelli）之首创，但马基维利时的国家观念、就比现代构成的要项少，例如缺一定领土观念、也缺现代主权观念等。可见古人比今人还实事求是得多，古人比较能单刀直入，扣紧真正关键在君臣臣民人际上的“恶”，反不易为幻象所欺也。（1991年9月14日）
033.看海.txt	3	3	78	海应该带给人浩瀚的胸襟，但是台湾岛上的人却殊乏此一效果，反倒一派小家子气。看他们整天眼里只有台湾，日以摆脱祖国为念，非小家子气而何？（1991年9月15日）
034.《世界论坛报》论吕秀莲.txt	3	5	118	在民进党阵营中素有“才女”之称的吕秀莲，早期是女权运动的健将，后来涉入“美丽岛事件”，判刑入狱，坐了七年多的牢，是台湾反对运动中较有水准的知识分子，其政治主张虽不无可议之处，出身哈佛大学法学硕士的背景，倒是台北政界不敢轻视她的重要因素。
034.《世界论坛报》论吕秀莲.txt	4	4	81	但吕秀莲这次率“台湾加入联合国宣达团”到联合国，要求与北美事务协调会代表丁懋时、中共驻联合国代表李道援与该团举行三边会谈，却是不自量力的做法，完全“忘了我是谁”。
034.《世界论坛报》论吕秀莲.txt	5	3	123	吕秀莲说，她希望台北当局能在今年联大开会期间提出入会申请，否则我们在年底选举就会施压，又说希望协调会及中共能对三边会谈有“善意的回应”。他们此行是“用人民的力量进行外交”、“对中共挑战”，如此大剌剌的谈话，俨然是国际强权代表的姿态，令人笑掉大牙。
034.《世界论坛报》论吕秀莲.txt	6	5	115	“宣达团”充其量只是民间临时组成的社团之一，不但毫无官方地位，甚至连压力团体都还谈不上，却侈言举行三边座谈，强要两岸代表出席，架势十足，却是如假包换的“空心大佬官”，不说中共代表不会理她，可能丁懋时都会暗骂一声：“你算哪棵葱啊？”
034.《世界论坛报》论吕秀莲.txt	7	3	47	奉劝吕秀莲多搞一点务实的女权运动或法学方面的知识进修吧！不要再搞什么“加入联合国”的丑把戏了。
035.官迷教授.txt	2	3	155	《自立晚报》上说，师大教授林玉体借调台北县政府九职等核稿秘书，今天正式到任，面对未来将被县长尤清委以重任，担任代理教育局长一事，林玉体并不愿多说。林玉体教授从师大借调至台北县政府，原来学校支薪将停止，但上课堂数仍维持五堂，县府每月支薪，使他每月减少两万元，据人事室指出，县府九职等核稿秘书月薪为三万九千元左右。
035.官迷教授.txt	3	3	42	台湾人林玉体放着好好大教授不做，却甘愿委身做小吏，真官迷也！（1991年9月16日）
036.白发红颜齐办报.txt	3	4	108	老段的报办得太烂了，他始终不能自悟这个报办得多烂。但烂归烂，精神却是第一。——老段为了报纸，牺牲自己，在所不惜；牺牲别人，亦在所不惜，这种精神，唯张其昀办“中国文化学院”（文大）时差可比拟也。（1991年9月16日）
038.中共的人权论.txt	2	3	75	今日报上说，李鹏会见欧洲议会对华关系代表团时，以强硬语气说，不要以为中共害怕讨论人权问题，中共愿意就人权问题，“理直气壮的”和其他国家进行平等的讨论。
038.中共的人权论.txt	5	3	220	我的看法是：按照中共制定《中华人民共和国宪法》第二章“公民的基本权利和义务”，第三十三条保障法律面前一律平等，第三十四条保障选举权和被选举权；第三十五条保障言论、出版、集会、结社、游行、示威的自由，第三十六条保障宗教信仰自由，第三十七条保障人身自由，第三十八条保障人格尊严，第三十九条保障住宅不受侵犯，第四十条保障通行自由。……可见中共并非不知人权不止于温饱。今天他们强调以温饱为人权，悬格未免太低，且有规避宪法者。当是饥不择人权标准之故。
039.噩梦不绝.txt	4	3	24	噩梦自与当年坐黑牢有关。（1991年9月19日）
040.身体不错.txt	2	3	62	今早取回体检报告。董玉京大夫夸赞我的身体还可以大干特干。大便全黑乃吃了治手伤药物引起，肠胃都好好的。（1991年9月20日）
041.龟头上的“三民主义统一中国”.txt	2	10	141	自立晚报登：现在民间流行一则“限制级”的政治笑话，笑话说有个无聊男子在“那话儿”上纹了几个字，不幸感染溃烂，男子跑去找医生，经过初诊，隐约发现“三国”两字，于是要他去给护士看个清楚，护士看过后，告诉医生说，正常的时候看他是“三国”，后来他自我膨胀，就出现全文“三民主义统一中国”了。
041.龟头上的“三民主义统一中国”.txt	3	6	37	此笑话甚逗。只是国民党阳痿成性，出现全文大不易耳！（1991年9月21日）
042.蒋宋美龄临走还耍大牌.txt	2	4	515	蒋宋美龄昨天赴美，搭的是专机。报载：“华航747专机昨天早上6时50分在董事长乌钺亲自督导下，由桃园中正机场飞抵台北松山机场，即滑至军用机场停机坪。接着在蒋家人员及华航人员协助下，装运蒋夫人数十箱托运行李，直至上午9时10分装机完毕。9时40分，蒋夫人由蒋纬国将军夫妇、长孙媳徐乃锦及孔二小姐等家属陪同下，分乘七辆轿车自士林官邸抵达军用机场贵宾室休息，等候登机。9时50分，李登辉总统夫妇、李元簇副总统夫妇、 总统府秘书长蒋彦士夫妇及执政党中央委员会秘书长宋楚瑜等政府首长首先到达，接着行政院长郝柏村夫妇、司法院长林洋港
042.蒋宋美龄临走还耍大牌.txt	3	3	37	这王八蛋死老太婆临走还耍大牌，而众奴才自李登辉以下却陪她耍，真集体无耻也！
042.蒋宋美龄临走还耍大牌.txt	4	6	85	报上又说：“与宋美龄女士较有往来的妇女团体人士如辜严倬云等人，都不在邀请送行之列。”可见做奴才也分等级的，级数不够，连“拍马送行权”都不赏给你呢！（1991年9月22日）
043.大陆农村的官方统计.txt	7	3	86	改革前，被中国人称为“三转一响”的手表、自行车、缝纫机、收音机，还仅是城市富裕家庭中的“珍品”。现在，44%的农民家庭有了电视机，41%的农户有电风扇，18%的农户有音响。
045.李光耀论中共经改成就.txt	6	5	360	尝试采用自由市场制度的第一个社会主义国家是匈牙利，西方称为“土豆烧牛肉”的共产主义。但是匈牙利并没有改变中央计划经济的基础，它只是在零售店或小商店实行自由市场的原则。中国是决定摆脱计划经济的第一个主要中央计划经济国家。中国人知道他们的经济失灵。1979年，他们很明智地先推行农业改革，放弃像毛泽东推行的集体农场的公社制度。他们成功地大量提高生产，为乡村区和城市人民提高了丰足的粮食。在1979年至1989年间，中国主要农作物的产量提高了35%，工业作物的产量在同时期也增加了一倍以上。他们不必依赖外援生存。农业方面的成功
046.邓毛毛忆陈毅.txt	3	4	126	1957年，邓小平家搬进中南海后，和陈毅一家毗邻而居，毛毛和陈毅的小女儿珊珊同岁，同一天进小学，一同去少年宫学钢琴，同成了好朋友，有一段时间毛毛几乎每天都要去陈毅家。因此，在陈毅和张茜去世后，邓小平说：“别的人我都不管，就管珊珊一个，我收她当个女儿！”
