file	paragraph	line_start	line_end	char_count	score	snippet
001.才华盖世侠骨柔情的思想家.txt	21	41	41	166	4	还有我救殷海光。我救殷海光时，他已被官方封锁，日子很难过，可是我愿意救他，因为我认为他的生命很珍贵，值得救。那时美军顾问团在台北，市面上的冰箱冷气，都靠顾问团用的二手货，我化名“OK李”，整天转卖旧电器，有一次我卖一台冰箱给李翰祥，在搬运时，被李太太看到，他问：“怎么大作家做起苦力来了？”我说：“大作家被下放了，正在劳动改造啊！”
001.才华盖世侠骨柔情的思想家.txt	91	181	181	77	4	陈平就是一个例子，每个人都说陈平偷嫂子。有一天，连皇帝也忍不住了，就问他到底是怎么回事。陈平回答：“我从来就没有哥哥。”可是，这个谣言还是跟了陈平一辈子。
002.对是非绝对是不让步的.txt	81	161	161	260	4	以色列他们也宣传传统的那一部分，也花了点时间在这方面，这样无非是增加人民的向心力，这也是不错的。但是如果花上很大的精力，例如要全国的学生写毛笔字、读文化基本教材等则大可不必。中国古代的东西大可由专家来做，例如考古学家发掘到秦始皇的陵，可以增加研究的趣味、可以增加思古的幽情、可以增加对中国文化源远流长的向心力等。有一次，“中学为体、西学为用”的大师张之洞发现一位幕僚的签呈上有“经济”两个字，于是他批了评语说，“经济”两个字是“日本名词”，不要用“日本名词”。这位幕僚反驳说：“日本名词”其中的“名词”两个字也是日本文。
003.在台大·在法庭.txt	9	17	17	98	4	□有，罗素对我的影响不小。罗素让我对每个问题有深入思考的兴趣和能力，这思考的结果可能和别人思考的一样，可是在过程中可能经过“见山不是山、见水不是水”的境界，最后又归于“见山是山、见水是水”的结论。
004.吐他一口痰.txt	139	277	277	144	5	□我觉得我自觉，我没有受台湾这个地区什么影响。如果有，我会自觉。今天在台湾这个岛上，我们无法用一种很宽阔的心胸来处理事情。我举个例子，你就了解。有一天，刘邦问韩信：“你能带多少兵？”韩信说：“多多益善，不管多少我都能带。”刘邦就说：“那我怎么办呢？”韩信回答：“你是带将的，不是带兵的。”
004.吐他一口痰.txt	149	297	297	196	4	□怎么叫骂人癖？那只是我表达正义的技巧，我不愿意用传统的方法表达我正义和理智的结论，我选择一种效果好一点的方法。不要因为是骂人的语言，就抹杀它的结论，问题不在我为什么骂人，问题在他们为什么那么该骂。譬如这次王迎先案引起“侦查中选任辩护人”之争，要修改《刑事诉讼法》，可是，你看，现在花样来了，每次修改就杠上开花，竟然搞到警察可以直接抓人、搞到约谈合法化，这多恐怖！愈修正愈糟糕！你说该不该骂？
005.答陈依玫.txt	6	11	11	318	9	特立独行的人，宁可在穿着上刺人眼睛，却不肯在内心里随波逐流。衣裳之道，本是小事，但从这种小事里，我的确培养出“不可隐我脚”的气魄。这种气魄，使我从翘课到大学生同居，无一不优为之。我想，在特立独行方面，我是当时的一个了不起的大学生。当然，这些形之于外的作怪，是有我含之于内的深厚知识基础做底子的，在知识上，我的功力在台大早已出乎其类、拔乎其萃。我敢说，我的功力早已超出了许多教授。物理学上的天才奥本海默，在考博士考试时候，“主考官”问了他一个问题就逃走了，理由是：“我不敢问他，再问，他就反过来考我了。”我考历史研究所时候...
005.答陈依玫.txt	7	13	13	382	4	我在大学生时代寄给《自由中国》杂志的文章，其实是我高中二年级的作品。我在高中一年级时候，就写信给钱穆，指出他书中的错误。钱穆回信给我，表示惊讶。这两个例子，说明了我虽然作怪，但是书可念得真好。——所谓书念得真好，绝非上课抄笔记之类。我在大学，恨上所有的课，恨抄所有的笔记。有一次“近代印度史”课上，老师要交笔记评分，我没笔记，写了几张卡片给老师，说中学生才抄笔记，大学生抄什么笔记之类，并写了几段我对印度史的卓见。老师看了大惊，不但不怪我，反倒给了我最高分。这老师就是吴俊才。当然我这种硬派作风，也会遭到学问又差人又菜的...
005.答陈依玫.txt	11	21	21	345	4	我在整个大学时代，都在努力又洗又换，我做得永远使我不满意。你问如果我现在是个80年代的大学生，不知将如何安排这四年。我想，如果时光倒流，我大可不必在大学过这四年，我觉得从大学中“换凡骨”“洗俗情”反倒过慢，慢得使自己不满意，感到浪费过多。大学中除非有启发性的师友，否则效果不如休学自修。但是启发性的师友太少了。我活到今天，从自己困学得来的自修成绩，远超过师友的切磋之益。萨特不同人论学，只是自己做学问，他的学问已经无需外求，我也是如此。我在大学四年中，好像师友跟我，变成只是情感上的交流，而非知识上的共进。我念书、我做学...
005.答陈依玫.txt	30	59	59	132	4	□我在第一个问题中，已经部分回答了这个问题。我总觉得这一代的年轻人太多“脂粉气”，只是漂漂亮亮的小表哥小表妹，缺少“悍气”——为大目标奋斗（还谈不到牺牲）的悍气。任何有出息的“接棒人”，都不该是靠人事和马屁关系接上的，那样接上的棒，前途必然一片漆黑，误己误国而已。
