file	paragraph	line_start	line_end	char_count	score	snippet
001.一个联合造成的冤狱.txt	2	3	3	129	3	1971年3月19日夜里，台湾警备总司令部，在全天候软禁我十四个月以后，终于将我逮捕。我被押到保安处，然后出示拘票，说我“涉嫌叛乱”。一年以后开庭，判我十年；去年又改判，判我八年。我在庭上一直一言不发，法官问我为什么不说话，我说：“耶稣受审时，他也没说话。”
001.一个联合造成的冤狱.txt	4	7	7	375	6	案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大...
001.一个联合造成的冤狱.txt	6	11	11	194	3	疑点2：刑警队胁迫证人伪证。如证人马淑芬抵美后，在“马淑芬亲笔证词”中翻供，指出：“……刑警队气氛离奇，本人又不明法律，且无律师在旁保护，为恐一被缠讼，将误行期。故在刑警队仓促所陈，多出之保留方式。但求一时息事宁人，多以问李敖为归。故紧迫之时，由刑警写定由本人签署之文件，若与本人在自由时空内自动表达之文件有出入者，自以后者为准，方合情理。”可见当时刑警队如何...
001.一个联合造成的冤狱.txt	12	23	23	94	5	疑点8：保安处专案小组□科长（调查局调来）要我书面给他介绍版权抵押的始末。我问他：“难道这也和你们所说的叛乱案有关吗？”他说：“当然有关。政治犯是荣誉，司法犯是羞耻，我们对你要双管齐下！”
001.一个联合造成的冤狱.txt	13	25	25	85	3	疑点9：保安处□专员（参谋？）对我说：“本来我们想用诈赌罪整你，但整你就会整到蒋光超，而蒋光超和你当天才认识，说你们串通诈赌实在说不通，所以只好再想其它的法子来弄臭你。”
001.一个联合造成的冤狱.txt	25	49	49	231	5	疑点21：地方法院1972年6月12日，午前开庭一小时。然后即把我扣在法庭，说下午就要宣判，一滴水都不给我喝。三个小时后，就判我一年，但按1971年减刑条例减为半年。法官张迺良还得意的向我说：“我是留美的。□□□告错了罪名，你不成立诈欺罪，我用背信罪判你的。”（诈欺罪和背信罪本刑并无不同。）我奇怪他是在美国什么地方见到了不准被告请律师的法官？或是在美国什么地...
001.一个联合造成的冤狱.txt	34	67	67	145	3	疑点23：1972年2月28日，保安处□组长来，通知我“今天移军法处。□□□诬告你的官司，我们完全了解你是冤枉的，这是当时政府政治运用，当然你也心里明白。现在你在军法方面的麻烦，我们即给你经军法方式政治解决；当然司法方面的麻烦，利用□□□来出你的丑也无必要了，我保证给你解决，你放心好了。”
001.一个联合造成的冤狱.txt	35	69	69	93	3	疑点24：1972年4月30日，在我军法方面被判十年以后一个月，保安处□组长到军法处来看我，说：“判十年只是形式，我们保证给你解决军法方面和司法方面的全部官司。你有困难请写信来保安处。”
001.一个联合造成的冤狱.txt	36	71	71	261	3	疑点25：1972年6月12日，在我司法方面又被判决后，我疑云重重。7月10日，我写好上诉状，附信致□组长，问他是不是要上诉，请他“惠决是否转递”，并且告诉他上诉期限“17日截止”，信封上注明“最急件”，信没封口，因须先经军法处看守所政战室检查。信送出后，一直没有下文。因我寄的是“限时双挂号”，应该有回执。8月23日我托军法处看守所马士官长代查此信下落。下午...
001.一个联合造成的冤狱.txt	38	75	75	208	5	疑点27：军法处虽然有意阻止我上诉，并使上诉状过期四十天还不通知我，但我弟弟因为请懂法律的朋友写了一份专谈法理的上诉状另递交高院，所以无意中挽救了上诉的机会。我弟弟在递送这份上诉状前，曾直去保安处，找□组长先问意见，那天是1972年7月15日，没见到□组长，但处里的人转告他“先直送高院上诉”。当天我弟弟将这状子的副本送来给我，但我直到今天，还没有收到！（我在...
