file	paragraph	line_start	line_end	char_count	score	snippet
001.“缇萦救父”表示了什么？.txt	2	3	3	148	3	十一年前，李翰祥坐在我车里，一起接我的小情人鲁肇岚放学，铭传许多女学生走出来，李翰祥眼睛一亮，看到一个，对我说：“李敖，我猜你的小情人就是她。”果然是她。在车里，李翰祥忽发奇想，想约鲁肇岚做他拍《缇萦》的女主角，我笑着说：“算了吧，翰祥，她何必演缇萦？她自己就是缇萦。她的父亲，现在正靠她来救。”
001.“缇萦救父”表示了什么？.txt	4	7	7	120	3	缇萦姓淳于，她的全名是“淳于缇萦”，淳于是复姓，古代姓淳于的名人倒有几个，滑稽善辩的淳于髡是最有名的。不料到了806年，唐朝的宪宗当了皇上，他名叫李纯，纯和淳同音，这是大逆不道的，要避讳，淳于的“淳”字给砍头了，姓淳于的，此后都姓“于”了。
001.“缇萦救父”表示了什么？.txt	5	9	9	134	3	缇萦的父亲叫淳于意，山东人，是最有名的医生。他通内科、儿科、妇科，可是不会装“乐普”，结果得了五灯奖——连生五个女儿。生五个女儿是汉朝民间最恨的一件大事，当时有谚语“盗不过五女之门”，就是说，一家如有五个女儿，就是五个赔钱货，一定把家给吃得穷兮兮，连小偷都不会上门来。
001.“缇萦救父”表示了什么？.txt	6	11	11	205	4	淳于意一门五女，给烦死了，整天在外面跑。他虽是名医，可是不喜欢诊病。有人生病，找不到他，怀恨在心，又嫉妒他的天才，暗中不知得罪了哪方神祇。汉朝文帝四年（公元前176年）他糊里糊涂吃上官司，要给押到京城长安去。五个女儿在旁边哭，淳于意气得大骂，说：“生也没生个男的，遇到大事小情，连个得力的都没有！”他的小女儿就是缇萦，听到父亲骂，很难过，就决定陪父亲一起上长安...
001.“缇萦救父”表示了什么？.txt	10	19	19	109	4	缇萦的故事，最早记在《史记》。《史记》第一百零五卷叫《扁鹊仓公列传》，是在牢里度过悲惨世界的司马迁，专为两个名医写的传。扁鹊被人嫉妒，死于非命；仓公就是淳于意。司马迁看到这些第一流人才在乱世的命运，最后写下这样的感慨：
001.“缇萦救父”表示了什么？.txt	11	21	21	92	3	太史公曰：女无美恶，居宫见妒；士无贤不肖，入朝见疑。故扁鹊以其技见殃；仓公乃匿迹自隐而当刑。缇萦通尺牍，父得以后宁。故老子曰：“美好者，不祥之器。”岂谓扁鹊等邪？若仓公者，可谓近之矣！
001.“缇萦救父”表示了什么？.txt	14	27	27	390	3	先看什么是“刑”。法学家们说刑是法律中的名目，却不知道刑远在法律之前就出现，同时远在法律之外逍遥着。我们看不到殷商的法律，却看到殷商的刑罚，我们现在用的字，像“执”字、像“囚”字、像“圉”字，都是甲骨文中吓人的字。“执”是用刑具抓人，“囚”是抓到人放在牢里，“圉”是放在牢里还挂上手铐脚镣。从原始的意义来说，刑不是法律的名目，而是无法无天的名目。后来法律出来，...
001.“缇萦救父”表示了什么？.txt	22	43	43	287	6	但肉刑本身也有做老大的时候，那就是单独的“墨”、“劓”、“刖”、“宫”。五刑里面，“墨”刑是最轻的一种。墨刑是在受刑人脸上割出剌出字来，然后在伤口上揉进颜料，颜料是黑色的，所以叫做“墨”，也叫“黥”。它的作业，很像文身。墨刑最早说是蚩尤发明的，后来虞舜把它确定，放在五刑之首。它在古书中经常见到。在《庄子》里面，甚至编成故事，洗耳的许由挖苦意而子说：“唐尧既然...
001.“缇萦救父”表示了什么？.txt	23	45	45	217	3	照《书经》的说法，统治者有错，下面人不能帮忙改正，要用墨刑来罚，这是一个有趣的标准，等于是专罚扶同为恶的小人的。其实这只是乌托邦的法律，若真的实行起来，任何统治者都要被脸上有字的人包围了。但在其他方面，墨刑在古代，动不动就来一下，是可以确信的。所谓“墨罪五百”，所谓“墨罚之属千”，都是明证。大将军英布年轻时就被墨刑过，大家都叫他“黥布”，墨刑的名流中，他考第...
001.“缇萦救父”表示了什么？.txt	24	47	47	342	4	“劓”刑是割鼻子，也说是蚩尤发明的，反正蚩尤打了败仗，一切“好事”都算到他头上。劓刑是广义解释的，包括割耳朵。劓刑方面，所谓“劓罪五百”，所谓“夏有劓墨各千”，所谓“我乃劓殄之，无遗育”，所谓“又曰劓刵人，无或劓别人”，可见此刑的普遍使用，就好像《违警罚法》似的。劓刑的外一章是割耳朵（刵），在《易经》中，有“何校灭耳，凶”的卦，“何校”是一种使耳朵跟人分家的...
001.“缇萦救父”表示了什么？.txt	25	49	49	423	6	五刑中排名第三的，是“刖”刑，也叫“剕”刑。是砍掉脚或脚耻（重刑砍右趾，轻刑砍左趾），当然还是蚩尤干的缺德事。它的最早名字是“膑”，后来被第一任司法行政部长皋陶给改了，但还通用。不但通用，并且像黥布一样，出来一位“孙膑”。他被老同学庞涓陷害，黥了面又砍去脚，他虽然最后得到了胜利，可是却失掉了名字，大家都叫他“孙膑”，谁也不知道他本名了。古人用刖刑整人，范围也...
001.“缇萦救父”表示了什么？.txt	27	53	53	218	3	宫刑是仅次于死刑的重刑，这种刑，照《周礼》说法，是“男女不以义交者，其刑宫”。什么是“义交”呢？就是要合乎当时道德法律的性交。就是说，任何非法的性交，被发现了，就要割家伙。但这只是理论，因为古书中有大量的“不以义交”，公然为之以后，家伙依然健在。而《左传》里记楚子想割羊舌肸生殖器的故事，却明明和“义交”无关，而是政治问题。何况古书中明明有“夏刑宫辟五百”、“...
001.“缇萦救父”表示了什么？.txt	29	57	57	177	3	缇萦的父亲淳于意医生，到底犯了以上抽样的哪一条肉刑，史无可考。看缇萦陈情书中“死者不可复生，而刑者不可复续”的话，似乎情况很严重。淳于意吃上官司在公元前176年，汉文帝大发慈悲在公元前167年，前后拖了八九年，就是说，淳于意已入狱八九年，一定不是小案子，肉刑起来，没有轻的。缇萦陈情以后，汉文帝废除肉刑，是不是倒霉的中国人，从此就脱离苦海，体有完肤了呢？
001.“缇萦救父”表示了什么？.txt	32	63	63	119	4	没废？汉文帝扯谎吗？倒也不是。《史记》第十卷“孝文本纪”说汉文帝看到陈情书后，“怜悲其意”，乃下诏表示：古代不来肉刑，老百姓少犯法；现在肉刑之下，反倒一犯再犯，其咎“乃朕德薄而教不明欤？吾甚自愧”。最后决定“其除肉刑”。可见不是说着玩的。
001.“缇萦救父”表示了什么？.txt	33	65	65	133	3	但是，事实上，统治者突发慈悲下的任何德政，在冷静下来切实兑现的时候，往往就不是那么一回事。第一、汉文帝自己就首先打了折扣，他宣布“其除肉刑”，可是宫刑例外。意思是说，字可以不刺、鼻子可以不削、脚可以不切，可是生殖器还是要割的。为什么？大概因为有伤风化，废了是不行的。
001.“缇萦救父”表示了什么？.txt	34	67	67	405	5	第二、所谓“其除肉刑”，并不是不跟你算账了，账还是要算的。《史记》只写到“其除肉刑”，《汉书》却补足“其除肉刑，有以易之”。易了什么？易了不再是身体刑吗？不是。易的还是肉刑，一种新确定的肉刑。以墨刑来说，墨刑易为“髡钳，为晨旦、舂”。“髡”是削去头发，“钳”是脖子上戴上铁圈，“晨旦”是男犯人白天守寇虏，晚上筑长城；“舂”是女犯人磨米，每人要这样做五年。以劓刑...
001.“缇萦救父”表示了什么？.txt	36	71	71	656	11	大慈悲家汉文帝德政的缺德，很快就被他的继承人汉景帝看出来了。景帝一上台，就宣布开幕大优待，笞五百的，六折优待，改为笞三百；笞三百的，六七优待，改为笞二百。于是普天同庆，举国试行，但行了十二年，笞死的还是累累不绝。景帝又下诏说：“看到人被打死了，该打的数目还没打完，还在打，朕甚怜之！”于是再来期中大减价，笞三百改为六七折笞二百，笞二百改为对折笞一百，特别还规定...
001.“缇萦救父”表示了什么？.txt	38	75	75	202	3	话题转回来，缇萦上书救父，汉文帝除肉刑，历史上把汉文帝和他对后代影响写得天花乱坠，其实满不是那么回事。我前面说：“至少我们知道，有一个中国人，从此脱离苦海、体有完肤了，就是缇萦的父亲。”其实还算客气的说法。因为我们不知道淳于意是被他小女儿全赎出来了呢，还是只赎到免除肉刑却要“有以易之”的程度。一“有以易之”，就未必划得来，因为很可能易到笞五百笞三百而来个竹报...
001.“缇萦救父”表示了什么？.txt	42	83	83	204	3	上面垂直的是根棒子，下面画的是右手。所谓“父亲”，就是“右手拿个棒子的”，这足以说明一切。一般说来，父亲有杀人权（所谓“父赐子死，尚安复请？”）、父亲有打人权（所谓“小杖则受”）、父亲有卖人权（所谓“鬻妻子”）、父亲有财产权（所谓“子弟无私财”）、父亲有主婚权（所谓“父母之命”）、父亲有离婚权（所谓“七出”）……这些现象，说明了做了一家之主多神气、多划得来，...
001.“缇萦救父”表示了什么？.txt	46	91	91	231	3	传统文化中固然有“罪不相及，恶止其身“的高调，但事实上，总是“一人有罪，延其阖门”。尤其发生叛乱罪的时候，一律杀一窝，即所谓“族诛”、“连坐”、“灭门”、“满门抄斩”。标准杀法叫做“夷三族”，也有“夷五族”、“诛九族”乃至“诛十族”（学生在内）等花样。不管哪种花样，做子女的，怎么也逃不掉的。最倒霉是做女儿的，做女儿的嫁人后，挨刀的比率比任何人多一倍：婆家出了...
001.“缇萦救父”表示了什么？.txt	49	97	97	178	3	这种一杀杀一家的国粹，后来变“轻”了，对不知情的部分家属，改为罚做奴隶：女眷做公家丫鬟或公营妓女；男丁一律先割生殖器后，分发为奴。明成祖把铁铉油炸了，铁铉三十五岁的太太，和两个女儿，就都分发做公营妓女。理论上和事实上，罪犯的女眷受罪并不及身而绝，反而一代一代传下去，“生子令做少龟子”，生女长大要“是个淫贱材儿”！男丁方面，以清朝道光年间的一段公文为例——
001.“缇萦救父”表示了什么？.txt	53	105	105	93	3	洋鬼子也许会笑中国这种奇异的单位，认为怎么可以把很多人当一个“人权单位”？这岂不太荒唐？但以我李敖的博学，一个证据，就可使洋鬼子笑不出来，翻翻美国宪法吧，第一条第二节里，就有这样的文字：
001.“缇萦救父”表示了什么？.txt	61	121	121	249	5	缇萦的“人权代位”能够成立，远因其实在这里。这种代位，历史上颇不少。例如：汉朝尹次、史玉两人杀人，被判死刑，尹次的哥哥、史玉的母亲，“并诣官曹，求代其命”。要求牺牲自己，开脱亲人。又如：为了收容通缉犯张俭，事发以后，孔融家里，就发生了“一门争死”的现象，孔融、孔融的哥哥、孔融的母亲，三人争说自己是祸首，要求牺牲自己，开脱亲人。又如吉翂的父亲，因牢狱坐牢，吉翂...
001.“缇萦救父”表示了什么？.txt	62	123	123	126	5	还有一种特例，是向统治者以外的人，要求“人权代位”。例如，唐朝高郢的父亲，被安禄山抓住，要杀他。高郢跑过去，解开衣服，要求自己代替；元朝张绍组的父亲，在山里逃难，大兵老爷到来，要杀他。张绍组跑过去，大哭起来，说：“吾父善人，不当害，请杀我，以代父死。”
001.“缇萦救父”表示了什么？.txt	63	125	125	94	4	这些以外，还有同一种意识型模的现象，就是：在许多祷告场合，常常出现“请求代死”的说辞，在孝子贤孙愚夫愚妇的故事里，此类同老天爷的暗中谈判，已经司空见惯。这些，都属于大同小异的“人权代位”。
001.“缇萦救父”表示了什么？.txt	64	127	127	152	4	要求“人权代位”，并不以统治者同意为要件，可以先假定“不在话下”或“不怕你不同意”。唐朝贾直言的父亲犯了法，唐代宗要他喝毒药。贾直言骗他父亲说：“当谢四方神祇。”。大家以为很对，忙着谢神时候，贾直言拿起杯子，一口把毒药喝了，昏倒了，大家急救，总算救回一条命。皇帝很感动，最后网开一面，将父子二人流窜岭南。
001.“缇萦救父”表示了什么？.txt	73	145	145	134	3	“官婢”是文言说法，白话是“公家丫鬟”或“公营妓女”。做官婢，首先脸上要刺字——要先施墨刑，为了怕人逃掉。缇萦脸上刺字，也许你会说：不对，汉文帝不是“其除肉刑”了吗？其实你错了。“其除肉刑”的适用对象，只是对普通罪犯而言，不包括对奴隶。《三国志·毛玠传》里有这样的话：
001.“缇萦救父”表示了什么？.txt	82	163	163	269	3	因为奴隶太多，政府中特设专管奴隶的官，叫“奚官”。《北史·崔季舒传》：“季舒等家属，……妻子及子妇配奚官，小男下蚕室。”一变成奴隶，就交给“奚官”，再由“奚官”分发。分发出来的，统称“奚官奴”。3世纪，晋朝武帝的时候，有个叫劭广的，窃盗公物，被判死刑。他的两个小儿子，个个都是“男缇萦“，他们“挝登闻鼓乞恩”，请求皇帝开恩，让他们去做“奚官奴”，来换父亲一条命...
001.“缇萦救父”表示了什么？.txt	83	165	165	337	3	古代奴隶的来源，有四方面：第一是罪犯，罪犯“人格大减等”，沦为奴隶。第二是罪犯的子孙，除非主人弃权，奴隶子孙生来为奴、世世为奴，“虽历百世，犹有黥面供官”。第三是买卖，包括赠送。买卖奴隶曾是最早的国际贸易，这是洋鬼子干的好事，中国人奴隶自给自足，概不参加（猪仔出洋，只是小额外销）。中国人只是关着门买来卖去，阔人买，穷人卖，卖到老婆儿女，也卖到自己。汉高祖曾公...
001.“缇萦救父”表示了什么？.txt	84	167	167	265	3	做了奴隶，就做了牛马，甚至牛马都不如。齐景公死了爱马，就要杀奴隶，证明人不如马；汉光武帝的时候，有禁止“炙灼奴婢”的命令，反证了人更不如马，因为主人不会“炙灼”牛马。主人对奴隶，要奸要杀，稀松平常。《太平广记》里，就有汉武帝奸奴以后杀她丈夫的故事；“天下兴亡，匹夫有责”的顾炎武，也有过把第三代家奴按到水里淹死的惩罚……总之，奴隶对主人，一点皮条都没有，法律上...
001.“缇萦救父”表示了什么？.txt	87	173	173	179	5	可怜的缇萦，最后脸上刺字，做了小奴家。她最后下场是什么？我们不知道。被打？被烫？被出卖？被调戏？被强奸？被牛马同栏？被这个？被那个？我们全不知道。我们只知道她进了《后二十四孝》，成了“上书救父”的孝女；进了中国文化复兴大衙门，成了“缇萦救父”的邮票。我想，淳于意死的时候，也许潦倒得无以为葬，可是，缇萦无法“卖身葬父”了——她已经廉售了自己，不能一物两卖了！
002.给杨贵妃的一封信.txt	6	11	11	112	3	唐明皇同你山盟海誓，说什么“在天愿作比翼鸟，在地愿为连理枝”，但在紧要关头，他却不能同生、不能共死、不能横刀救美，反倒自己逃难去了。他这种作风，实在一点也不男性化，而是十分君主化。后代的诗人袁子才，批评你老公的懦种行为说——
002.给杨贵妃的一封信.txt	9	17	17	261	3	实在一针见血。后代的另一诗人自我期许“不爱江山爱美人”，但他既无江山，又乏美人，光说不练，等于白说。真正做到“不爱江山爱美人”的，是英国皇帝爱德华第八，他宁肯不要江山，也要美人，改行做了温莎公爵。可见江山美人之间，能抱住该抱的，中土以外，大有其人。只可叹你玉环女士生不逢时，又不逢地，风华绝代，竟为伧夫俗子老油条薄命，真大大划不来。《长恨传》里说唐明皇跟你又发...
003.“逸豫适足亡身”吗？.txt	6	11	11	108	4	“二十五史”总算最基本的了吧？老夫子总不好意思说没读过吧？读过吗？读过就不该出纰漏。这次联考作文题，所谓“忧劳所以兴国，逸豫适足亡身”，其中就有错引的笑话。欧阳修《新五代史》卷三十七“伶官传”里，论喜欢听戏的唐庄宗：
003.“逸豫适足亡身”吗？.txt	8	15	15	100	4	欧阳修写这段话，原文是“逸豫‘可以’亡身”，而不是“适足”亡身，可是老夫子把线装书乱读一气，硬把较有弹性的“可以”字眼，记错成缺少弹性的“适足”字眼，记错以后，还牵强附会，加以引申，结果适足闹了笑话。
003.“逸豫适足亡身”吗？.txt	10	19	19	113	3	欧阳修写五代史记，是私撰的，在他生前，他把稿本藏在家里，不轻易给人看。他死后，皇帝下令把这书送到皇宫，过了五年，公开刊行。这书因为不是官修，有的地方就很“欧化”。宋神宗问王安石意见，王安石说：“臣方读数册，其文辞多不合义理。”
003.“逸豫适足亡身”吗？.txt	13	25	25	302	5	唐庄宗的“亡身”，欧阳修认为是“逸豫”惹的祸，按诸历史，这可“不合义理”。唐庄宗身死国灭的原因，可太多了。其中最重要的，我看是因为他怕老婆。他怕的老婆是刘后，刘后本是二姨太，后来夺权成功，当了皇后。刘后是最有名的爱钱大王，她爱财如命，但唯一肯花的钱是送老和尚；为了她深信她能当上皇后，是佛力保佑的结果。刘后的导演，最后惹出了天下大乱，宰相看到事态严重，向她调头...
003.“逸豫适足亡身”吗？.txt	15	29	29	201	8	何况，跟唱戏的“逸豫”一下，就有害吗？这可不然。唐庄宗演戏演得高兴，要与戏子朋友一视同仁，自己也要来个艺名，自号“李天下”。有一天，他装着四处找人，大叫：“李天下，李天下何在？”一个戏子朋友叫敬新磨的，冲上前去，出手就给他一个耳光。唐庄宗和群伶大吃一惊，怎么打起皇上来？敬新磨说：“李天下只有一个人，就是你，你还叫谁呀！”李天下一听，一言惊醒，大笑起来。这个故...
003.“逸豫适足亡身”吗？.txt	16	31	31	204	7	还有一次，唐庄宗打猎，踩了老百姓的田。县太爷出面，为民请命，请皇上高抬贵马之脚，别再踩了。皇上大怒，要杀县太爷。敬新磨抓住县太爷，大叫说：“你小子做了县长，难道不知道皇上喜欢打猎？为什么要纵容老百姓种田纳税？为什么不让你的老百姓没饭吃，空出地方，给皇上打猎？你小子真该死！”然后转过头来，请皇上杀县太爷，左右唱戏的也一齐倡和，大叫杀这小子。唐庄宗立刻发觉敬新磨...
003.“逸豫适足亡身”吗？.txt	18	35	35	96	3	唐庄宗所遭遇的“外则伶人乱政，内则牝鸡司晨”局面，不能怪逸豫唱戏的本身，就好像怕老婆不能怪婚姻的本身一样。有人结婚，可以不怕老婆，为什么你要怕？你怕老婆，该怪你自己不会打老婆，不该怪婚姻本身。
003.“逸豫适足亡身”吗？.txt	23	45	45	175	3	但老夫子自己真的那么“太师椅”吗？那可不见得。即以写“逸豫可以亡身”的欧阳修而论，他老夫子自己，就“逸豫”得风传捞过了界：他三十七岁那年，为了跟外甥女的关系；六十一岁那年，为了跟儿媳妇的关系，都闹出风风雨雨，但他一点也没有“亡身”，仍旧自号“醉翁”，大谈醉翁之意，大盖“有动乎中，必摇其精”的秋声赋，大写“笑问鸳鸯两字怎生书”的情诗艳词，何必计较呢？
003.“逸豫适足亡身”吗？.txt	43	85	85	151	3	今年（六十八）大学联考的作文题目是：“忧劳所以兴国，逸豫适足亡身”。据报纸的报导，教育部长朱汇森称赞这个题目出得很恰当，而且具有时代意义。其他一些教育官员，譬如，台大校长阎振兴、政大校长欧阳勋、台北市立第一女子中学校长邓玉祥，也发表过类似的评断。这个题目是不是真的出得“恰当”，而且“具有时代意义”呢？
003.“逸豫适足亡身”吗？.txt	52	103	103	125	3	这些题目可以说是“论说文”的题目，。论说文的内容，主要包括：（1）阐明（expose）一些观念或一些事理的内容和涵义（significance）；（2）论护或辩论支持（argue for）一些主张或事理为真。前者在做说明的工作，后者则在做证明的工作。
003.“逸豫适足亡身”吗？.txt	75	149	149	166	3	其次就“逸豫适足亡身”而言，对一般老百姓来说，根本是一句假话。这句话的正当解释是，舒适安乐就“一定”会使人死亡。这是笑话。即使对帝王而言，这也是一句假话。因为即使一个帝王不事政务，只求安乐，他的政权也不是“一定”会被推翻。把“可以”改为“适足”，不只是修辞的问题，而且是逻辑的问题。这样一改，把原来的“可能条件”变成“必然条件”了。
004.中国小姐新论.txt	2	3	3	133	4	十八年前，我做预官八期排长退伍，流落台北街头，穷得有时候饿饭。一天，科学家潘毓刚拉我去他家狼吞虎咽，饭后跟我说，他可介绍一家我不太讨厌的杂志，写点文章，混点稿费，他订个题目——《中国小姐论》，说就先写这篇吧。我遵命办理，一心想：“天无绝人之路，他妈的这回可发财了！”
004.中国小姐新论.txt	3	5	5	160	4	不料，文章送给小潘，小潘送给主编大人，主编大人一看，面有难色。小潘狼狈而归，我说：“你我狼狈为奸是不成的，让我另找饿鬼投胎的对象吧。”我讨了邮票，把文章转投《人间世》。《人间世》的刘济民是敢死队，他烧我冷灶，居然寄了稿费来，从此刘胖子得到了引狼入室的代价——他的杂志，被罚一再停刊。后来他恶梦初醒，再也不要登我的文章了。
004.中国小姐新论.txt	4	7	7	378	4	《中国小姐论》发表后十八年，我执笔写这篇《中国小姐新论》，陋巷、孤灯、小潘、刘胖子，……一幕幕往事，一一重现在眼前。可爱的小潘，走了；伟大的刘胖子，死了；跟我先后“暴得大名”的中国小姐们，跟我一样，老了。想当年“暴得大名”时代，陈诚对我说：“你李先生是自由中国三十岁以下最有名的男士。”他特指“男士”，因为“女士”有许多“中国小姐”在，男士唯我独尊。那个时代，...
