file	paragraph	lines	score	markers	text
008.蒋介石犯了兵家大忌.txt	39	77-77	21	有一天|后来|结果|问|答|说|他说|笑|跑|杜聿明	解放军把我们带到村庄后说：“你们饿了吧！”于是送水送饭，大家饱吃一顿。不久，解放军把我们分成两部分：我同副官、司机到一位首长处谈话。副官说：“我是尹东生，《徐州日报》随军记者，这位是十三兵团高军需”；司机说：“我是张印国，在徐州开商车，他们给拉来的。”各人都拿出证件。首长似乎有点怀疑，只细看看几个人后问我：“高军需叫什么名字？”我将计就计说叫高文明。”他笑着说：“你这个名字倒不错，十三兵团有几大处？”我答道：“六大处。”“你把六大处处长的名字写出来。”我先无准备，一个也写不出来，就打岔问：“你贵姓？”他说：“我姓陈。”我想：如果是陈毅的话，风度倒不错，我可以同他老老实实谈谈。但见左右看俘虏的人很多，怕将自己的消息走漏出去，连累我的家庭，就说：“这个地方谈话不方便吧？”陈主任可能误会了我的意思，以为我怕飞机炸，就说：“不要紧，对你们的空军，我们有经验，吓不了我们。你们只要坦白交代，我们一律宽大，除了战犯杜聿明以外。”我想：“我就是，你还未发现。”他又问：“杜聿明是不是坐飞机跑了？”我们三个人都说：“听说跑了。”陈主任见问不出什么结果，就交代到另一间屋里休息。后来又有一位干部来。同陈主任一样地问过一番之后，经过严密的检查，然后将东西一一点清，交还各人。这一检查，使我感到解放军对俘虏的态度真好，手续清楚，纪律严明。以后，解放军对尹东生说：“你是安徽人，去找你的老乡去。”将我同张印国带到一个广场，从十三兵团大批俘虏的面前经过，看见许多熟悉的老部下，我觉得既惭愧，又恼火。惭愧的是对不起部下，恼火的是解放军已对我怀疑，总有一天会被认出来的。
005.蒋介石与江阴炮台.txt	48	95-95	19	有一个|最后|说|逃|跑|死|求|叛变	总理教训我们，做革命军人必须有“不成功，便成仁”的决心。我上次也和你们讲过，我们革命军人所最快活的事情只有两件：第一件就是打了胜仗，敌人被我们灭了，这当然是我们军人最快乐的一件事情。第二件就是我打不了胜仗，战死在阵地上，尽了我们自己革命的责任，免得我们的父母、我们的师长，以及我们自己的一切的朋友，为我来受耻辱；并且可以因我们的牺牲，而为一般后死的人开拓了一条成功的大道，所以也是我们最快乐的一件事情。我平生要找的，就是这两件最快 乐的事情！我可以说平生没有打过败仗，每次都得到最后的胜利，这是你们所知道的；但是我决心牺牲的精神，决心死的事实，你们知道不知道呢？过去历次打仗，我和一般士兵在最前线，出生入死于枪林弹雨之中，你们很多人一定看见过的，就是你们没有亲眼看见，也只要看我的历史，就可以知道我是有死的决心的。比方民国十一年，陈炯明叛变的时候，我远从上海赴难到粤，和总理一起住在“永丰”一个孤舰上，被困于白鹅潭中，四面统统是敌人的炮位、敌人的军队，那时我们还有什么生路？哪一个还想再活？早已置身死地，决心牺牲了！并且总理与我们大家都以求得当时那个死所，为最光荣最快乐的事！其他，我们在前清秘密革命的时代，差不多没有一个地方不是冒险犯难，出生入死来干！甚至到了民国五年，在江阴举事的时候，一般同我去的革命党员，到了最危险的关头，都纷纷逃跑了，只留我自己一个人在江阴炮台上。其他诸如此类的场合很多，为什么我们能始终不懈的干呢？没有旁的，就是不怕死！我们每到最危险的时候，想到自己是为革命而牺牲，便觉得心安理得，死得其所，所以不仅不怕，而且非常快乐。你们现在要做总理的信徒，要学我的精神，就要学我努力找这最快乐的两件事情：一件就是成功，就是消灭敌人；一件就是成仁，就是决心给敌人打死。简单讲，就是总理所教训我们的“不成功，便成仁”这两句话，希望大家刻刻不忘，并且时时努力，以求做到！
008.蒋介石犯了兵家大忌.txt	32	63-63	19	有一个|最后|问|说|骂|跑|杀|死|求|蒋介石	在这期间，还有一个蒋军无法解决的严重问题。就是在包围的四十天中，粮弹两缺。蒋介石最初幻想在两三日内可以同黄兵团会师，拒绝投送粮弹。继而发现这一战役不是如他想象的那么容易，才于12月6日开始投送，但杯水车薪，难以解决问题。最初几天，每日尚有进展，各部只有到一村抢一村，抢劫民间粮食，宰牛马、杀鸡犬以充饥。到19日以后，风雪交加，空投全停，始而挖掘民间埋藏的粮食、酒糟，继而宰杀军马，最后将野草、树皮、麦苗、骡马皮都吃光，天气尚无转晴希望。美蒋为了挽救这一厄运，特从美国调来雷达，临时训练三个伞兵使用，23、24日投到陈官庄，打算用雷达指示空投粮弹，做绝望的挣扎。哪知一着陆机器发生故障，即无法使用。一切办法想尽之后，只有祈求天老爷了，官兵日日夜夜祈求天晴。蒋介石25日来电也说：“我每天祈求上帝保佑全体将士。”总算盼至29日，天居然晴了，开始投粮，蒋机怕被解放军打落，飞得很高，投的粮食到处飞散，各处官兵如同饿狼一样地到处奔跑，冲击抢粮。有的跟着空投伞一直冲到解放军阵地前，不顾死伤地抢着吃大饼、生米；有的互相冲突，械斗残杀；有的丟开阵地去抢粮，指挥部也无法维持。……元旦前后，蒋介石还在南京，各主管机关慌乱失措，仅有少数飞机投粮，官兵不得一饱，更增加了愤恨之心。元旦，曾投下蒋介石一封亲笔信，一个士兵拿到即将它撕毁，大骂而跑。
007.蒋介石与杜夫人.txt	32	63-63	17	有一次|答|说|他说|笑|杜聿明	有一次，我和杜聿明在路边葡萄架下整理葡萄枝，一个老农路过这里，对杜聿明说：“老师傅，给葡萄整枝呀？过些日子天冷了，该用土把枝条压起来吧？”杜聿明只好点头答道：“嗯！嗯！”老农走后我就笑他说：“你装得还挺像，他叫你师傅，你还真答应。”杜聿明笑道：“我不答应怎么办？难道告诉他我是杜聿明吗？”是呵，如果这位老农知道他就是毛主席著作里讲的那个杜聿明，肯定会吓一大跳的。
007.蒋介石与杜夫人.txt	44	87-87	17	有一次|说|跑|请|蒋介石|杜聿明	曹秀清到美国后一年多，传来了杜聿明出狱的消息。曹秀清久冷的心又燃烧起来了，但她陷入很大的矛盾。她在大陆有丈夫，可是在台湾有四个儿女，她不能不替儿女设想，这一亲情的吸引力，对她构成拉锯战。在矛盾中，她有一次跑到了“中华民国”驻美大使馆，表示请代买飞机票，她打算回台湾！可是，大使馆方面居然说：“我们不相信杜将军的夫人没钱买飞机票！”蒋介石官吏的可恶与颟顸，竟一至于此！
010.蒋介石怎样作弄李宗仁？.txt	140	279-279	17	故事|说|回忆|笑|死|蒋介石	在李宗仁就任代总统后，他被利用做“挡箭牌”的鲜事，层出不穷，还有大量的啼笑皆非的故事，流传青史之中。直到他在1949年年底去了美国，1950年3月1日蒋介石在台湾“复职”重任总统，“代总统”的招牌才告一段落。蒋介石在《复行视事文告》中说：“李代总统自去年11月积劳成疾，出国疗养，迄今健康未复，返旆无期，于是全体军民对国事惶惑不安，而各级民意机关对中正责望尤切。中正许身革命四十余年，生死荣辱，早已置诸度外，进退出处，一唯国民之公意是从。际此存亡危急之时期，已无推诿责任之可能。爰于3月1日复行视事，继续行使总统职权。”对这一行为，李宗仁回忆说：
003.蒋介石怎样暗杀革命元勋？.txt	26	51-51	16	有一天|问|杀|死|请	陈其美擅位后，不仅“成群结党，花天酒地”，还动辄施暴于同志。例如李燮和在吴淞成立军政分府时，有一天在吴淞车站乘车往上海，陈其美竟派人行刺，“从车窗外放枪，射李未中，其随身卫兵中弹死。”(28)另一桩“暴举”，为非法枪决革命军参谋长陶骏葆。南京光复后的第十天，参与南京之役的陶骏葆因公抵上海访谒宋教仁、黄兴之后，前往都督府拜会陈其美。陈请他在客厅坐候，不一会便派卫兵将他逮捕，双手背缚，并用布包住面，竟当场在沪军都督府大堂施枪杀害(29)。受害者的哥哥陶逊为此而发表了一封很长的电函，质问陈其美何以“同类相残”？“任意屠杀同志”？陶逊愤慨地谴责陈其美如此“刃弹交错，从心所欲”，使都督府沦为 “绿林盗窟” (30)。
003.蒋介石怎样暗杀革命元勋？.txt	66	131-131	16	当年|说|逃|跑|杀|死|蒋介石|国民党|共产党|二二八|叛变	在辛亥革命史上，蒋介石本是籍籍无闻，暗杀革命党人陶成章，使他的名字第一次写进历史上。辛亥革命后的十年间，蒋介石大部分时间闲居上海，这期间便是蒋氏官书所称：“韬养时期”。在他“韬养时期”，除了偶尔去闽粤“革命”一下，便长年在上海滩过着“终日聚饮招宴，流连于灯红酒绿之中”的生活(71)。最为辉煌的纪录，便是他和虞洽卿、张静江、戴季陶及陈果夫（即陈其美侄子、陈立夫哥哥）等开设证券交易所的一段股票经纪人的发财日子(72)。1922年间，蒋氏经营的“恒泰号”交易所破产，蒋乃负债走粤。据说洪帮头目虞洽卿送他六万元旅费(73)，促成往广州“革命”之行。适逢陈炯明叛变（1922年6月16日），蒋介石奔赴永丰舰（6月29日），孙中山视为“赴难来粤”(74)，由是取得孙的信任。在蒋介石参与广州革命时期，仍动辄临阵而去(75)，跑回上海。直至戴传贤劝告：“暂时忍耐，先谋掌握实力，以观其变。”(76)才下定决心回到广州。果然，蒋介石谋权观变，孙中山一死，党内元老廖仲恺、胡汉民、汪精卫以降，暗杀的暗杀、放逐的放逐、排斥的排斥。北伐期间，则一面高喊“国民党同共产党要合作到底”(77)，一面展开清党大屠杀。30年代以来，在蒋氏统治下轰动全国的暗杀个案，如：邓演达案、杨杏佛案、史量才、李公朴案与闻一多案。蒋氏政权逃移台湾，其统治方式依旧施展其昔日“上海滩”手法，集体屠杀，发生“二二八事变”，有如上海“四一二事件”历史重演；暗杀个案，震惊全国者则有1948年“二二八”周年前夕发生的许寿裳血案——许案实为闻一多案性质之延续(78)。这真是不幸的巧合，一前一后遭政治谋杀的陶成章、许寿裳，都是当年光复会的主要成员。
011.蒋介石与真假保密局.txt	7	13-13	16	有一个|原来|回忆|逃|求|请|蒋介石	据沈醉回忆：1949年1月间，蒋介石准备“隐退”之前，把毛人凤找去，叫他立刻把保密局从南京撤出，局本部和文件先运台湾，在上海成立办事处继续领导各地工作。蒋的意思是，把保密局的整个组织保留下来，继续置于他的控制下，不能交给李宗仁；但为了应付一下代总统，另外拨出几十个人组成一个假保密局。蒋叫毛人凤向国防部辞去局长职务，让原副局长徐志道担任这个公开的保密局局长，另以曾任福建站站长的林超为副局长。因徐、林两人抗战期间都在五战区工作很久，与桂系一向有往来，可以用他们与李宗仁、白崇禧去周旋应付。毛人凤所掌握的这个真保密局，仍由蒋介石亲自指挥。交给李宗仁的假保密局，除正副局长外，还派涂寿眉为主任秘书，下设业务、总务两 处。业务处由毛人凤指定第二处副处长黄逸公任处长，总务处长则由徐志道找他的亲戚钮殿臣担任，总共只有内勤人员92人，没有一个外勤人员和组织。它既不向李宗仁提供情报，也不接受代总统交办的工作。它实际上只是一个空架子，秘密任务它不执行，原来掌握的公开机构早已得到命令，不能接受它的指挥。它除了出面领领经费和向国防部接头代毛人凤领导的保密局办理一些事务性的工作外，便没有别的事可做。但徐志道野心很大，担任这个公开的保密局长之后，便一心想把毛人凤挤掉而由他来全部负责。当国防部逃到广州时，他和毛人凤翻了脸。保密局的印信他掌握了，他领到经费后便不给毛人凤，并且自己准备成立外勤组织，以便弄假成真地干起来。当他派人在十万大山收编地方土霸武装和在广州布置情报小组的时候，毛人凤便指使派去的业务处长黄逸公不听徐的一套，要黄去拆徐的台。不料黄逸公和徐一条心，也感到自己这个业务处长无业务可办，想乘此机会显露一下，便不照毛的指示办事，反而真心诚意去帮助徐。毛人凤投诉蒋介石，想免去徐志道另行找人，蒋介石没有同意。毛在1949年3月间在重庆开会时，派兵工署稽查处长廖宗泽飞往广州劝徐，叫他不要违背蒋介石把保密局分成两个的指示精神和用意，并示以利害。徐也考虑到不容易一下子达到自己的目的，才勉强同意把领的经费分一分，只是希望自己能多得一点特别费。等到国防部迁到重庆时，徐志道也带着这个假保密局跟到了重庆。在这个时期，国防部一再裁遣人员，到11月份，假保密局逃到成都时，就只剩下局长、处长等几个人了。这时黄逸公请求到台湾，仍回保密局去当他的二处副处长。毛人凤恨他过去不听话，坚决予以拒绝，叫他留在大陆工作。以后黄又逃到西昌，再没有路可逃了，毛人凤仍然不准他到台湾去。成都解放后，这个一度被特务们称之为徐记的保密局，随之宣告完蛋。等到李宗仁出国，蒋介石恢复大总统名义后，毛记保密局就跟着在台湾正式出现了。
019.蒋介石手著《苏俄在中国》了吗？.txt	17	33-33	16	有一天|原来|说|请|蒋介石|蒋经国	我所以敢说蒋经国和楚崧秋都说了谎话，因为我在偶然的机会，得知了《苏俄在中国》成书的真相。——二十多年前，我在开国文献会，认识了陶希圣的亲戚阮继光。阮继光能写一手好毛笔字，陶希圣许多要用毛笔誊正的秘件，都由阮继光代抄。甚至是最机密的，也不例外。陶希圣《潮流与点滴》中记蒋介石1949年元旦文告的写作，曾说：“这次元旦文告的稿子是我经手的。由12月21日至31日，稿子经过多次修改。岁杪的一星期里，我每夜改稿到2点或3点钟，将改订稿交给阮继光同志复写，然后就寝。次日上午9时左右，携稿晋见请示。”从这段话中，可以看出阮继光怎样以一支毛笔，参与了机要。在开国文献会，有一天晚上，阮继光拿出了装裱成册的一本东西给我看，原来是蒋介石手拟的《苏俄在中国》大纲，用毛笔写在便条纸上，只聊聊十多张，不过几百字耳。阮继光说：“总统把这些大纲交给陶先生，陶先生就一章一章的写成《苏俄在中国》，每写完一章，就由我毛笔恭楷誊清，送呈给总统看。那一阵子，可把我给累坏了。”
