file	paragraph	score	markers	text
062.美丽岛后二十年.txt	89	17	故事|有一次|我讲|我告诉|我记得	李敖：上次我讲过，许信良最后做党主席最后一天跟我吃饭的时候，我就跟他讲，我说：“你们没有好好的教育这批人”，我所谓这批人就是拿著剪刀预备对付你的这种暴力相向的这批人。他们表面上是民进党的拥护者，可是这批人如果不给他们好好教育，这批人真是一批会害事祸事的一批人，我觉得是很可恶的。我有一次我跟林正杰打官司，告他，那时候蔡仁坚就过来跟我讲，他说：“你怎么可以告林正杰？”我说：“为什么他可以诽谤我？”他说：“大家都是党外。”我说：“党外就可以诽谤自己的老前辈吗？就可以这样子吗？就可以不用真实证据吗？”然后林正杰就搞了一堆人在法庭上对我威胁，那时候施性忠在现场嘛，他说：“不要理他们”，等于他掩护我出来的。所以我就觉得，搞很清楚就是，发现他们动輒用这种态度来出现的，可是我最看不起的就是这批人，我觉得就是真正表现勇敢的时候，你们不敢，然后最后夺权的时候，你们在夺，那就是陈水扁这批人。可是他又鼓动那批人在旁边起哄，我的意思，这批起哄的人真是可恶的一批人。我记得以前英国的一个小说家叫做George Orwell，我们中文叫做乔治·奥威尔，他写了一本书叫做《动物农庄》，就讲到一群动物，动物起来革命，一个农庄里面把人都赶走了，你晓得这个故事，赶走了。赶走了之后，动物里面又搞小团体，一群猪它们搞了小团体，如何奴役这个马，把马消灭，然后也一个一个消灭，一族一族消灭，使我觉得……我本来写了一篇文章，就谈到动物农庄跟新潮流集团。喇叭，我跟邱义仁，我们都熟得很，可是我总觉得他们像是动物农庄里面这一群猪，因为他们就是老是控制党的机器来保护他们小集团。我告诉你一个悲哀的故事，刘峰松——就是翁金珠的丈夫，他跟我一起坐牢的。当坐牢的时候，我在土城看守所，早上起来我放风的时候，他就跑来跟我讲话，他说：“李先生，我叫刘峰松。”我知道他叫刘峰松，他为了竞选而坐牢，坐牢的时候，那时候翁金珠只做一个高中的音乐老师，教钢琴的。那时候我就照顾刘峰松，因为我在牢里蛮有黑势力的，虽然他比我先进去，可是我在牢里有黑势力，好比说翁金珠竞选省议员的时候，落选了，我牢里面那些大哥的朋友们他们有收音机，听到了，立刻知道落选了，我就立刻告
062.美丽岛后二十年.txt	107	16	笑话|有一次|我讲|我记得	李敖：我记得过去有一个有趣的笑话，你记得……当然你不知道的，过去那个电影没有声音的时候，有默片时代，当时有两个有名的明星，一个大胖子叫做哈台，一个瘦瘦的叫做劳莱，你可能看到有这种漫画出现，劳莱哈台的漫画。有一次有趣的一个现象就是，一个人问那个大胖子，一个陌生人问哈台，唉……大胖子问那个陌生人说：“你做什么生意的？”那个人说：“我是……有钱，我是做木材生意的。”然后那个人就回过身来就问这个大胖子，问哈台：“你做什么生意的？”他是个无业游民，可是他要吹牛嘛，发现别人是个木材商，他也说：“我也是做木材生意的。”所以那个人就反问他说：“你做哪一类的木材生意？”他想了半天，他说：“我是卖牙签的。”呵呵呵……你懂我意思吧，In a small way。小规模的，卖牙签的。我觉得现在台湾很多的政治人物，他们不是真的搞民主政治，他是卖牙签的民主政治，所以我总觉得……像我挖苦阿扁也是这样子，阿扁我觉得他不是一个希特勒，他是In a small way，是个卖牙签式的希特勒，就是那种没有幽默感，脸绷起来讲话，那种叫嚣式的语言，都很像希特勒，可是其他部分比不了希特勒。所以我看起来，我觉得非常不舒服，至少我觉得台湾我们现在有两点应该要维持的，第一点就是公道不能失掉，这个是非。你可以卡位，权力被你抢走，可是是非、公道、历史要把它说清楚，这个东西不能够给弄乱，这是我努力做的事情。第二个，就是既然是民主政治，你们这些人看起来我们要顺眼，看起来比较舒服一点，为什么我们喜欢你？因为你漂亮，我们看起来舒服啊。看到很多人，看得好难过啊，你不觉得很难过吗？很多人。民主政治是这样子国家领袖吗？像阿扁这样的。我觉得看到小马哥，我觉得还蛮快乐的，他这个人很温柔、很漂亮、很体面。那看到阿扁就觉得很不对劲，所以陈文茜跟我讲说：“看到他浑身都不舒服！”呵呵呵……陈文茜就说得很真实的，真的看他浑身都不舒服，你懂我意思吧。
070.李敖开天眼.txt	129	16	故事|有一次|我讲|讲一个	李嗣涔：我想附身的现象在科学史上是很多，是非常非常多的（李敖：医学特别多），医学的记载也很多，就是附身现象，其实医院都不讲。我们因为常常在医院嘛，做实验嘛，有时候护士就会告诉我“又来了一个，附身的”，跟我们讲一个故事，这个是很多啦，他只是不讲，很多没有变成documentaion（文献），医生都……医院的护士、医生他们都知道很多这种事情，他们都经历这些事情，就是附身这个现象是蛮普遍的一个现象，在医院里面。我就举个例，有一次我去做实验，脑神经科，我常常在那边做实验，做实验的时候，那个护士就跟我讲“欸，又来了一个”，就是台北市出了一个车祸，一个骑士被撞死了倒在地上，结果一个公车过去，一个大概小姐还是怎么样起身看了一下，回家以后就不对了，她可以讲出这死亡人家住哪里，根本不认得的，就是变得很奇怪。家里就紧张了，往医院一送，赶快先量脑波，一量，完全正常，可是护士都很紧张说怕那个东西跑过来，结果跑出来告诉我说怪怪的。所以这种事情只是不讲，所以我们也许不应该在电视上来讲这些事情，它是在民间流传，它是属于流传的东西。
062.美丽岛后二十年.txt	96	15	故事|我讲|讲一个	邱议莹：也只有你敢这样说他，呵呵呵……。不过我觉得党真的有很多步调需要调整啦，包括说我们的提名制度，我觉得我们的提名制度是一个非常不好的制度，搞得现在真的就像你讲的很多人是很堕落。你知道吗，我讲一个事情给你听，本来之前国大还没延任的时候，大家都在部署要再选了，那时候我本来是想去选不分区的国大代表，那我就跟一个同派系的一个国大，我就说：“我想选不分区，你是不是能够帮忙我啊？就是在台北这边你是不是有一些党员票可以大家互相来帮忙、互相支援。”你知道吗，他一开口就跟我说：“那你准备拿多少钱来买？”“拿钱？”他说：“对啊！你准备一票跟我买多少钱？是五百还是一千？”他说他那里有大概一两百票可以卖给我。我都觉得为什么党已经堕落到这种程度。后来我把这个故事告诉我的另外一个朋友的时候，他竟然回我一句话说：“小姐，请问你的中常委是怎么选上的？你不知道现在选这个通通都要钱吗？”我整个人又傻掉了（李敖：呵呵呵……）。所以我觉得如果因为我们的提名制度造成党变成这么堕落的话，我觉得这个党真的问题很多，需要改进的地方、需要检讨的地方真的是太多了，我不希望本来是一个台湾最清流的政党，搞到今天是这样子比国民党还堕落的话，那真的是对我们来讲，或是对当初创党这些人来讲，都是一件很不堪的事情。
006.书房搜秘(4).txt	6	14	故事|有一次|有一天|我告诉	这部书我把它用书面整理了一下，大家看这个故事，这个作者生在19世纪1834年生的，他死在1896，换年华多年，他在103年以前就死掉了。他是英国著名的讽刺漫画家，也是小学家。他一辈子只写了三部小说，每部都叙述了他自己比较亲身的经验。他这本书的最主要一个故事，我告诉大家是描写一个精神病院的病人。他死后留下一本回忆录，就是这本书。然后亲人遵照他的遗嘱，就是说除了一些人名以外，其他都是真的事情。这个病人他住在法国，他的家里面本来挺好的，父亲母亲都好。可是在他们小的时候，他认识一个小女生，等于青梅竹马，感情非常好。有一天他家里面出了事情，父亲死了，母亲也死了，他很快的就变成一个孤儿，然后就寄养在别人的家里。这个别人家就是他的义父，义父是个很粗暴的人，他不喜欢这个义父，义父也不喜欢他。然后大了以后，为了躲避他的义父，他就逃掉了，就从军了。从军以后，他变成了英国的皇家禁卫军。大家看到很多英国的画面里面，带着很高的帽子上面有毛的，动物帽子，穿着红衣服，骑着马的靴子，那种很漂亮的皇家禁卫军。然后他后来就这样生活，他长得很漂亮，高大英俊，可是有一点点内向。有一次他参加一个贵族的音乐会，就看到了一位贵族的夫人跟他凝视，就是两个眼睛相对，似曾相识，可是又不能讲话，就分开了。后来他又回到法国，又看到这个妇人，两个人又是两眼相对，他觉得好像见过这个人，后来他才开始知道原来这个贵族的妇人就是他当年的青梅竹马时代的小女朋友。从此两个人用什么方法来交会呢？用互相做梦的方法，后来他见到这个女孩子以后，他当天晚上就做梦，梦到跟这个贵妇人在一起；而这个贵妇人当天也做梦，梦到跟他在一起。就两个人一辈子就是你梦我，我梦你，一切由梦境来表达两个人的这种爱情。后来发生了一件事情，就是他的义父外面讲一句闲话，说他跟这个人的妈妈有私通的关系，他为了保护他妈妈的名义，就把他的义父杀掉了。杀了以后就在关到监狱里面，一共关了25年。在监狱里面他不肯讲出来，他为什么杀他义父。什么原因呢？因为义父外面说了一些谣言，说他义父跟他妈妈有染。他讲出这个故事以后，他觉得使他妈妈的名誉受伤，所以他不肯讲这个原因。后来他就得了精神分裂。有一
027.你不知道的胡适(3).txt	3	14	笑话|有一次|讲个|我记得	今天我来录你不知道的胡适第三集。我曾经在前两集里面一再谈到胡适的爱情观，他的爱情观是基于他写给他的好朋友，北京大学政治系教授张慰慈的一个扇面。扇面上的话是说爱情的代价是痛苦，爱情的方法是忍受痛苦。我由胡适的爱情观来判定，他虽然是一个有为主义者，可是一涉及爱情部分，他就变得很退缩，他是一个无为主义者。我还拿了小马哥开玩笑，我说小马哥长得那么漂亮，很多女孩子喜欢他。如果小马哥不去搞什么政治，而是去搞女人，他一辈子他可以变成一个大情人，而不会变成这种无聊的什么部长、市长，这种无聊的政治分子。小马哥，我可以跟你们讲，跟他聊天的时候，他非常的风趣，吃饭、聊天很风趣，偶尔还讲笑话。我记得小马哥讲个笑话很有趣，他说一对好朋友感情好的不得了，肝胆相照。有一次一起打猎，睡在一个帐篷里面。当然这两个好朋友不是GAY，不是同性恋。这时候忽然来了一头熊，远远的跑过来，好朋友是甲和乙，这个甲就赶紧穿球鞋。乙就跟这个甲说，熊跑过来，你穿球鞋来得及吗？因为大家注意，熊虽然是个庞然大物，他跑起路来比人还快，所以你跟它跑，你跑不过它。所以乙问这个甲，熊过来了，你拼命的穿球鞋来得及吗？你跑得过熊吗？这个甲就侧过头来跟乙说，我不需要跑得过熊，我只要跑得过你。就是说，你跑到我后面，熊就吃你了，我就跑掉了，所谓肝胆相照不过如此。小马哥私下里讲笑话、聊天非常的自然，非常的可爱。可是一到了台上面，一到了竞选的台上面或者做为一个市长，一个部长的身份，在致辞的时候他就不可爱了。为什么？他变得很拘谨、很严肃。这就是说人的确是他的职业决定了他的语言和性格。
046.我佩服的戴高乐(1).txt	15	14	故事|笑话	为什么写了这么一个东西？我觉得这几段话最能描写出戴高乐将军的特色，我把他的故事讲完以后，大家重新看我这段题辞，就可以看出来我怎么样把他的特色写了出来。首先我跟大家讲高乐，大家看这是他做法国总统的时候的定装照。他长了个大个子，身高极高，这是总统的照。戴高乐他的名字就是法国，他的性格也就是“我就是法国”，所以他是很典型的“法国至上主义者”。可是他本人相当的理性，不是不理性。他很彆扭，有他个人的意见。他在军校毕业的时候，别人都升了都给了中士的阶级，只给他下士。为什么他同样毕业比别人低一级呢？就是训练他们的人不喜欢他，认为他个人的意见太多。后来有人就问说：为什么对戴高乐这样子不公平呢？他们的长官说得很有趣，说：给他都一样，他本身就要做参谋总长的人，你给他下士、上士、中士都一样的，所以也无所谓，这就是当时一个有名的笑话。
072.老小话相声.txt	265	14	笑话|有一次|我讲|讲一个	李敖：我讲一个笑话给你听。我那老朋友《传记文学》的刘绍唐刘老板，他有一次就看到一篇文章里写马连良，他的校对给他改成了马速良，马要跑得快才是好马嘛！这种状态会出现。所以我认为你现在能够发掘新的脚本，把它写出来，真是了不起。
077.钱到哪里去了.txt	67	14	笑话|有一次|我讲|讲个	李敖：我讲个笑话给你听，过去蒋介石找国防部长俞大维，俞大维不是国民党，来请他做国防部长。可是俞大维一个条件，他说我不到立法院列席报告，我要有这个条件，因为我懒得跟立法委员。因为当时立法委员不成样子，都是老贼，他说我不要跟他们讲话。蒋介石同意了。结果每一次立法院质询的时候，都是国防部的副部长去，是国民党现役军人将军坐在那里。有一次立法委员看他不顺眼，问你们部长为什么不来？那个将军就站起来讲，他说报告各位委员，部长为什么不来我不知道，不过如果你们不欢迎我的话，我也可以不来。大家吓死了，所以那时候那么凶悍的，国防部根本没把立法委员看在眼里。所以今天至少这个星期三上午的时候也发生了这种现象，就是目无立法院。士葆兄你们在追这个事情追到什么程度了？
086.认识孩子们.txt	18	14	笑话|有一次|我讲|讲个	李敖：现在对你最不公平的一点就是目前这些水准很低的，这些本土的等于垄断了台湾，解释的权利归他们解释，对你等于不做这方面解释了。我讲个笑话给你听，有一次应凤凰，她是很了不起的这方面工作者，她在编这个《台湾文学史》，她说非要把你李敖写进来不可。我说他们不承认我，我也不承认他们。因为台湾其实有两个作家很奇怪的，一个就是姜贵，他写的《旋风》跟台湾一点关系也没有，整个都写大陆的事情。我写的这个《北京法源寺》也是跟台湾一点关系没有。像白先勇他们写的那个书跟台湾有关系，因为他表示没落的豪门，然后跟台湾有一点牵扯。只有我跟姜贵跟台湾一点关系也没有。所以按他们标准的话，绝对不属于台湾文学，我要谢谢他们把我免了。可是我觉得你这么努力工作，结果他们好像也把你定位成洋人的出版是不是？
