file	paragraph	line_start	line_end	char_count	score	snippet
001.《传统下的独白》自序.txt	4	7	7	153	3	这种反抗和藐视，对我说来，颇有孤独之感，所以千言万语，总觉得是个人的“独白”。在传统的标准里，一个反抗和藐视传统的人，经常被看做是一个不正派的人。经常不为“世儒”们所喜：王充、阮籍、李贽，以及一切被目为放诞任气议古非今的人物，都不是“世儒”眼中所能容忍的。“世儒”看他们是狂叛，他们也懒得辩，狂叛就狂叛吧！
001.《传统下的独白》自序.txt	5	9	9	23	3	通常“世儒”们打击狂叛的法子总不外是一个公式：
002.《传统下的独白》再版自序.txt	6	11	11	147	4	于是将此书反复拜读了一阵，愈读愈觉得文章好。唯一糟糕的是：尾巴上的那张照片出了纰漏，一位读者来信说要替我出钱“理发”；又一位朋友说照片那只左边的眼睛好像不是我的。好像被“整型”了；又一位大叫道：“吓！好老呀！又丑！”……对这些“人身攻击”，我只想申诉一点，那就是：“我本人实在比我的照片漂亮。”
003.独身者的独白.txt	2	3	3	108	4	毕业那天晚上我真的喝醉了，我不能不醉！醉眼是模糊的、深沉的，我看到一张张熟悉的脸儿在我眼前消失掉。毕业带给人们的是“东飞伯劳西飞燕”，可是我呢？却像一只斗败了的公鸡，有翅膀，可是飞不起来，不但飞不起来，还得在地上爬！
003.独身者的独白.txt	5	9	9	293	3	看着这些讨厌的小毛头们，我并不以老大自惭。相反的，我倒觉得我更年轻了。毕业以来，几乎每个月我都遭到红帖子的袭击，它们除了传染笔尖的颜色而增加账本上的赤字外，另一个重要的意义是，年轻人都纷纷走上成家立业抱娃娃的老路，冤各有头，债各有主，有情人各有他的家，尤其是我过去的老情人们，她们一个个都远走高飞，婚嫁迭起，喜事频传，每天打开报纸，看到一排排鲜红的结婚启事，我...
003.独身者的独白.txt	8	15	15	236	3	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往...
003.独身者的独白.txt	9	17	17	138	4	对！完全原案，我把烟一丢，拍案而起。独身不但可无妻儿之累，而且可益寿延年：牛顿没结婚，可是活了八十岁；康德没有老婆，活了八十四岁；米开朗基罗打了一辈子光棍，却享年八十有九，独身之为用大矣哉！既可使“蒙主宠召”延期，又可兼做伟人，无怪乎老祖宗们要以“君子必慎其独”来垂训吾等了！
003.独身者的独白.txt	12	23	23	262	4	烟雾的缭绕使我想起一件往事：那是一个没买到油条的早晨，我家漂亮的六小姐，带着惠华医院老修女的表情，把满墙悬挂的罗勃韦纳的照片一一摘了下来，然后又一一放好，准备长捐箱底。我当时躬逢其会，看得呆了。因为我久仰罗某人是我家六小姐最崇拜的男明星，满墙他的照片平时连碰都不许我们碰，好在我君子已久，早就不立于“岩墙之下”。故受白眼最少。而这回六小姐竟如此突变，令人发指。...
003.独身者的独白.txt	13	25	25	85	3	六小姐的铁口直断给了我极大的启示：我何必把我的老年想得那么凄惨呢？如果天假以年，我一定可以等到我那些老情人的归来，“衣不如新，人不如故”，除却巫山的晚霞，哪里还有云彩呢？
003.独身者的独白.txt	15	29	29	167	3	感慨已定，我决心向六小姐看齐，也如法炮制，把散在眼前的老情人的照片遗物一一加封归档，并向之自矢曰：“任凭弱水三千，我只取一瓢饮。不能黑发偕少，但愿白头偕老；不能永浴爱河，但愿比翼青鸟！”言罢趋出，购书于肆，书名《妾似朝阳又照君》；观影于街，片名《白发红颜未了情》；听白光歌声于大道，歌名《我等着你回来》。于是归而大睡，不知东方之既白。
004.爱情的刽子手.txt	9	17	17	32	3	我忍不往喜欢他了，他真洒脱！我问他对这本书的意见，他笑了，他说：
004.爱情的刽子手.txt	16	31	31	145	6	听了我恭维他，他大笑，他说不需要女人向他吹口哨，他也反对男人向女人吹口哨，他认为表示爱情应该多用眼睛，少用嘴唇，“并且，”他说：“现在我们中国的女孩子根本不会向男孩子吹口哨，时代不同了，我们中国的女孩子身价高了，她们都骄傲起来，即使是潘安再世，王蒙复生，也没有女人再向他们丢水果送帽子了！”
004.爱情的刽子手.txt	20	39	39	573	6	“这话说来话长。我们从老祖宗时代开始，就是一个讲道统的社会，在上层社会里，婚姻是一个合二姓之好的外交关系，有着上事宗庙下继后世的大使命；在下层社会里，婚姻又带给婆家一个不花钱的小女工，完全脱不掉宗法和经济的目的，从来没把感情放在第一位，更别提什么恋爱了。所以在‘男女授受不亲’的想法里，在‘男女不杂坐’的纪律里，在男女‘无媒不交，无币不相见’的风俗里，卓文君固...
004.爱情的刽子手.txt	22	43	43	544	3	“还不够，还不够，爱情还有一个大刽子手，那就是我们这主妇式的社会。在我们这社会里，已婚妇女大部分要依靠丈夫生存，柴米油盐煤球尿布占去了她的青春和双手；等而上之的，虽然请老妈子代劳，可是她的精力却又寄托在麻将牌上；小部分的职业妇女虽在表面上能得到相当的独立，但她仍逃不掉主妇的基本角色，并且她的事业和兴趣若不做相当的割爱与迁就，很可能就影响到丈夫的成功，得到的是...
004.爱情的刽子手.txt	24	47	47	441	3	“偶尔有些小女人，不知天高地厚，暗违母命和一个男子大谈柏拉图式的爱情，可是那只是昙花一现的美事，感情的瓦解是指日可待的。这并非因女人善变，而是使女人不变的客观条件不够，女孩子要被迫系一身安全于丈夫身上，她们是可怜的，她们穿的是70年代的摩登衣服，却走的是17世纪老祖母的路线。同时社会也给她们外在压力，人们很容易就用她母亲选女婿的眼光去看她的男朋友，善意的也好...
005.一封神气的情书.txt	4	7	7	110	3	你收到这封信，小心眼里一定想：“从十六岁以来，平均每个礼拜都要接到一封信，陆军海军空军联勤，教员学生科长和隔壁的小太保，各色各样的男人都给我写过信，有文言、有白话、有恭楷、有血书，我真看得腻了，今天这封信又是谁写的呀？”
005.一封神气的情书.txt	6	11	11	194	3	谁写的？猜猜看，猜呀猜的，你一定猜不到，我是一个素昧平生的人，生在一个扑朔迷离的地方，读过几册捕风捉影的书本，写过几篇强词夺理的文章。你见过我，可是我断言我的尊容不会留给你任何印象，我是一个丑八怪，五官七窍皆自由发展，丝毫没有配合的企图，他们说我像那“钟楼怪人”，可是钟楼怪人我也不能比，因为他面貌虽丑，人却忠厚痴情，他不会对女人发脾气，他永远为她效忠、为她拿...
005.一封神气的情书.txt	11	21	21	189	3	看了我家的妹妹和弟弟，你一定以为我必然是个美男子，我家的妹妹个个都是中国小姐的候选人，弟弟也有“中国的约翰克尔”的外号。小姐们也未尝不帮我的忙，可是当她们的同学一见到我的庐山真面目的时候，她们都要倒抽一口冷气！这时我赶忙把我的背影转给她们看，可是，太迟了，我竟先看到她们的背影！最可恨的是，在她们的背影后面跟着的就是“中国的约翰克尔”，每次他都是以逸待劳，我掏...
005.一封神气的情书.txt	12	23	23	158	4	我不能恨上帝，因为上帝照他自己的模样造人，他绝不会造个这么丑的化身；我也不能恨老子和老太，因为那样人家就会说我不孝顺；于是我只好恨我家的小姐和小少爷，我恨他们的缺点都集中在一起长到我头上来了，可是我恨又有什么用？最后小姐们摊牌了：“老哥，请别怪我们不再帮你的忙，请不要再请客、再贿赂了，上帝保佑你，你自己想法子吧！”
005.一封神气的情书.txt	13	25	25	492	4	于是我一赌气，决心自己想法子。大丈夫、奇男子，为了找个女人，还要求别人帮忙，这能算是好汉吗？于是，我穿上外衣，开始在雨中漫步，吸引女人。可是我跑了一下午，一个女孩子也没吸引到，反倒在新生南路三段的转角地方，吸引了一条癞狗。它不声不响地，贼头贼脑跟在我后边，夫子步亦步、夫子趋亦趋，不知是“仰之弥高”呢，还是“狗眼看人低”，总之，它鬼鬼祟祟的，非常讨厌，令人油然...
005.一封神气的情书.txt	21	41	41	443	3	但是我怎能轻易就死？我那次过生日，她不是祝我“寿比南山”吗？我死很容易，半杯开水，一瓶安眠药，心一横，脚一跺，吃下去了，然后两腿一伸，两眼一瞪，一口气不来，呜呼哀哉了！可是我死不要紧，留下她怎么办呢？我走了，她该多难过呢？记得那一次我们在碧潭，划了一阵船，我肚里鬼叫了，我提议立刻去西门町，看电影、下馆子，她却兴犹未尽，还想划船。劝她不走，我火了：“还要划，还...
005.一封神气的情书.txt	24	47	47	198	3	我不从外表来论断一个女人的程度，如同我不喜欢女人这样论断我，女人是被看的，不是被了解的；而我呢，正好相反，我是被了解的，不是被看的。古人说“太上忘情，最下不及于情”，我是一个不健忘的太上，可是多情而不及于情。因此，我只好写了这封泛滥的情书，来试探你是不是一个女孩子中的例外，如果答案是肯定的，那我就要说：“爱我吧！可是不要神气！”如果答案是否定的，那我就要：“...
006.假如我是女人.txt	2	3	3	85	3	凡是吃过女孩子苦头的大丈夫，都会有三个沉痛的希望：第一个希望是再也不做感情专一的好人；第二个希望是改做“剑侠唐璜”式的男人；第三个希望是拜托阎王老爷——下辈子托生做女人。
006.假如我是女人.txt	5	9	9	123	4	迟早有那么一天，我李敖劫数已至、遽归道山，浩浩荡荡一道阴魂向上直奔“伊甸园”——不，说错了，该是朝下直奔“阎罗殿”去了。抬头一看，左有牛头，右有马面，前立无常，后站陆判，大殿尽处，阎王老爷高高在上，威风凛凜，好不骇人！陆判趋前，把签呈递上，略谓：
