file	paragraph	line_start	line_end	char_count	score	snippet
001.《你不知道的二二八》序（一）李敖.txt	5	9	9	724	7	第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪...
001.《你不知道的二二八》序（一）李敖.txt	6	11	11	241	3	第二条错路是共产党对二二八的导向。国民党除了把一切推给自己人陈仪外，也附带临门一脚，把责任推给敌人共产党。有好长一段时间，国民党把二二八的原因，归咎于“共党煽惑暴动”。共产党也乐得顺水人情，也就居之不疑，大接起漏油来。一九七五年二月北京召开“二二八纪念会”，共产党巨头廖成志宣称：“二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民...
001.《你不知道的二二八》序（一）李敖.txt	7	13	13	580	7	第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二...
001.《你不知道的二二八》序（一）李敖.txt	12	23	23	340	3	如今事涉本省人杀外省人，就轻描淡写或按下不表；事涉外省人杀本省人，就夸大其词或愈加愈多，这不但与真相不合、与历史不合，也不是公义、和平之道，更不是消弭族群对立之道。该报告就外省人杀本省人，特别加工加油加酱，该报告说：“人口学推估无法获致死亡的人数的结论，而统计数字之所以如此悬殊，主要来自官方统计之不被采信与民间之渲染。”可见已明知“人口学”的不可靠。既明知不...
001.《你不知道的二二八》序（一）李敖.txt	18	35	35	312	4	今天“台湾精英们”的反省结果，百分之百全怪外省人。但我怀疑，到底有没有一个小数点——百分之百怪外省人中的一个小数点，本省人也不妨反省反省呢？例如事件之起，是缉私人员惊慌中开枪误杀了一名看热闹者，这种缉私人员应予严办，是对的，但群众包围警察局，要求立刻“就地正法”，这种不懂事的要求，任何官员都做不到。做不到就起暴动，把外省人中的无辜者予以打、砸、抢、杀，妇女予...
001.《你不知道的二二八》序（一）李敖.txt	19	37	37	348	11	事件之起，陈仪答应“惩凶赔款”“不秋后算账”，本已息事宁人、本已屈服，但是，本省人价码节节升高，答应了三十二条，又来了四十二条，不懂事的要求，使任何官员都做不到，最后只好兵戎相见，进一步造成悲剧。这种没有底价似的讨价还价，活像六四天安门前的学生，最后乱开价，逼得对方忍无可忍，只好动粗。如今一家哭引发一路哭、一路哭引发全岛哭，说不该动粗，你看你把我打成这样子，...
001.《你不知道的二二八》序（一）李敖.txt	24	47	47	364	6	五十年过去了，“台湾精英们”众口一声，平反二二八了，谁先动手，一概不提；阿山受害，按下不表；死人灌水，两万八千；流氓昭雪，以精英论……全部的是非，都一面倒了、都在学术外衣下清一色了。哀呼是适当的、悲恸是应该的、感情的语言是可以理解的。但是，这些以外，对苦难做一点真正反省也是必要的。当年的不懂事、不能“知其所止”，节外生枝，引来了进一步的悲剧；五十年后，以二二...
001.《你不知道的二二八》序（一）李敖.txt	26	51	51	295	4	我的立场最后声明一下：我是只谈二二八的真相真理的，无关本省人与外省人。我虽是外省人，但在我的笔下，哪一省的人我都骂。在我眼里，只有好坏之分，没有省籍之别。虽然，在外省人当权派迫害本省人之际，我站在本省人被迫害的一方，曾为义助本省人而坐过牢、受过难，并且在“台湾精英们”还不敢明目张胆的谈二二八之际，首先刊出谈二二八苦难反省的文字、首先刊出本省人被冤杀的文字，以...
001.《你不知道的二二八》序（一）李敖.txt	27	53	53	180	3	为了追求真相真理，在二二八五十年之日，我和陈境圳先生合作，写了这本《你不知道的二二八》，提出一千个问题，再巨细不遗的找出一千个答案。每个答案都有来源、有根据，我想再不懂事的人，看了也会心服口服。我自十四岁抵此岛，连续住了四十七年，一天都没离开过，未来也将老死于斯。我爱台湾，故出危言；我忧台湾，故作罪语。拜托拜托，“不认同台湾”的大帽子，大可不必朝我头上戴啦！
002.《你不知道的二二八》序（二）陈境圳.txt	2	3	3	336	3	最初李敖先生邀请我与他合写这本《你不知道的二二八》，我以为他在说笑话，虽然我帮他抄写演讲记录、虽然我在东吴听了他两年的课、虽然他是我研究所的指导教授、虽然……这一切的虽然，都改变不了一个事实——就是我们要合写这本《你不知道的二二八》，如同电脑的指令敲下，一切都蓄势待发，一大堆的书籍、一大叠的资料，就是从这里开始，往后的生活就是夜以继日的埋首书中，每周二必须到...
002.《你不知道的二二八》序（二）陈境圳.txt	3	5	5	302	4	二二八的问题当然不止于一千个，但是这一千个问题却是“披沙沥金”“精挑细选”的结果，它用一千个答案来述说二二八的真相；它用一千个题目来呈现二二八的面相。在编写答案的过程中，从宽录取了许多答案，有正面的说法、有反面的意见；有公开的扯谎、有秘密的真话；在编写问题的过程中，从宽录取了许多问题，有解惑的问题、有荒谬的问题；有可笑的问题、有可悲的问题。最后这些数量庞大的...
003.你不知道的二二八.txt	6	11	11	127	3	《白部长对台湾省参议员等训词》（《二二八事件文献续录》第483页）：“……台湾在过去日本统治五十多年中，台湾高等教育的学校（专科学校，大学校）之学生，差不多都是日本人，台湾青年只占十分之一。并只准学习农科、医科，不准学政治，更不准养成高级统治人才。……”
003.你不知道的二二八.txt	8	15	15	95	3	叶石涛访问记录（行政院，第1、2页）：“……在日本各殖民地中，日本人比较信任台湾人……日本人有他的如意算盘，他认为将来台湾可以由日本人来居住，而将台湾人分散到东南亚去，因此他们重用台湾人。”
003.你不知道的二二八.txt	10	19	19	140	3	唐贤龙《台湾事变内幕记》（第62页）：“台湾在日本人统治时期，各机关较高级或较重要的职位，几全为日本人霸占。即以民国三十四年（日本昭和二十年)9月间，日本投降后的情形而言，全省台湾官吏的总数为84559人，而台湾人为46955人。从表面上看，台湾人好像占了总数的55.53%……”
003.你不知道的二二八.txt	16	31	31	86	3	林山访问记录（行政院，第1页）：“……那时警察分有甲、乙种，台湾人一定是从乙种开始做，而到甲种阶级的则可担任派出所主管，但当时主管多由日本人担任，台湾人几乎没有机会……。”
