file	paragraph	lines	score	markers	text
001.1999年12月1日.txt	4	7-7	19	故事|笑话|漫画|有一个|问	漫画以外，还有一个笑话。一位乡下孕妇，到妇产科去检查。医生说：“请你先把裤子脱下来。”说完就转身去做别的事了，不料再转回来的时候，看到这孕妇裤子还是没脱。医生问她为什么，孕妇脸红了，低下头来，小声说：“你先脱嘛！”这个故事的妙处，就在这位孕妇会错了意，却先表了情。
025.2000年1月4日.txt	25	49-49	17	例子|后来|答|他说|骂|艾森豪	上一次《自由时报》和《自立晚报》登出“台湾人要生气了”大广告，意思是说李敖、李涛这些外省人在欺负我们台湾人，我们台湾人要生气了；我曾在电视节目中答复登广告的这位先生，“你可以说人生气了，不可以说台湾人生气了”，广告里面提了六次外省人，为什么说我是外省人，你是台湾人？这是挑拨嘛。二次大战时，美国统帅艾森豪将军，后来做了总统，他说真的本领并不是在打仗一定打赢，因为所有将军都会发生错误，错误最少的人会打赢，真的本领不在打仗，而是美国和英国、不同国家的军队要融合，可以共同合作作战，这是我艾森豪的本领。他举个例子，一个美国兵和一个英国兵吵架，结果美国兵骂英国兵是“英国猪”，艾森豪将军把美国兵叫来，要他回美国，他不适合在这里作战了，艾森豪说“你可以骂他是猪，你不能骂他是英国猪，骂英国猪就是挑拨感情了”。
028.2000年1月7日.txt	24	47-47	17	故事|笑话|有一个|问|他说|死|林肯|农夫	我们先插播一个故事，林肯总统在处置国家大事的时候，常常在开会以前先讲笑话。他就讲过一个笑话，他说有一个农夫有两匹马，他很喜欢那两匹马。有一天，他的朋友来看他，报告不幸的消息（跟刚才一样又来了）。朋友说：“告诉你一个不幸的消息，你家的一匹马死掉了。”农夫一听痛哭失声，因为他喜欢那匹马。哭完后，眼泪擦干了。他的朋友又告诉他，另外一匹也死掉了。农夫又哭了。哭完以后农夫问他的朋友，既然两匹马都死了，为什么不一次告诉我呢？他的朋友说怕你一次哭得太难过了。
032.2000年1月13日.txt	9	17-17	17	举例|有一个|有一次|最后|问|死	今天我们被骗了，在过程中是外面的原因骗了我们，可是最后是我们的感觉骗了自己，所以我们要有觉悟。举例来说，我们与敌人打起来时有一种情况是“同归于尽”，在1948年大陆流传一首《冀东兄弟行》的诗，是指两兄弟分别在国民党、共产党内当兵，结果两人在战场上见面时，不得不向对方开枪，结果造成“兄弹弟腹穿，弟弹兄脑裂”，人间的惨剧就是在战场发生敌我关系时同归于尽；第二种情况就是“你死我活”，我们和大陆作战时可能就会发生此现象，因为大陆一年生的人口数几乎等于台湾人口，我们和大陆的人口比例是一比六十，换句话说，大陆六十人打台湾一人，请问我们还有“你死我活”的机会吗？若讲武器，他们有最高的军事科技，我们打得过吗？我们要清楚判断死活的会是谁；第三种情形是“我跪你活”，就是我对你屈服求得生存，何应钦将军有一次到比利时参观，听到当地国防部简报，国家遇到战争侵略的应变计划中，最后有一个投降计划，就是万一打不过对方时，在仔细评估后会有计划的投降，目的是为了保留元气，将来有机会时可以复国。
033.2000年1月14日.txt	6	11-11	17	故事|后来|最后|问|答|死	在之前文天祥的故事中，文天祥在朋友们回答“一团血”时讲了个故事，就是有位叫刘玉川的人和妓女谈恋爱，后来在两人觉得没前途时，拿出了二杯毒酒要殉情，结果先喝毒酒的妓女死了，刘玉川没喝就跑掉了，文天祥以此故事挖苦朋友说，你们会不会有一天就像嫖客刘玉川一样，就是指他们并没有要殉国，流的一团血是假的，果然不出文天祥所料，后来这些人都跑掉了，只剩下他被元朝抓了在监狱中写下《正气歌》，如果文天祥真是求仁得仁，死掉就算了，可是他很痛苦，在他的《正气歌》中有一段“悠悠我心悲，苍天曷有极，哲人日已远，典型在夙昔”，其实他悲的是想到以前有小歌星唱歌给他听，他想他的姨太太，不想坐牢和死，他内心的痛苦在天人交战，最后他成功的在四十七岁时死了，所以英雄是慢慢培养而非突然的，圣女贞德也曾在牢内写悔过书，后来被出卖后才又变成烈士，他们都是经过内心的挣扎才成为英雄。在白色恐怖时代，有人问我和国民党打拼时怕不怕，我说我心理怕死了，可是愈害怕愈打拼，这才合乎人性，若说根本不怕是骗人的。
026.2000年1月5日.txt	18	35-35	16	故事|有一个|有一次|最后|他说|和尚|袁了凡	我个人是不信佛的，我建议各位对外不要信佛，对内不要信命，命是我们中国一个很传统重要的观念，外国人也有这样的观念，可是不像中国人这样的明确；中国人对命有四大类，第一个是宿命论，就是我一切听天由命，我告诉各位这种人很少，为什么很少呢？因为有一类他是造命论，有一个人叫袁了凡，他年轻时算命说作官只能做到五品官，并且一辈子没有儿子，对古代一位知识分子而言，做官做不大，又没有儿子，是非常痛苦的事情，所以他年轻时就看破红尘，有一次，他在庙里听和尚念经，有位老和尚一面念经，一面看他，经念完后，老和尚走过来对他说，我一辈子看的人很多，从来没有看过像你一样的年轻人，能安静坐在那儿，一点杂念都不起，这是什么原因？袁了凡说因为我信命，算命的说我官做不大，又没有儿子，我的一生已没有指望了，万法皆空，我什么都看透了，所以在庙里听你念经，就觉得一切没什么好想的，和尚对他说，“你错了，命是可以制造的，你从此去修桥、造路、施粥、关心穷人，做一些好事，就能改变你的命运，不妨试试看”，袁了凡回去后就照老和尚的说法到处做善事，最后果然官做大了，儿子也生出来了。这是古代一个相信命运，也相信命运可以改变的故事。
028.2000年1月7日.txt	8	15-15	16	漫画|有一个|过去|问|杀	CoCo有一幅漫画，画了一辆坦克车，坦克车四面都有炮口，有的要打许信良，有的要打宋楚瑜，有的要打阿扁，有的要打连战，还有一个炮口是对准新党。CoCo的漫画我看了觉得有趣。昨天我在新党的聚会，新党的公职人员问我：“你怎么解释这一幅漫画，你要用炮口打我们吗？”我说：“我要打你们的时候我会先告诉你们，小兔崽子！还有，如果你们举起了投降的手势，我就不打你们了。”然后他们就说：“你不就造成我们的关系恶化，将来杀来杀去？”我说：“这一点不会发生，因为只有杀来，没有杀去，我一杀过来你们就杀不过去了。”
029.2000年1月10日.txt	41	81-81	16	笑话|有一个|问|答|他说|死|皇帝	有一个笑话，有一个人要被皇帝判死刑，他跟皇帝说，给我一年的时间，我可以让皇帝所喜欢的马飞起来。皇帝答应了。别人偷偷问他，你怎么可能使马飞起来呢？他说，这你就不知道了，我争取了一年的时间，这一年的时间有很多状况会发生：第一个状况，皇帝死了，我就不必砍头了。第二个状况，我死了，我死了还砍什么头？第三个情况，就是马可能真的飞起来了。我们有五十年的机会，怕什么？
026.2000年1月5日.txt	6	11-11	15	举一个|例子|有一个|过去|后来|死	所以我跟大家讲一句扫兴的话，尤其花莲是在证严法师的笼罩之下，比较起原始的释迦牟尼创办佛教的精神，今天花莲地区，包括整个台湾地区，大家对佛教的了解，跟释迦牟尼所创办的佛教不一样。换句话说，我们已经背离了释迦牟尼创办佛教的原始精神。因为释迦牟尼创办佛教是反对婆罗门教的有神，并且是多神。今天本来是无神的佛教，变成有神了，本来是一神的佛教，变成很多神了。为什么会变成一个神的佛教？那是因为释迦牟尼死后，大家很怀念他，认为他应该是一个神，所以本来无神的佛教，在释迦牟尼死后变成了有一个神，那一个神就是释迦牟尼。后来神愈变愈多，我举一个例子，后来有了菩萨，尤其是观世音菩萨，观世音菩萨是佛教里一个重要的神，其它像弥勒佛、如来佛，都是跟我们很近的佛，过去大家在庙里面最器重的佛就是释迦牟尼，现在多了很多，那是因为佛教不但变成了有神教，而且是多神教。可是大家在多神之中会特别亲近一些跟我们很近的小神，我举一个例子，中国汉朝时大家相信的神就是五帝，叫太一。可是汉武帝虽然尊重大家相信的五帝，但是他骨子里特别喜欢一个叫神君的小神，神君是汉武帝的外婆所相信的神，汉武帝骨子里只相信神君这个小神。
028.2000年1月7日.txt	13	25-25	15	有一个|有一次|过去|死	过去我们在部队里面，有一个口号，就是“国父精神不死”。一个集会开始时，会喊“三民主义万岁！国父精神不死！”有一次在我们师里面，师长是个大老粗，应该喊“国父精神不死”，他喊错了，他喊“国父不死”。这时候，后面的政战人员赶紧拍拍他的肩膀说“还有精神”。他就再喊“还有精神”。
