file	paragraph	line_start	line_end	char_count	score	snippet
001.致管区警察头子书.txt	3	5	5	212	3	从1965年起，我的户籍（除了两次坐牢以外），多在大安区，几乎全在贵所管制之下。我虽是国民党眼中特级要犯，但我素来不找“小警察”的麻烦，所以十七年来，我同管区警员都是嘻嘻哈哈的。十七年来，从早期的管区警员贾秀山，到中期的罗翼飞，到近期的刘佐石，大家都相安无事，他们没有一位会找我的麻烦，也没有一位那样不识相。这十七年相安无事的记录，贵所自有记录可查，历来的主管...
002.讨老婆的一个新害处.txt	4	7	7	101	3	来信均收到。本期《千秋评论》写《“蛇口”与“玫瑰”》《中常委走私套汇》两篇，写定后本想先请你指正，转念一想，怕雷太太责问你，你无以自明，所以就不先请你看了，这样你问心无愧绝无勾结李敖情事，也许更好一点。
002.讨老婆的一个新害处.txt	16	31	31	674	7	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反对...
002.讨老婆的一个新害处.txt	46	91	91	144	4	(1)关于《殷海光全集》出版之事，她反对出版，决定不授权任何人出版，因为她与殷先生结婚以来，一直受怕受骇，并言：“殷先生死了，我不要再受他的阴影笼罩，我不要再使他的幽灵来麻烦我。他死了，我要得到解脱。”我再晓以大义，她说：“你们不要逼我，再逼我，我就不承认是殷海光的太太，我只是夏君璐！”
002.讨老婆的一个新害处.txt	50	99	99	163	3	以上的决定完全违背我们要保存殷先生遗物完整性的原则，殷先生死后英灵有知，不知将作如何的感慨。现在李敖的做法是：我们要纪念殷海光，而不帮助夏君璐！所以有一部分由李敖经手，为殷先生的捐款（能有三万元），决定不交夏君璐，除非她承认是“殷海光的太太”，否则他要自行处理，处理的方法还得研究，我希望你能代表张灝，我们来找个时间商量一下。
002.讨老婆的一个新害处.txt	62	123	123	113	3	我说□□是“一混球”，实是保留之言；我只有以他的笨来原谅他的小心眼。“旁观者清”，韦先生说得好：“□□只是争宠争名而已。”你们尽管去争“掌门人”之位，我这个“小师弟”不敢窥此高位，只是我要求做到殷门的清白，以免坏我师一世英名。
002.讨老婆的一个新害处.txt	72	143	143	252	4	你说：“我很坦白的告诉你，我之所以邀李敖出来主持其事，实是大部分在台的殷门弟子之请，如胡基峻、叶新云、林正弘、王中一、黄三、王小明，甚至于韦政通，及张灝的太太廖融融。”你这话恐怕不符事实吧！你邀李敖出来，是受韦政通之请吗？是受叶新云之请吗？是受林正弘之请吗？如果我一一的去对质，恐怕你要吃不消。老弟，我实在是很爱护你的，那天我之激动骂你，完全出于真意，希望你全...
002.讨老婆的一个新害处.txt	89	177	177	139	3	香港友人来函，《大学生活》于下月15日，出刊殷先生专辑，希望有篇报导殷先生最后这次入院至临终的“实况”，兄是最清楚此情的人，希望你能把这段“实况”发布到海外知识人的面前。望你能尽快用航空邮件发出。所有的稿件，请寄“香港九龙新蒲岗四美街二十三号九楼林悦恒收”。此事重大，万不可误。
002.讨老婆的一个新害处.txt	120	239	239	406	3	在那封信中我又忧虑海光先生死后恐被利用，结果都不出我所料。海光先生死后，“党化”者有之，（如去年9月17号国民党的The China News说他“He wrote editorials for the Central Daily News for a while in Nanking”，但却只字不提他在《自由中国》的壮烈举动！）“国化”者有之，（如把他描写...
002.讨老婆的一个新害处.txt	121	241	241	260	4	去年9月15号晚上，您向我说：“李敖你是斗士，可是殷老师不是了，他已属于上帝。”如今一年过去了，感情的因素应该平静些了，殷师母，我向您说，您错了。海光先生仍然是斗士，只可惜能够陪他一起斗的人太少了，能够认识他这一斗士性格的人也太少了。所以当同他一起斗争的朋友坐了牢，包围他的，都是比他软弱的人，或是对他这一斗士性格缺少帮助和鼓动的人。大家不阻挠他，即倚靠他，以...
002.讨老婆的一个新害处.txt	122	243	243	268	3	我常常想，海光先生当年若陪雷震先生一起坐牢，也许他还不会死。这次接雷先生出狱，看到他气概非凡，器宇轩昂，更印证了我这一假设。海光先生和雷震先生一样，他们都是斗士型的伟大人物，斗士的生涯就是斗，不停的斗，劝他不要斗的人，动机尽管好，可惜是妇人之仁，爱之适足以害之。海光先生英灵不泯，在斗士的行列里，他是先烈，他将永生！我们没死的人，虽然遗憾要分别采取不同的方式来...
002.讨老婆的一个新害处.txt	125	249	249	255	3	虚一兄，看了上面这十一封信，我想你对殷海光生前死后的一些现象必然了然于心。设想殷海光一死，殷太太若能照我的“乾纲独断”方式纪念殷海光，殷海光又何至于被窄化、神化、小化得一至于此？看了这些文件，我想你必然同意我所说的：“思想家千万不能讨老婆。”不但不能讨老婆，并且一定得把一些可能把他春蚕化的学生们严加防范，免得死后吐血又吐丝。殷海光的生前死后，使我的确见识了不...
003.茅坑里的石头与厕所里的花瓶.txt	10	19	19	97	3	〔本报高雄、台南综合报导〕今天是青年党建党五十九周年纪念，在台南、高雄两地，突然出现一大批“党中央主席”和“地方党部主委”，有的发表攻讦性的声明文件，有的发柬邀请，竞相标榜自己，并竞相排斥别人。
003.茅坑里的石头与厕所里的花瓶.txt	23	45	45	90	3	第三部分是谈党员修养之道。李幼椿说：他所领导的青年党中央执行委员会是要培养人才，做国家的领导人，为着要有能力领导国家，所以要一个青年党人必须注重“四立”——立身、立志、立识、立业。
003.茅坑里的石头与厕所里的花瓶.txt	25	49	49	402	7	其实李璜何必如此？他为什么不想想他们当年的烂污历史？他们大谈“四立”，但是，1942年时候，曾琦在汉奸统治下的上海，刊行《青年党十九周年纪念册》，竟说：“青年党是经汪、蒋二先生批准的，无论在和平区抗战区都可取得合法地位。”所以赵毓松可以做南京政权的农矿部长、陈启天可以做重庆政权的经济部长，他们是这样两头做花瓶的，这是哪一门子的“四立”？他们又大谈别闹分裂，但...
004.假戏真做与假戏假做.txt	5	9	9	130	4	她说：“这种生活比想象中糟得多，糟得很多。”这位47岁的奥斯卡影后在接受美国国家广播公司电视网的访问时说：“没有自由，整天待在一间房里，你无法跟任何人说话，简直是太可怕了，这是不可能的！”索菲亚罗兰说：“我绝不会再回牢里，不、不，即使我杀了人，我也绝不回去。”
004.假戏真做与假戏假做.txt	10	19	19	242	4	在我们这种历劫万重的人看来，索菲亚罗兰坐这种牢，从刑期上看，是不足道的；从待遇上看，是上上待遇的。但她们这种娇生惯养的明星人物，却完全不能适应。明星人物只是“人生如戏”，她们只能做戏、演假戏，假戏真做，演得神龙活现；但是，一旦她们面对了真实的人生，她们本人，却变得一片脆弱与虚假，她们平日被社会的奉承与捧场，已经使她们退化了面对真实人生的能力，而变得骄纵、变得...
005.我们要有批评党外的自由.txt	7	13	13	194	4	林世煜和他新娘子有两封信给我，我都没回，我还在“生”他们的“气”——胡慧玲不好好管住林世煜，结果林世煜不好好架空林正杰，结果林正杰勾结你们，使我不能在《深耕》发表批评党外的文章，使我一怒而去，这都是你们钳制李敖言论自由的错误。现在林正杰办新杂志，拉我为他写专栏，可见他迷途知返，而你们却被他摆了一道而不自知。多好笑啊，你们这些小鬼，你们想学国民党，想钳制李敖的...
005.我们要有批评党外的自由.txt	8	15	15	263	3	我坚决相信，我不但要有批评国民党的自由，也要有批评党外（自我批评）的自由，党外若不许人批评，则其心态又与国民党何殊？其度量与手法，又与国民党有什么不同？党外必须全面开放，让李敖像骂国民党一样的骂个痛快，才能证明党外的伟大，证明党外有前途。反过来说，凡是不能让李敖骂个痛快的党外，就是笨党外。你们《深耕》的小鬼，都是笨党外。“你们会认识李敖，李敖会使你们得到自由...
006.论“影子政权”.txt	4	7	7	332	3	千金出生即表示一种事实上的存在，但是观念上的存在，就变成大学问。拉丁文Cogito，ergo sum，是笛卡儿（代嘉德Ren6 Descartes）“我思，故我在”（I think,therefore I am）的流变，这是17世纪1637年的观念。到了20世纪的1903年，萧伯纳（George Bernard Shaw）在《人与超人》（Man and Su...
007.学者名流与公帑.txt	9	17	17	102	3	昨天报上说，阳明山的林语堂住宅，现有房屋101坪，土地333坪，都是台北市政府所有。据我所知，林语堂也是“在民国五十六年决心回国长住”的。其风光程度，当时羊汝德《林语堂北山乐隐图》一文中，曾有这样的描写：
008.给黄少谷先生的又一公开信.txt	3	5	5	81	4	前年7月9日，在我冤狱入狱前的一个月，我写了一封长信给你，详细检查你们如何在对李敖“政治问题，法律解决”，如何在用抹杀法律证据的手法下，斗臭李敖，置党外人士入狱。
008.给黄少谷先生的又一公开信.txt	4	7	7	272	4	我在那封信中，曾一一针对台湾高等法院林晃、黄剑青、顾锦才三推事，于1981年6月17日，撤销台北地方法院庭长陈联欢对李敖无罪的判决，改判李敖“有期徒刑六月”的所谓“有罪部分”的理由，根据纯法律的立足点，一一予以驳斥。我举出林晃、黄剑青、顾锦才为了置李敖入狱，甚至把笔录窜改①、把账目断章②、把借据硬定③、把公证抹杀④、把“内政部警政署刑事警察局鉴验通知书”的科...
008.给黄少谷先生的又一公开信.txt	5	9	9	104	3	我指出，你当上司法院院长以后，扬言改革司法的许多缺点和积弊，你要求法官“不能断章取义”，不能“以推测之词入人于罪”等等，共达七十九项之多，可见司法方面的缺点和积弊，也早在你“举轻若重、不忽小节”之中。我写道：
